note ||| 	Mobile Networks and Applications 9, 9–20, 2004 © 2004 Kluwer Academic Publishers. Manufactured in The Netherlands.
bodyText ||| the packet. The master also sends the values of its RPs with
bodyText ||| its other gateways in the packet. Similarly, the gateway sends
bodyText ||| the master the values of its RPs with other piconets and the
bodyText ||| value of Nthresh also in an LMP_hold_req PDU. The master
bodyText ||| now knows all the RPs of the gateway; similarly, the gateway
bodyText ||| knows all the RPs of the master.
bodyText ||| Note that the above information exchange requires a min-
bodyText ||| imal change in the Bluetooth specifications that the contents
bodyText ||| of the LMP_hold_req PDU need to be enhanced. This PDU is
bodyText ||| 1-slot in length; thus, some bandwidth of the master is wasted
bodyText ||| in sending these PDUs. This wasted bandwidth can be re-
bodyText ||| duced by increasing the value of threshold, i.e., the maximum
bodyText ||| data that a slave and a master may exchange in each direc-
bodyText ||| tion during one poll of the slave. On the other hand, a large
bodyText ||| value of the threshold will lead to larger delays for packets.
bodyText ||| Thus, we have a tradeoff here. We choose a threshold value
bodyText ||| equal to three times a DH5 packet. The effect of this wasted
bodyText ||| bandwidth can be seen in the experiments section where the
bodyText ||| piconet capacity used is slightly less than 1. Note that we
bodyText ||| pay a small price here to get perfect coordination between the
bodyText ||| master and the gateway and also to get a high degree of fair-
bodyText ||| ness in the system, as the experiments later demonstrate.
bodyText ||| Now, the master and the gateway both have complete in-
bodyText ||| formation. So, each of them calculates the next RP in the
bodyText ||| following manner:
bodyText ||| They take the maximum value out of num_slots and Nthresh
bodyText ||| and as long as this value is the same as one of the RPs (note
bodyText ||| that all relevant RPs are known to both the master and the
bodyText ||| gateway), the value is incremented by 2 · threshold. The value
bodyText ||| at the end of this small procedure is the next RP between the
bodyText ||| gateway and the master. Since this value takes into account
bodyText ||| both Nthresh and num_slots, it incorporates both the fairness
bodyText ||| of the master’s polling and the gateway’s presence.
bodyText ||| Note that the value of num_slots calculated by the master is
bodyText ||| just an estimate (the master assumes that each slave included
bodyText ||| in the calculation of num_slots will exchange threshold slots
bodyText ||| of data with the master in each direction, but this may not be
bodyText ||| true). Thus, the master may have polled all the slaves that had
bodyText ||| to be polled before the RP of the gateway (according to the
bodyText ||| estimate in the calculation of num_slots) and still be left with
bodyText ||| some slots before the RP. In this case, the master just contin-
bodyText ||| ues polling the slaves in their cyclic order and polls the gate-
bodyText ||| way when the time for the RP arrives. Note that this means
bodyText ||| that the master may have to force a slave to send a packet
bodyText ||| smaller than a certain length. For example, if two slots are
bodyText ||| left for the RP, then the master will send a 1-slot packet and
bodyText ||| ask the slave being polled to do the same. Note that the Blue-
bodyText ||| tooth header has 4 bits to represent the packet type and these
bodyText ||| can represent 16 packet types. For ACL links, 10 (7 data,
bodyText ||| 3 control packets) of the packet types are defined. We use 2
bodyText ||| of the remaining bit sequences to send packets that force the
bodyText ||| slave to send packets smaller than or equal to a certain length.
bodyText ||| This is shown in table 3.
bodyText ||| From table 3, we see that this procedure is adopted if the
bodyText ||| number of slots left for the RP is less than 10 (if the number
bodyText ||| of slots left for the RP is greater than or equal to 10, then the
note ||| A FAIR AND TRAFFIC DEPENDENT SCHEDULING	15
tableCaption ||| Table 3
tableCaption ||| Procedure adopted by the master if slots left for the RP is less than 10.
table ||| Slots left for RP	Maximum	Maximum
table ||| length of packet	length of packet
table ||| sent by master	sent by slave
table ||| 2	1	1
table ||| 4	1	1
table ||| 6	3	3
table ||| 8	3	3
bodyText ||| slave’s packet length does not have to be restricted). Thus,
bodyText ||| if the slots left for the RP is 2, the master can send a packet
bodyText ||| of maximum length = 1 and the gateway can send a packet
bodyText ||| of maximum length = 1 and so on. Note that for reasons of
bodyText ||| fairness, the maximum packet length for the master and the
bodyText ||| gateway is the same. Since the master needs to restrict the
bodyText ||| maximum length of the gateway’s packet to either 1 or 3 (as
bodyText ||| shown in table 3), we need 2 packet types to achieve this. This
bodyText ||| procedure effectively suspends the polling of a slave to honor
bodyText ||| a RP with a gateway. The polling of the slave continues after
bodyText ||| the gateway has been polled.
bodyText ||| In addition, a gateway may lose a slot in switching from
bodyText ||| one piconet to another. This loss is unavoidable since piconets
bodyText ||| are in general, not synchronized in time. In the experiments in
bodyText ||| the paper, we set the value of the threshold to three times the
bodyText ||| payload of a DH5 packet, which can give a switching loss of
bodyText ||| about 3 % at heavy loads (every 2 · threshold slots, the gateway
bodyText ||| loses about one slot in switching). At light loads, this switch-
bodyText ||| ing loss does not lead to inefficiency since the sum of the fair
bodyText ||| shares of the gateway in all its piconets is less than 1 and even
bodyText ||| after the switching loss, the gateway is able to obtain its fair
bodyText ||| share. The simulations in the next section do not take this
bodyText ||| switching loss into account and thus, the bandwidth received
bodyText ||| by the gateway under heavy loads will be a little smaller than
bodyText ||| the one shown in the results.
subsectionHeader ||| 4.3. Proof offairness
bodyText ||| We now prove that the above algorithm leads to a max-min
bodyText ||| fair distribution of the bandwidth of a scatternet among units.
bodyText ||| We start by proving this in the case of a piconet. In the next
bodyText ||| step, we will extend the proof to the general case of a scatter-
bodyText ||| net.
subsubsectionHeader ||| 4.3.1. Fairness in a piconet
bodyText ||| Let us introduce the following notation:
bodyText ||| S: number of slave units in the piconet;
bodyText ||| gi : rate-demand of the ith unit;
bodyText ||| ηi: rate achieved by the ith unit;
bodyText ||| ri: rate-estimation of the ith unit (as defined in equa-
bodyText ||| tion (2)),
bodyText ||| where ηi and ri are average values.
bodyText ||| Slave unit i is referred to as “satisfied”, if it achieves it rate
bodyText ||| demand, i.e., ηi = gi; else, the slave unit is referred to as
bodyText ||| “unsatisfied”. Also, in the proof that follows, “slot” refers to
bodyText ||| “Bluetooth slot”; “unit” and “slave unit” may be used inter-
bodyText ||| changeably.
bodyText ||| If there is one slave unit in a piconet, then it will always get
bodyText ||| polled and hence, the algorithm is fair. We prove the fairness
bodyText ||| when there are two or more slave units.
bodyText ||| We first make the following observations:
listItem ||| (a) If a unit has a rate-estimation, r &gt; 0.25, it will never
listItem ||| achieve a lesser rate than any other unit.
bodyText ||| r is an estimation of the average number of slots of traf-
bodyText ||| fic that a master–slave pair will generate per slot in each di-
bodyText ||| rection. Thus, a rate of 0.25 means that a master–slave pair
bodyText ||| generates, on the average, “threshold” slots of traffic in each
bodyText ||| direction in every 4 · threshold slots. Suppose a piconet has
bodyText ||| two slaves, and the first has a rate-estimation, r &gt; 0.25, then
bodyText ||| the first slave will be polled at least once in every 4 · threshold
bodyText ||| slots, i.e., will get on the average at least threshold polling
bodyText ||| slots out of every 2 · threshold, regardless of the r of the other
bodyText ||| slave (since N increases at the rate of r, N will increase by
bodyText ||| at least 0.25 · 4 · threshold = threshold; thus, the slave will
bodyText ||| enter into the “active list” in 4 · threshold slots). Thus, it will
bodyText ||| never achieve a lesser rate than another unit. It is easy to see
bodyText ||| that this property would be true if there were more than two
bodyText ||| slaves (two slaves is the worst case).
listItem ||| (b) For δ &gt; 0.1 and α &gt; 0.6, an unsatisfied slave will tend to
listItem ||| a rate-estimation of at least 0.25.
listItem ||| For an unsatisfied slave, the second part of equation (2)
listItem ||| (when x = M) is always used for updating the rate. Thus, if
listItem ||| ri is the ith rate-estimation:
equation ||| rn+1 = αrn + (1 − α) T + δ.
bodyText ||| This leads to (as n becomes very large):
equation ||| r=(1−α)M
bodyText ||| Thus, for δ &gt; 0.1 and α &gt; 0. 6, for any value of T, the
bodyText ||| value of r tends to at least 0.25.
listItem ||| (c) As long as there is an unsatisfied unit, the utilization of
bodyText ||| the system capacity is 1 (for δ &gt; 0.15 and α &gt; 0.65).
bodyText ||| Consider a piconet consisting of seven slave units, in
bodyText ||| which the first unit, unit1 is unsatisfied. From (a) and (b),
bodyText ||| unit1 will never achieve a lesser rate than any other unit; this
bodyText ||| means that it will be polled at least once for each time the
bodyText ||| other slaves are polled. The value of T (as in equation (2)) for
bodyText ||| unit1 is thus, at most, 14 · threshold. For this value of T and
bodyText ||| for δ = 0.15 and α = 0. 65, r for unit1 tends to at least 0.5.
bodyText ||| A value of r = 0.5 for a slave unit means that it can be polled
bodyText ||| all the time (since N increases at the rate of r, N will increase
bodyText ||| by at least 0.5 · 2 · threshold = threshold; thus, the slave will
bodyText ||| enter into the “active list” in 2 · threshold slots, which is also
bodyText ||| the time of its polling). Thus, the system capacity is totally
bodyText ||| utilized. If there were less than 7 slave units, the value of T
bodyText ||| would be smaller (than 14 · threshold), and r would tend to a
bodyText ||| higher value (than 0.5).
equation ||| αn−k
equation ||| Tk	+
equation ||| δ	 &gt;
equation ||| 1−α
equation ||| ∞
equation ||| E
equation ||| k=0
equation ||| δ
equation ||| 	.
equation ||| 1−α
note ||| 16	R. KAPOOR ET AL.
bodyText ||| We choose values of δ and α to satisfy the above proper-
bodyText ||| ties, i.e., δ = 0.15 and α = 0.65.
bodyText ||| The following statements hold.
listItem ||| (i) Units with the same rate-demand achieve the same aver-
listItem ||| age rate:
equation ||| gi = gj ⇒ ηi = ηj.
bodyText ||| We prove this by contradiction. Suppose there are two units,
bodyText ||| unit1 and unit2 with rate demands g1 and g2, respectively,
bodyText ||| such that g1 = g2. Also, suppose one unit achieves a higher
bodyText ||| average rate than the other, η1 &gt; η2.
bodyText ||| Now, unit2 does not achieve its rate-demand (since η1 &gt;
bodyText ||| η2). Unit1 may or may not achieve its rate demand. From
bodyText ||| property (b), unit2 will always tend to a value at least equal to
bodyText ||| 0.25, since it is an unsatisfied slave. Using property (a), this
bodyText ||| implies that η2 cannot be less than η1. This is a contradiction.
listItem ||| (ii) Units with a higher rate-demand achieve an average rate
listItem ||| at least equal to that achieved by units with a lower rate-
listItem ||| demand:
equation ||| gi &gt; gj ⇒ ηi i ηj.
bodyText ||| This can be proved by contradiction in the same manner as in
bodyText ||| part (i).
bodyText ||| Now, without loss of generality, let us partition the slave
bodyText ||| units into two sets, S1 and S2, in such a way that units in S1
bodyText ||| are satisfied, while units in S2 are not.
listItem ||| •	If the set S2 is empty, than all the units achieve their rate-
listItem ||| demand and the system is fair.
listItem ||| •	If the set S2 is not empty, then using statements (i) and (ii),
listItem ||| all units share the bandwidth in a fair manner. Moreover,
listItem ||| since S2 contains at least one unit, the total system capac-
listItem ||| ity is utilized. Hence, it is not possible to increase the rate
listItem ||| of a unit in S2 without decreasing the rate of some other
listItem ||| unit.
subsubsectionHeader ||| 4.3.2. Fairness in a scatternet
bodyText ||| The proof of fairness for a scatternet follows trivially from
bodyText ||| that for a piconet. We make the following two observations:
listItem ||| (1) The gateway visits a piconet only after the estimation
listItem ||| of N for the piconet becomes greater than the threshold (it
listItem ||| calculates Nthresh while determining the next RP). In other
listItem ||| words, the “virtual master” (gateway) does not poll (visit) its
listItem ||| “virtual slave” (master) till the estimate of N becomes greater
listItem ||| than the threshold. This is similar to the algorithm used by
listItem ||| the master to poll the slaves in which a slave is not polled till
listItem ||| its estimate of N becomes greater than the threshold. Thus,
listItem ||| the gateway divides its presence among its piconets in a fair
listItem ||| manner, i.e., according to the SPF. Note that if the PPF for
listItem ||| a gateway in a piconet is less than its SPF, the master does
listItem ||| not poll the gateway for more than the PPF. Thus, the appar-
listItem ||| ent rate demand and SPF for the gateway in the piconet are
listItem ||| reduced. This may increase the SPF of the gateway in other
listItem ||| piconets. In this case, the gateway divides its presence ac-
listItem ||| cording to the updated SPFs.
listItem ||| (2) While calculating the next RP for a gateway, the mas-
listItem ||| ter calculates the num_slots value which estimates the num-
listItem ||| ber of slaves in one polling cycle (starting from the slave after
listItem ||| the gateway in the polling cycle) who will have their values
listItem ||| of N greater than the threshold at the estimated time of their
listItem ||| poll. This achieves fairness between the gateway and the non-
listItem ||| gateway slaves. Also, the master continues to use the same
listItem ||| algorithm for polling non-gateway slaves in a scatternet as
listItem ||| described for a piconet in section 4.1. This maintains fairness
listItem ||| between non-gateway slaves, i.e., the division is done accord-
listItem ||| ing to the PPFs (or the updated PPFs).
subsectionHeader ||| 4.4. Overhead/limitations of the algorithm
bodyText ||| The rate calculations will lead to a higher load on the system.
bodyText ||| Also, the algorithm does not take into account SCO links. We
bodyText ||| believe (and as has been shown in [6]) that ACL links are
bodyText ||| capable of carrying voice with small delays. The controlled
bodyText ||| channel access in Bluetooth can ensure good support of voice
bodyText ||| using ACL links. Also, scheduling in a scatternet where SCO
bodyText ||| links are allowed may not be feasible. Since SCO links re-
bodyText ||| quire a periodic reservation of two slots every two, four or
bodyText ||| six slots, meeting the demands of such a link with a gateway
bodyText ||| may be impossible when the gateway is visiting some other
bodyText ||| piconet.
sectionHeader ||| 5. Experiments and results
bodyText ||| In this section, we present simulation results, which show that
bodyText ||| the algorithm satisfies the fairness criteria described earlier.
bodyText ||| We start with simple topologies that illustrate the behavior of
bodyText ||| the algorithm and then show that it also works well in more
bodyText ||| complex topologies. There are three topologies that the exper-
bodyText ||| iments focus on and these demonstrate the behavior of the al-
bodyText ||| gorithm – a topology with (a) a gateway belonging to two pi-
bodyText ||| conets, (b) a gateway belonging to three piconets and (c) a pi-
bodyText ||| conet having two gateways. The experiments also show the
bodyText ||| adaptivity of the algorithm, i.e., how quickly the algorithm
bodyText ||| adapts to changing traffic demands of slaves.
bodyText ||| In the experiments, we specify the “rate of a slave”, which
bodyText ||| refers to the sum of the rates at which a slave generates data
bodyText ||| for a master (i.e., the rate demand of a slave) and the mas-
bodyText ||| ter generates data for the slave. Moreover, unless mentioned
bodyText ||| otherwise, we assume that the traffic rate from a slave to a
bodyText ||| master is equal to that from the master to the slave. Thus, a
bodyText ||| slave having a rate of 0.4 means that the slave generates data
bodyText ||| at the rate of 0.2 Bluetooth slots per slot and the master also
bodyText ||| has a rate demand of 0.2 towards the slave. As we show in the
bodyText ||| section on asymmetric traffic, the algorithm works well even
bodyText ||| if these two rates are not the same.
bodyText ||| The simulation environment used in our experiments is
bodyText ||| NS-2 [8]. We have augmented NS-2 with the Bluetooth
bodyText ||| model. The simulator models the Bluetooth baseband, LMP
bodyText ||| and L2CAP layers and enables the creation of piconets and
bodyText ||| scatternets. The model contains most of the standard features
bodyText ||| of Bluetooth like Frequency Hopping, Multi-Slot Packets,
bodyText ||| Fast ARQ (Automatic Retransmission Query). Note that as
bodyText ||| mentioned earlier, in our simulator, the switching loss asso-
bodyText ||| ciated with the gateway moving from one piconet to another
note ||| A FAIR AND TRAFFIC DEPENDENT SCHEDULING	17
figureCaption ||| Figure 5. Example scatternet.
bodyText ||| is not taken into account. This effect can lead to the gate-
bodyText ||| way losing up to 3% of slots at heavy loads. The experiment
bodyText ||| results are thus, a slight overestimate.
bodyText ||| In the experiments, all traffic generated is CBR. Each ex-
bodyText ||| periment is run for a system time of 32 sec. In the experi-
bodyText ||| ments, the term “slave” refers to a non-gateway slave; a gate-
bodyText ||| way slave is referred to as “gateway”. Also, in experiments
bodyText ||| where the PPF and the SPF values (and not the updated PPF
bodyText ||| and the updated SPF) are shown, the PPF and the updated PPF
bodyText ||| are equal and the SPF and the updated SPF are also equal. In
bodyText ||| the graphs, “BW” in the index stands for bandwidth, “GW”
bodyText ||| stands for gateway.
subsectionHeader ||| 5.1. Single gateway in two piconets
bodyText ||| We first consider the simple topology shown in figure 5,
bodyText ||| which consists of two piconets, numbered I and II, connected
bodyText ||| by a single gateway. We consider various cases by changing
bodyText ||| the traffic and the number of slaves in the piconets.
construct ||| Experiment 1. Adaptation between gateway and
bodyText ||| non-gateway slave traffic
bodyText ||| Each piconet has one non-gateway slave that generates very
bodyText ||| high traffic, with rate equal to 1, to the master. The gateway
bodyText ||| has equal traffic to both masters. We vary the gateway traffic
bodyText ||| to show the fair sharing of the piconet bandwidth between the
bodyText ||| gateway and the slave. We show the results for one piconet
bodyText ||| since the two piconets are exactly symmetric.
bodyText ||| Figure 6(a) shows the sharing of bandwidth between the
bodyText ||| gateway and slave for different values of gateway traffic. It
bodyText ||| also shows the fair share of the slave and the total fraction
bodyText ||| of the bandwidth obtained by the gateway and the slave in
bodyText ||| the piconet. It can be seen that the slave obtains a bandwidth
bodyText ||| equal to its fair share for different values of gateway traffic.
bodyText ||| Moreover, the sum of the bandwidths obtained by the slave
bodyText ||| and the gateway is nearly equal to 1. The reason for this to
bodyText ||| be slightly less than 1 is that some of the piconet capacity is
bodyText ||| used in sending LMP _ hold _req PDUs of the LMP layer.
bodyText ||| In figure 6(b), the comparison of the fraction of the band-
bodyText ||| width obtained by the gateway to its SPF (PPF and SPF are
bodyText ||| equal) is shown. Figure 6(b) shows that the gateway gets al-
bodyText ||| most equal to its fair share of the bandwidth for all values
bodyText ||| of traffic. Again, the reason that the gateway obtains slightly
bodyText ||| less than its fair share is because some of the slots are used
bodyText ||| for LMP PDUs. This also explains why the gateway obtains
bodyText ||| slightly less than the slave in figure 6(a).
figureCaption ||| Figure 6. (a) Sharing of bandwidth between gateway and slave. (b) Compar-
figureCaption ||| ison of fraction of bandwidth obtained to SPF for the gateway.
construct ||| Experiment 2. Different traffic to piconets
bodyText ||| The same topology as in the previous case, but each slave has
bodyText ||| a traffic rate of 0.3 to the master. The gateway has a fixed traf-
bodyText ||| fic rate of 0.2 to the master of Piconet I and variable traffic to
bodyText ||| the other master. The PPF and SPF of the gateway in the first
bodyText ||| piconet are, thus, both equal to 0.2. The traffic in Piconet I
bodyText ||| does not change and the gateway and the slave get a constant
bodyText ||| fraction of 0.2 and 0.3 of the piconet bandwidth, respectively.
bodyText ||| Figure 7(a) shows the sharing of bandwidth between the
bodyText ||| gateway and slave for different values of gateway traffic,
bodyText ||| while figure 7(b) shows the comparison of the fraction of the
bodyText ||| bandwidth obtained by the gateway in Piconet II to its SPF
bodyText ||| and PPF. From the graphs, we can see that when the gate-
bodyText ||| way has different traffic to piconets, it divides its presence
bodyText ||| among the piconets according to the traffic offered and in a
bodyText ||| fair manner (again, the gateway obtains slightly less than its
bodyText ||| fair share due to the LMP PDUs). Also, the gateway makes
bodyText ||| use of the lower traffic offered by the slave in Piconet II to
bodyText ||| obtain a higher share of the bandwidth in Piconet II.
construct ||| Experiment 3. Different number of slaves
bodyText ||| Piconet I has 3 slaves, while the number of slaves in Piconet II
bodyText ||| is variable. Each slave generates traffic to the master at the
bodyText ||| rate of 0.2. The gateway has a traffic rate of 0.3 to Piconet I
bodyText ||| and 0.8 to Piconet II. The PPF and SPF of the gateway in
bodyText ||| Piconet I are, thus, 0.2 and 0.3, respectively. In Piconet II, the
bodyText ||| value of PPF changes depending upon the number of slaves.
bodyText ||| In Piconet I, the slaves get a bandwidth fraction of 0.2
bodyText ||| and the gateway gets 0.3. Figure 8(a) shows the sharing
note ||| 18	R. KAPOOR ET AL.
figureCaption ||| Figure 7. (a) Sharing of bandwidth between gateway and slave in Piconet II.
figureCaption ||| (b) Comparison of fraction of bandwidth obtained by the gateway to SPF and
figureCaption ||| PPF in Piconet II.
bodyText ||| of bandwidth between the gateway and each slave in Pi-
bodyText ||| conet II. Figure 8(b) shows the comparison of the fraction
bodyText ||| of the bandwidth obtained by the gateway in Piconet II to the
bodyText ||| SPF and PPF. The gateway receives a fraction of the band-
bodyText ||| width almost equal to its fair share. Also, as the number of
bodyText ||| slaves increases, the fraction of the bandwidth received by
bodyText ||| the gateway (and each slave) reduces in a fair manner.
construct ||| Experiment 4. Asymmetric traffic
bodyText ||| We now consider a case where the traffic rates from Master
bodyText ||| to Slave and Slave to Master are different (asymmetric traf-
bodyText ||| fic). We consider the same topology as in experiment 2 of the
bodyText ||| current section, with the non-gateway slaves having the same
bodyText ||| rate as in experiment 2. The gateway has a fixed traffic rate of
bodyText ||| 0.2 to the master of Piconet I and variable traffic to the other
bodyText ||| master. The variable traffic is such that traffic from Master
bodyText ||| to Slave has a rate of 0.1 and traffic from Slave to Master
bodyText ||| varies.
bodyText ||| Figure 9 shows the comparison of bandwidth fraction ob-
bodyText ||| tained by the gateway in this experiment versus that obtained
bodyText ||| by the gateway in experiment 2 in Piconet II for different val-
bodyText ||| ues of gateway traffic (which is the sum of master to gateway
bodyText ||| and gateway to master traffic rates). We see that the fraction
bodyText ||| is slightly lower than the fraction obtained in experiment 2.
bodyText ||| Asymmetric traffic leads to wastage of slots, since an empty
bodyText ||| slot is returned in one direction where there is no data to send.
bodyText ||| It can be seen though, that the gateway still behaves in an ap-
figureCaption ||| Figure 8. (a) Sharing of bandwidth between gateway and slave in Piconet II.
figureCaption ||| (b) Comparison of fraction of bandwidth obtained by the gateway to SPF and
figureCaption ||| PPF in Piconet II.
figureCaption ||| Figure 9. Comparison of fraction of bandwidth obtained by gateway in this
figureCaption ||| experiment with that in experiment 2 in Piconet II.
bodyText ||| proximately fair manner. All other bandwidth fractions for
bodyText ||| slaves and the gateway are the same as in experiment 2.
subsectionHeader ||| 5.2. Single gateway shared between three piconets
bodyText ||| We now consider a topology, where a gateway is shared be-
bodyText ||| tween 3 piconets, numbered I, II and III. Piconet I has 5, Pi-
bodyText ||| conet II has 1 and Piconet III has 4 slaves. Each slave has
bodyText ||| a traffic rate of 0.2. The gateway has a traffic rate of 0.2 to
bodyText ||| Piconet I, 0.3 to Piconet III and a variable rate to Piconet II.
bodyText ||| All traffic is symmetric (same from master to slave and from
bodyText ||| slave to master).
note ||| A FAIR AND TRAFFIC DEPENDENT SCHEDULING	19
figureCaption ||| Figure 10. Bandwidth fraction received by gateway in the three piconets.
figureCaption ||| Figure 12. Fraction of bandwidth and fair share of GW1 and GW2 in Pi-
figureCaption ||| conet II.
figureCaption ||| Figure 11. Example scatternet topology.
bodyText ||| Figure 10 shows the fraction of bandwidth obtained by the
bodyText ||| gateway in each piconet with increasing gateway traffic rate to
bodyText ||| Piconet II. It also shows the PPF and the Updated SPF of the
bodyText ||| gateway in Piconet II. We do not show the fair shares of the
bodyText ||| gateway in Piconet I and III since they are constant (0.16 and
bodyText ||| 0.2, respectively). It can be seen that the gateway manages
bodyText ||| to get close to its fair share in the 3 piconets. The slaves in
bodyText ||| Piconet I get a bandwidth fraction of 0.16 and the slaves in
bodyText ||| Piconet II and III get a bandwidth fraction of 0.2 (all these are
bodyText ||| equal to their fair shares).
subsectionHeader ||| 5.3. Piconet with two gateways
bodyText ||| We now show the working of the algorithm in a piconet hav-
bodyText ||| ing 2 gateways, as shown in figure 11. Piconets I, II and III
bodyText ||| have 6, 2 and 4 non-gateway slaves, respectively. There are
bodyText ||| two gateways, GW 1 between Piconets I and II; and GW 2 be-
bodyText ||| tween Piconets II and III. All slaves have a traffic rate of 0.2.
bodyText ||| GW 1 has a traffic rate of 0.2 in Piconet I and 0.5 in Piconet II.
bodyText ||| GW 2 has a traffic rate of 0.2 in Piconet III. We vary the traf-
bodyText ||| fic rate of GW 2 in Piconet II and show the fair sharing of
bodyText ||| bandwidth.
bodyText ||| Figure 12 shows the fraction of bandwidth obtained by
bodyText ||| GW 1 and GW 2 in Piconet II compared to their fair shares.
bodyText ||| The x-axis denotes GW 2 traffic in Piconet II. It can be seen
bodyText ||| that the bandwidth fractions obtained are very close to the
bodyText ||| fair value. The non-gateway slaves of Piconet II receive a
bodyText ||| bandwidth fraction of 0.2, which is equal to their fair share
bodyText ||| (not shown in the figure). The bandwidth fraction received by
bodyText ||| slaves in Piconets I and III does not change for different val-
bodyText ||| ues of GW2 traffic in Piconet II. The fair share of each slave
bodyText ||| (including the gateway) in Piconet I is 0.14 and in Piconet III
bodyText ||| Figure 13. Actual rate estimation of the gateway and its ideal value.
bodyText ||| is 0.2; the bandwidth fraction received by each slave is very
bodyText ||| close to these fair shares.
subsectionHeader ||| 5.4. Adaptivity to changing traffic demands
bodyText ||| We now show how quickly the algorithm is able to adapt to
bodyText ||| changing traffic. We again consider the scenario of experi-
bodyText ||| ment 1 of section 5.1, consisting of two piconets, each hav-
bodyText ||| ing a non-gateway slave, connected by a single gateway. The
bodyText ||| non-gateway slaves have a traffic rate of 1; the gateway has
bodyText ||| equal traffic to both the masters. We vary the traffic rate of
bodyText ||| the gateway as time progresses: for the first 2.5 seconds, the
bodyText ||| gateway’s rate is 0. 1, for the next 2.5 seconds, it is 0.5 and for
bodyText ||| the remaining time, it is 0.3.
bodyText ||| Figure 13 shows the actual rate estimation of the gateway
bodyText ||| (and its ideal value) versus time. It can be seen that the rate
bodyText ||| estimation adapts very quickly to the new rate. For example,
bodyText ||| when the rate changes from 0.1 to 0.5, the rate estimation
bodyText ||| reaches a value of 0.45 in about half a second after 2.5 sec.
bodyText ||| Thus, the algorithm adapts to quickly changing traffic.
sectionHeader ||| 6. Conclusions
bodyText ||| This paper proposed a distributed scatternet-scheduling algo-
bodyText ||| rithm that adapts to non-uniform and changing traffic. This
note ||| 20	R. KAPOOR ET AL.
note ||| algorithm provides an integrated solution for both intra- and
note ||| inter-piconet scheduling and can be implemented using the
note ||| HOLD mode of Bluetooth. Through analysis and simulations,
note ||| we showed that the algorithm is traffic-adaptive and results in
note ||| a fair allocation of bandwidth to units. We explained earlier
note ||| that the algorithm may allow a unit to go into a power-saving
note ||| mode.
note ||| In future, we would like to explore this option, which also
note ||| assumes importance since Bluetooth devices will most likely
note ||| operate in a power-constrained environment. As future work,
note ||| we would also like to evaluate the performance of TCP and
note ||| other kinds of traffic on our algorithm. We are also working
note ||| towards interfacing the algorithm with requirements of higher
note ||| layers. In this respect, we are working towards providing QoS
note ||| support using the algorithm.
sectionHeader ||| References
reference ||| [1] S. Baatz, M. Frank, C. Kehl, P. Martini and C. Scholz, Adaptive scat-
reference ||| ternet support for Bluetooth using sniff mode, in: Proc. of IEEE LCN
reference ||| (2001).
reference ||| [2] A. Das, A. Ghose, A. Razdan, H. Saran and R. Shorey, Enhancing per-
reference ||| formance of asynchronous data traffic over the Bluetooth wireless ad-
reference ||| hoc network, in: Proc. ofIEEE INFOCOM’2001 (2001).
reference ||| [3] J. Haartsen, BLUETOOTH – the universal radio interface for ad hoc
reference ||| wireless connectivity, Ericsson Review 3 (1998) 110–117.
reference ||| [4] P. Johansson, M. Kazantzidis, R. Kapoor and M. Gerla, Bluetooth – an
reference ||| enabler for personal area networking, IEEE Network Magazine, Wire-
reference ||| less Personal Area Network (September 2001).
reference ||| [5] M. Kalia, D. Bansal and R. Shorey, MAC scheduling and SAR policies
reference ||| for Bluetooth: A master driven TDD pico-cellular wireless system, in:
reference ||| Proc. of 6th IEEE International Workshop on Mobile Multimedia Com-
reference ||| munications (MOMUC) (1999).
reference ||| [6] R. Kapoor, L. Chen, Y. Lee and M. Gerla, Bluetooth: carrying voice
reference ||| over ACL links, in: Proc. of MWCN (2002).
reference ||| [7] A. Mayer, Y. Ofek and M. Yung, Approximating max-min fair rates via
reference ||| distributed local scheduling with partial information, in: Proc. of IEEE
reference ||| INFOCOM (1996).
reference ||| [8] NS-2 simulator, http://www.isi.edu/nsnam/ns/
reference ||| [9] A. Racz, G. Miklos, F. Kubinszky and A. Valko, A pseudo-random
reference ||| coordinated scheduling algorithm for Bluetooth scatternets, in: Proc.
reference ||| ofMobiHoc (2001).
reference ||| [10] Specifications of the Bluetooth System – core, Vol. 1, v. 1.1, www.
reference ||| Bluetooth.com
reference ||| [11] W. Zhang and G. Cao, A flexible scatternet-wide scheduling algorithm
reference ||| for Bluetooth networks, in: Proc. ofIEEE IPCCC (2002).
note ||| Rohit Kapoor received his Bachelor degree in com-
note ||| puter science in 1999 from the University of Roor-
note ||| kee, India. He is currently a Ph.D. candidate at the
note ||| University of California, Los Angeles (UCLA). His
note ||| research focuses on Bluetooth-based personal area
note ||| networks. He is a member of the Network Research
note ||| Lab at UCLA.
email ||| E-mail: rohitk@cs.ucla.edu
note ||| Andrea Zanella received the Ph.D. degree in tele-
note ||| communication engineering from the University of
note ||| Padova, Italy, in 2002. Prior to that he received
note ||| the Dr. Ing. degree (comparable to Master degree)
note ||| in computer engineering in 1998, still from the Uni-
note ||| versity of Padova. He spent nine months, in 2001, as
note ||| post-doc researcher at the Department of Computer
note ||| Science of the University of California, Los Ange-
note ||| les (UCLA), where he was engaged in research on
