note ||| 	Mobile Networks and Applications 8, 209–221, 2003 © 2003 Kluwer Academic Publishers. Manufactured in The Netherlands.
bodyText ||| users will result in a higher QoS for this user class. Updating
bodyText ||| the weights according to this strategy will result in a schedul-
bodyText ||| ing algorithm somewhere between a WFQ and a class based
bodyText ||| queueing scheduler. In fact, the benefit of both is utilized: the
bodyText ||| fair sharing of the bandwidth of WFQ and the higher band-
bodyText ||| width guarantees for each priority class provided by a class
bodyText ||| based queueing scheduler.
bodyText ||| Preserving the relative ordering of the weights (i.e.,
bodyText ||| premise (iii)) guarantees that QoS for higher priority users
bodyText ||| and, therefore, the provider revenue can only be improved
bodyText ||| due to the adaptive control of the weights. If the intention
bodyText ||| of the update strategy is not primary on improving provider
bodyText ||| revenue the weights can be also set in a weak relation, i.e.,
bodyText ||| w(new)&gt; w(new) This might be useful to increase QoS for
bodyText ||| +1.g Q
bodyText ||| users of low population independent of their priority class.
bodyText ||| With the following algorithm the computation of the weights
bodyText ||| w(new)	WP can be performed iterative) in P −1 min-
bodyText ||| W1	P	p	iteratively
bodyText ||| imumcalculations. The iteration is given by
equation ||| 	w1ew) =w1 · (NRT1)−α,	(9)
equation ||| wi new) = min (wi−1 i· win1 ), wi · (NRTi)−α
equation ||| 	i = 2,..., P.	(10)
bodyText ||| users on the queueing weights, an exponent
equation ||| α
equation |||  &gt;, 0 is consid-
equation ||| ered (e.g.,
equation ||| α
bodyText |||  = 1/2). It is easy to show that premises (i), (ii)
bodyText ||| and (iii) hold for the weights set according to equations (9)
bodyText ||| and (10). The iteration starts with setting
equation ||| w
equation ||| h
equation ||| ew)
bodyText |||  according to
equation ||| NRT1
bodyText |||  and continues up to
equation ||| w
equation ||| Pn
equation ||| ew).
bodyText |||  Note that this is only one
bodyText ||| possibility to set the new weights. Any other starting position
bodyText ||| for the iteration is possible and results in a slightly different
bodyText ||| update of the weights. Nevertheless, the algorithms work in
bodyText ||| a similar way, and therefore, we consider only the iteration
bodyText ||| of (9) and (10). If currently no users of priority i are in the
bodyText ||| cell, i.e., NRTi = 0, the algorithm skips the setting of the
bodyText ||| corresponding weight
equation ||| w
equation ||| i
equation ||| new)
bodyText |||  and the next iteration step i + 1
bodyText ||| is related to step i
none ||| −
bodyText |||  1. Subsequently, these weights were set
bodyText ||| to zero. For other scheduling disciplines like weighted round
bodyText ||| robin or a class based queueing corresponding update strate-
bodyText ||| gies can be deri
bodyText ||| ved in a similar way.
bodyText ||| tive throughput increase of priori
bodyText ||| ty class i with the function
bodyText ||| (new) (w P	· THRi  1 γ
equation ||| i	=	.
equation ||| (11)
equation ||| wi
equation ||| ·THRP
bodyText ||| In order to smooth the influence of the number of NRT
subsubsectionHeader ||| 4.2.2. Considering advanced pricing policies
bodyText ||| In pricing policy (b) introduced above, users have to pay an
bodyText ||| additional fee depending on the throughput improvement due
bodyText ||| to the update of the queueing weights. This concept of pric-
bodyText ||| ing indicates strong similarities to the congestion-sensitive
bodyText ||| pricing of the smart market scheme [21], where the actual
bodyText ||| price for each packet is determined based on the current state
bodyText ||| of network congestion. Similarly, in our throughput-based
bodyText ||| pricing policy the throughput of users is determined by their
bodyText ||| willingness-to-pay additional costs (according to their choice
bodyText ||| of priority class) for transmission of packets in a congested
bodyText ||| network. The additional payment is justified because the
bodyText ||| throughput for users of higher priority will be maintained,
bodyText ||| even if more and more users of lower priority attend the cell,
bodyText ||| i.e., the network is currently congested. We describe the rela-
bodyText ||| In equation (11), THRi is the current throughput of class i de-
bodyText ||| rived from the corresponding sliding window and 0 &lt; γ &lt; 1
bodyText ||| is a scaling exponent (e.g., γ = 1/4) that has to be adjusted
bodyText ||| by the service provider for appropriate revenue dimension-
bodyText ||| ing. In order to guarantee that revenue will be only improved,
bodyText ||| ϕi (t) has to be truncated, i.e., ϕi (t) &gt; 1.
bodyText ||| Next, we adjust the weights according to an advanced pric-
bodyText ||| ing policy that adopts ideas, which have been successful in
bodyText ||| existing GSM networks. In GSM networks, the pricing of
bodyText ||| a provided service is as follows: the proposed service is of-
bodyText ||| fered based on a monthly payment for a dedicated amount
note ||| IMPROVING QoS AND PROVIDER REVENUE IN 3G MOBILE NETWORKS	215
bodyText ||| of call time. If a user has consumed this amount of time
bodyText ||| before the end of the month, he has to pay for any further
bodyText ||| use of this service based on a time-dependent accounting.
bodyText ||| This idea can be generalized and extended towards packet-
bodyText ||| switched services in 3G networks. Analogously, a user has
bodyText ||| to pay a monthly charge for a dedicated amount of data vol-
bodyText ||| ume, which can be transferred without further pricing. After
bodyText ||| using up this monthly amount of data, the user has to pay for
bodyText ||| the desired services according to the transferred data volume
bodyText ||| (byte-based). Moreover, analogous to GSM networks a user
bodyText ||| can utilize “unused” data volume, i.e., the unused fraction of
bodyText ||| the prepaid monthly amount of data volume, in subsequent
bodyText ||| months. If the monthly amount of data is unrestricted, this
bodyText ||| pricing would become a flat-rate pricing and if there is no
bodyText ||| monthly payment, the pricing follows a usage-based policy.
bodyText ||| Thus, our pricing policy constitutes a hybrid approach of flat-
bodyText ||| rate and usage-based pricing.
bodyText ||| The update of the queueing weights can now be extended
bodyText ||| in a way that users consuming their monthly amount of data
bodyText ||| are served with a lower priority than users currently paying for
bodyText ||| their data transfer. Therefore, we introduce a new weight w&apos;
bodyText ||| corresponding to the not paying users. The weight w&apos; must
bodyText ||| be sorted in the weights w1, ... , wP and the iterative update
bodyText ||| algorithm (9)–(10) can be applied to the P + 1 weights as
bodyText ||| described above. In order to distinguish not paying users
bodyText ||| with different priorities these users are served by the WFQ
bodyText ||| scheduler with weights w1 , ... , wP relative to w&apos;. That
bodyText ||| is, WFQ is applied to 2 · P weights, i.e., w1, ... , wP and
equation ||| (w&apos;/w) · w1, ... , (w&apos;/w) · wP with w = w1 + · · · + wP.
subsectionHeader ||| 4.3. Implementation issues
bodyText ||| As outlined in section 2.1, the controlled system parameters
bodyText ||| for QoS and revenue improvement, i.e., η, bh, wi, ϕi, con-
bodyText ||| stitute an integral component of the proposed extension to a
bodyText ||| BSC. The adjustment of system parameters is only based on
bodyText ||| implicit information that is directly measured by the online
bodyText ||| monitoring component. Therefore, no additional signaling
bodyText ||| with other BSCs is necessary for updating system parameters.
bodyText ||| The online monitored QoS measures, i.e., PLP, HFP, CBP,
bodyText ||| NRTi , and THRi , can easily be derived and stored within
bodyText ||| the BSC (see figure 1). The PLP can directly be determined
bodyText ||| by counting the number of IP packets, which are lost due to
bodyText ||| buffer overflow in the NRT queue. HFP as well as the CBP is
bodyText ||| determined by the non-admitted handover calls and new calls
bodyText ||| in the admission controller, respectively. Admission, termina-
bodyText ||| tion, and handover of NRT calls enable the profiling of NRTi ,
bodyText ||| the number of non real-time sessions with priority i. More-
bodyText ||| over, the packet scheduler allows the throughput computation
bodyText ||| of NRT users according to their individual priorities. Fur-
bodyText ||| thermore, no time consuming signaling is needed to transfer
bodyText ||| the system pattern inside the BSC because the online perfor-
bodyText ||| mance monitoring component and the performance manage-
bodyText ||| ment entity both reside in the BSC.
bodyText ||| The question arises how call charging can be accomplished
bodyText ||| for the considered pricing policies in 3G mobile networks.
bodyText ||| For pricing policy (a), i.e., a fixed payment per kbit, call
bodyText ||| charging can easily be processed by the subscription manage-
bodyText ||| ment component of the operation subsystem (OSS) by means
bodyText ||| of the call charging mechanism using the home location reg-
bodyText ||| ister (HLR) [1]. Similarly, the hybrid pricing scheme can be
bodyText ||| realized except that the remaining amount of prepaid data vol-
bodyText ||| ume has to be stored in the HLR for charging the transferred
bodyText ||| data volume. Utilizing these existing charging mechanisms,
bodyText ||| no additionally signaling overhead arises for charging data
bodyText ||| services. The throughput-based pricing policy (pricing pol-
bodyText ||| icy (b)) just slightly changes the situation and can easily be
bodyText ||| implemented within the BSC using a local copy of the user’s
bodyText ||| HLR charging data fields. This local data minimizes signal-
bodyText ||| ing overhead of individual user charging. According to the
bodyText ||| transferred data volume and current throughput of the user’s
bodyText ||| bandwidth class, this local charging profile is continuously
bodyText ||| updated. Handovers with changing BSC of response induce
bodyText ||| the transfer of this local charging profile to the new BSC of
bodyText ||| response. Subsequently, these local data have to be updated
bodyText ||| in the HLR for individual user accounting after termination of
bodyText ||| the call. Note, that this transfer of local charging profiles can
bodyText ||| naturally be embedded in the OSS functionality.
sectionHeader ||| 5. Evaluation of the adaptive performance management
sectionHeader ||| strategies
subsectionHeader ||| 5.1. Traffic characterization for 3G networks
bodyText ||| For traffic modeling of RT applications we utilize the ap-
bodyText ||| proach proposed in [18], where variable bit rate video traffic
bodyText ||| is modeled in terms of time-discrete M/G/∞ input processes.
bodyText ||| This model is based on measured video streams and ef-
bodyText ||| ficiently captures the correlation structure of the consid-
bodyText ||| ered video traffic applying the time-discrete M/G/∞ input
bodyText ||| process. The generated traffic is transformed utilizing a hy-
bodyText ||| brid Gamma/Pareto numerical transformation in order to cap-
bodyText ||| ture the marginal distribution of the measured traffic stream.
bodyText ||| Subsequently, the synthetically generated traffic is broken
bodyText ||| down to IP packets of a maximum size of 1500 bytes, which
bodyText ||| are uniformly distributed within a given frame-duration of the
bodyText ||| MPEG video sequence comprising of 1/30 s. Note that this
bodyText ||| traffic model does not propose information for modeling RT
bodyText ||| session durations. Therefore, we assume session durations to
bodyText ||| be exponentially distributed (see section 5.2).
bodyText ||| Recent recommendations for modeling NRT traffic and an-
bodyText ||| alytical traffic models for 3G mobile networks are proposed
bodyText ||| in [15,16], respectively. The traffic model is based on real
bodyText ||| measurements conducted at an Internet service provider dial-
bodyText ||| in link, which comprises comparable characteristics of future
bodyText ||| mobile networks [17], i.e., different access speeds, influence
bodyText ||| of the user behavior due to different tariff limits, as well as
bodyText ||| asymmetric up- and downlink traffic. Based on these mea-
bodyText ||| surements a NRT traffic model is conducted, applying the idea
bodyText ||| of the single user traffic model, which describes traffic charac-
bodyText ||| teristics on session-level, connection-level, i.e., application-
bodyText ||| level, and packet-level, respectively. The key insight of this
bodyText ||| modeling approach lies in an appropriate scaling procedure of
note ||| 216	C. LINDEMANN ET AL.
tableCaption ||| Table 1
tableCaption ||| Characteristics for different UMTS session types.
tableCaption ||| Circuit switched	Streaming real time (RT)	Interactive non real time (NRT)
tableCaption ||| voice service	Audio	Video	high priority normal priority low priority
tableCaption ||| Portion of arriving requests	25%	12%	3%	6%	18%	36%
tableCaption ||| Session duration	120s	180s	determined by session volume distribution
tableCaption ||| Session dwell time	60s	120s	120s
bodyText ||| the measured trace data towards typical bandwidth classes of
bodyText ||| 3G mobile networks, i.e., 64 kbps, 144 kbps, and 384 kbps.
bodyText ||| In this context, a bandwidth class denotes the maximum band-
bodyText ||| width capability of future handheld devices. We refer to [15]
bodyText ||| for details of the NRT traffic model, especially for the para-
bodyText ||| meterization of the traffic characteristics.
subsectionHeader ||| 5.2. The simulation environment
bodyText ||| In order to evaluate the proposed approach for adaptive con-
bodyText ||| trol, we developed a simulation environment for a UMTS ac-
bodyText ||| cess network, i.e., a UMTS Terrestrial Radio Access Network
bodyText ||| (UTRAN [3]). The simulator considers a cell cluster com-
bodyText ||| prising of seven hexagonal cells with corresponding trans-
bodyText ||| ceiver stations (i.e., Node B elements), that are managed by
bodyText ||| a base station controller (i.e., a Radio Network Controller,
bodyText ||| RNC). We assume that a mobile user requests a new session
bodyText ||| in a cell according to a Poisson process. When a mobile user
bodyText ||| starts a new session, the session is classified as voice, RT,
bodyText ||| or NRT session, i.e., with the session the user utilizes voice,
bodyText ||| RT, or NRT services mutually exclusive. RT sessions con-
bodyText ||| sist of streaming downlink traffic corresponding to the UMTS
bodyText ||| streaming class specified by 3GPP [2] and NRT sessions con-
bodyText ||| sist of elastic traffic and correspond to the UMTS interactive
bodyText ||| class or background class, respectively. For the year 2010
bodyText ||| an amount of about 50% voice calls is anticipated [26]. We
bodyText ||| assume that one half of the voice calls are served over the fre-
bodyText ||| quency spectrum for traditional GSM services (i.e., 890–915
bodyText ||| and 935–960 MHz) and the second half is served over the new
bodyText ||| frequency spectrum allocated for UMTS. Nevertheless, the
bodyText ||| simulator considers only the new frequency spectrum. There-
bodyText ||| fore, we assume that 25% of the call requests are voice calls
bodyText ||| whereas RT and NRT sessions constitute 15% and 60% of the
bodyText ||| overall arriving requests (see table 1).
bodyText ||| Subsequently, we have to specify the QoS profile for RT
bodyText ||| and NRT sessions. For RT sessions the simulator considers
bodyText ||| two QoS profiles, i.e., a low bandwidth profile comprising of
bodyText ||| a guaranteed bit rate of 64 kbps corresponding to streaming
bodyText ||| audio and a high bandwidth profile comprising of a guaran-
bodyText ||| teed bit rate of 192 kbps corresponding to streaming video.
bodyText ||| According to the RT traffic model presented in section 5. 1, we
bodyText ||| assume that 80% of the RT sessions utilize the low bandwidth
bodyText ||| profile whereas the remaining 20% utilize the high bandwidth
bodyText ||| profile. Following the single user traffic model, NRT ses-
bodyText ||| sions are partitioned according to different bandwidth classes
bodyText ||| as follows: 60% for 64 kbps, 30% for 144 kbps, and 10%
bodyText ||| for 384 kbps, comprising of different priorities (see table 1),
bodyText ||| respectively.
bodyText ||| The amount of time that a mobile user with an ongoing
bodyText ||| session remains within the cell is called dwell time. If the ses-
bodyText ||| sion is still active after the dwell time, a handover toward an
bodyText ||| adjacent cell takes place. The call/session duration is defined
bodyText ||| as the amount of time that the call will be active, assuming it
bodyText ||| completes without being forced to terminate due to handover
bodyText ||| failure. We assume the duration of voice calls and RT ses-
bodyText ||| sions to be exponentially distributed. As proposed in [6], the
bodyText ||| dwell time is modeled by a lognormal distribution. All corre-
bodyText ||| sponding mean values are shown in table 1. A NRT session
bodyText ||| remains active until a specific data volume drawn according to
bodyText ||| a bandwidth-dependent lognormal distribution is transferred.
bodyText ||| To distinguish between NRT traffic classes, the UMTS simu-
bodyText ||| lator implements a WFQ scheduler with three packet priori-
bodyText ||| ties: 1 (high), 2 (normal), and 3 (low) with weights w1 = 4,
bodyText ||| w2 = 2, and w3 = 1. These priorities correspond to the
bodyText ||| traffic handling priority specified by 3GPP. To model the user
bodyText ||| behavior in the cell, the simulator considers the handover flow
bodyText ||| of active mobile users from adjacent cells. The iterative pro-
bodyText ||| cedure introduced in [4] is employed for balancing the incom-
bodyText ||| ing and outgoing handover rates. The iteration is based on the
bodyText ||| assumption that the incoming handover rate of a user class at
bodyText ||| step i + 1 is equal to the corresponding outgoing handover
bodyText ||| rate computed at step i .
subsubsectionHeader ||| 5.2.1. UMTS system model assumptions
bodyText ||| The simulator exactly mimics UMTS system behavior on the
bodyText ||| IP level. The focus is not on studying link level dynam-
bodyText ||| ics. Therefore, we assume a reliable link layer as provided
bodyText ||| by the automatic repeat request (ARQ) mechanism of the
bodyText ||| Radio Link Control (RLC) protocol. As shown in [22] for
bodyText ||| the General Packet Radio Service (GPRS), the ARQ mecha-
bodyText ||| nism is fast enough to recover from packet losses before reli-
bodyText ||| able protocols on higher layers (e.g., TCP) recognize these
bodyText ||| losses due to timer expiration. Thus, a reliable link level
bodyText ||| can be assumed when considering higher layer protocol ac-
bodyText ||| tions (see, e.g., [20]). To accurately model the UMTS radio
bodyText ||| access network, the simulator represents the functionality of
bodyText ||| one radio network controller and seven Node B transceiver
bodyText ||| stations, one for each of the considered cells. Since in the
bodyText ||| end-to-end path, the wireless link is typically the bottleneck,
bodyText ||| and given the anticipated traffic asymmetry, the simulator fo-
bodyText ||| cuses on resource contention in the downlink (i.e., the path
bodyText ||| RNC → Node B → MS) of the radio interface.
bodyText ||| The simulator considers the UTRAN access scheme based
bodyText ||| on Wideband-Code Division Multiple Access (W-CDMA) in
bodyText ||| Frequency Division Duplex mode (FDD) proposed by 3GPP
bodyText ||| [1]. In FDD downlink, a division of the radio frequencies into
note ||| IMPROVING QoS AND PROVIDER REVENUE IN 3G MOBILE NETWORKS	217
bodyText ||| four physical code channels with data rates of 1,920 kbps each
bodyText ||| up to 512 physical code channels with 15 kbps data rates each
bodyText ||| is possible. Therefore, the overall bandwidth that is available
bodyText ||| in one cell is 7,680 kbps. For the channel coding, we assume
bodyText ||| a convolution-coding scheme with coding factor 2. In the ex-
bodyText ||| periments without adaptive control the handover bandwidth
bodyText ||| portion bh is 5% and the NRT queue threshold η is set to 95%.
bodyText ||| The simulation environment was implemented using the sim-
bodyText ||| ulation library CSIM [7]. In a presimulation run the handover
bodyText ||| flow is balanced, for each cell at the boundary of the seven-
bodyText ||| cell cluster. All simulation results are derived with confidence
bodyText ||| level of 95% using the batch means method. The execution
bodyText ||| of a single simulation run requires about 40–60 min of CPU
bodyText ||| time (depending on the call arrival rate) on a dual processor
bodyText ||| Sun Sparc Enterprise with one GByte main memory.
subsubsectionHeader ||| 5.2.2. Implementation of the hybrid pricing policy in the
subsubsectionHeader ||| simulator
bodyText ||| According to the hybrid pricing policy as introduced in sec-
bodyText ||| tion 4.2.2, the user’s overall remaining amount of prepaid data
bodyText ||| volume d out of the user’s monthly data volume D is deter-
bodyText ||| mined at the beginning of a session. Moreover, the remain-
bodyText ||| ing amount of data volume of previous months r is deter-
bodyText ||| mined. For simulation study purposes, this is accomplished
bodyText ||| by choosing the random value d uniformly out of the interval
bodyText ||| [0, kD]. kD captures the monthly amount of data a user typ-
bodyText ||| ically transfers, i.e., a user typically transfers a multiple k of
bodyText ||| the data volume D that is available for a fixed monthly pay-
bodyText ||| ment. The random value r, is sampled according to a uniform
bodyText ||| distribution out of the interval [0, 0.1 D], where 0.1 D mea-
bodyText ||| sures the maximum amount of “unused” data volume of pre-
bodyText ||| vious months. If d exceeds D + r the user has no remaining
bodyText ||| prepaid data volume, including the data volume of the cur-
bodyText ||| rent and the previous months. Otherwise, there is a remaining
bodyText ||| amount of prepaid data volume D + r − d for the considered
bodyText ||| user and additional pricing arises only, if the transferred data
bodyText ||| volume of the user session exceeds D + r − d. Thus, during
bodyText ||| the user session the remaining data volume has to be updated
bodyText ||| according to the actually transferred data.
bodyText ||| In the simulation studies we utilize the proposed hybrid-
bodyText ||| pricing scheme with a prepaid monthly data volume of
bodyText ||| 150 MB. According to the different priority classes 1, 2,
bodyText ||| and 3, the volume-based pricing for transferred data exceed-
bodyText ||| ing the prepaid monthly data volume comprises of 20, 15,
bodyText ||| and 10 cost-units per MB, respectively. Considering the
bodyText ||| changing traffic loads according to the daytime, this approach
bodyText ||| can be refined, by the notion of different pricing for daily peri-
bodyText ||| ods of time. For the parameterization of the typically monthly
bodyText ||| transferred data volume, we assume k = 2. Note that the
bodyText ||| parameterization of the pricing scheme is chosen for demon-
bodyText ||| stration purposes only. Due to the high flexibility of the hy-
bodyText ||| brid pricing scheme, it can be easily extended towards multi-
bodyText ||| ple, concurrent pricing schemes comprising of, e.g., different
bodyText ||| monthly amounts of prepaid data volumes, different payments
bodyText ||| for the individual priority classes, or a pure usage-based pric-
bodyText ||| ing as well as pure flat-rate pricing.
figureCaption ||| Figure 2. Impact of adaptive performance management on non real-time
figureCaption ||| traffic.
subsectionHeader ||| 5.3. Performance results
bodyText ||| Using simulation experiments, we illustrate the benefit of the
bodyText ||| proposed unified approach for adaptive performance manage-
bodyText ||| ment of UMTS systems. In particular, we show the improve-
bodyText ||| ment of QoS measures and the increase in revenue earned by
bodyText ||| service providers. The presented curves plot the mean values
bodyText ||| of the confidence intervals for the considered QoS measures.
bodyText ||| In almost all figures, the overall call/session arrival rate of
bodyText ||| new mobile users is varied to study the cell under increasing
bodyText ||| load conditions. For ease of notation, results with and without
bodyText ||| adaptive performance management (APM) are abbreviated by
bodyText ||| APM on and APM off, respectively.
bodyText ||| In a first experiment, we investigate the effect of adap-
bodyText ||| tive control on the threshold for the buffer size of the NRT
bodyText ||| queue denoted by η. Figure 2 shows the NRT packet loss
bodyText ||| probability (a) and the average number of NRT users in the
bodyText ||| cell (b) for the UMTS system with and without adaptive con-
bodyText ||| trol. Furthermore, the figures distinguish between different
bodyText ||| desired loss levels β as introduced in section 3.2. We observe
bodyText ||| that the APM achieves a substantially decrease in packet loss
bodyText ||| probability. Moreover, the packet loss probability can be kept
bodyText ||| below a constant level for increasing arrival rates of mobile
bodyText ||| users. Note, that this level slightly differs from the desired
bodyText ||| level of the QoS measure. This is due to the fact that the up-
bodyText ||| date function only decreases the NRT threshold if the online
note ||| 218	C. LINDEMANN ET AL.
note ||| (a)
figureCaption ||| Figure 3. Number of packet losses for a half day window of a weekly usage
figureCaption ||| pattern.
bodyText ||| measured packet loss probability is greater than 0. There-
bodyText ||| fore, the packet loss probability is in steady state also slightly
bodyText ||| greater than0. Nevertheless, figure 2 shows that the resulting
bodyText ||| packet loss probability can be adjusted quite well. For very
bodyText ||| low arrival rates, the packet loss probability is increased com-
bodyText ||| pared to the case without adaptive control. This is because
bodyText ||| the packet loss probability is below the desired level and q is
bodyText ||| adjusted towards 100%.
bodyText ||| Figure 2(b) shows the average number of NRT users ad-
bodyText ||| mitted in the cell. For all curves, the number of NRT users in
bodyText ||| the cell first increases up to about 70 users for an arrival rate of
bodyText ||| 1.0 arrivals per second. For higher arrival rates the admission
bodyText ||| controller decides to reject requests depending on the choice
bodyText ||| of the NRT threshold. In the case without APM the num-
bodyText ||| ber of NRT users approaches 100 whereas in the cases with
bodyText ||| adaptive control less users are admitted in the cell because
bodyText ||| the threshold parameter q is decreased (e.g., about 80 users
bodyText ||| for 0 = 0.001). For high arrival rates a slightly decrease
bodyText ||| of the average number of NRT users can be observed. This is
bodyText ||| due to the fact that with increasing arrival rate the competition
bodyText ||| between voice, RT and NRT traffic decreases the bandwidth
bodyText ||| capacity available for NRT traffic. Therefore, less NRT users
bodyText ||| are admitted.
bodyText ||| In the experiment presented in figure 3, we study the ab-
bodyText ||| solute number of packet losses observed in one hour for a
bodyText ||| transient scenario, i.e., the arrival rate of new calls is chang-
bodyText ||| ing every hour according to a half day window of a weekly
bodyText ||| usage pattern [15]. The purpose of this experiment is to show
bodyText ||| that the adaptive performance management is fast enough to
bodyText ||| react on changing traffic conditions, i.e., to effectively adjust
bodyText ||| the NRT threshold in order to reduce packet losses. The bars
bodyText ||| shown in figure 3 correspond to the number of packet losses
bodyText ||| for experiments with and without adaptive control. Further-
bodyText ||| more, the figure distinguishes between a desired loss level 0
bodyText ||| of 0.01 and 0.001, respectively. The new call arrival rates con-
bodyText ||| sidered in one hour are depicted above the bars. We conclude
bodyText ||| from figure 3 that for a real-life pattern of changing arrival
bodyText ||| rates the packet losses can be effectively controlled by the
bodyText ||| APM. This justifies the choice of the gradient m = −0.02 in
bodyText ||| the update function for the NRT threshold.
bodyText ||| (b)
figureCaption ||| Figure 4. Impact of adaptive performance management on handover traffic.
bodyText ||| Next, we study the effect of the APM on the handover
bodyText ||| traffic. Figure 4 shows the handover failure probability (a)
bodyText ||| and the new call blocking probability (b) for the UMTS sys-
bodyText ||| tem with and without APM. Similar to figure 2, we distin-
bodyText ||| guish between different desired levels 0 for the handover fail-
bodyText ||| ure probability. The desired level for new call blocking is
bodyText ||| fixed to 0.1. Note, that for controlling the handover band-
bodyText ||| width the desired level 0 can be used only to adjust the de-
bodyText ||| gree of prioritization of handover failure over new call block-
bodyText ||| ing. Distinct from the packet loss probability, it cannot be
bodyText ||| expected to keep the handover failure probability at a con-
bodyText ||| stant level for increasing traffic load. That is for two rea-
bodyText ||| sons: (1) the handover bandwidth is adjusted according to
bodyText ||| two QoS measures that have a contrary influence and (2) the
bodyText ||| increase of the handover bandwidth must be limited by a
bodyText ||| certain portion of the overall available bandwidth (see sec-
bodyText ||| tion 3.2). If this limit is reached handover failures occur
bodyText ||| more frequently for further increasing call arrival rate. These
bodyText ||| two effects can be observed in the curves of figure 4. Nev-
bodyText ||| ertheless, the handover failure probability is improved more
bodyText ||| than one order of magnitude for call arrival rates between
bodyText ||| 0.75 and 1.25 call requests per second and a desired loss
bodyText ||| level 0 = 0.001. When studying the blocking probabil-
bodyText ||| ity of new voice calls and RT sessions (see figure 4(b)),
bodyText ||| we surly observe a higher blocking probability of new calls
bodyText ||| in the case with adaptive control and high arrival rate. In
note ||| IMPROVING QoS AND PROVIDER REVENUE IN 3G MOBILE NETWORKS	219
figureCaption ||| Figure 5. Improving QoS for high priority non real-time users.
figureCaption ||| Figure 6. Effect of adjusting WFQ weights on bandwidth utilization of NRT
figureCaption ||| traffic.
bodyText ||| fact, almost all call requests are blocked if system load is
bodyText ||| high.
bodyText ||| In a next experiment, we study the impact of NRT users on
bodyText ||| QoS by the adaptive control of the queueing weights as intro-
bodyText ||| duced in section 4.2. Figure 5 plots the average throughput
bodyText ||| per user for each priority class of NRT traffic. As shown in
bodyText ||| table 1, we assume 10% NRT users with high priority, 30%
bodyText ||| with normal priority, and 60% with low priority. Recall, that
bodyText ||| higher priority service is more expensive and, hence, more
bodyText ||| users choose low priority service. If the overall load in the
bodyText ||| cell is very low (i.e., less than 0.3 call arrivals per second)
bodyText ||| each NRT user receives the maximal throughput independent
bodyText ||| of the priority class. However, when the cell load is further
bodyText ||| increased (arrival rates of more than 0.5 arrivals per second),
bodyText ||| throughput for users of all priority classes decreases. The in-
bodyText ||| tention of adaptively controlling the queueing weights is to
bodyText ||| reduce heavy throughput degradation of high priority users
bodyText ||| in this case. The performance increase of high priority users
bodyText ||| and the decrease of low priority users are shown in figure 5.
bodyText ||| Figure 6 plots the bandwidth portion utilized for each prior-
bodyText ||| ity class of NRT traffic. For low arrival rate (i.e., less than
bodyText ||| 0.5 call arrivals per second) NRT users with low priority uti-
bodyText ||| lize the greatest portion of the NRT bandwidth because most
bodyText ||| NRT users have priority low. When the cell load is increased
bodyText ||| (arrival rates of more than 0.5 arrivals per second), the band-
figureCaption ||| Figure 7. Revenue improvement for usage-based pricing policy.
bodyText ||| width will be utilized more and more by high priority users.
bodyText ||| The adaptive control of the WFQ weights decides to intensify
bodyText ||| this effect because users belonging to priority high suffer from
bodyText ||| the high population of low priority users. Figures 5 and 6 are
bodyText ||| derived from simulation runs with ct = 1/2 (see section 4.2).
bodyText ||| In the following experiments, we study the impact of con-
bodyText ||| trolling the queueing weights on the revenue function (see
bodyText ||| equation (8)) for the three proposed pricing policies, i.e.,
bodyText ||| usage-based, usage-/throughput-based, and the hybrid pricing
bodyText ||| policy. From the revenue function the average (steady state)
bodyText ||| provider revenue 0 in the considered cell can be derived. Re-
bodyText ||| call that the available bandwidth for NRT traffic is variable for
bodyText ||| different call arrival rates. Therefore, we consider the revenue
bodyText ||| earned by the provider in one hour per available bandwidth
bodyText ||| unit, i.e., per available kbit, for NRT traffic. Figure 7 shows
bodyText ||| the provider revenue for the usage-based pricing policy (i.e.,
bodyText ||| y = 0) and different values of the exponent ct. As discussed
bodyText ||| in section 4.2, the best revenue improvement will be achieved
bodyText ||| with priority queueing. From the curves we conclude that the
bodyText ||| update strategy increases the revenue in one cell successfully
bodyText ||| for the considered traffic assumptions. Recall that the revenue
bodyText ||| improvement stems from a shift in bandwidth utilization to-
bodyText ||| wards higher priority users (see figure 6) if the population of
bodyText ||| high priority users is low compared to users of lower priority.
bodyText ||| Figure 7(b) shows the revenue improvement for different
bodyText ||| user populations. In the experiment the percentage of high
note ||| 220	C. LINDEMANN ET AL.
figureCaption ||| Figure 8. Revenue improvement for usage-/throughput-based pricing policy.
figureCaption ||| Figure 9. Revenue improvement for hybrid pricing policy.
bodyText ||| priority users among the arriving user requests is varied. The
bodyText ||| remaining users are assumed to be low priority users. Normal
bodyText ||| priority users are not considered in this experiment (i.e., 0%
bodyText ||| normal priority users). This figure shows how the adaptive
bodyText ||| control of the queueing weights works. As expected, for a low
bodyText ||| percentage of high priority users the corresponding weight
bodyText ||| is increased. Therefore, QoS for high priority users and the
bodyText ||| provider revenue is also increased. For more than 50% high
bodyText ||| priority users the revenue is the same as in the case without
bodyText ||| adaptive control. No further revenue improvement is allowed
bodyText ||| because degradation of QoS for low priority users would be
bodyText ||| unacceptable. Considering a weak relation among the weights
bodyText ||| as introduced in section 4.2 would decrease the revenue com-
