title ||| Heterogeneous Transfer Learning for Image Clustering via the Social Web
bodyText ||| duces the performance gap.
footnote ||| 12 Since action selection is among objects, there is no natu-
footnote ||| ral majority baseline for the puzzle.
page ||| 88
table ||| 			Windows					Puzzle
table ||| 	Action		Sent.		Doc.	Word	Action		Doc.		Word
table ||| Random baseline	0.128		0.101		0.000	—–		0.081		0.111	—–
table ||| Majority baseline	0.287		0.197		0.100	—–		—–		—–	—–
table ||| Environment reward	* 0.647	*	0.590	*	0.375	0.819	*	0.428	*	0.453	0.686
table ||| Partial supervision	*0.723	*	0.702		0.475	0.989		0.575	*	0.523	0.850
table ||| Full supervision	*0.756		0.714		0.525	0.991		0.632		0.630	0.869
tableCaption ||| Table 2: Performance on the test set with different reward signals and baselines. Our evaluation measures
tableCaption ||| the proportion of correct actions, sentences, and documents. We also report the percentage of correct
tableCaption ||| word alignments for the successfully completed documents. Note the puzzle domain has only single-
tableCaption ||| sentence documents, so its sentence and document scores are identical. The partial supervision line
tableCaption ||| refers to 20 out of 70 annotated training documents for Windows, and 10 out of 40 for the puzzle. Each
tableCaption ||| result marked with * or o is a statistically significant improvement over the result immediately above it;
tableCaption ||| * indicates p < 0.01 and o indicates p < 0.05.
figureCaption ||| Figure 5: Comparison of two training scenarios where training is done using a subset of annotated
figureCaption ||| documents, with and without environment reward for the remaining unannotated documents.
bodyText ||| Figure 5 shows the overall tradeoff between an-
bodyText ||| notation effort and system performance for the two
bodyText ||| domains. The ability to make this tradeoff is one
bodyText ||| of the advantages of our approach. The figure also
bodyText ||| shows that augmenting annotated documents with
bodyText ||| additional environment-reward documents invari-
bodyText ||| ably improves performance.
bodyText ||| The word alignment results from Table 2 in-
bodyText ||| dicate that the learners are mapping the correct
bodyText ||| words to actions for documents that are success-
bodyText ||| fully completed. For example, the models that per-
bodyText ||| form best in the Windows domain achieve nearly
bodyText ||| perfect word alignment scores.
bodyText ||| To further assess the contribution of the instruc-
bodyText ||| tion text, we train a variant of our model without
bodyText ||| access to text features. This is possible in the game
bodyText ||| domain, where all of the puzzles share a single
bodyText ||| goal state that is independent of the instructions.
bodyText ||| This variant solves 34% of the puzzles, suggest-
bodyText ||| ing that access to the instructions significantly im-
bodyText ||| proves performance.
sectionHeader ||| 9 Conclusions
bodyText ||| In this paper, we presented a reinforcement learn-
bodyText ||| ing approach for inducing a mapping between in-
bodyText ||| structions and actions. This approach is able to use
bodyText ||| environment-based rewards, such as task comple-
bodyText ||| tion, to learn to analyze text. We showed that hav-
bodyText ||| ing access to a suitable reward function can signif-
bodyText ||| icantly reduce the need for annotations.
sectionHeader ||| Acknowledgments
bodyText ||| The authors acknowledge the support of the NSF
bodyText ||| (CAREER grant IIS-0448168, grant IIS-0835445,
bodyText ||| grant IIS-0835652, and a Graduate Research Fel-
bodyText ||| lowship) and the ONR. Thanks to Michael Collins,
bodyText ||| Amir Globerson, Tommi Jaakkola, Leslie Pack
bodyText ||| Kaelbling, Dina Katabi, Martin Rinard, and mem-
bodyText ||| bers of the MIT NLP group for their suggestions
bodyText ||| and comments. Any opinions, findings, conclu-
bodyText ||| sions, or recommendations expressed in this paper
bodyText ||| are those of the authors, and do not necessarily re-
bodyText ||| flect the views of the funding organizations.
page ||| 89
bodyText ||| Jeffrey Mark Siskind. 2001. Grounding the lexical se-
bodyText ||| mantics of verbs in visual perception using force dy-
bodyText ||| namics and event logic. J. Artif. Intell. Res. (JAIR),
bodyText ||| 15:31–90.
sectionHeader ||| References
reference ||| Kobus Barnard and David A. Forsyth. 2001. Learning
reference ||| the semantics of words and pictures. In Proceedings
reference ||| of ICCV.
reference ||| David L. Chen and Raymond J. Mooney. 2008. Learn-
reference ||| ing to sportscast: a test of grounded language acqui-
reference ||| sition. In Proceedings of ICML.
reference ||| Stephen Della Pietra, Vincent J. Della Pietra, and
reference ||| John D. Lafferty. 1997. Inducing features of ran-
reference ||| dom fields. IEEE Trans. Pattern Anal. Mach. Intell.,
reference ||| 19(4):380–393.
reference ||| Barbara Di Eugenio. 1992. Understanding natural lan-
reference ||| guage instructions: the case of purpose clauses. In
reference ||| Proceedings of ACL.
reference ||| Michael Fleischman and Deb Roy. 2005. Intentional
reference ||| context in situated language learning. In Proceed-
reference ||| ings of CoNLL.
reference ||| John Lafferty, Andrew McCallum, and Fernando
reference ||| Pereira. 2001. Conditional random fields: Prob-
reference ||| abilistic models for segmenting and labeling se-
reference ||| quence data. In Proceedings of ICML.
reference ||| Diane J. Litman, Michael S. Kearns, Satinder Singh,
reference ||| and Marilyn A. Walker. 2000. Automatic optimiza-
reference ||| tion of dialogue management. In Proceedings of
reference ||| COLING.
reference ||| Raymond J. Mooney. 2008a. Learning language
reference ||| from its perceptual context. In Proceedings of
reference ||| ECML/PKDD.
reference ||| Raymond J. Mooney. 2008b. Learning to connect lan-
reference ||| guage and perception. In Proceedings ofAAAI.
reference ||| Andrew Y. Ng, H. Jin Kim, Michael I. Jordan, and
reference ||| Shankar Sastry. 2003. Autonomous helicopter flight
reference ||| via reinforcement learning. In Advances in NIPS.
reference ||| James Timothy Oates. 2001. Grounding knowledge
reference ||| in sensors: Unsupervised learning for language and
reference ||| planning. Ph.D. thesis, University of Massachusetts
reference ||| Amherst.
reference ||| Deb K. Roy and Alex P. Pentland. 2002. Learn-
reference ||| ing words from sights and sounds: a computational
reference ||| model. Cognitive Science 26, pages 113–146.
reference ||| Nicholas Roy, Joelle Pineau, and Sebastian Thrun.
reference ||| 2000. Spoken dialogue management using proba-
reference ||| bilistic reasoning. In Proceedings of ACL.
reference ||| Konrad Scheffler and Steve Young. 2002. Automatic
reference ||| learning of dialogue strategy using dialogue simula-
reference ||| tion and reinforcement learning. In Proceedings of
reference ||| HLT.
reference ||| Satinder P. Singh, Michael J. Kearns, Diane J. Litman,
reference ||| and Marilyn A. Walker. 1999. Reinforcement learn-
reference ||| ing for spoken dialogue systems. In Advances in
reference ||| NIPS.
reference ||| Richard S. Sutton and Andrew G. Barto. 1998. Re-
reference ||| inforcement Learning: An Introduction. The MIT
reference ||| Press.
reference ||| Richard S. Sutton, David McAllester, Satinder Singh,
reference ||| and Yishay Mansour. 2000. Policy gradient meth-
reference ||| ods for reinforcement learning with function approx-
reference ||| imation. In Advances in NIPS.
reference ||| Terry Winograd. 1972. Understanding Natural Lan-
reference ||| guage. Academic Press.
reference ||| Chen Yu and Dana H. Ballard. 2004. On the integra-
reference ||| tion of grounding language and learning objects. In
reference ||| Proceedings ofAAAI.
page ||| 90

title ||| 2-Source Dispersers for Sub-Polynomial Entropy and
title ||| Ramsey Graphs Beating the Frankl-Wilson Construction
none ||| ∗
author ||| Boaz Barak
affiliation ||| Department of Computer Science
affiliation ||| Princeton University
email ||| boaz@cs.princeton.edu
author ||| Ronen Shaltiel ‡
affiliation ||| University of Haifa
address ||| Mount Carmel
address ||| Haifa, Israel
email ||| ronen@cs.haifa.ac.il
sectionHeader ||| ABSTRACT
bodyText ||| The main result of this paper is an explicit disperser for two
bodyText ||| independent sources on n bits, each of entropy k = no(1).
bodyText ||| Put differently, setting N = 2n and K = 2k, we construct
bodyText ||| explicit N × N Boolean matrices for which no K × K sub-
bodyText ||| matrix is monochromatic. Viewed as adjacency matrices of
bodyText ||| bipartite graphs, this gives an explicit construction of K-
bodyText ||| Ramsey bipartite graphs of size N.
bodyText ||| This greatly improves the previous bound of k = o(n) of
bodyText ||| Barak, Kindler, Shaltiel, Sudakov and Wigderson [4]. It also
bodyText ||| significantly improves the 25-year record of k = ~O(√n) on
bodyText ||| the special case of Ramsey graphs, due to Frankl and Wilson
bodyText ||| [9].
bodyText ||| The construction uses (besides ”classical” extractor ideas)
bodyText ||| almost all of the machinery developed in the last couple of
bodyText ||| years for extraction from independent sources, including:
bodyText ||| •	Bourgain’s extractor for 2 independent sources of some
bodyText ||| entropy rate < 1/2 [5]
bodyText ||| •	Raz’s extractor for 2 independent sources, one of which
bodyText ||| has any entropy rate > 1/2 [18]
footnote ||| ∗Supported by a Princeton University startup grant.
footnote ||| †Most of this work was done while the author was visiting
footnote ||| Princeton University and the Institute for Advanced Study.
footnote ||| Supported in part by an MCD fellowship from UT Austin
footnote ||| and NSF Grant CCR-0310960.
footnote ||| ‡This research was supported by the United States-Israel
footnote ||| Binational Science Foundation (BSF) grant 2004329.
footnote ||| §This research was supported by NSF Grant CCR-0324906.
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, to
copyright ||| republish, to post on servers or to redistribute to lists, requires prior specific
copyright ||| permission and/or a fee.
note ||| STOC’06, May 21–23, 2006, Seattle, Washington, USA.
copyright ||| Copyright 2006 ACM 1-59593-134-1/06/0005 ...$5.00.
author ||| Anup Rao †
affiliation ||| Department of Computer Science
affiliation ||| University of Texas at Austin
email ||| arao@cs.utexas.edu
author ||| Avi Wigderson §
affiliation ||| Institute for Advanced Study
address ||| Princeton
address ||| New Jersey
email ||| avi@math.ias.edu
bodyText ||| •	Rao’s extractor for 2 independent block-sources of en-
bodyText ||| tropy no(1) [17]
bodyText ||| •	The “Challenge-Response” mechanism for detecting
bodyText ||| “entropy concentration” of [4].
bodyText ||| The main novelty comes in a bootstrap procedure which
bodyText ||| allows the Challenge-Response mechanism of [4] to be used
bodyText ||| with sources of less and less entropy, using recursive calls
bodyText ||| to itself. Subtleties arise since the success of this mecha-
bodyText ||| nism depends on restricting the given sources, and so re-
bodyText ||| cursion constantly changes the original sources. These are
bodyText ||| resolved via a new construct, in between a disperser and
bodyText ||| an extractor, which behaves like an extractor on sufficiently
bodyText ||| large subsources of the given ones.
note ||| This version is only an extended abstract, please see the
note ||| full version, available on the authors’ homepages, for more
note ||| details.
sectionHeader ||| Categories and Subject Descriptors
category ||| G.2.2 [Mathematics of Computing]: Discrete Mathe-
category ||| matics—Graph algorithms
sectionHeader ||| General Terms
keyword ||| Theory, Algorithms
sectionHeader ||| Keywords
keyword ||| Dispersers, Ramsey Graphs, Independent Sources, Extrac-
keyword ||| tors
sectionHeader ||| 1. INTRODUCTION
bodyText ||| This paper deals with randomness extraction from weak
bodyText ||| random sources. Here a weak random source is a distribu-
bodyText ||| tion which contains some entropy. The extraction task is to
bodyText ||| design efficient algorithms (called extractors) to convert this
bodyText ||| entropy into useful form, namely a sequence of independent
bodyText ||| unbiased bits. Beyond the obvious motivations (potential
bodyText ||| use of physical sources in pseudorandom generators and in
bodyText ||| derandomization), extractors have found applications in a
page ||| 671
bodyText ||| variety of areas in theoretical computer science where ran-
bodyText ||| domness does not seem an issue, such as in efficient con-
bodyText ||| structions of communication networks [24, 7], error correct-
bodyText ||| ing codes [22, 12], data structures [14] and more.
bodyText ||| Most work in this subject over the last 20 years has fo-
bodyText ||| cused on what is now called seeded extraction, in which the
bodyText ||| extractor is given as input not only the (sample from the)
bodyText ||| defective random source, but also a few truly random bits
bodyText ||| (called the seed). A comprehensive survey of much of this
bodyText ||| body of work is [21].
bodyText ||| Another direction, which has been mostly dormant till
bodyText ||| about two years ago, is (seedless, deterministic) extraction
bodyText ||| from a few independent weak sources. This kind of extrac-
bodyText ||| tion is important in several applications where it is unrealis-
bodyText ||| tic to have a short random seed or deterministically enumer-
bodyText ||| ate over its possible values. However, it is easily shown to be
bodyText ||| impossible when only one weak source is available. When at
bodyText ||| least 2 independent sources are available extraction becomes
bodyText ||| possible in principle. The 2-source case is the one we will
bodyText ||| focus on in this work.
bodyText ||| The rest of the introduction is structured as follows. We’ll
bodyText ||| start by describing our main result in the context of Ramsey
bodyText ||| graphs. We then move to the context of extractors and dis-
bodyText ||| perser, describing the relevant background and stating our
bodyText ||| result in this language. Then we give an overview of the
bodyText ||| construction of our dispersers, describing the main building
bodyText ||| blocks we construct along the way. As the construction is
bodyText ||| quite complex and its analysis quite subtle, in this proceed-
bodyText ||| ings version we try to abstract away many of the technical
bodyText ||| difficulties so that the main ideas, structure and tools used
bodyText ||| are highlighted. For that reason we also often state defini-
bodyText ||| tions and theorems somewhat informally.
subsectionHeader ||| 1.1 Ramsey Graphs
construct ||| DefInItIOn 1.1. A graph on N vertices is called a K-
construct ||| Ramsey Graph if it contains no clique or independent set of
construct ||| size K.
bodyText ||| In 1947 Erd}os published his paper inaugurating the Prob-
bodyText ||| abilistic Method with a few examples, including a proof that
bodyText ||| most graphs on N = 2n vertices are 2n-Ramsey. The quest
bodyText ||| for constructing such graphs explicitly has existed ever since
bodyText ||| and lead to some beautiful mathematics.
bodyText ||| The best record to date was obtained in 1981 by Frankl
bodyText ||| and Wilson [9], who used intersection theorems for set sys-
bodyText ||| tems to construct N-vertex graphs which are 21�n log n-Ramsey.
bodyText ||| This bound was matched by Alon [1] using the Polynomial
bodyText ||| Method, by Grolmusz [11] using low rank matrices over rings,
bodyText ||| and also by Barak [2] boosting Abbot’s method with almost
bodyText ||| k-wise independent random variables (a construction that
bodyText ||| was independently discovered by others as well). Remark-
bodyText ||| ably all of these different approaches got stuck at essentially
bodyText ||| the same bound. In recent work, Gopalan [10] showed that
bodyText ||| other than the last construction, all of these can be viewed
bodyText ||| as coming from low-degree symmetric representations of the
bodyText ||| OR function. He also shows that any such symmetric rep-
bodyText ||| resentation cannot be used to give a better Ramsey graph,
bodyText ||| which gives a good indication of why these constructions
bodyText ||| had similar performance. Indeed, as we will discuss in a
bodyText ||| later section, the √n entropy bound initially looked like a
bodyText ||| natural obstacle even for our techniques, though eventually
bodyText ||| we were able to surpass it.
bodyText ||| The analogous question for bipartite graphs seemed much
bodyText ||| harder.
construct ||| DefInItIOn 1.2. A bipartite graph on two sets of N ver-
construct ||| tices is a K-Ramsey Bipartite Graph if it has no K × K
construct ||| complete or empty bipartite subgraph.
bodyText ||| While Erd}os’ result on the abundance of 2n-Ramsey graphs
bodyText ||| holds as is for bipartite graphs, until recently the best ex-
bodyText ||| plicit construction of bipartite Ramsey graphs was 2n/2-
bodyText ||| Ramsey, using the Hadamard matrix. This was improved
bodyText ||| last year, first to o(2n/2) by Pudlak and R}odl [16] and then
bodyText ||| to 2o(n) by Barak, Kindler, Shaltiel, Sudakov and Wigderson
bodyText ||| [4] .
bodyText ||| It is convenient to view such graphs as functions f :
bodyText ||| ({0, 1}n)2 → {0, 1}. This then gives exactly the definition
bodyText ||| of a disperser.
construct ||| DefInItIOn 1.3. A function f : ({0, 1}n)2 → {0, 1} is
construct ||| called a 2-source disperser for entropy k if for any two sets
construct ||| X, Y ⊂ {0, 1}n with | X | = |Y| = 2k, we have that the image
construct ||| f (X, Y) is {0, 1}.
bodyText ||| This allows for a more formal definition of explicitness: we
bodyText ||| simply demand that the function f is computable in polyno-
bodyText ||| mial time. Most of the constructions mentioned above are
bodyText ||| explicit in this sense.'
bodyText ||| Our main result (stated informally) significantly improves
bodyText ||| the bounds in both the bipartite and non-bipartite settings:
construct ||| TheOrem 1.4. For every N we construct polynomial time
construct ||| computable bipartite graphs which are 2n'(1)-Ramsey. A stan-
construct ||| dard transformation of these graphs also yields polynomial
construct ||| time computable ordinary Ramsey Graphs with the same pa-
construct ||| rameters.
subsectionHeader ||| 1.2 Extractors and Dispersers from indepen-
subsectionHeader ||| dent sources
bodyText ||| Now we give a brief review of past relevant work (with the
bodyText ||| goal of putting this paper in proper context) and describe
bodyText ||| some of the tools from these past works that we will use.
bodyText ||| We start with the basic definitions of k-sources by Nisan
bodyText ||| and Zuckerman [15] and of extractors and dispersers for in-
bodyText ||| dependent sources by Santha and Vazirani [20].
construct ||| DefInItIOn 1.5 ([15], See alSO [8]). The min-entropy
construct ||| of a distribution X is the maximum k such that for every
construct ||| element x in its support, Pr[X = x] ≤ 2-k. If X is a dis-
construct ||| tribution on strings with min-entropy at least k, we will call
construct ||| X a k-source 2.
bodyText ||| To simplify the presentation, in this version of the paper
bodyText ||| we will assume that we are working with entropy as opposed
bodyText ||| to min-entropy.
construct ||| DefInItIOn 1.6 ([20]). A function f : ({0,1}n)c →
construct ||| {0, 1}m is a c-source (k, ǫ) extractor if for every family of c
construct ||| independent k-sources X', • • • , Xc, the output f (X', • • • , Xc)
footnote ||| 'The Abbot’s product based Ramsey-graph construction of
footnote ||| [3] and the bipartite Ramsey construction of [16] only satisfy
footnote ||| a weaker notion of explicitness.
footnote ||| 2It is no loss of generality to imagine that X is uniformly
footnote ||| distributed over some (unknown) set of size 2k.
page ||| 672
bodyText ||| is a ǫ-close 3 to uniformly distributed on m bits. f is a dis-
bodyText ||| perser for the same parameters if the output is simply re-
bodyText ||| quired to have a support of relative size (1 − ǫ).
bodyText ||| To simplify the presentation, in this version of the paper,
bodyText ||| we will assume that ǫ = 0 for all of our constructions.
bodyText ||| In this language, Erd}os’ theorem says that most functions
bodyText ||| f : ({0, 1}n)2 → {0, 1} are dispersers for entropy 1 + logn
bodyText ||| (treating f as the characteristic function for the set of edges
bodyText ||| of the graph). The proof easily extends to show that indeed
bodyText ||| most such functions are in fact extractors. This naturally
bodyText ||| challenges us to find explicit functions f that are 2-source
bodyText ||| extractors.
bodyText ||| Until one year ago, essentially the only known explicit
bodyText ||| construction was the Hadamard extractor Had defined by
bodyText ||| Had(x,y)
bodyText ||| k > n/2 as observed by Chor and Goldreich [8] and can
bodyText ||| be extended to give m = Q(n) output bits as observed by
bodyText ||| Vazirani [23]. Over 20 years later, a recent breakthrough
bodyText ||| of Bourgain [5] broke this “1/2 barrier” and can handle 2
bodyText ||| sources of entropy .4999n, again with linear output length
bodyText ||| m = 0(n). This seemingly minor improvement will be cru-
bodyText ||| cial for our work!
construct ||| TheOrem 1.7 ([5] ). There is a polynomial time com-
construct ||| putable 2-source extractor f : ({0, 1}n)2 → {0, 1}m for en-
construct ||| tropy .4999n and m = 0(n).
bodyText ||| No better bounds are known for 2-source extractors. Now
bodyText ||| we turn our attention to 2-source dispersers. It turned out
bodyText ||| that progress for building good 2-source dispersers came via
bodyText ||| progress on extractors for more than 2 sources, all happening
bodyText ||| in fast pace in the last 2 years. The seminal paper of Bour-
bodyText ||| gain, Katz and Tao [6] proved the so-called ”sum-product
bodyText ||| theorem” in prime fields, a result in arithmetic combina-
bodyText ||| torics. This result has already found applications in diverse
bodyText ||| areas of mathematics, including analysis, number theory,
bodyText ||| group theory and ... extractor theory. Their work implic-
bodyText ||| itly contained dispersers for c = O(log(n/k)) independent
bodyText ||| sources of entropy k (with output m = Q(k)). The use of
bodyText ||| the ”sum-product” theorem was then extended by Barak et
bodyText ||| al. [3] to give extractors with similar parameters. Note that
bodyText ||| for linear entropy k = 0(n), the number of sources needed
bodyText ||| for extraction c is a constant!
bodyText ||| Relaxing the independence assumptions via the idea of
bodyText ||| repeated condensing, allowed the reduction of the number
bodyText ||| of independent sources to c = 3, for extraction from sources
bodyText ||| of any linear entropy k = 0(n), by Barak et al. [4] and
bodyText ||| independently by Raz [18].
bodyText ||| For 2 sources Barak et al. [4] were able to construct dis-
bodyText ||| persers for sources of entropy o(n). To do this, they first
bodyText ||| showed that if the sources have extra structure (block-source
bodyText ||| structure, defined below), even extraction is possible from 2
bodyText ||| sources. The notion of block-sources, capturing ”semi inde-
bodyText ||| pendence” of parts of the source, was introduced by Chor
bodyText ||| and Goldreich [8]. It has been fundamental in the develop-
bodyText ||| ment of seeded extractors and as we shall see, is essential
bodyText ||| for us as well.
construct ||| DefInItIOn 1.8 ([8] ). A distribution X = X1, ... , Xc
construct ||| is a c-block-source of (block) entropy k if every block Xi
construct ||| has entropy k even conditioned on fixing the previous blocks
construct ||| X1, • • • , Xi_1 to arbitrary constants.
footnote ||| 3The error is usually measured in terms of ℓ1 distance or
footnote ||| variation distance.
bodyText ||| This definition allowed Barak et al. [4] to show that their
bodyText ||| extractor for 4 independent sources, actually performs as
bodyText ||| well with only 2 independent sources, as long as both are
bodyText ||| 2-block-sources.
construct ||| TheOrem 1.9 ([4] ). There exists a polynomial time com-
construct ||| putable extractor f : ({0, 1}n)2 → {0, 1} for 2 independent
construct ||| 2-block-sources with entropy o(n).
bodyText ||| There is no reason to assume that the given sources are
bodyText ||| block-sources, but it is natural to try and reduce to this
bodyText ||| case. This approach has been one of the most successful in
bodyText ||| the extractor literature. Namely try to partition a source
bodyText ||| X into two blocks X = X1, X2 such that X1, X2 form a
bodyText ||| 2-block-source. Barak et al. introduced a new technique to
bodyText ||| do this reduction called the Challenge-Response mechanism,
bodyText ||| which is crucial for this paper. This method gives a way to
bodyText ||| “find” how entropy is distributed in a source X, guiding the
bodyText ||| choice of such a partition. This method succeeds only with
bodyText ||| small probability, dashing the hope for an extractor, but still
bodyText ||| yielding a disperser.
construct ||| TheOrem 1.10 ([4] ). There exists a polynomial time
construct ||| computable 2-source disperser f : ({0, 1}n)2 → {0, 1} for
construct ||| entropy o(n).
bodyText ||| Reducing the entropy requirement of the above 2-source
bodyText ||| disperser, which is what we achieve in this paper, again
bodyText ||| needed progress on achieving a similar reduction for extrac-
bodyText ||| tors with more independent sources. A few months ago Rao
bodyText ||| [?] was able to significantly improve all the above results
bodyText ||| for c ≥ 3 sources. Interestingly, his techniques do not use
bodyText ||| arithmetic combinatorics, which seemed essential to all the
bodyText ||| papers above. He improves the results of Barak et al. [3] to
bodyText ||| give c = O((logn)/(logk))-source extractors for entropy k.
bodyText ||| Note that now the number c of sources needed for extraction
bodyText ||| is constant, even when the entropy is as low as nδ for any
bodyText ||| constant δ!
bodyText ||| Again, when the input sources are block-sources with suf-
bodyText ||| ficiently many blocks, Rao proves that 2 independent sources
bodyText ||| suffice (though this result does rely on arithmetic combina-
bodyText ||| torics, in particular, on Bourgain’s extractor).
construct ||| TheOrem 1.11 ([?] ). There is a polynomial time com-
construct ||| putable extractor f : ({0, 1}n)2 → {0, 1}m for 2 independent
construct ||| c-block-sources with block entropy k and m = 0(k), as long
construct ||| as c = O((log n)/(log k)).
bodyText ||| In this paper (see Theorem 2.7 below) we improve this
bodyText ||| result to hold even when only one of the 2 sources is a c-
bodyText ||| block-source. The other source can be an arbitrary source
bodyText ||| with sufficient entropy. This is a central building block in
bodyText ||| our construction. This extractor, like Rao’s above, critically
bodyText ||| uses Bourgain’s extractor mentioned above. In addition it
bodyText ||| uses a theorem of Raz [18] allowing seeded extractors to have
bodyText ||| ”weak” seeds, namely instead of being completely random
bodyText ||| they work as long as the seed has entropy rate > 1/2.
sectionHeader ||| 2. MAIN NOTIONS AND NEW RESULTS
bodyText ||| The main result of this paper is a polynomial time com-
bodyText ||| putable disperser for 2 sources of entropy no(1), significantly
bodyText ||| improving both the results of Barak et al. [4] (o(n) entropy).
bodyText ||| It also improves on Frankl and Wilson [9], who only built
bodyText ||| Ramsey Graphs and only for entropy ~O(√n).
bodyText ||| = (x, y)( mod 2). It is an extractor for entropy
page ||| 673
construct ||| ThEOREm 2.1 (MaIn thEOREm, REStatEd). There ex-
construct ||| ists a polynomial time computable 2-source disperser D :
construct ||| ({0, 1}n)2 → {0, 1} for entropy no(1).
bodyText ||| The construction of this disperser will involve the con-
bodyText ||| struction of an object which in some sense is stronger and
bodyText ||| in another weaker than a disperser: a subsource somewhere
bodyText ||| extractor. We first define a related object: a somewhere ex-
bodyText ||| tractor, which is a function producing several outputs, one of
bodyText ||| which must be uniform. Again we will ignore many technical
bodyText ||| issues such as error, min-entropy vs. entropy and more, in
bodyText ||| definitions and results, which are deferred to the full version
bodyText ||| of this paper.
construct ||| DEfInItIOn 2.2. A function f : ({0, 1}n)2 → ({0,1}m)ℓ
construct ||| is a 2-source somewhere extractor with ℓ outputs, for entropy
construct ||| k, if for every 2 independent k-sources X, Y there exists an
construct ||| i ∈ [ℓ] such the ith output f (X, Y)i is a uniformly distributed
construct ||| string of m bits.
bodyText ||| Here is a simple construction of such a somewhere extrac-
bodyText ||| tor with ℓ as large as poly(n) (and the p in its name will
bodyText ||| stress the fact that indeed the number of outputs is that
bodyText ||| large). It will nevertheless be useful to us (though its de-
bodyText ||| scription in the next sentence may be safely skipped). Define
bodyText ||| pSE(x, y)i = V(E(x, i), E(y, i)) where E is a ”strong” loga-
bodyText ||| rithmic seed extractor, and V is the Hadamard/Vazirani 2-
bodyText ||| source extractor. Using this construction, it is easy to see
bodyText ||| that:
construct ||| PROPOSItIOn 2.3. For every n, k there is a polynomial
construct ||| time computable somewhere extractor pSE : ({0, 1}n)2 →
construct ||| ({0, 1}m)ℓ with ℓ = poly(n) outputs, for entropy k, and m =
construct ||| Q(k).
bodyText ||| Before we define subsource somewhere extractor, we must
bodyText ||| first define a subsource.
construct ||| DEfInItIOn 2.4 (SUBSOURCES). Given random variables
construct ||| Z and Z^ on {0, 1}n we say that Z^ is a deficiency d subsource
construct ||| of Z and write Z^ ⊆ Z if there exists a set A ⊆ {0,1}n such
construct ||| that (Z|Z ∈ A) = Z^ and Pr[Z ∈ A] ≥ 2-d.
bodyText ||| A subsource somewhere extractor guarantees the ”some-
bodyText ||| where extractor” property only on subsources X', Y' of the
bodyText ||| original input distributions X, Y (respectively). It will be
bodyText ||| extremely important for us to make these subsources as large
bodyText ||| as possible (i.e. we have to lose as little entropy as possible).
bodyText ||| Controlling these entropy deficiencies is a major technical
bodyText ||| complication we have to deal with. However we will be in-
bodyText ||| formal with it here, mentioning it only qualitatively when
bodyText ||| needed. We discuss this issue a little more in Section 6.
construct ||| DEfInItIOn 2.5. A function f : ({0, 1}n)2 → ({0,1}m)ℓ
construct ||| is a 2-source subsource somewhere extractor with ℓ outputs
construct ||| for entropy k, if for every 2 independent k-sources X, Y there
construct ||| exists a subsource X^ of X, a subsource Y^ of Y and an i ∈ [ℓ]
construct ||| such the ith output f (^X, Y^)i is a uniformly distributed string
construct ||| of m bits.
bodyText ||| A central technical result for us is that with this ”sub-
bodyText ||| source” relaxation, we can have much fewer outputs – in-
bodyText ||| deed we’ll replace poly(n) outputs in our first construction
bodyText ||| above with no(1) outputs.
construct ||| ThEOREm 2.6 (SUBSOURCE SOmEWhERE ExtRaCtOR).
construct ||| For every δ > 0 there is a polynomial time computable sub-
construct ||| source somewhere extractor SSE : ({0, 1}n)2 → ({0, 1}m)ℓ
construct ||| with ℓ = no(1) outputs, for entropy k = nδ, with output
construct ||| m=√k.
bodyText ||| We will describe the ideas used for constructing this im-
bodyText ||| portant object and analyzing it in the next section, where
bodyText ||| we will also indicate how it is used in the construction of
bodyText ||| the final disperser. Here we state a central building block,
bodyText ||| mentioned in the previous section (as an improvement of the
bodyText ||| work of Rao [?]). We construct an extractor for 2 indepen-
bodyText ||| dent sources one of which is a block-sources with sufficient
bodyText ||| number of blocks.
construct ||| ThEOREm 2.7 (BlOCK SOURCE ExtRaCtOR). There is
construct ||| a polynomial time computable extractor B : ({0, 1}n)2 →
construct ||| {0,1}m for 2 independent sources, one of which is a c-block-
construct ||| sources with block entropy k and the other a source of en-
construct ||| tropy k, with m = 0(k), and c = O((log n)/(log k)).
bodyText ||| A simple corollary of this block-source extractor B, is the
bodyText ||| following weaker (though useful) somewhere block-source
bodyText ||| extractor SB. A source Z = Z1, Z2, • • • , Zt is a somewhere
bodyText ||| c-block-source of block entropy k if for some c indices i1 <
bodyText ||| i2 < • • • < ic the source Zi1, Zi2, • • • , Zic is a c-block-source.
bodyText ||| Collecting the outputs of B on every c-subset of blocks re-
bodyText ||| sults in that somewhere extractor.
construct ||| COROllaRY 2.8. There is a polynomial time computable
construct ||| somewhere extractorSB : ({0, 1}n)2 → ({0, 1}m)ℓ for2 inde-
construct ||| pendent sources, one of which is a somewhere c-block-sources
construct ||| with block entropy k and t blocks total and the other a source
construct ||| of entropy k, with m = 0(k), c = O((log n)/(log k)), and
construct ||| ℓ ≤ tc.
bodyText ||| In both the theorem and corollary above, the values of
bodyText ||| entropy k we will be interested in are k = no(1). It follows
bodyText ||| that a block-source with a constant c = O(1) suffices.
