note ||| CHI 2008 Proceedings Â· Am I Safe	April 5-10, 2008 Â· Florence, Italy
bodyText ||| ignoring graffiti for a couple of days, and then coming back
bodyText ||| and patching at a later time. This is illustrated in Figure 4
bodyText ||| below.
bodyText ||| Recall that Learning events represent visits by users to a
bodyText ||| patch website through TALC; this figure shows the
bodyText ||| distribution of such visits. Beyond simply exploring
bodyText ||| vulnerabilities through TALC, we believe that the effects of
bodyText ||| making users aware of software vulnerabilities on their
bodyText ||| systems may have resulted in greater sensitivity to patching
bodyText ||| in general: A number of the respondents to our post-test
bodyText ||| survey reported using regular web search engines to find
bodyText ||| out more details about the detected vulnerabilities. While
bodyText ||| we were encouraged by these findings, such events are
bodyText ||| beyond the scope of the instrumentation we had in place for
bodyText ||| TALC and so we only have self-reports of such activities.
bodyText ||| The Fixed and Ignore types of Control events are a good
bodyText ||| reflection of the effectiveness of TALC. When a participant
bodyText ||| applied a software patch, TALC did not immediately
bodyText ||| remove the graffiti; rather, the graffiti was removed during
bodyText ||| the next periodic scan of the userâs system. The TALC user
bodyText ||| interface, however, provided an option to manually invoke
figureCaption ||| Figure 4: Learning events logged by TALC.
bodyText ||| the scan to remove graffiti for threats that had been fixed.
bodyText ||| Another option, which incidentally most users adopted, was
bodyText ||| to use the Control window to mark a threat as âFixedâ so
bodyText ||| that TALC hides the graffiti. Figure 5 shows usersâ usage
bodyText ||| patterns of marking threats as fixed.
bodyText ||| A common pattern across all participants is that they tried
bodyText ||| to fix a number of vulnerabilities initially, following which
bodyText ||| there was a lull period with little or no activity; finally,
bodyText ||| several days later, there were more attempts to fix
bodyText ||| vulnerabilities. We believe this pattern indicates favorable
bodyText ||| acceptance on the part of users: rather than becoming
bodyText ||| infuriated with the notifications provided by TALC, users
bodyText ||| were âliving withâ the notifications for a period of several
bodyText ||| days, and then fixing them at convenient intervals. Users
bodyText ||| were able to put off patching anything for a couple of days,
bodyText ||| but were not allowed to forget about the security task to
bodyText ||| which they needed to attend. This indicates that the graffiti
bodyText ||| notification system worked well in allowing users to push
bodyText ||| back their lower priority (but necessary) security tasks until
bodyText ||| they were convenient, but while still retaining awareness of
bodyText ||| the need to perform these tasks. Furthermore, we believe
bodyText ||| the sudden flurry of activity near the end of the active week
figureCaption ||| Figure 5: Participants marking threats as âFixedâ.
figure ||| Awareness
figure ||| 1	2	3	4	5	6	7
figure ||| 80
figure ||| 70
figure ||| 60
figure ||| 50
figure ||| 40
figure ||| 30
figure ||| 20
figure ||| 10
figure ||| 0
figure ||| Days
figure ||| Learning
figure ||| 1	2	3	4	5	6	7
figure ||| 40
figure ||| 20
figure ||| 90
figure ||| 80
figure ||| 70
figure ||| 60
figure ||| 50
figure ||| 30
figure ||| 10
figure ||| 0
figure ||| Days Graffiti was shown
figure ||| Control (Fixed)
figure ||| 70
figure ||| 60
figure ||| 50
figure ||| 40
figure ||| 30
figure ||| 20
figure ||| 10
figure ||| 0
figure ||| 1	2	3	4	5	6	7
figure ||| Days Graffiti was shown
page ||| 1061
note ||| CHI 2008 Proceedings Â· Am I Safe	April 5-10, 2008 Â· Florence, Italy
figureCaption ||| Figure 6: Threats that reappeared after being
bodyText ||| marked as âFixedâ by the participants.
bodyText ||| represents a periodic turn of attention toward patching,
bodyText ||| rather than a desire by participants to âwrap upâ patching
bodyText ||| before the end of the study. Much of this activity, for
bodyText ||| example, came from the condition two participants, who
bodyText ||| still had another week to participate in the study.
bodyText ||| In the subsequent scan cycles, TALC logged any of these
bodyText ||| fixed threats that still match the vulnerability description
bodyText ||| from NVD and logs them as a reappearance of a threat,
bodyText ||| shown in Figure 6.
bodyText ||| We should note here that, in our current implementation,
bodyText ||| threats for which the NVD has only an advisory (meaning:
bodyText ||| for which no patch is available) are never detected as fixed
bodyText ||| by TALC. To handle such a scenario, TALC allows the
bodyText ||| user to optionally ignore these threats that have reappeared.
bodyText ||| Threats that have been ignored will not reappear in the
bodyText ||| subsequent scans unless the user explicitly asks TALC to
bodyText ||| include them in the scan. Occurrences of this event are
bodyText ||| plotted in Figure 7. The spike near the start of the test may
bodyText ||| be due to the large number of vulnerabilities detected by
bodyText ||| TALC (see below for details on the number of raw
bodyText ||| vulnerabilities found on usersâ systems). These Ignore
bodyText ||| events were also recorded when participants found the
bodyText ||| information provided by the patch website too daunting for
bodyText ||| them, and chose to leave the vulnerability unpatched. We
bodyText ||| discuss some suggestions for how to overcome both these
bodyText ||| shortcomings in the Future Work section.
sectionHeader ||| DISCUSSION
bodyText ||| There are multiple useful metrics for determining what
bodyText ||| constitutes efficacy in a tool such as TALC. One such
bodyText ||| metric is whether the tool increases the perceived safety of
bodyText ||| users; the second is whether it increases their actual safety.
bodyText ||| While we evaluated for both metrics, we believe that the
bodyText ||| latter is actually the more important, since perceptions of
bodyText ||| increased safety are of little value without actually
bodyText ||| increased safety.
bodyText ||| In the sections below we first report on TALCâs efficacy in
bodyText ||| actually repairing system vulnerabilities, and then on usersâ
bodyText ||| perceptions of its efficacy.
figureCaption ||| Figure 7: Participants asking TALC to Ignore a
figureCaption ||| threat from subsequent scans
subsectionHeader ||| TALC Effectiveness
bodyText ||| We were pleased to find that TALC provided a dramatic
bodyText ||| increase in the safety of usersâ systems during its
bodyText ||| deployment, and that TALCâs notifications made a large
bodyText ||| and statistically significant difference in usersâ awareness
bodyText ||| and motivation to install patches.
bodyText ||| In the weeks where TALC was dormantâmeaning it was
bodyText ||| not drawing graffiti on the usersâ desktopsânone of the
bodyText ||| users patched any vulnerabilities whatsoever. However, in
bodyText ||| the week when the graffiti was placed on the desktop,
bodyText ||| seventy percent of the users fixed at least one vulnerability,
bodyText ||| with an average of 24.3 vulnerabilities patched per user
bodyText ||| (averaged over all users), and an average of 34.7
bodyText ||| vulnerabilities patched over users who patched at least one
bodyText ||| vulnerability. The number of vulnerabilities patched during
bodyText ||| the active period was found to be statistically significant
bodyText ||| (t(9) = 2.78, p = 0.0216) when compared to the dormant
bodyText ||| state when no vulnerabilities were patched.
bodyText ||| The absolute number of vulnerabilities patched may seem
bodyText ||| artificially high, because it does not necessarily indicate the
bodyText ||| number of fixes downloaded, but rather the number of
bodyText ||| vulnerabilities patched: A single fix downloaded by the
bodyText ||| user may or may not patch multiple vulnerabilities.
bodyText ||| At the beginning of the test, TALC found an average of
bodyText ||| 47.6 vulnerabilities on our participantsâ machines. All
bodyText ||| participantsâ computers had at least five vulnerabilities,
bodyText ||| with the most having 64 vulnerabilities. These numbers not
bodyText ||| only confirm the threat posed by unpatched software, but
bodyText ||| also usersâ lack of awareness about vulnerabilities on their
bodyText ||| systems for which patches exist.
bodyText ||| Although TALC was effective in getting users to fix some
bodyText ||| of the vulnerabilities in their systems, none of the users
bodyText ||| patched their machines completely. Of the 482
bodyText ||| vulnerabilities left unpatched, 208 (43.15%) were
bodyText ||| considered serious threats by the NVD, 88 (18.25%) were
bodyText ||| considered moderate threats by the NVD, and 186
bodyText ||| (38.59%) were considered mild threats. The total number of
bodyText ||| vulnerabilities increased over the test period in part due to
figure ||| Reappearances
figure ||| 2.5
figure ||| 2
figure ||| 1.5
figure ||| 1
figure ||| 0.5
figure ||| 0
figure ||| 1	2	3	4	5	6	7
figure ||| Days Grafitti was shown
figure ||| Control (Ignore)
figure ||| 70
figure ||| 1	2	3	4	5	6	7
figure ||| 40
figure ||| 20
figure ||| 60
figure ||| 50
figure ||| 30
figure ||| 10
figure ||| 0
figure ||| Days Graffiti was shown
page ||| 1062
note ||| CHI 2008 Proceedings Â· Am I Safe	April 5-10, 2008 Â· Florence, Italy
bodyText ||| new software being installed by our test subjects, but
bodyText ||| mostly due to updates in the vulnerability listing from the
bodyText ||| NVD. 50% of the users responded that it was very difficult
bodyText ||| to correct the security vulnerabilities reported by TALC,
bodyText ||| which we attribute to the poor usability of many of the web
bodyText ||| pages supplied by the NVD. In addition, sometimes the
bodyText ||| links provided in the NVD data were not valid. Further
bodyText ||| discussion can be found in the Future Work section below.
subsectionHeader ||| User Perce ptions
bodyText ||| One of the goals of TALC was to experiment with gentle
bodyText ||| reminder functions to motivate users to take security
bodyText ||| actions. In the post-test questionnaire, when asked to
bodyText ||| suggest improvements to the program, thirty-three percent
bodyText ||| of the participants suggested various solutions for making
bodyText ||| the graffiti less invasive. However, our goal was to make
bodyText ||| TALC as motivating as possible, without being overly
bodyText ||| annoying (which could have caused users to disable the
bodyText ||| program entirely). A majority (67%) of users raised no
bodyText ||| issue with intrusiveness; further, we find it to be telling that
bodyText ||| the only user who reported disabling the TALC software
bodyText ||| during the test did so because he felt it was slowing his
bodyText ||| system down too much. The implementation of our
bodyText ||| Visualization module uses the default.NET transparency
bodyText ||| effects, which run on the CPU on systems without modern
bodyText ||| graphics cards, so this may have contributed to the
bodyText ||| problem.
bodyText ||| Finally, with regard to the effect of TALC on perceived
bodyText ||| user safety, we found that four of the seven users who
bodyText ||| responded to the post-study questionnaire felt that using
bodyText ||| TALC had improved their ability to protect their computer,
bodyText ||| and that their computer was safer as a result. Although this
bodyText ||| figure does not represent universal success in increasing
bodyText ||| perceived safety, we were delighted to demonstrate any
bodyText ||| increase, since our pre-test questionnaire showed users
bodyText ||| were generally unaware of any vulnerabilities. We believe
bodyText ||| that this sort of awareness of risk is essential for self-
bodyText ||| managed computers (at least given todayâs state-of-the-art
bodyText ||| in automated security systems), and points to necessary
bodyText ||| further work in the area of conveying an accurate sense of
bodyText ||| risk or safety to users.
subsectionHeader ||| Future Work
bodyText ||| Our near-term goals concern both expanding the
bodyText ||| capabilities of the TALC framework, as well as evaluating
bodyText ||| with a larger user base on how well our visualization and
bodyText ||| control features motivate and support users to mitigate
bodyText ||| threats.
bodyText ||| One of the common problems encountered by users was the
bodyText ||| complexity of vendorsâ update websites. To address this
bodyText ||| issue, we intend to add another level of proactivity in the
bodyText ||| system, to allow TALC to automatically download and
bodyText ||| install patches from a set of âcommonâ websites, the patch
bodyText ||| processes of which can be built into the tool itself. With
bodyText ||| this addition, TALC would only present instructional web
bodyText ||| pages for late-breaking advisories that do not include a
bodyText ||| direct download link to a software patch. This feature can
bodyText ||| be accompanied by an additional layer of abstraction over
bodyText ||| the patch websites that simply asks the user to update their
bodyText ||| software to the latest version without loading the entire
bodyText ||| website containing specific details of the threat.
bodyText ||| To prevent display of âunfixableâ problems (such as
bodyText ||| advisories that do not have valid URLs), we intend to filter
bodyText ||| the advisories for common problems, and never show
bodyText ||| graffiti for the vulnerabilities reported.
bodyText ||| We also intend to add several more information sources to
bodyText ||| the program, to exercise the extensibility features described
bodyText ||| in the Implementation section. Most important among these
bodyText ||| are the creation of modules that integrate a number of
bodyText ||| existing security tools, such as NMAP [12] and Nessus [8],
bodyText ||| to extract data about other sorts of system vulnerabilities.
bodyText ||| Specifically, we plan to use NMAP (a port scanning tool)
bodyText ||| to independently audit the userâs firewall, since properly
bodyText ||| configured firewalls are very effective at blocking many
bodyText ||| automated attacks. Nessus is a tool that performs security
bodyText ||| audits by running exploit code against a userâs computer. It
bodyText ||| has an active development base that releases new exploits
bodyText ||| to be used while auditing.
sectionHeader ||| CONCLUSION
bodyText ||| We have presented TALC, a software system that assists
bodyText ||| users in protecting their computers from some of the most
bodyText ||| serious threats on the Internet, software with known
bodyText ||| vulnerabilities. TALC uses a low-intrusion notification
bodyText ||| mechanism for presenting users with information about
bodyText ||| vulnerabilities. Through the use of automated system audits
bodyText ||| and correlation against online databases, we can detect
bodyText ||| potential software vulnerabilities and give users easier
bodyText ||| mechanisms to act to repair those vulnerabilities. The
bodyText ||| extensible architecture of TALC allows it to be used to
bodyText ||| detect, visualize, and mitigate against a wide range of
bodyText ||| threats.
bodyText ||| More generally, we believe that the approach taken by
bodyText ||| TALC may be useful in cases where 1) user motivation for
bodyText ||| a task may be low (as is often the case with security tasks),
bodyText ||| 2) intrusive or disruptive notifications may actually incent
bodyText ||| users to disable the system, and 3) there is not the need for
bodyText ||| immediate action. This combination of factors makes this
bodyText ||| class of tasks somewhat different from others (such as
bodyText ||| firewalls or background email notification) that have been
bodyText ||| widely studied in our community. We believe that the
bodyText ||| strategy of background notifications that strike a balance
bodyText ||| between awareness and annoyance to gently incent the user
bodyText ||| can be profitably applied to this class of problems.
sectionHeader ||| REFERENCES
reference ||| 1. Bailey, B.P., Konstan, J.A. and Carlis, J. V. (2001) The
reference ||| effects of interruptions on task performance,
reference ||| annoyance, and anxiety in the user interface.
reference ||| Proceedings ofINTERACT â01, pp. 593-601.
reference ||| 2. Bennett, R. and Flavin, J. âDeterminants of Fear of
reference ||| Crime: The Effect of Cultural Setting.â Justice
reference ||| Quarterly, 11:3, September 1994, pp. 357-381.
reference ||| 3. BMC Software. Marimba Patch Management
reference ||| Software, http://www.marimba.com/
reference ||| 1063
reference ||| CHI 2008 Proceedings Â· Am I Safe	April 5-10, 2008 Â· Florence, Italy
reference ||| 4. Bowling, A., Barber, J., Morris, R., and Ebrahim, S.
reference ||| ÃDo Perceptions of Neighbourhood Environment
reference ||| Influence Health? Baseline Findings from a British
reference ||| Survey of Aging.â Journal of Epidemioogy and
reference ||| Community Health, 60:476-483.2006.
reference ||| 5. Computer Emergency Response Team (CERT), 2006.
reference ||| CERT/CC	Statistics	1988-2006.
reference ||| http://www.cert.org/stats
reference ||| 6. Cooke, E., Jahanian, F., and McPherson, D. The
reference ||| Zombie Roundup: Understanding, Detecting and
reference ||| Disrupting Botnets, in First Workshop on Steps to
reference ||| Reducing Unwanted Traffic on the Internet (SRUTI),
reference ||| 2005.
reference ||| 7. Cowan, C., Wagle, P., and Pu, C. Buffer Overflows:
reference ||| Attacks and Defenses for the Vulnerability of the
reference ||| Decade,	DARPA	Information	Survivability
reference ||| Conference and Expo, 1999.
reference ||| 8. Deraison, R. Nessus - A Comprehensive Vulnerability
reference ||| scanning program, http://www.nessus.org/, 1998.
reference ||| 9. Dourish, P., Redmiles, D. , An approach to usable
reference ||| security based on event monitoring and visualization.
reference ||| In Proceedings of the New Security Paradigms
reference ||| Workshop (NSPW), 2002. pp. 75-81.
reference ||| 10. Edwards, W.K., Poole, E.S., and Stoll, J. Security
reference ||| Automation Considered Harmful? In Proceedings of
reference ||| the New Security Paradigms Workshop (NSPW), White
reference ||| Mountain, New Hampshire. September 18-21, 2007.
reference ||| 11. Ferrell, J. Crimes of Style: Urban Graffiti and the
reference ||| Politics of Criminality. New York: Garland. 1993.
reference ||| 12. Fyodor. Nmap - Free Security Scanner for Network
reference ||| Exploration and Security Audits, Insecure.org, 1997.
reference ||| 13. Geason, S. âPreventing Graffiti and Vandalism.â
reference ||| Proceedings of Designing Out Crime: Crime
reference ||| Prevention through Environmental Design, Sydney,
reference ||| Australia. June 16, 1989.
reference ||| 14. Ianelli, N., and Hackworth, A. Botnets as a Vehicle for
reference ||| Online Crime, CERT, Request for Comments (RFC)
reference ||| 1700, December 2005.
reference ||| 15. Isbell, C. and Pierce, J. An IP Continuum for Adaptive
reference ||| Interface Design. In Proceedings of HCI International,
reference ||| 2005.
reference ||| 16. LaMacchia, B.A. Security Attacks and Defenses, in
reference ||| 47th Meeting of IFIP WG 10.4.2005.
reference ||| 17. McAfee AVERT Labs. SAGE. Security Vision from
reference ||| McAfee AVERT Labs, July 2006.
reference ||| 18. McCrickard, D. S., Chewar, C. M., Somervell, J. P., &amp;
reference ||| Ndiwalana, A. A Model for Notification Systems
reference ||| EvaluationâAssessing User Goals for Multitasking
reference ||| Activity. ACM Transactions on Computer-Human
reference ||| Interaction (TOCHI), 10 (4), 2003.
reference ||| 19. Merijn. HijackThis .
reference ||| http://www.spywareinfo.com/~merijn/programs.php.
reference ||| 20. Microsoft. Manage Your Computer&apos;s Security Settings
reference ||| in	One	Place	with	Security	Center,
reference ||| http://www.microsoft.com/windowsxp/using/security/i
reference ||| nternet/sp2_wscintro.mspx.
reference ||| 21. Microsoft. Programs that are known to experience a
reference ||| loss of functionality when they run on a Windows XP
reference ||| Service	Pack	2-based	computer,
reference ||| http://support.microsoft.com/?id=884130.
reference ||| 22. Morin, K., Hayes, E., Carroll, M., and Chamberlain, B.
reference ||| âSelected Factors Associated with Studentsâ
reference ||| Perceptions of Threat in the Community.â Public
reference ||| Health Nursing, 19:6, pp. 451-459, Nov. 2002
reference ||| 23. Moskowitz, C.L.a.C. Simple Desktop Security with
reference ||| Chameleon. in Lorrie Faith Cranor, S.G. ed. Security
reference ||| and Usability, O&apos;Reilly, August 2005.
reference ||| 24. National Institute of Standards and Technology
reference ||| (NIST).	National	Vulnerability	Database,
reference ||| http://nvd.nist.gov.
reference ||| 25. National Institute of Standards and Technology
reference ||| (NIST), 2002. The economic impacts of inadequate
reference ||| infrastructure for software testing. Technical Report
reference ||| 02-3, May 2002. This report estimates damage from
reference ||| attacks exploiting software vulnerabilities at $60
reference ||| billion/year.
reference ||| 26. Rafail, J. Cross-Site Scripting Vulnerabilities, CERT
reference ||| Coordination Center, 2001.
reference ||| 27. Redstrom, J., Skog, T. and Hallnas, L. Informative Art:
reference ||| Using Amplified Artworks as Information Displays, in
reference ||| Proceedings of the Designing Augmented Reality
reference ||| Environments Conference â00, (Elsinore Denmark,
reference ||| 2000), 103 Ã114.
reference ||| 28. Symantec Internet Security Threat Report, Volume IX.
reference ||| www.symantec.com/enterprise/threatreport/index.jsp.
reference ||| 29. US General Accounting Office (GAO), 2003.
reference ||| &quot;Effective Patch Management is Critical to Mitigating
reference ||| Software Vulnerabilities.&quot; Testimony before the
reference ||| Subcommittee on Technology, Information Policy,
reference ||| Intergovernmental Relations, and the Census.
reference ||| 30. Zurko, M.E. User-Centered Security: Stepping Up to
reference ||| the Grand Challenge ACSAC, 2005.
page ||| 1064
