note ||| CHI 2008 Proceedings Â· Shared Authoring	April 5-10, 2008 Â· Florence, Italy
bodyText ||| or references to policy changes as having been determined
bodyText ||| in one sideâs favor or another reflect this perspective. An
bodyText ||| example of this âtrophyâ type situation occurs in the
bodyText ||| Consensus policy. As mentioned previously, extensive
figureCaption ||| Figure 3. Wikipedia consensus flowchart
page ||| 1106
note ||| CHI 2008 Proceedings Â· Shared Authoring	April 5-10, 2008 Â· Florence, Italy
bodyText ||| discussion surrounds the development of written guidelines
bodyText ||| to assist smooth negotiations and to achieve acceptable
bodyText ||| compromises. For the Consensus policy, this type of
bodyText ||| discussion focuses on whether to use specific numbers for
bodyText ||| confirmation of consensus or not. That is, should the group
bodyText ||| need 80% or 75% of the populationâs approval? Or should
bodyText ||| the policy simply state that general agreement is all that is
bodyText ||| required for consensus? An active member wants polling
bodyText ||| results to determine consensus, but he âlosesâ this effort in
bodyText ||| 2005; consensus is explained through the organizational
bodyText ||| structure of the flowchart in Figure 3. In July 2007,
bodyText ||| someone starts adding the numbers requirement back into
bodyText ||| the Consensus policy, and the administrators talk about it
bodyText ||| and remove it each time. In August, there is more
bodyText ||| discussion of consensus versus the supermajority, and then
bodyText ||| it appears that it might be the original participant who lost
bodyText ||| the battle who is adding the numbers back to the policy, and
bodyText ||| even if it is not, he is actively participating in discussions to
bodyText ||| bring back the ânumbersâ [49].
bodyText ||| As an example of the discussion leading away from
bodyText ||| decisions through polling, one administrator says, âfor all
bodyText ||| but uncontroversial trivial propositions, it is unusual for
bodyText ||| decisions on Wikipedia talk pages to operate on a true
bodyText ||| consensus. Instead they operate on a rough consensus
bodyText ||| where it is recognised that a minority are in opposition. The
bodyText ||| question then arises is how large must the majority be to
bodyText ||| ignore the opinions of a minority?â [49].
bodyText ||| When the policy is revised to respect the majority of
bodyText ||| decision makers, the discussion is titled, âThe numbers
bodyText ||| came back again.â The first comment reads, âSo I removed
bodyText ||| them.â The response to it, by the âlosingâ contestant says,
bodyText ||| âDid you not read the section above? There is not
bodyText ||| consensus to remove them,â in an assertion that previous
bodyText ||| decisions support this, but the response to this remark is: âI
bodyText ||| have read the section above. There is clearly no consensus
bodyText ||| to include them. Stop adding them,â reinforcing the
bodyText ||| communityâs adherence to ârough consensusâ as opposed to
bodyText ||| numerically-based decision-making.
subsubsectionHeader ||| Implications for Negotiated Settlements and Trophies
bodyText ||| Policies, therefore, reflect a continuous process of battles
bodyText ||| engaged in and won or lost, so that no conclusion is
bodyText ||| achieved. Much discussion of these policies includes a
bodyText ||| continuous recycling of old fights and unresolved
bodyText ||| contentions.
subsectionHeader ||| Rules and Policies as Control Mechanisms
bodyText ||| To complete tasks and meet goals, rules and policies are
bodyText ||| often written to act as control mechanisms. Control is
bodyText ||| defined as any effort made to ensure appropriate action
bodyText ||| [31]. In the systems development literature, control has
bodyText ||| been defined more specifically from the behavioral sense as
bodyText ||| attempts to ensure that individuals on a project team act in
bodyText ||| accordance with a previously agreed-upon strategy to
bodyText ||| accomplish desired goals and objectives [21]. Control
bodyText ||| mechanisms are âdevices used by controllers to ensure
bodyText ||| proper controllee behaviorâ [20]. Both formal and informal
bodyText ||| control modes rely on control mechanisms to influence
bodyText ||| behavior, but formal modes control via performance
bodyText ||| evaluation and rewards while informal modes control via
bodyText ||| socialization to reduce goal differences [20]. Wikis draw
bodyText ||| upon informal modes of control by writing policies which
bodyText ||| describe ideal work output or behavior.
bodyText ||| Explicitly highlighting this role of rules and policies also
bodyText ||| allows for consideration of ways that rules are used to
bodyText ||| manage divergence of individual and organizational goals, a
bodyText ||| phenomenon that is an important element of organizational
bodyText ||| evolution.
subsubsectionHeader ||| Control Mechanisms in Wikipedia
bodyText ||| Wikipediaâs hierarchy of roles creates a class of people who
bodyText ||| apply the control mechanisms for the group: the
bodyText ||| administrators. Though, it is sometimes claimed that this
bodyText ||| hierarchy does not exist. Administrators are the only ones
bodyText ||| who can, as the Wikipedia site suggests, âprotect and delete
bodyText ||| pages, block other editors, and undo these actions as well.â
bodyText ||| Also, in its categories of policies, Wikipedia devotes an
bodyText ||| entire section to what it calls, âenforcement,â a term for
bodyText ||| controlling the behavior of others. Two in this section that
bodyText ||| require administrator participation are Deletion and
bodyText ||| Blocking. Since control mechanisms ensure consistency
bodyText ||| between the goals and actions of the individual and those of
bodyText ||| the community, and since the goals of individuals are
bodyText ||| sometimes destructive, such as vandalism, a policy like
bodyText ||| Blocking prevents chronic disrupters from damaging the
bodyText ||| group or its efforts. Blocking is the term for the prevention
bodyText ||| of editing rights for those participants who refuse to support
bodyText ||| the goals of the organization. An interesting feature of the
bodyText ||| Blocking policy ameliorates its punitive approach: it is not
bodyText ||| meant for âretaliation,â but instead for âencouragingâ
bodyText ||| appropriate behavior. A control mechanism of this sort,
bodyText ||| therefore, guides normative behavior rather than punishes
bodyText ||| deviance.
bodyText ||| The Three-Revert Rule (called a âruleâ but considered a
bodyText ||| âpolicyâ by Wikipedia) is a community-specific control
bodyText ||| mechanism. It states that an editor may not make more than
bodyText ||| three changes to an encyclopedia page within a twenty-four
bodyText ||| hour period. The stated purpose for this policy is to prevent
bodyText ||| what the group calls âedit wars,&quot; or conflicts between two
bodyText ||| or more editors over an entry that result in the constant
bodyText ||| effort to assert the validity of one version of it over another.
bodyText ||| Administrators established this rule because, as Wikipedia
bodyText ||| founder Jimbo Wales says, ârevert warring has become an
bodyText ||| absurd drain on us.â This control mechanism, therefore,
bodyText ||| protects the administrators from overload created by editors
bodyText ||| who refuse to negotiate about the contents of an entry.
subsubsectionHeader ||| Implications for Control Mechanisms
bodyText ||| Where coordination assumes that all participants in a
bodyText ||| community have the same motives and merely need to
bodyText ||| understand how to get something done in terms of sequence
bodyText ||| or procedure, control suggests to the community what not to
bodyText ||| do and establishes rules of prevention of behaviors that will
bodyText ||| disrupt the process of the organization. These mechanisms
page ||| 1107
note ||| CHI 2008 Proceedings Â· Shared Authoring	April 5-10, 2008 Â· Florence, Italy
bodyText ||| are exceptional, for they can largely be applied only by
bodyText ||| administrators, by those with power acceded to them by the
bodyText ||| group through their demonstrated degree of participation in
bodyText ||| editing and through the acknowledgement of those efforts
bodyText ||| by the other power holders and wielders in the system.
sectionHeader ||| IMPLICATIONS FOR CREATION OF WIKI-BASED
sectionHeader ||| SYSTEMS AND DESIGN OF PLATFORMS
bodyText ||| We suggest, therefore, that pursuing the âpolicylessâ ideal
bodyText ||| that wikis represent is a pipedream. Policy creation and
bodyText ||| maintenance is an important aspect of the work that must be
bodyText ||| done to keep the community running
bodyText ||| Providing tools and infrastructure mechanisms that support
bodyText ||| the development and management of policies is an
bodyText ||| important part of creating social computing systems that
bodyText ||| work. For example, work has been done on policy
bodyText ||| extraction that focuses on identifying rules which can be
bodyText ||| embedded in the infrastructure to support coordination and
bodyText ||| organization. This study suggests that policies vary in their
bodyText ||| intention to support coordination and organization, thus the
bodyText ||| application of the work on policy extraction is narrowed.
bodyText ||| For example, a rule acting as an external signal has less
bodyText ||| intention for coordination and organization. As a result, it
bodyText ||| may not be appropriate for it to be embedded in the
bodyText ||| infrastructure to support coordination and organization.
bodyText ||| Looking at the language used in writing the policy may
bodyText ||| signal its intention to support coordination and organization
bodyText ||| and, subsequently, whether it is a candidate for embedding
bodyText ||| in the infrastructure. More detailed systematic studies can
bodyText ||| provide insight into a policies candidacy for embedding in
bodyText ||| the infrastructure.
bodyText ||| While there is something to be said about treating policies
bodyText ||| as coordination mechanisms that are automated or at least
bodyText ||| embedded directly in the technology, that approach is not
bodyText ||| without its pitfalls. Since policies can also be highly
bodyText ||| symbolic or meaning-filled, embedding them or automating
bodyText ||| them may not work because it could remove this function or
bodyText ||| make it less effective for this purpose. Furthermore, it may
bodyText ||| be possible that different rules playing different roles have
bodyText ||| varying importance for the success of the wiki at specific
bodyText ||| phases in the wiki lifecycle.
bodyText ||| This work raises important questions for organizations
bodyText ||| implementing wikis and collaborative technologies for
bodyText ||| internal use. When organizations invest in these
bodyText ||| technologies, such as Lotus Notes and Microsoft
bodyText ||| Sharepoint, their first step is often to put in place a
bodyText ||| collection of policies and guidelines regarding their use.
bodyText ||| However, less attention is given to the policies and
bodyText ||| guidelines created by the groups that use these systems â
bodyText ||| which are often left to âemergeâ spontaneously. The
bodyText ||| examples and concepts described in this paper highlight the
bodyText ||| complexity of rule formation and suggest that support
bodyText ||| should be provided to help collaborating groups create and
bodyText ||| maintain effective rulespaces.
bodyText ||| Lastly, the Wikipedia archives suggest that facilitating,
bodyText ||| supporting, and managing this system of rules may not be
bodyText ||| simply a matter of data collection. Rather, serving this
bodyText ||| system well is a matter of promoting situational awareness
bodyText ||| and strategic intervention in a complex, evolving system.
sectionHeader ||| CONCLUSIONS
bodyText ||| Wikis have captured the imagination of many because as a
bodyText ||| technology they support unencumbered, highly flexible,
bodyText ||| very visible, and accessible collaboration [5, 11, 22, 42, 52,
bodyText ||| 53]. These features have led many commentators and
bodyText ||| authors to wax eloquently about the possibility of new types
bodyText ||| of work and organization which are peer-based, non-
bodyText ||| hierarchical, non-bureaucratic, emergent, complex, and
bodyText ||| communal.
bodyText ||| While it may be the case that wikis do in fact provide a
bodyText ||| basis for this type of work arrangement, the study reported
bodyText ||| here suggests that the true power of wikis lies in the fact
bodyText ||| that they are a platform that provides affordances which
bodyText ||| allow for a wide variety of rich, multifaceted organizational
bodyText ||| structures. Rather than assuming that rules, policies, and
bodyText ||| guidelines are operating in only one fashion, wikis allow
bodyText ||| for, and in fact facilitate, the creation of policies and
bodyText ||| procedures that serve a wide variety of functions â and as a
bodyText ||| result they are capable of truly supporting a much broader
bodyText ||| range of structures and activities than many of the other
bodyText ||| more structured, collaborative platforms.
bodyText ||| This suggests that not only are wikis a platform that has
bodyText ||| greater potential in organizational and public use, but also
bodyText ||| that, from a design perspective, they provide a valuable
bodyText ||| opportunity for using the âsidewalk design strategyâ of
bodyText ||| providing a field of grass and watching where and how the
bodyText ||| users walk, or so-called desire paths. This study provides a
bodyText ||| basis for describing these paths. Future studies in particular
bodyText ||| applications would do well to ask how these issues are
bodyText ||| addressed, capabilities are used, and how the activities and
bodyText ||| mechanisms that come into play can be helpfully reinforced
bodyText ||| or supported through the interface and infrastructure.
sectionHeader ||| ACKNOWLEDGEMENTS
bodyText ||| The authors would like to thank the members of the Online
bodyText ||| Community Research Group at Carnegie Mellon University
bodyText ||| and especially Bob Kraut and John Levine.
sectionHeader ||| REFERENCES
reference ||| 1. Ahuja, M.K. and K.M. Carley, Network structure in
reference ||| virtual organizations. Organization Science, 1999.
reference ||| 10(6): p. 741-757.
reference ||| 2. Barreto, M. and N. Ellemers, The impact of anonymity
reference ||| and group identification on progroup behavior in
reference ||| computer-mediated groups. Small Group Research,
reference ||| 2002. 33(5): p. 590-610.
reference ||| 3. Baym, N., Interpreting soap operas and creating
reference ||| community: Inside a computer-mediate fan culture.
reference ||| Journal of Folklore Research, 1993. 30: p. 143-176.
reference ||| 4. Baym, N.K., Tune in, log on: Soaps, fandom, and
reference ||| online community. 2000, Thousand Oaks, CA: Sage
reference ||| Publications.
reference ||| 5. Bryant, S.L., A. Forte, and A. Bruckman, Becoming
reference ||| wikipedia: Transformation of participation in a
page ||| 1108
note ||| CHI 2008 Proceedings Â· Shared Authoring	April 5-10, 2008 Â· Florence, Italy
reference ||| collaborative online encyclopedia, in GROUP. 2005:
reference ||| Sanibel Island, FL.
reference ||| 6. Burnett, G. and L. Bonnici, Beyond the faq: Explicit
reference ||| and implicit norms in usenet newsgroups. Library &amp;
reference ||| Information Science Research, 2003. 25(3): p. 333.
reference ||| 7. Chidambaram, L. and L.L. Tung, Is out of sight, out of
reference ||| mind? An empirical study of social loafing in
reference ||| technology-supported groups. Information Systems
reference ||| Research, 2005. 16(2): p. 149-168.
reference ||| 8. Cohen, N., Defending wikipedia&apos;s impolite side, in The
reference ||| New York TImes. 2007, The New York Times
reference ||| Company: New York, NY.
reference ||| 9. Connelly, T. and B.K. Thorn, Discretionary databases:
reference ||| Theory, data, and implications, in Organizations and
reference ||| communication technology, J. Fulk and C. Steinfield,
reference ||| Editors. 1990, Sage Publications: Newbury Park, CA.
reference ||| p. 219-233.
reference ||| 10. Fogel, K., Producing open source software: How to
reference ||| run a successful free software project 2005,
reference ||| Sebastopol, CA O&apos;Reilly Media, Inc.
reference ||| 11. Forte, A. and A. Bruckman, Why do people write for
reference ||| wikipedia? Incentives to contribute to open-content
reference ||| publishing, in Group 2005 Workshop - Sustaining
reference ||| Community: The role and design of incentive
reference ||| mechanisms in online systems. 2005: Sanibel Island,
reference ||| FL.
reference ||| 12. Galegher, J., L. Sproull, and S. Kiesler, Legitimacy,
reference ||| authority, and community in electronic support groups.
reference ||| Written Communication, 1998. 15(4): p. 493-530.
reference ||| 13. Hinds, P.J. and D.E. Bailey, Out of sight, out of sync:
reference ||| Understanding conflict in distributed teams.
reference ||| Organization Science, 2003. 14(6): p. 515-632.
reference ||| 14. Hinds, P.J. and M. Mortensen, Understanding conflict
reference ||| in geographically distributed teams: The moderating
reference ||| effects of shared identity, shared context, and
reference ||| spontaneous communication. Organization Science,
reference ||| 2005. 16(3): p. 290-307.
reference ||| 15. Jensen, C. and W. Scacchi. Collaboration, leadership,
reference ||| control, and conflict negotiation in the netbeans.Org
reference ||| software development community. in Proceedings of
reference ||| the 38th Hawaii International Conference on System
reference ||| Sciences. 2005. Waikola Village, HI.
reference ||| 16. Jensen, C. and W. Scacchi. Role migration and
reference ||| advancement processes in ossd projects: A
reference ||| comparative case study. in Proceedings of the 27th
reference ||| International Conference on Software Engineerring.
reference ||| 2007. Minneapolis, MN.
reference ||| 17. Jones, Q., G. Ravid, and S. Rafaeli, Information
reference ||| overload and the message dynamics of online
reference ||| interaction spaces: A theoretical model and empirical
reference ||| exploration. Information Systems Research, 2004.
reference ||| 15(2): p. 194-210.
reference ||| 18. Kennedy, H., Beyond anonymity, or future directions
reference ||| for internet identity research. New Media &amp; Society,
reference ||| 2006. 8(6): p. 859-876.
reference ||| 19. Kim, A.J., Community building on the web: Secret
reference ||| strategies for successful online communities. 1 ed.
reference ||| 2000, Berkeley, CA Peachpit Press.
reference ||| 20. Kirsch, L.J., Portfolios of control modes and is project
reference ||| management. Information Systems Research, 1997.
reference ||| 8(3): p. 215-239.
reference ||| 21. Kirsch, L.J., et al., Controlling information systems
reference ||| development projects: The view from the client.
reference ||| Management Science, 2002. 48(4): p. 484-498.
reference ||| 22. Kittur, A., et al., Power of the few vs. Wisdom of the
reference ||| crowd: Wikipedia and the rise of the bourgeoisie, in
reference ||| Conference on Human Factors in Computing Systems
reference ||| (CHI). 2007: San Jose, CA.
reference ||| 23. Kittur, A., et al., He says, she says: Conflict and
reference ||| coordination in wikipedia, in Conference on Human
reference ||| Factors in Computing Systems (CHI). 2007: San Jose,
reference ||| CA.
reference ||| 24. Kollock, P. and M. Smith, Managing the virtual
reference ||| commons: Cooperation and conflict in computer
reference ||| communities, in Computer-mediated communication:
reference ||| Linguistic, social and cross-cultural perspectives, S.
reference ||| Herring, Editor. 1996, John Benjamins: Amsterdam. p.
reference ||| 109-128.
reference ||| 25. Kuechler, W.L. and C. Vaishnavi, So, talk to me: The
reference ||| effect of explicit goals on the comprehension of
reference ||| business process narratives. MIS Quarterly, 2006.
reference ||| 30(4): p. 961-A16.
reference ||| 26. Lakhani, K.R. and E. von Hippel, How open source
reference ||| software works: &quot;Free&quot; User-to-user assistance.
reference ||| Research Policy, 2003. 32(6): p. 923-943.
reference ||| 27. Malone, T., W. and K. Crowston, The interdisciplinary
reference ||| study of coordination. ACM Computing Surveys, 1994.
reference ||| 26(1): p. 87-119.
reference ||| 28. Maney, K., Mass collaboration could change way
reference ||| companies operate, in USA Today. 2006.
reference ||| 29. March, J.G., M. Schulz, and X. Zhou, The dynamics of
reference ||| rules: Change in written organizational codes. 2000,
reference ||| Stanford, CA: Stanford University Press.
reference ||| 30. McKenna, K.Y.A. and J.A. Bargh, Coming out in the
reference ||| age of the internet: Identity &quot;Demarginalization&quot;
reference ||| Through virtual group participation. Journal of
reference ||| Personality &amp; Social Psychology. 75(3): p. 681.
reference ||| 31. Nidumolu, S.R. and M.R. Subramani, The matrix of
reference ||| control: Combining process and structure approaches
reference ||| to managing software development. Journal of
reference ||| Management Information Systems, 2003. 20(Issue 3):
reference ||| p. 159.
reference ||| 32. Ostrom, E., Collective action and the evolution of
reference ||| social norms. Journal of Economic Perspectives, 2000.
reference ||| 14(3): p. 137-158.
reference ||| 33. Petronio, S., The boundaries of privacy: Praxis of
reference ||| everyday life, in Balancing the secrets of private
reference ||| disclosures, S. Petronio, Editor. 2000, Lawrence
reference ||| Erlbaum Associates: Mahwah, N. J. p. 37-50.
reference ||| 34. Petronio, S., et al., (mis)communicating across
reference ||| boundaries. Communication Research, 1998: p. 571-
reference ||| 595.
page ||| 1109
note ||| CHI 2008 Proceedings Â· Shared Authoring	April 5-10, 2008 Â· Florence, Italy
reference ||| 35. Raymond, E., The cathedral and the bazaar.
reference ||| Knowledge and Policy, 1999. 12(3).
reference ||| 36. Ren, Y., R.E. Kraut, and S. Kiesler, Applying common
reference ||| identity and bond theory to the design of online
reference ||| communities. In press, 2006.
reference ||| 37. Riva, G. and C. Galimberti, Computer-mediated
reference ||| communication: Identity and social interaction in an
reference ||| electronic environment. Genetic, Social &amp; General
reference ||| Psychology Monographs, 1998. 124(4): p. 434-463.
reference ||| 38. Roberts, J.A., I.-H. Hann, and S.A. Slaughter,
reference ||| Understanding the motivations, participation, and
reference ||| performance of open source software developers: A
reference ||| longitudinal study of the apache projects. Management
reference ||| Science, 2006. 52(7): p. 984-999.
reference ||| 39. Simon, H., Bounded rationality and organizational
reference ||| learning. Organization Science, 1991. 2(1): p. 125-134.
reference ||| 40. Slaughter, S.A. and L.J. Kirsch, The effectiveness of
reference ||| knowledge transfer portfolios on software process
reference ||| improvement: A field study. Information Systems
reference ||| Research, 2006. 17(3): p. 301-320.
reference ||| 41. Stewart, K.J. and S. Gosain, The impact of ideology on
reference ||| effectiveness in open source software development
reference ||| teams. MIS Quarterly, 2006. 30(2): p. 291-314.
reference ||| 42. Viegas, F., M. Wattenberg, and K. Dave, Studying
reference ||| cooperation and conflict between authors with history
reference ||| flow visualizations, in Conference on Human Factors
reference ||| in Computing Systems (CHI). 2004: Vienna, Austria.
reference ||| 43. Viegas, F.B., et al. Talk before you type: Coordination
reference ||| in wikipedia. in Proceedings of the 40th Hawaii
reference ||| International Conference on System Sciences. 2007.
reference ||| Big Island, HI.
reference ||| 44. von Krogh, G., S. Spaeth, and K.R. Lakhani,
reference ||| Community, joining, and specialization in open source
reference ||| software innovation: A case study. Research Policy,
reference ||| 2003. 32(7): p. 1217-1241.
reference ||| 45. Wikipedia contributors, Ignore all rules. 2006,
reference ||| Wikipedia, The Free Encyclopedia.
reference ||| 46. Wikipedia contributors, Wikipedia talk:Biographies of
reference ||| living persons 2007, Wikipedia, The Free
reference ||| Encyclopedia.
reference ||| 47. Wikipedia contributors, Wikipedia talk: Copyrights
reference ||| 2007, Wikipedia, The Free Encyclopedia.
reference ||| 48. Wikipedia contributors, Wikipedia: Policies and
reference ||| guidelines. 2007, Wikipedia, The Free Encyclopedia.
reference ||| 49. Wikipedia contributors, Wikipedia: Consensus. 2007,
reference ||| Wikipedia, The Free Encyclopedia.
reference ||| 50. Wikipedia contributors, Wikipedia: Criteria for speedy
reference ||| deletion. 2007, Wikipedia, The Free Encyclopedia.
reference ||| 51. Wikipedia contributors, Wikipedia:Neutral point of
reference ||| view. 2007, Wikipedia, The Free Encyclopedia.
reference ||| 52. Zhang, X.M. and F. Zhu, Intrinsic motivation of open
reference ||| content contributors: The case of wikipedia, in
reference ||| Workshop on Information Systems and Economics.
reference ||| 2006: Evanston, IL.
reference ||| 53. ZlatiÄ, V., et al., Wikipedias: Collaborative web-based
reference ||| encyclopedias as complex networks. Physical Review,
reference ||| 2006. 74(016115).
page ||| 1110
