title ||| Investigations on Word Senses and Word Usages
footnote ||| received a rating of 1.
table ||| Usim All		Usim Wf1U	WSsim Wf1U
table ||| ann.	p	p	ann.	p
table ||| 4	0.383	0.330	1	-0.520
table ||| 5	0.498	0.635	2	-0.503
table ||| 6	0.584	0.631	3	-0.463
tableCaption ||| Table 5: Annotator correlation with LEXSUB sub-
tableCaption ||| stitute overlap (inter)
bodyText ||| whereas INTER is a measure of similarity, the cor-
bodyText ||| relation is negative. The results are highly signif-
bodyText ||| icant with individual p-values from < 1.067e-10
bodyText ||| to < 1.551e-08 and a mean correlation of -0.495.
bodyText ||| The results in the first and third block of table 5 are
bodyText ||| not directly comparable, as the results in the first
bodyText ||| block are for all Usim data and not the subset of
bodyText ||| LEXSUB with WSsim annotations. We therefore
bodyText ||| repeated the analysis for Usim on the subset of
bodyText ||| data in WSsim and provide the correlation in the
bodyText ||| middle section of table 5. The mean correlation
bodyText ||| for Usim on this subset of the data is 0.532, which
bodyText ||| is a stronger relationship compared to WSsim, al-
bodyText ||| though there is more discrepancy between individ-
bodyText ||| ual annotators, with the result for annotator 4 giv-
bodyText ||| ing a p-value = 9.139e-05 while the other two an-
bodyText ||| notators had p-values < 2.2e-16.
bodyText ||| The LEXSUB substitute overlaps between dif-
bodyText ||| ferent usages correlate well with both Usim and
bodyText ||| WSsim judgments, with a slightly stronger rela-
bodyText ||| tionship to Usim, perhaps due to the more compli-
bodyText ||| cated representation of word meaning in WSsim
bodyText ||| which uses the full set of WordNet senses.
subsectionHeader ||| 4.3 Correlation between WSsim and Usim
bodyText ||| As we showed in section 4.1, WSsim correlates
bodyText ||| with previous word sense annotations in SemCor
bodyText ||| and SE-3 while allowing the user a more graded
bodyText ||| response to sense tagging. As we saw in sec-
bodyText ||| tion 4.2, Usim and WSsim judgments both have a
bodyText ||| highly significant correlation with similarity of us-
bodyText ||| ages as measured using the overlap of substitutes
bodyText ||| from LEXSUB. Here, we look at the correlation
bodyText ||| of WSsim and Usim, considering again the sub-
bodyText ||| set of data that is common to both experiments.
bodyText ||| We again transform WSsim sense judgments for
bodyText ||| individual sentences to distances between SPAIRs
bodyText ||| using Euclidean Distance (ED). The Spearman’s
bodyText ||| p range between —0.307 and —0.671, and all re-
bodyText ||| sults are highly significant with p-values between
bodyText ||| 0.0003 and < 2.2e-16. As above, the correla-
bodyText ||| tion is negative because ED is a distance measure
bodyText ||| between sentences in an SPAIR, whereas the judg-
equation ||| ED(J1,J2) = V1(
equation ||| n
equation ||| �
equation ||| i=1
page ||| 16
bodyText ||| ments for Usim are similarity judgments. We see
bodyText ||| that there is highly significant correlation for every
bodyText ||| pairing of annotators from the two experiments.
sectionHeader ||| 5 Discussion
bodyText ||| Validity of annotation scheme. Annotator rat-
bodyText ||| ings show highly significant correlation on both
bodyText ||| tasks. This shows that the tasks are well-defined.
bodyText ||| In addition, there is a strong correlation between
bodyText ||| WSsim and Usim, which indicates that the poten-
bodyText ||| tial bias introduced by the use of dictionary senses
bodyText ||| in WSsim is not too prominent. However, we note
bodyText ||| that WSsim only contained a small portion of 3
bodyText ||| lemmas (30 sentences and 135 SPAIRs) in com-
bodyText ||| mon with Usim, so more annotation is needed to
bodyText ||| be certain of this relationship. Given the differ-
bodyText ||| ences between annotator 1 and the other annota-
bodyText ||| tors in Fig. 1, it would be interesting to collect
bodyText ||| judgments for additional annotators.
bodyText ||| Graded judgments of use similarity and sense
bodyText ||| applicability. The annotators made use of the
bodyText ||| full spectrum of ratings, as shown in Figures 1 and
bodyText ||| 4. This may be because of a graded perception of
bodyText ||| the similarity of uses as well as senses, or because
bodyText ||| some uses and senses are very similar. Table 4
bodyText ||| shows that for a large number of WSsim items,
bodyText ||| multiple senses that were not significantly posi-
bodyText ||| tively correlated got high ratings. This seems to
bodyText ||| indicate that the ratings we obtained cannot sim-
bodyText ||| ply be explained by more coarse-grained senses. It
bodyText ||| may hence be reasonable to pursue computational
bodyText ||| models of word meaning that are graded, maybe
bodyText ||| even models that do not rely on dictionary senses
bodyText ||| at all (Erk and Pado, 2008).
bodyText ||| Comparison to previous word sense annotation.
bodyText ||| Our graded WSsim annotations do correlate with
bodyText ||| traditional “best fitting sense” annotations from
bodyText ||| SemCor and SE-3; however, if annotators perceive
bodyText ||| similarity between uses and senses as graded, tra-
bodyText ||| ditional word sense annotation runs the risk of in-
bodyText ||| troducing bias into the annotation.
bodyText ||| Comparison to lexical substitutions. There is a
bodyText ||| strong correlation between both Usim and WSsim
bodyText ||| and the overlap in paraphrases that annotators gen-
bodyText ||| erated for LEXSUB. This is very encouraging, and
bodyText ||| especially interesting because LEXSUB annotators
bodyText ||| freely generated paraphrases rather than selecting
bodyText ||| them from a list.
sectionHeader ||| 6 Conclusions
bodyText ||| We have introduced a novel annotation paradigm
bodyText ||| for word sense annotation that allows for graded
bodyText ||| judgments and for some variation between anno-
bodyText ||| tators. We have used this annotation paradigm
bodyText ||| in two experiments, WSsim and Usim, that shed
bodyText ||| some light on the question of whether differences
bodyText ||| between word usages are perceived as categorial
bodyText ||| or graded. Both datasets will be made publicly
bodyText ||| available. There was a high correlation between
bodyText ||| annotator judgments within and across tasks, as
bodyText ||| well as with previous word sense annotation and
bodyText ||| with paraphrases proposed in the English Lex-
bodyText ||| ical Substitution task. Annotators made ample
bodyText ||| use of graded judgments in a way that cannot
bodyText ||| be explained through more coarse-grained senses.
bodyText ||| These results suggest that it may make sense to
bodyText ||| evaluate WSD systems on a task of graded rather
bodyText ||| than categorial meaning characterization, either
bodyText ||| through dictionary senses or similarity between
bodyText ||| uses. In that case, it would be useful to have more
bodyText ||| extensive datasets with graded annotation, even
bodyText ||| though this annotation paradigm is more time con-
bodyText ||| suming and thus more expensive than traditional
bodyText ||| word sense annotation.
bodyText ||| As a next step, we will automatically cluster the
bodyText ||| judgments we obtained in the WSsim and Usim
bodyText ||| experiments to further explore the degree to which
bodyText ||| the annotation gives rise to sense grouping. We
bodyText ||| will also use the ratings in both experiments to
bodyText ||| evaluate automatically induced models of word
bodyText ||| meaning. The SemEval-2007 word sense induc-
bodyText ||| tion task (Agirre and Soroa, 2007) already allows
bodyText ||| for evaluation of automatic sense induction sys-
bodyText ||| tems, but compares output to gold-standard senses
bodyText ||| from OntoNotes. We hope that the Usim dataset
bodyText ||| will be particularly useful for evaluating methods
bodyText ||| which relate usages without necessarily producing
bodyText ||| hard clusters. Also, we will extend the current
bodyText ||| dataset using more annotators and exploring ad-
bodyText ||| ditional lexicon resources.
sectionHeader ||| Acknowledgments. We acknowledge support
sectionHeader ||| from the UK Royal Society for a Dorothy Hodkin
sectionHeader ||| Fellowship to the second author. We thank Sebas-
sectionHeader ||| tian Pado for many helpful discussions, and An-
sectionHeader ||| drew Young for help with the interface.
sectionHeader ||| References
reference ||| E. Agirre and A. Soroa. 2007. SemEval-2007
reference ||| task 2: Evaluating word sense induction and dis-
page ||| 17
reference ||| crimination systems. In Proceedings of the 4th
reference ||| International Workshop on Semantic Evaluations
reference ||| (SemEval-2007), pages 7–12, Prague, Czech Repub-
reference ||| lic.
reference ||| J. Bybee and D. Eddington. 2006. A usage-based ap-
reference ||| proach to Spanish verbs of ’becoming’. Language,
reference ||| 82(2):323–355.
reference ||| J. Chen and M. Palmer. 2009. Improving English
reference ||| verb sense disambiguation performance with lin-
reference ||| guistically motivated features and clear sense dis-
reference ||| tinction boundaries. Journal of Language Resources
reference ||| and Evaluation, Special Issue on SemEval-2007. in
reference ||| press.
reference ||| K. Erk and S. Pado. 2008. A structured vector space
reference ||| model for word meaning in context. In Proceedings
reference ||| of EMNLP-08, Waikiki, Hawaii.
reference ||| J. A. Hampton. 1979. Polymorphous concepts in se-
reference ||| mantic memory. Journal of Verbal Learning and
reference ||| Verbal Behavior, 18:441–461.
reference ||| J. A. Hampton. 2007. Typicality, graded membership,
reference ||| and vagueness. Cognitive Science, 31:355–384.
reference ||| P. Hanks. 2000. Do word meanings exist? Computers
reference ||| and the Humanities, 34(1-2):205–215(11).
reference ||| E. H. Hovy, M. Marcus, M. Palmer, S. Pradhan,
reference ||| L. Ramshaw, and R. Weischedel. 2006. OntoNotes:
reference ||| The 90% solution. In Proceedings of the Hu-
reference ||| man Language Technology Conference of the North
reference ||| American Chapter of the ACL (NAACL-2006), pages
reference ||| 57–60, New York.
reference ||| N. Ide and Y. Wilks. 2006. Making sense about
reference ||| sense. In E. Agirre and P. Edmonds, editors,
reference ||| Word Sense Disambiguation, Algorithms and Appli-
reference ||| cations, pages 47–73. Springer.
reference ||| A. Kilgarriff and J. Rosenzweig. 2000. Framework
reference ||| and results for English Senseval. Computers and the
reference ||| Humanities, 34(1-2):15–48.
reference ||| A. Kilgarriff. 1997. I don’t believe in word senses.
reference ||| Computers and the Humanities, 31(2):91–113.
reference ||| A. Kilgarriff. 2006. Word senses. In E. Agirre
reference ||| and P. Edmonds, editors, Word Sense Disambigua-
reference ||| tion, Algorithms and Applications, pages 29–46.
reference ||| Springer.
reference ||| R. Krishnamurthy and D. Nicholls. 2000. Peeling
reference ||| an onion: the lexicographers’ experience of man-
reference ||| ual sense-tagging. Computers and the Humanities,
reference ||| 34(1-2).
reference ||| S. Landes, C. Leacock, and R. Tengi. 1998. Build-
reference ||| ing semantic concordances. In C. Fellbaum, editor,
reference ||| WordNet: An Electronic Lexical Database. The MIT
reference ||| Press, Cambridge, MA.
reference ||| M. Lapata. 2006. Automatic evaluation of information
reference ||| ordering. Computational Linguistics, 32(4):471–
reference ||| 484.
reference ||| D. McCarthy and R. Navigli. 2007. SemEval-2007
reference ||| task 10: English lexical substitution task. In Pro-
reference ||| ceedings of the 4th International Workshop on Se-
reference ||| mantic Evaluations (SemEval-2007), pages 48–53,
reference ||| Prague, Czech Republic.
reference ||| M. McCloskey and S. Glucksberg. 1978. Natural cat-
reference ||| egories: Well defined or fuzzy sets? Memory &
reference ||| Cognition, 6:462–472.
reference ||| R. Mihalcea, T. Chklovski, and A. Kilgarriff. 2004.
reference ||| The Senseval-3 English lexical sample task. In
reference ||| 3rd International Workshop on Semantic Evalua-
reference ||| tions (SensEval-3) atACL-2004, Barcelona, Spain.
reference ||| G. Miller and W. Charles. 1991. Contextual correlates
reference ||| of semantic similarity. Language and cognitive pro-
reference ||| cesses, 6(1):1–28.
reference ||| G. L. Murphy. 2002. The Big Book of Concepts. MIT
reference ||| Press.
reference ||| R. Navigli, K. C. Litkowski, and O. Hargraves.
reference ||| 2007. SemEval-2007 task 7: Coarse-grained En-
reference ||| glish all-words task. In Proceedings of the 4th
reference ||| International Workshop on Semantic Evaluations
reference ||| (SemEval-2007), pages 30–35, Prague, Czech Re-
reference ||| public.
reference ||| P. Resnik and D. Yarowsky. 2000. Distinguishing
reference ||| systems and distinguishing senses: New evaluation
reference ||| methods for word sense disambiguation. Natural
reference ||| Language Engineering, 5(3):113–133.
reference ||| E. Rosch and C. B. Mervis. 1975. Family resem-
reference ||| blance: Studies in the internal structure of cate-
reference ||| gories. Cognitive Psychology, 7:573–605.
reference ||| E. Rosch. 1975. Cognitive representations of seman-
reference ||| tic categories. Journal of Experimental Psychology:
reference ||| General, 104:192–233.
reference ||| H. Rubenstein and J. Goodenough. 1965. Contextual
reference ||| correlates of synonymy. Computational Linguistics,
reference ||| 8:627–633.
reference ||| S. Sharoff. 2006. Open-source corpora: Using the net
reference ||| to fish for linguistic data. International Journal of
reference ||| Corpus Linguistics, 11(4):435–462.
reference ||| C. Stokoe. 2005. Differentiating homonymy and pol-
reference ||| ysemy in information retrieval. In Proceedings of
reference ||| HLT/EMNLP-05, pages 403–410, Vancouver, B.C.,
reference ||| Canada.
page ||| 18
