title ||| Cross Language Dependency Parsing using a Bilingual Lexicon*
bodyText ||| languages. Thus it is somewhat surprising that
bodyText ||| we show a translated English treebank may help
bodyText ||| Chinese parsing, as English and Chinese even be-
bodyText ||| long to two different language systems. However,
bodyText ||| it will not be so strange if we recognize that PTB
bodyText ||| and CTB share very similar guidelines on POS and
bodyText ||| syntactics annotation. Since it will be too abstract
bodyText ||| in discussing the details of the annotation guide-
bodyText ||| lines, we look into the similarities of two treebanks
bodyText ||| from the matching degree of two word pair lists.
bodyText ||| The reason is that the effectiveness of the proposed
bodyText ||| method actually relies on how many word pairs at
bodyText ||| every parsing states can find their full or partial
bodyText ||| matched partners in the translated word pair list.
bodyText ||| Table 6 shows such a statistics on the matching
bodyText ||| degree distribution from all training samples for
bodyText ||| Chinese parsing. The statistics in the table suggest
bodyText ||| that most to-be-check word pairs during parsing
bodyText ||| have a full or partial hitting in the translated word
bodyText ||| pair list. The latter then obtains an opportunity to
bodyText ||| provide a great deal of useful guideline informa-
bodyText ||| tion to help determine how the former should be
bodyText ||| tackled. Therefore we have cause for attributing
bodyText ||| the effectiveness of the proposed method to the
bodyText ||| similarity of these two treebanks. From Table 6,
page ||| 61
bodyText ||| we also find that the partial matching strategy de-
bodyText ||| fined in Section 5 plays a very important role in
bodyText ||| improving the whole matching degree. Note that
bodyText ||| our approach is not too related to the characteris-
bodyText ||| tics of two languages. Our discussion here brings
bodyText ||| an interesting issue, which difference is more im-
bodyText ||| portant in cross language processing, between two
bodyText ||| languages themselves or the corresponding anno-
bodyText ||| tated corpora? This may be extensively discussed
bodyText ||| in the future work.
tableCaption ||| Table 6: Matching degree distribution
table ||| dependant-match head-match Percent (%)
table ||| None	None	9.6
table ||| None	Partial	16.2
table ||| None	Full	9.9
table ||| Partial	None	12.4
table ||| Partial	Partial	42.6
table ||| Partial	Full	7.3
table ||| Full	None	3.7
table ||| Full	Partial	7.0
table ||| Full	Full	0.2
bodyText ||| Note that only a bilingual lexicon is adopted in
bodyText ||| our approach. We regard it one of the most mer-
bodyText ||| its for our approach. A lexicon is much easier to
bodyText ||| be obtained than an annotated corpus. One of the
bodyText ||| remained question about this work is if the bilin-
bodyText ||| gual lexicon should be very specific for this kind
bodyText ||| of tasks. According to our experiences, actually, it
bodyText ||| is not so sensitive to choose a highly refined lexi-
bodyText ||| con or not. We once found many words, mostly
bodyText ||| named entities, were outside the lexicon. Thus
bodyText ||| we managed to collect a named entity translation
bodyText ||| dictionary to enhance the original one. However,
bodyText ||| this extra effort did not receive an observable per-
bodyText ||| formance improvement in return. Finally we re-
bodyText ||| alize that a lexicon that can guarantee two word
bodyText ||| pair lists highly matched is sufficient for this work,
bodyText ||| and this requirement may be conveniently satis-
bodyText ||| fied only if the lexicon consists of adequate high-
bodyText ||| frequent words from the source treebank.
sectionHeader ||| 8 Conclusion and Future Work
bodyText ||| We propose a method to enhance dependency
bodyText ||| parsing in one language by using a translated tree-
bodyText ||| bank from another language. A simple statisti-
bodyText ||| cal machine translation technique, word-by-word
bodyText ||| decoding, where only a bilingual lexicon is nec-
bodyText ||| essary, is used to translate the source treebank.
bodyText ||| As dependency parsing is concerned with the re-
bodyText ||| lations of word pairs, only those word pairs with
bodyText ||| dependency relations in the translated treebank are
bodyText ||| chosen to generate some additional features to en-
bodyText ||| hance the parser for the target language. The ex-
bodyText ||| perimental results in English and Chinese tree-
bodyText ||| banks show the proposed method is effective and
bodyText ||| helps the Chinese parser in this work achieve a
bodyText ||| state-of-the-art result.
bodyText ||| Note that our method is evaluated in two tree-
bodyText ||| banks with a similar annotation style and it avoids
bodyText ||| using too many linguistic properties. Thus the
bodyText ||| method is in the hope of being used in other simi-
bodyText ||| larly annotated treebanks 5. For an immediate ex-
bodyText ||| ample, we may adopt a translated Chinese tree-
bodyText ||| bank to improve English parsing. Although there
bodyText ||| are still something to do, the remained key work
bodyText ||| has been as simple as considering how to deter-
bodyText ||| mine the matching strategy for searching the trans-
bodyText ||| lated word pair list in English according to the
bodyText ||| framework of our method. .
sectionHeader ||| Acknowledgements
bodyText ||| We’d like to give our thanks to three anonymous
bodyText ||| reviewers for their insightful comments, Dr. Chen
bodyText ||| Wenliang for for helpful discussions and Mr. Liu
bodyText ||| Jun for helping us fix a bug in our scoring pro-
bodyText ||| gram.
sectionHeader ||| References
reference ||| Peter F. Brown, John Cocke, Stephen A. Della Pietra,
reference ||| Vincent J. Della Pietra, Fredrick Jelinek, John D.
reference ||| Lafferty, Robert L. Mercer, and Paul S. Roossin.
reference ||| 1990. A statistical approach to machine translation.
reference ||| Computational Linguistics, 16(2):79–85.
reference ||| David Burkett and Dan Klein. 2008. Two lan-
reference ||| guages are better than one (for syntactic parsing). In
reference ||| EMNLP-2008, pages 877–886, Honolulu, Hawaii,
reference ||| USA.
reference ||| Wenliang Chen, Daisuke Kawahara, Kiyotaka Uchi-
reference ||| moto, Yujie Zhang, and Hitoshi Isahara. 2008. De-
reference ||| pendency parsing with short dependency relations
reference ||| in unlabeled data. In Proceedings of IJCNLP-2008,
reference ||| Hyderabad, India, January 8-10.
reference ||| Xiangyu Duan, Jun Zhao, and Bo Xu. 2007. Proba-
reference ||| bilistic parsing action models for multi-lingual de-
reference ||| pendency parsing. In Proceedings of the CoNLL
reference ||| Shared Task Session of EMNLP-CoNLL 2007, pages
reference ||| 940–946, Prague, Czech, June 28-30.
reference ||| Johan Hall, Jens Nilsson, Joakim Nivre,
reference ||| G¨ulsen Eryiˇgit, Be´ata Megyesi, Mattias Nils-
reference ||| son, and Markus Saers. 2007. Single malt or
footnote ||| 5For example, Catalan and Spanish treebanks from the
footnote ||| AnCora(-Es/Ca) Multilevel Annotated Corpus that are an-
footnote ||| notated by the Universitat de Barcelona (CLiC-UB) and the
footnote ||| Universitat Politecnica de Catalunya (UPC).
page ||| 62
reference ||| blended? a study in multilingual parser optimiza-
reference ||| tion. In Proceedings of the CoNLL Shared Task
reference ||| Session of EMNLP-CoNLL 2007, pages 933–939,
reference ||| Prague, Czech, June.
reference ||| Terry Koo, Xavier Carreras, and Michael Collins.
reference ||| 2008. Simple semi-supervised dependency parsing.
reference ||| In Proceedings of ACL-08: HLT, pages 595–603,
reference ||| Columbus, Ohio, USA, June.
reference ||| David McClosky, Eugene Charniak, and Mark John-
reference ||| son. 2006. Reranking and self-training for parser
reference ||| adaptation. In Proceedings of ACL-COLING 2006,
reference ||| pages 337–344, Sydney, Australia, July.
reference ||| Ryan McDonald and Joakim Nivre. 2007. Charac-
reference ||| terizing the errors of data-driven dependency pars-
reference ||| ing models. In Proceedings of the 2007 Joint Con-
reference ||| ference on Empirical Methods in Natural Language
reference ||| Processing and Computational Natural Language
reference ||| Learning (EMNLP-CoNLL 2007), pages 122–131,
reference ||| Prague, Czech, June 28-30.
reference ||| Ryan McDonald and Fernando Pereira. 2006. Online
reference ||| learning of approximate dependency parsing algo-
reference ||| rithms. In Proceedings of EACL-2006, pages 81–88,
reference ||| Trento, Italy, April.
reference ||| Ryan McDonald, Koby Crammer, and Fernando
reference ||| Pereira. 2005. Online large-margin training of de-
reference ||| pendency parsers. In Proceedings of ACL-2005,
reference ||| pages 91–98, Ann Arbor, Michigan, USA, June 25-
reference ||| 30.
reference ||| Paola Merlo, Suzanne Stevenson, Vivian Tsang, and
reference ||| Gianluca Allaria. 2002. A multilingual paradigm
reference ||| for automatic verb classification. In ACL-2002,
reference ||| pages 207–214, Philadelphia, Pennsylvania, USA.
reference ||| Joakim Nivre, Johan Hall, Sandra K¨ubler, Ryan Mc-
reference ||| Donald, Jens Nilsson, Sebastian Riedel, and Deniz
reference ||| Yuret. 2007. The conll 2007 shared task on de-
reference ||| pendency parsing. In Proceedings of the CoNLL
reference ||| Shared Task Session of EMNLP-CoNLL 2007, page
reference ||| 915 - 932, Prague, Czech, June.
reference ||| Joakim Nivre. 2003. An efficient algorithm for projec-
reference ||| tive dependency parsing. In Proceedings of IWPT-
reference ||| 2003), pages 149–160, Nancy, France, April 23-25.
reference ||| Franz Josef Och and Hermann Ney. 2002. Discrimina-
reference ||| tive training and maximum entropy models for sta-
reference ||| tistical machine translation. In Proceedings ofACL-
reference ||| 2002, pages 295–302, Philadelphia, USA, July.
reference ||| Roi Reichart and Ari Rappoport. 2007. Self-training
reference ||| for enhancement and domain adaptation of statistical
reference ||| parsers trained on small datasets. In Proceedings of
reference ||| ACL-2007, pages 616–623, Prague, Czech Republic,
reference ||| June.
reference ||| Kenji Sagae and Jun' ichi Tsujii. 2007. Dependency
reference ||| parsing and domain adaptation with lr models and
reference ||| parser ensembles. In Proceedings of the CoNLL
reference ||| Shared Task Session of EMNLP-CoNLL 2007, page
reference ||| 1044 - 1050, Prague, Czech, June 28-30.
reference ||| Noah A. Smith and Jason Eisner. 2006. Annealing
reference ||| structural bias in multilingual weighted grammar in-
reference ||| duction. In Proceedings of ACL-COLING 2006,
reference ||| page 569 - 576, Sydney, Australia, July.
reference ||| Mark Steedman, Miles Osborne, Anoop Sarkar,
reference ||| Stephen Clark, Rebecca Hwa, Julia Hockenmaier,
reference ||| Paul Ruhlen, Steven Baker, and Jeremiah Crim.
reference ||| 2003. Bootstrapping statistical parsers from small
reference ||| datasets. In Proceedings of EACL-2003, page
reference ||| 331 - 338, Budapest, Hungary, April.
reference ||| Qin Iris Wang and Dale Schuurmans. 2008. Semi-
reference ||| supervised convex training for dependency parsing.
reference ||| In Proceedings of ACL-08: HLT, pages 532–540,
reference ||| Columbus, Ohio, USA, June.
reference ||| Qin Iris Wang, Dale Schuurmans, and Dekang Lin.
reference ||| 2005. Strictly lexical dependency parsing. In Pro-
reference ||| ceedings of IWPT-2005, pages 152–159, Vancouver,
reference ||| BC, Canada, October.
reference ||| Qin Iris Wang, Dekang Lin, and Dale Schuurmans.
reference ||| 2007. Simple training of dependency parsers via
reference ||| structured boosting. In Proceedings of IJCAI 2007,
reference ||| pages 1756–1762, Hyderabad, India, January.
reference ||| Hiroyasu Yamada and Yuji Matsumoto. 2003. Sta-
reference ||| tistical dependency analysis with support vector
reference ||| machines. In Proceedings of IWPT-2003), page
reference ||| 195 - 206, Nancy, France, April.
reference ||| Kun Yu, Daisuke Kawahara, and Sadao Kurohashi.
reference ||| 2008. Chinese dependency parsing with large
reference ||| scale automatically constructed case structures. In
reference ||| Proceedings of COLING-2008, pages 1049–1056,
reference ||| Manchester, UK, August.
reference ||| Daniel Zeman and Philip Resnik. 2008. Cross-
reference ||| language parser adaptation between related lan-
reference ||| guages. In Proceedings of IJCNLP 2008 Workshop
reference ||| on NLP for Less Privileged Languages, pages 35–
reference ||| 42, Hyderabad, India, January.
reference ||| Hai Zhao and Chunyu Kit. 2008. Parsing syntactic and
reference ||| semantic dependencies with two single-stage max-
reference ||| imum entropy models. In Proceeding of CoNLL-
reference ||| 2008, pages 203–207, Manchester, UK.
reference ||| Hai Zhao, Wenliang Chen, Chunyu Kit, and Guodong
reference ||| Zhou. 2009. Multilingual dependency learning:
reference ||| A huge feature engineering method to semantic de-
reference ||| pendency parsing. In Proceedings of CoNLL-2009,
reference ||| Boulder, Colorado, USA.
reference ||| Hai Zhao. 2009. Character-level dependencies in
reference ||| chinese: Usefulness and learning. In EACL-2009,
reference ||| pages 879–887, Athens, Greece.
page ||| 63
