title ||| Topological Field Parsing of German
table ||| Problem	Freq.
table ||| Misidentification of Parentheticals	19
table ||| Coordination problems	13
table ||| Too few SIMPX	10
table ||| Paired punctuation problem	9
table ||| Other clause boundary errors	7
table ||| Other	6
table ||| Too many SIMPX	3
table ||| Clause type misidentification	2
table ||| MF/NF boundary	2
table ||| LV	2
table ||| VF/MF boundary	2
tableCaption ||| Table 5: Types and frequency of parser errors in
tableCaption ||| the fifty worst scoring parses by F1-measure, us-
tableCaption ||| ing parameters (+ Gold tags, - Edge labels).
bodyText ||| Misidentification of Parentheticals Parentheti-
bodyText ||| cal constructions do not have any dependencies on
bodyText ||| the rest of the sentence, and exist as a mostly syn-
bodyText ||| tactically independent clause inside another sen-
bodyText ||| tence. They can occur at the beginning, end, or
bodyText ||| in the middle of sentences, and are often set off
bodyText ||| orthographically by punctuation. The parser has
bodyText ||| problems identifying parenthetical constructions,
bodyText ||| often positing a parenthetical construction when
bodyText ||| that constituent is actually attached to a topolog-
bodyText ||| ical field in a neighbouring clause. The follow-
bodyText ||| ing example shows one such misidentification in
bodyText ||| bracket notation. Clause internal topological fields
bodyText ||| are omitted for clarity.
listItem ||| (2) (a) TÂ¨uBa-D/Z: (SIMPX Weder das Ausmafi der
bodyText ||| SchÂ¨onheit noch der frÂ¨uhere oder spÂ¨atere
bodyText ||| Zeitpunkt der Geburt macht einen der Zwillinge
bodyText ||| fÂ¨ur eine Mutter mehr oder weniger echt /
bodyText ||| authentisch / Â¨uberlegen).
listItem ||| (b) Parser: (SIMPX Weder das Ausmafi der
bodyText ||| SchÂ¨onheit noch der frÂ¨uhere oder spÂ¨atere
bodyText ||| Zeitpunkt der Geburt macht einen der Zwillinge
bodyText ||| fÂ¨ur eine Mutter mehr oder weniger echt)
bodyText ||| (PARENTHETICAL / authentisch /
bodyText ||| Â¨uberlegen.)
listItem ||| (c) Translation: âNeither the degree of beauty nor
bodyText ||| the earlier or later time of birth makes one of the
bodyText ||| twins any more or less real/authentic/superior to
bodyText ||| a mother.â
bodyText ||| We hypothesized earlier that lexicalization is
bodyText ||| unlikely to give us much improvement in perfor-
bodyText ||| mance, because topological fields work on a do-
bodyText ||| main that is higher than that of lexical dependen-
bodyText ||| cies such as subcategorization frames. However,
bodyText ||| given the locally independent nature of legitimate
bodyText ||| parentheticals, a limited form of lexicalization or
bodyText ||| some other form of stronger contextual informa-
bodyText ||| tion might be needed to improve identification per-
bodyText ||| formance.
bodyText ||| Coordination Problems The second most com-
bodyText ||| mon type of error involves field and clause coordi-
bodyText ||| nations. This category includes missing or incor-
bodyText ||| rect FKOORD fields, and conjunctions of clauses
bodyText ||| that are misidentified. In the following example,
bodyText ||| the conjoined MFs and following NF in the cor-
bodyText ||| rect parse tree are identified as a single long MF.
listItem ||| (3)	(a) TÂ¨uBa-D/Z: Auf dem europÂ¨aischen Kontinent
bodyText ||| aber hat (FKOORD (MF kein Land und keine
bodyText ||| Macht ein derartiges Interesse an guten
bodyText ||| Beziehungen zu Ruf land) und (MF auch kein
bodyText ||| Land solche Erfahrungen im Umgang mit
bodyText ||| Ruf land)) (NF wie Deutschland).
listItem ||| (b) Parser: Auf dem europÂ¨aischen Kontinent aber
bodyText ||| hat (MF kein Land und keine Macht ein
bodyText ||| derartiges Interesse an guten Beziehungen zu
bodyText ||| Ruf land und auch kein Land solche
bodyText ||| Erfahrungen im Umgang mit Ruf land wie
bodyText ||| Deutschland).
listItem ||| (c) Translation: âOn the European continent,
bodyText ||| however, no land and no power has such an
bodyText ||| interest in good relations with Russia (as
bodyText ||| Germany), and also no land (has) such
bodyText ||| experience in dealing with Russia as Germany.â
bodyText ||| Other Clause Errors Other clause-level errors
bodyText ||| include the parser predicting too few or too many
bodyText ||| clauses, or misidentifying the clause type. Clauses
bodyText ||| are sometimes confused with NFs, and there is one
bodyText ||| case of a relative clause being misidentified as a
page ||| 70
bodyText ||| main clause with an intransitive verb, as the finite
bodyText ||| verb appears at the end of the clause in both cases.
bodyText ||| Some clause errors are tied to incorrect treatment
bodyText ||| of elliptical constructions, in which an element
bodyText ||| that is inferable from context is missing.
bodyText ||| Paired Punctuation Problems with paired
bodyText ||| punctuation are the fourth most common type of
bodyText ||| error. Punctuation is often a marker of clause
bodyText ||| or phrase boundaries. Thus, predicting paired
bodyText ||| punctuation incorrectly can lead to incorrect
bodyText ||| parses, as in the following example.
listItem ||| (4) (a) â Auch (SIMPX wenn der Krieg heute ein
bodyText ||| Mobilisierungsfaktor ist) â , so Pau, â (SIMPX
bodyText ||| die Leute sehen , dafi man fÂ¨ur die Arbeit wieder
bodyText ||| auf die Strafie gehen mufi) . â
listItem ||| (b) Parser: (SIMPX â (LV Auch (SIMPX wenn der
bodyText ||| Krieg heute ein Mobilisierungsfaktor ist)) â , so
bodyText ||| Pau, â (SIMPX die Leute sehen , dafi man fÂ¨ur
bodyText ||| die Arbeit wieder auf die Strafie gehen mufi)) . â
listItem ||| (c) Translation: âEven if the war is a factor for
bodyText ||| mobilization,â said Pau, âthe people see, that
bodyText ||| one must go to the street for employment again.â
bodyText ||| Here, the parser predicts a spurious SIMPX
bodyText ||| clause spanning the text of the entire sentence, but
bodyText ||| this causes the second pair of quotation marks to
bodyText ||| be parsed as belonging to two different clauses.
bodyText ||| The parser also predicts an incorrect LV field. Us-
bodyText ||| ing the paired punctuation constraint, our rerank-
bodyText ||| ing procedure was able to correct these errors.
bodyText ||| Surprisingly, there are cases in which paired
bodyText ||| punctuation does not belong inside the same
bodyText ||| clause in the gold parses. These cases are ei-
bodyText ||| ther extended quotations, in which each of the
bodyText ||| quotation mark pair occurs in a different sen-
bodyText ||| tence altogether, or cases where the second of the
bodyText ||| quotation mark pair must be positioned outside
bodyText ||| of other sentence-final punctuation due to ortho-
bodyText ||| graphic conventions. Sentence-final punctuation
bodyText ||| is typically placed outside a clause in this version
bodyText ||| of TÂ¨uBa-D/Z.
bodyText ||| Other Issues Other incorrect parses generated
bodyText ||| by the parser include problems with the infre-
bodyText ||| quently occurring topological fields like LV and
bodyText ||| DM, inability to determine the boundary between
bodyText ||| MF and NF in clauses without a VC field sepa-
bodyText ||| rating the two, and misidentifying appositive con-
bodyText ||| structions. Another issue is that although the
bodyText ||| parser output may disagree with the gold stan-
bodyText ||| dard tree in TÂ¨uBa-D/Z, the parser output may be
bodyText ||| a well-formed topological field parse for the same
bodyText ||| sentence with a different interpretation, for ex-
bodyText ||| ample because of attachment ambiguity. Each of
bodyText ||| the authors independently checked the fifty worst-
bodyText ||| scoring parses, and determined whether each parse
bodyText ||| produced by the Berkeley parser could be a well-
bodyText ||| formed topological parse. Where there was dis-
bodyText ||| agreement, we discussed our judgments until we
bodyText ||| came to a consensus. Of the fifty parses, we de-
bodyText ||| termined that nine, or 18%, could be legitimate
bodyText ||| parses. Another five, or 10%, differ from the gold
bodyText ||| standard parse only in the placement of punctua-
bodyText ||| tion. Thus, the Fl-measures we presented above
bodyText ||| may be underestimating the parserâs performance.
sectionHeader ||| 5 Conclusion and Future Work
bodyText ||| In this paper, we examined applying the latent-
bodyText ||| variable Berkeley parser to the task of topological
bodyText ||| field parsing of German, which aims to identify the
bodyText ||| high-level surface structure of sentences. Without
bodyText ||| any language or model-dependent adaptation, we
bodyText ||| obtained results which compare favourably to pre-
bodyText ||| vious work in topological field parsing. We further
bodyText ||| examined the results of doing a simple reranking
bodyText ||| process, constraining the output parse to put paired
bodyText ||| punctuation in the same clause. This reranking
bodyText ||| was found to result in a minor performance gain.
bodyText ||| Overall, the parser performs extremely well in
bodyText ||| identifying the traditional left and right brackets
bodyText ||| of the topological field model; that is, the fields
bodyText ||| C, LK, and VC. The parser achieves basically per-
bodyText ||| fect results on these fields in the TÂ¨uBa-D/Z corpus,
bodyText ||| with Fl-measure scores for each at over 98.5%.
bodyText ||| These scores are higher than previous work in the
bodyText ||| simpler task of topological field chunking. The fo-
bodyText ||| cus of future research should thus be on correctly
bodyText ||| identifying the infrequently occuring fields and
bodyText ||| constructions, with parenthetical constructions be-
bodyText ||| ing a particular concern. Possible avenues of fu-
bodyText ||| ture research include doing a more comprehensive
bodyText ||| discriminative reranking of the parser output. In-
bodyText ||| corporating more contextual information might be
bodyText ||| helpful to identify discourse-related constructions
bodyText ||| such as parentheses, and the DM and LV topolog-
bodyText ||| ical fields.
sectionHeader ||| Acknowledgements
bodyText ||| We are grateful to Markus Becker, Anette Frank,
bodyText ||| Sandra Kuebler, and Slav Petrov for their invalu-
bodyText ||| able help in gathering the resources necessary for
bodyText ||| our experiments. This work is supported in part
bodyText ||| by the Natural Sciences and Engineering Research
bodyText ||| Council of Canada.
page ||| 71
sectionHeader ||| References
reference ||| M. Becker and A. Frank. 2002. A stochastic topo-
reference ||| logical parser for German. In Proceedings of the
reference ||| 19th International Conference on Computational
reference ||| Linguistics, pages 71â77.
reference ||| S. Brants, S. Dipper, S. Hansen, W. Lezius, and
reference ||| G. Smith. 2002. The TIGER Treebank. In Proceed-
reference ||| ings of the Workshop on Treebanks and Linguistic
reference ||| Theories, pages 24â41.
reference ||| U. Callmeier. 2000. PETâa platform for experimen-
reference ||| tation with efficient HPSG processing techniques.
reference ||| Natural Language Engineering, 6(01):99â107.
reference ||| A. Dubey and F. Keller. 2003. Probabilistic parsing
reference ||| for German using sister-head dependencies. In Pro-
reference ||| ceedings of the 41st Annual Meeting of the Associa-
reference ||| tion for Computational Linguistics, pages 96â103.
reference ||| K.A. Foth, M. Daum, and W. Menzel. 2004. A
reference ||| broad-coverage parser for German based on defea-
reference ||| sible constraints. Constraint Solving and Language
reference ||| Processing.
reference ||| A. Frank, M. Becker, B. Crysmann, B. Kiefer, and
reference ||| U. Schaefer. 2003. Integrated shallow and deep
reference ||| parsing: TopP meets HPSG. In Proceedings of the
reference ||| 41st Annual Meeting of the Association for Compu-
reference ||| tational Linguistics, pages 104â111.
reference ||| W. Frey. 2004. Notes on the syntax and the pragmatics
reference ||| of German Left Dislocation. In H. Lohnstein and
reference ||| S. Trissler, editors, The Syntax and Semantics of the
reference ||| Left Periphery, pages 203â233. Mouton de Gruyter,
reference ||| Berlin.
reference ||| J. Hockenmaier. 2006. Creating a CCGbank and a
reference ||| Wide-Coverage CCG Lexicon for German. In Pro-
reference ||| ceedings of the 21st International Conference on
reference ||| Computational Linguistics and 44th Annual Meet-
reference ||| ing of the Association for Computational Linguis-
reference ||| tics, pages 505â512.
reference ||| T.N. HÂ¨ohle. 1983. Topologische Felder. Ph.D. thesis,
reference ||| KÂ¨oln.
reference ||| S. KÂ¨ubler, E.W. Hinrichs, and W. Maier. 2006. Is it re-
reference ||| ally that difficult to parse German? In Proceedings
reference ||| of EMNLP.
reference ||| M. Liepert. 2003. Topological Fields Chunking for
reference ||| German with SVMâs: Optimizing SVM-parameters
reference ||| with GAâs. In Proceedings of the International Con-
reference ||| ference on Recent Advances in Natural Language
reference ||| Processing (RANLP), Bulgaria.
reference ||| G. Neumann, C. Braun, and J. Piskorski. 2000. A
reference ||| Divide-and-Conquer Strategy for Shallow Parsing
reference ||| of German Free Texts. In Proceedings of the sixth
reference ||| conference on Applied natural language processing,
reference ||| pages 239â246. Morgan Kaufmann Publishers Inc.
reference ||| San Francisco, CA, USA.
reference ||| S. Petrov and D. Klein. 2008. Parsing German with
reference ||| Latent Variable Grammars. In Proceedings of the
reference ||| ACL-08: HLT Workshop on Parsing German (PaGe-
reference ||| 08), pages 33â39.
reference ||| S. Petrov, L. Barrett, R. Thibaux, and D. Klein. 2006.
reference ||| Learning accurate, compact, and interpretable tree
reference ||| annotation. In Proceedings of the 21st Interna-
reference ||| tional Conference on Computational Linguistics and
reference ||| 44th Annual Meeting of the Association for Compu-
reference ||| tational Linguistics, pages 433â440, Sydney, Aus-
reference ||| tralia, July. Association for Computational Linguis-
reference ||| tics.
reference ||| C. Rohrer and M. Forst. 2006. Improving coverage
reference ||| and parsing quality of a large-scale LFG for Ger-
reference ||| man. In Proceedings of the Language Resources
reference ||| and Evaluation Conference (LREC-2006), Genoa,
reference ||| Italy.
reference ||| W. Skut, T. Brants, B. Krenn, and H. Uszkoreit.
reference ||| 1998. A Linguistically Interpreted Corpus of Ger-
reference ||| man Newspaper Text. Proceedings of the ESSLLI
reference ||| Workshop on Recent Advances in Corpus Annota-
reference ||| tion.
reference ||| H. Telljohann, E. Hinrichs, and S. Kubler. 2004.
reference ||| The TÂ¨uBa-D/Z treebank: Annotating German with a
reference ||| context-free backbone. In Proceedings of the Fourth
reference ||| International Conference on Language Resources
reference ||| and Evaluation (LREC 2004), pages 2229â2235.
reference ||| H. Telljohann, E.W. Hinrichs, S. Kubler, and H. Zins-
reference ||| meister. 2006. Stylebook for the Tubingen Tree-
reference ||| bank of Written German (TÂ¨uBa-D/Z). Seminar fur
reference ||| Sprachwissenschaft, Universitat Tubingen, Tubin-
reference ||| gen, Germany.
reference ||| T. Ule. 2003. Directed Treebank Refinement for PCFG
reference ||| Parsing. In Proceedings of Workshop on Treebanks
reference ||| and Linguistic Theories (TLT) 2003, pages 177â188.
reference ||| J. Veenstra, F.H. MÂ¨uller, and T. Ule. 2002. Topolog-
reference ||| ical field chunking for German. In Proceedings of
reference ||| the Sixth Conference on Natural Language Learn-
reference ||| ing, pages 56â62.
page ||| 72
