title ||| Exploiting Heterogeneous Treebanks for Parsing
bodyText ||| 2000) (PDC) as unlabeled data for parsing. First
bodyText ||| we removed the sentences with less than 3 words
bodyText ||| or more than 40 words from PDC to ease pars-
bodyText ||| ing, resulting in 820k sentences. Then we ran the
bodyText ||| reranking parser in Section 4.2.2 on PDC and used
bodyText ||| the parses on PDC as additional training data for
bodyText ||| the generative parser. Here we tried the corpus
bodyText ||| weighting technique for an optimal combination
bodyText ||| of CTB, CDTP s and parsed PDC, and chose the
bodyText ||| relative weight of both CTB and CDTP s as 10
bodyText ||| by cross validation on the development set. Fi-
bodyText ||| nally we retrained the generative parser on CTB,
bodyText ||| CDTP s and parsed PDC. Furthermore, we used
bodyText ||| this self-trained generative parser as a base parser
bodyText ||| to retrain the reranker on CTB and CDTP s.
bodyText ||| Table 7 shows the performance of self-trained
bodyText ||| generative parser and updated reranker on the test
bodyText ||| set, with CTB and CDTP s as labeled data. We see
bodyText ||| that the use of unlabeled data by self-training fur-
bodyText ||| ther increased the reranking parserâs performance
bodyText ||| from 84.2% to 85.2%. Our results on Chinese data
bodyText ||| confirm previous findings on English data shown
bodyText ||| in (McClosky et al., 2006a; Reichart and Rap-
bodyText ||| poport, 2007).
footnote ||| 9Available at http://icl.pku.edu.cn/.
subsectionHeader ||| 4.4 Comparison with Previous Studies for
subsectionHeader ||| Chinese Parsing
bodyText ||| Table 8 and 9 present the results of previous stud-
bodyText ||| ies on CTB. All the works in Table 8 used CTB
bodyText ||| articles 1-270 as labeled data. In Table 9, Petrov
bodyText ||| and Klein (2007) trained their model on CTB ar-
bodyText ||| ticles 1-270 and 400-1151, and Burkett and Klein
bodyText ||| (2008) used the same CTB articles and parse trees
bodyText ||| of their English translation (from the English Chi-
bodyText ||| nese Translation Treebank) as training data. Com-
bodyText ||| paring our result in Table 6 with that of Petrov
bodyText ||| and Klein (2007), we see that CDTP s helps pars-
bodyText ||| ing on CTB, which brought 0.9% f-score improve-
bodyText ||| ment. Moreover, the use of unlabeled data further
bodyText ||| boosted the parsing performance to 85.2%, an ab-
bodyText ||| solute 1.0% improvement over the previous best
bodyText ||| result presented in Burkett and Klein (2008).
sectionHeader ||| 5 Related Work
bodyText ||| Recently there have been some studies address-
bodyText ||| ing how to use treebanks with same grammar for-
bodyText ||| malism for domain adaptation of parsers. Roark
bodyText ||| and Bachiani (2003) presented count merging and
bodyText ||| model interpolation techniques for domain adap-
bodyText ||| tation of parsers. They showed that their sys-
bodyText ||| tem with count merging achieved a higher perfor-
bodyText ||| mance when in-domain data was weighted more
bodyText ||| heavily than out-of-domain data. McClosky et al.
bodyText ||| (2006b) used self-training and corpus weighting to
bodyText ||| adapt their parser trained on WSJ corpus to Brown
bodyText ||| corpus. Their results indicated that both unla-
bodyText ||| beled in-domain data and labeled out-of-domain
bodyText ||| data can help domain adaptation. In comparison
bodyText ||| with these works, we conduct our study in a dif-
bodyText ||| ferent setting where we work with multiple het-
bodyText ||| erogeneous treebanks.
bodyText ||| Grammar formalism conversion makes it possi-
bodyText ||| ble to reuse existing source treebanks for the study
bodyText ||| of target grammar parsing. Wang et al. (1994)
bodyText ||| employed a parser to help conversion of a tree-
bodyText ||| bank from a simple phrase structure to a more in-
bodyText ||| formative phrase structure and then used this con-
bodyText ||| verted treebank to train their parser. Collins et al.
bodyText ||| (1999) performed statistical constituency parsing
bodyText ||| of Czech on a treebank that was converted from
bodyText ||| the Prague Dependency Treebank under the guid-
bodyText ||| ance of conversion rules and heuristic rules, e.g.,
bodyText ||| one level of projection for any category, minimal
bodyText ||| projection for any dependents, and fixed position
bodyText ||| of attachment. Xia and Palmer (2001) adopted bet-
bodyText ||| ter heuristic rules to build converted trees, which
page ||| 52
table ||| Models	&lt; 40 words			All the sentences
table ||| 	LR	LP	F	LR	LP	F
table ||| 	(%)	(%)	(%)	(%)	(%)	(%)
table ||| Bikel &amp; Chiang (2000)	76.8	77.8	77.3	-	-	-
table ||| Chiang &amp; Bikel (2002)	78.8	81.1	79.9	-	-	-
table ||| Levy &amp; Manning (2003)	79.2	78.4	78.8	-	-	-
table ||| Bikelâs thesis (2004)	78.0	81.2	79.6	-	-	-
table ||| Xiong et. al. (2005)	78.7	80.1	79.4	-	-	-
table ||| Chen et. al. (2005)	81.0	81.7	81.2	76.3	79.2	77.7
table ||| Wang et. al. (2006)	79.2	81.1	80.1	76.2	78.0	77.1
tableCaption ||| Table 8: Results of previous studies on CTB with CTB articles 1-270 as labeled data.
table ||| 	&lt; 40 words			All the sentences
table ||| 	LR	LP	F	LR	LP	F
table ||| Models	(%)	(%)	(%)	(%)	(%)	(%)
table ||| Petrov &amp; Klein (2007)	85.7	86.9	86.3	81.9	84.8	83.3
table ||| Burkett &amp; Klein (2008)	-	-	-	-	-	84.2
tableCaption ||| Table 9: Results of previous studies on CTB with more labeled data.
bodyText ||| reflected the structural preference in their target
bodyText ||| grammar. For acquisition of better conversion
bodyText ||| rules, Xia et al. (2008) proposed to automati-
bodyText ||| cally extract conversion rules from a target tree-
bodyText ||| bank. Moreover, they presented two strategies to
bodyText ||| solve the problem that there might be multiple
bodyText ||| conversion rules matching the same input depen-
bodyText ||| dency tree pattern: (1) choosing the most frequent
bodyText ||| rules, (2) preferring rules that add fewer number
bodyText ||| of nodes and attach the subtree lower.
bodyText ||| In comparison with the works of Wang et al.
bodyText ||| (1994) and Collins et al. (1999), we went fur-
bodyText ||| ther by combining the converted treebank with the
bodyText ||| existing target treebank for parsing. In compar-
bodyText ||| ison with previous conversion methods (Collins
bodyText ||| et al., 1999; Covington, 1994; Xia and Palmer,
bodyText ||| 2001; Xia et al., 2008) in which for each head-
bodyText ||| dependent pair, only one locally optimal conver-
bodyText ||| sion was kept during tree-building process, we
bodyText ||| employed a parser to generate globally optimal
bodyText ||| syntactic structures, eliminating heuristic rules for
bodyText ||| conversion. In addition, we used converted trees to
bodyText ||| retrain the parser for better conversion candidates,
bodyText ||| while Wang et al. (1994) did not exploit the use of
bodyText ||| converted trees for parser retraining.
sectionHeader ||| 6 Conclusion
bodyText ||| We have proposed a two-step solution to deal with
bodyText ||| the issue of using heterogeneous treebanks for
bodyText ||| parsing. First we present a parser based method
bodyText ||| to convert grammar formalisms of the treebanks to
bodyText ||| the same one, without applying predefined heuris-
bodyText ||| tic rules, thus turning the original problem into the
bodyText ||| problem of parsing on homogeneous treebanks.
bodyText ||| Then we present two strategies, instance pruning
bodyText ||| and score interpolation, to refine conversion re-
bodyText ||| sults. Finally we adopt the corpus weighting tech-
bodyText ||| nique to combine the converted source treebank
bodyText ||| with the existing target treebank for parser train-
bodyText ||| ing.
bodyText ||| The study on the WSJ data shows the benefits of
bodyText ||| our parser based approach for grammar formalism
bodyText ||| conversion. Moreover, experimental results on the
bodyText ||| Penn Chinese Treebank indicate that a converted
bodyText ||| dependency treebank helps constituency parsing,
bodyText ||| and it is better to exploit probability information
bodyText ||| produced by the parser through score interpolation
bodyText ||| than to prune low quality trees for the use of the
bodyText ||| converted treebank.
bodyText ||| Future work includes further investigation of
bodyText ||| our conversion method for other pairs of grammar
bodyText ||| formalisms, e.g., from the grammar formalism of
bodyText ||| the Penn Treebank to more deep linguistic formal-
bodyText ||| ism like CCG, HPSG, or LFG.
sectionHeader ||| References
reference ||| Anne Abeille, Lionel Clement and Francois Toussenel. 2000.
reference ||| Building a Treebank for French. In Proceedings of LREC
reference ||| 2000, pages 87-94.
reference ||| Daniel Bikel and David Chiang. 2000. Two Statistical Pars-
reference ||| ing Models Applied to the Chinese Treebank. In Proceed-
reference ||| ings of the Second SIGHAN workshop, pages 1-6.
reference ||| Daniel Bikel. 2004. On the Parameter Space of Generative
reference ||| Lexicalized Statistical Parsing Models. Ph.D. thesis, Uni-
reference ||| versity of Pennsylvania.
reference ||| Alena Bohmova, Jan Hajic, Eva Hajicova and Barbora
reference ||| Vidova-Hladka. 2003. The Prague Dependency Tree-
reference ||| bank: A Three-Level Annotation Scenario. Treebanks:
page ||| 53
reference ||| Building and Using Annotated Corpora. Kluwer Aca-
reference ||| demic Publishers, pages 103-127.
reference ||| Thorsten Brants, Wojciech Skut and Hans Uszkoreit. 1999.
reference ||| Syntactic Annotation of a German Newspaper Corpus. In
reference ||| Proceedings of the ATALA Treebank Workshop, pages 69-
reference ||| 76.
reference ||| David Burkett and Dan Klein. 2008. Two Languages are
reference ||| Better than One (for Syntactic Parsing). In Proceedings of
reference ||| EMNLP 2008, pages 877-886.
reference ||| Eugene Charniak. 2000. A Maximum Entropy Inspired
reference ||| Parser. In Proceedings of NAACL 2000, pages 132-139.
reference ||| Eugene Charniak and Mark Johnson. 2005. Coarse-to-Fine
reference ||| N-Best Parsing and MaxEnt Discriminative Reranking. In
reference ||| Proceedings ofACL 2005, pages 173-180.
reference ||| Ying Chen, Hongling Sun and Dan Jurafsky. 2005. A Cor-
reference ||| rigendum to Sun and Jurafsky (2004) Shallow Semantic
reference ||| Parsing of Chinese. University of Colorado at Boulder
reference ||| CSLR Tech Report TR-CSLR-2005-01.
reference ||| David Chiang and Daniel M. Bikel. 2002. Recovering La-
reference ||| tent Information in Treebanks. In Proceedings of COL-
reference ||| ING 2002, pages 1-7.
reference ||| Micheal Collins, Lance Ramshaw, Jan Hajic and Christoph
reference ||| Tillmann. 1999. A Statistical Parser for Czech. In Pro-
reference ||| ceedings ofACL 1999, pages 505-512.
reference ||| Micheal Covington. 1994. GB Theory as Dependency
reference ||| Grammar. Research Report AI-1992-03.
reference ||| Martin Forst. 2003. Treebank Conversion - Establishing
reference ||| a Testsuite for a Broad-Coverage LFG from the TIGER
reference ||| Treebank. In Proceedings of LINC at EACL 2003, pages
reference ||| 25-32.
reference ||| Chunghye Han, Narae Han, Eonsuk Ko and Martha Palmer.
reference ||| 2002. Development and Evaluation of a Korean Treebank
reference ||| and its Application to NLP. In Proceedings ofLREC 2002,
reference ||| pages 1635-1642.
reference ||| Sadao Kurohashi and Makato Nagao. 1998. Building a
reference ||| Japanese Parsed Corpus While Improving the Parsing Sys-
reference ||| tem. In Proceedings of LREC 1998, pages 719-724.
reference ||| Roger Levy and Christopher Manning. 2003. Is It Harder to
reference ||| Parse Chinese, or the Chinese Treebank? In Proceedings
reference ||| ofACL 2003, pages 439-446.
reference ||| Ting Liu, Jinshan Ma and Sheng Li. 2006. Building a Depen-
reference ||| dency Treebank for Improving Chinese Parser. Journal of
reference ||| Chinese Language and Computing, 16(4):207-224.
reference ||| Mitchell P. Marcus, Beatrice Santorini and Mary Ann
reference ||| Marcinkiewicz. 1993. Building a Large Annotated Cor-
reference ||| pus of English: The Penn Treebank. Computational Lin-
reference ||| guistics, 19(2):313-330.
reference ||| David McClosky, Eugene Charniak and Mark Johnson.
reference ||| 2006a. Effective Self-Training for Parsing. In Proceed-
reference ||| ings of NAACL 2006, pages 152-159.
reference ||| David McClosky, Eugene Charniak and Mark Johnson.
reference ||| 2006b. Reranking and Self-Training for Parser Adapta-
reference ||| tion. In Proceedings of COLING/ACL 2006, pages 337-
reference ||| 344.
reference ||| Antonio Moreno, Susana Lopez, Fernando Sanchez and
reference ||| Ralph Grishman. 2003. Developing a Syntactic Anno-
reference ||| tation Scheme and Tools for a Spanish Treebank. Tree-
reference ||| banks: Building and Using Annotated Corpora. Kluwer
reference ||| Academic Publishers, pages 149-163.
reference ||| Slav Petrov and Dan Klein. 2007. Improved Inference for
reference ||| Unlexicalized Parsing. In Proceedings of HLT/NAACL
reference ||| 2007, pages 404-411.
reference ||| Roi Reichart and Ari Rappoport. 2007. Self-Training for En-
reference ||| hancement and Domain Adaptation of Statistical Parsers
reference ||| Trained on Small Datasets. In Proceedings of ACL 2007,
reference ||| pages 616-623.
reference ||| Brian Roark and Michiel Bacchiani. 2003. Supervised and
reference ||| Unsupervised PCFG Adaptation to Novel Domains. In
reference ||| Proceedings of HLT/NAACL 2003, pages 126-133.
reference ||| Jong-Nae Wang, Jing-Shin Chang and Keh-Yih Su. 1994.
reference ||| An Automatic Treebank Conversion Algorithm for Corpus
reference ||| Sharing. In Proceedings ofACL 1994, pages 248-254.
reference ||| Mengqiu Wang, Kenji Sagae and Teruko Mitamura. 2006. A
reference ||| Fast, Accurate Deterministic Parser for Chinese. In Pro-
reference ||| ceedings of COLING/ACL 2006, pages 425-432.
reference ||| Stephen Watkinson and Suresh Manandhar. 2001. Translat-
reference ||| ing Treebank Annotation for Evaluation. In Proceedings
reference ||| of ACL Workshop on Evaluation Methodologies for Lan-
reference ||| guage and Dialogue Systems, pages 1-8.
reference ||| Fei Xia and Martha Palmer. 2001. Converting Dependency
reference ||| Structures to Phrase Structures. In Proceedings of HLT
reference ||| 2001, pages 1-5.
reference ||| Fei Xia, Rajesh Bhatt, Owen Rambow, Martha Palmer
reference ||| and Dipti Misra. Sharma. 2008. Towards a Multi-
reference ||| Representational Treebank. In Proceedings of the 7th In-
reference ||| ternational Workshop on Treebanks and Linguistic Theo-
reference ||| ries, pages 159-170.
reference ||| Deyi Xiong, Shuanglong Li, Qun Liu, Shouxun Lin and
reference ||| Yueliang Qian. 2005. Parsing the Penn Chinese Tree-
reference ||| bank with Semantic Knowledge. In Proceedings of IJC-
reference ||| NLP 2005, pages 70-81.
reference ||| Nianwen Xue, Fei Xia, Fu-Dong Chiou and Martha Palmer.
reference ||| 2005. The Penn Chinese TreeBank: Phrase Structure An-
reference ||| notation of a Large Corpus. Natural Language Engineer-
reference ||| ing, 11(2):207-238.
page ||| 54
