title ||| Reinforcement Learning for Mapping Instructions to Actions
bodyText ||| on environment reward perform well. Although
bodyText ||| the fully supervised approach performs the best,
bodyText ||| adding just a few annotated training examples
bodyText ||| to the environment-based learner significantly re-
bodyText ||| duces the performance gap.
footnote ||| 12 Since action selection is among objects, there is no natu-
footnote ||| ral majority baseline for the puzzle.
page ||| 88
table ||| 			Windows					Puzzle
table ||| 	Action		Sent.		Doc.	Word	Action		Doc.		Word
table ||| Random baseline	0.128		0.101		0.000	ââ		0.081		0.111	ââ
table ||| Majority baseline	0.287		0.197		0.100	ââ		ââ		ââ	ââ
table ||| Environment reward	* 0.647	*	0.590	*	0.375	0.819	*	0.428	*	0.453	0.686
table ||| Partial supervision	*0.723	*	0.702		0.475	0.989		0.575	*	0.523	0.850
table ||| Full supervision	*0.756		0.714		0.525	0.991		0.632		0.630	0.869
tableCaption ||| Table 2: Performance on the test set with different reward signals and baselines. Our evaluation measures
tableCaption ||| the proportion of correct actions, sentences, and documents. We also report the percentage of correct
tableCaption ||| word alignments for the successfully completed documents. Note the puzzle domain has only single-
tableCaption ||| sentence documents, so its sentence and document scores are identical. The partial supervision line
tableCaption ||| refers to 20 out of 70 annotated training documents for Windows, and 10 out of 40 for the puzzle. Each
tableCaption ||| result marked with * or o is a statistically significant improvement over the result immediately above it;
tableCaption ||| * indicates p &lt; 0.01 and o indicates p &lt; 0.05.
figureCaption ||| Figure 5: Comparison of two training scenarios where training is done using a subset of annotated
figureCaption ||| documents, with and without environment reward for the remaining unannotated documents.
bodyText ||| Figure 5 shows the overall tradeoff between an-
bodyText ||| notation effort and system performance for the two
bodyText ||| domains. The ability to make this tradeoff is one
bodyText ||| of the advantages of our approach. The figure also
bodyText ||| shows that augmenting annotated documents with
bodyText ||| additional environment-reward documents invari-
bodyText ||| ably improves performance.
bodyText ||| The word alignment results from Table 2 in-
bodyText ||| dicate that the learners are mapping the correct
bodyText ||| words to actions for documents that are success-
bodyText ||| fully completed. For example, the models that per-
bodyText ||| form best in the Windows domain achieve nearly
bodyText ||| perfect word alignment scores.
bodyText ||| To further assess the contribution of the instruc-
bodyText ||| tion text, we train a variant of our model without
bodyText ||| access to text features. This is possible in the game
bodyText ||| domain, where all of the puzzles share a single
bodyText ||| goal state that is independent of the instructions.
bodyText ||| This variant solves 34% of the puzzles, suggest-
bodyText ||| ing that access to the instructions significantly im-
bodyText ||| proves performance.
sectionHeader ||| 9 Conclusions
bodyText ||| In this paper, we presented a reinforcement learn-
bodyText ||| ing approach for inducing a mapping between in-
bodyText ||| structions and actions. This approach is able to use
bodyText ||| environment-based rewards, such as task comple-
bodyText ||| tion, to learn to analyze text. We showed that hav-
bodyText ||| ing access to a suitable reward function can signif-
bodyText ||| icantly reduce the need for annotations.
sectionHeader ||| Acknowledgments
bodyText ||| The authors acknowledge the support of the NSF
bodyText ||| (CAREER grant IIS-0448168, grant IIS-0835445,
bodyText ||| grant IIS-0835652, and a Graduate Research Fel-
bodyText ||| lowship) and the ONR. Thanks to Michael Collins,
bodyText ||| Amir Globerson, Tommi Jaakkola, Leslie Pack
bodyText ||| Kaelbling, Dina Katabi, Martin Rinard, and mem-
bodyText ||| bers of the MIT NLP group for their suggestions
bodyText ||| and comments. Any opinions, findings, conclu-
bodyText ||| sions, or recommendations expressed in this paper
bodyText ||| are those of the authors, and do not necessarily re-
bodyText ||| flect the views of the funding organizations.
page ||| 89
reference ||| Jeffrey Mark Siskind. 2001. Grounding the lexical se-
reference ||| mantics of verbs in visual perception using force dy-
reference ||| namics and event logic. J. Artif. Intell. Res. (JAIR),
reference ||| 15:31â90.
sectionHeader ||| References
reference ||| Kobus Barnard and David A. Forsyth. 2001. Learning
reference ||| the semantics of words and pictures. In Proceedings
reference ||| of ICCV.
reference ||| David L. Chen and Raymond J. Mooney. 2008. Learn-
reference ||| ing to sportscast: a test of grounded language acqui-
reference ||| sition. In Proceedings of ICML.
reference ||| Stephen Della Pietra, Vincent J. Della Pietra, and
reference ||| John D. Lafferty. 1997. Inducing features of ran-
reference ||| dom fields. IEEE Trans. Pattern Anal. Mach. Intell.,
reference ||| 19(4):380â393.
reference ||| Barbara Di Eugenio. 1992. Understanding natural lan-
reference ||| guage instructions: the case of purpose clauses. In
reference ||| Proceedings of ACL.
reference ||| Michael Fleischman and Deb Roy. 2005. Intentional
reference ||| context in situated language learning. In Proceed-
reference ||| ings of CoNLL.
reference ||| John Lafferty, Andrew McCallum, and Fernando
reference ||| Pereira. 2001. Conditional random fields: Prob-
reference ||| abilistic models for segmenting and labeling se-
reference ||| quence data. In Proceedings of ICML.
reference ||| Diane J. Litman, Michael S. Kearns, Satinder Singh,
reference ||| and Marilyn A. Walker. 2000. Automatic optimiza-
reference ||| tion of dialogue management. In Proceedings of
reference ||| COLING.
reference ||| Raymond J. Mooney. 2008a. Learning language
reference ||| from its perceptual context. In Proceedings of
reference ||| ECML/PKDD.
reference ||| Raymond J. Mooney. 2008b. Learning to connect lan-
reference ||| guage and perception. In Proceedings ofAAAI.
reference ||| Andrew Y. Ng, H. Jin Kim, Michael I. Jordan, and
reference ||| Shankar Sastry. 2003. Autonomous helicopter flight
reference ||| via reinforcement learning. In Advances in NIPS.
reference ||| James Timothy Oates. 2001. Grounding knowledge
reference ||| in sensors: Unsupervised learning for language and
reference ||| planning. Ph.D. thesis, University of Massachusetts
reference ||| Amherst.
reference ||| Deb K. Roy and Alex P. Pentland. 2002. Learn-
reference ||| ing words from sights and sounds: a computational
reference ||| model. Cognitive Science 26, pages 113â146.
reference ||| Nicholas Roy, Joelle Pineau, and Sebastian Thrun.
reference ||| 2000. Spoken dialogue management using proba-
reference ||| bilistic reasoning. In Proceedings of ACL.
reference ||| Konrad Scheffler and Steve Young. 2002. Automatic
reference ||| learning of dialogue strategy using dialogue simula-
reference ||| tion and reinforcement learning. In Proceedings of
reference ||| HLT.
reference ||| Satinder P. Singh, Michael J. Kearns, Diane J. Litman,
reference ||| and Marilyn A. Walker. 1999. Reinforcement learn-
reference ||| ing for spoken dialogue systems. In Advances in
reference ||| NIPS.
reference ||| Richard S. Sutton and Andrew G. Barto. 1998. Re-
reference ||| inforcement Learning: An Introduction. The MIT
reference ||| Press.
reference ||| Richard S. Sutton, David McAllester, Satinder Singh,
reference ||| and Yishay Mansour. 2000. Policy gradient meth-
reference ||| ods for reinforcement learning with function approx-
reference ||| imation. In Advances in NIPS.
reference ||| Terry Winograd. 1972. Understanding Natural Lan-
reference ||| guage. Academic Press.
reference ||| Chen Yu and Dana H. Ballard. 2004. On the integra-
reference ||| tion of grounding language and learning objects. In
reference ||| Proceedings ofAAAI.
page ||| 90
