note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
bodyText ||| The preferences-page of the SONAR plugin allows
bodyText ||| modifying the weight combination of different sources with
bodyText ||| sliders and simultaneously seeing a preview of the buddylist
bodyText ||| created from this combination. The user interface of this
bodyText ||| feature is shown in Figure 2.
table ||| 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
table ||| bookmarking	1.0				0.5		0.1	0.25	0.1	0.3	0.3	0.3	0.1	0.1	0.4	0.5
table ||| people tagging		1.0			0.5		0.2	0.25	0.3	0.1	0.3	0.3	0.2	0.1	0.3	0.3
table ||| blogs			1.0			0.5	0.3	0.25	0.3	0.3	0.1	0.3	0.3	0.3	0.2	0.1
table ||| org-chart				1.0		0.5	0.4	0.25	0.3	0.3	0.3	0.1	0.4	0.5	0.1	0.1
table ||| average score
table ||| # of “best” votes	0	23	1	63	6	57	58	46	70	48	46	47	63	61	46	43
table ||| # of score “1”	0	12	0	18	5	14	17	9	20	4	6	9	20	20	7	6
tableCaption ||| Table 2. Weight combinations and results of the public sources in the first two sets of buddylists
page ||| 1022
note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
figureCaption ||| Figure 2. Weight combination user interface
bodyText ||| We conducted personal interviews with 12 of the users who
bodyText ||| took part in experiment 2, in order to learn about their
bodyText ||| experience with the sliders and follow their line of thought
bodyText ||| while they are examining the different buddylists. Each
bodyText ||| interviewee was asked to first reset all sliders and start with
bodyText ||| an empty list. In order to examine hypotheses (2) and (4),
bodyText ||| each slider was moved separately, to compare the lists
bodyText ||| based on single sources to an ideal list (as in the framed
bodyText ||| scenario of experiment 2). Once all sources were examined,
bodyText ||| the interviewees were asked to fiddle with the sliders in
bodyText ||| order to compose a list that is closest to their ideal list. We
bodyText ||| retrieved the selected weight combinations from our logs
bodyText ||| and examined them in order to validate hypothesis (5).
bodyText ||| Finally, we posed the question about sharing the buddylists
bodyText ||| based on private sources (hypothesis (6)). The question is a
bodyText ||| multiple choice question: to share automatically vs. share
bodyText ||| after manual editing; to share with anyone, or only with
bodyText ||| friends, or only with a specific individual.
subsectionHeader ||| Experimental Results
subsubsectionHeader ||| Results of Experiment 1
bodyText ||| In this experiment we examined the 273 users who had a
bodyText ||| nonempty result in all four public sources. For each of the
bodyText ||| four public sources and each of the 273 users, we calculated
bodyText ||| the number of connections extracted from the source, and
bodyText ||| the number of unique contributions of this source over the
bodyText ||| union of all other three sources. The averages of these
bodyText ||| figures appear in Table 3.
bodyText ||| Examining the average numbers of unique contributions is
bodyText ||| interesting. One would assume that the commonalities of
bodyText ||| the lists from the different sources would be large; that a
bodyText ||| person would mostly friend with peers from the
bodyText ||| organizational group; that a person’s friends would be the
bodyText ||| ones commenting in the blogging system; and even that
bodyText ||| working in the same group would imply similar interests
bodyText ||| and thus bookmarking the same web pages. However, our
bodyText ||| org chart		friending		blogs		bookmarks
table ||| #	>	#	>	#	>	#	>
table ||| 15.73	13.91	24.64	20.27	8.57	5.74	423.1	417.7
tableCaption ||| Table 3. Results of experiment 1: average number of
tableCaption ||| connections (#) and unique contributions (>)
table ||| contribution	org chart	friending	blogs	bookmarks
table ||| full list	107	76	83	55
table ||| 	(39.2%)	(27.8%)	(30.4%)	(20.1%)
table ||| nothing	41 0	22 0 (8.1%)	370	00
table ||| 	(4.0%)		(13.6/0)	(0.0%)
tableCaption ||| Table 4. Unique contribution over all other sources
bodyText ||| results reveal a different picture. It seems that for each and
bodyText ||| every source, the average number of unique contributions
bodyText ||| over the other three sources is quite close to the average
bodyText ||| number of connections, implying that the information
bodyText ||| extracted from the different sources is indeed diverse.
bodyText ||| Table 4 shows two statistics of the unique contributions of
bodyText ||| the different sources over all other sources. The first row in
bodyText ||| the table shows the number of people for whom the source
bodyText ||| contributed its full list – meaning that the lists from other
bodyText ||| sources had no intersection with this source. For instance,
bodyText ||| for 107 of the people (39.19%) – the lists of blog
bodyText ||| commenters, tagging friends, or similar bookmarkers did
bodyText ||| not contain anyone from their organizational group. As can
bodyText ||| be seen on Table 4, these numbers are rather large – 76 for
bodyText ||| Fringe, 83 for BlogCentral, and 55 for Dogear – indicating
bodyText ||| the diversity of the sources. There was not even a single
bodyText ||| person, for whom a single source covered all other sources,
bodyText ||| proving that aggregation creates a broader picture than any
bodyText ||| single source. The second row in the table shows the
bodyText ||| number of people for whom a source contributed nothing
bodyText ||| over the other lists. These figures indicate cases in which a
bodyText ||| single source may be dismissed, as the other three sources
bodyText ||| cover the information it provides. As may be seen on the
bodyText ||| table, these figures are rather small: up to 37, for
bodyText ||| BlogCentral, and as low as 0 for Dogear.
bodyText ||| For 33 out of the 273 people examined (12.08%), there was
bodyText ||| no intersection between any of the sources – each of their
bodyText ||| public sources provided a completely different list.
bodyText ||| The results of this experiment validate hypothesis (1) and
bodyText ||| support hypothesis (4), showing the diversity of information
bodyText ||| from public sources, that no single source holds all SN
bodyText ||| information, and thus that aggregation is likely to be of
bodyText ||| greater value than information from any single source.
subsubsectionHeader ||| Results of Experiments 2 and 3
bodyText ||| Our questionnaire plugin collected information from 116
bodyText ||| users who responded to all three stages of the experiment.
bodyText ||| Out of the 116 users, 65 are from the US and Canada, 49
bodyText ||| are from Europe and the Middle East, and two are from
bodyText ||| Asia Pacific. 73 of the users who responded are using
bodyText ||| Fringe, 29 are bloggers, and 62 use Dogear. We believe
bodyText ||| these users represent a wide range of IBM employees and
bodyText ||| are thus a good test bed for our hypotheses. In addition,
bodyText ||| results collected from the in depth interviews with 12 users
bodyText ||| strengthen some of our hypotheses.
bodyText ||| The bottom part of Table 2 shows the results of the first two
bodyText ||| sets of buddylists. On the first step, shown on the bottom
bodyText ||| left of the table, the list that got the most “best” votes (63)
bodyText ||| is the one based on a single source: the organizational chart.
page ||| 1023
note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
bodyText ||| The average score of this list is 2.36 (on a scale of 1=good,
bodyText ||| 4=bad). The list that got the best average score is the one
bodyText ||| based on aggregation of all four sources by weight
bodyText ||| combination 7 on Table 2. The average score of this list is
bodyText ||| 2.34 and its number of “best” votes is 58. Over 40% of the
bodyText ||| users (48) got in this aggregated list an identical list to the
bodyText ||| one based on the organizational chart. As the score of the
bodyText ||| aggregated list is better, we may conclude that when the
bodyText ||| lists were not identical, the aggregated list received better
bodyText ||| scores. Finally, note that in Table 2, the total number of
bodyText ||| “best” votes given to aggregations (i.e., combinations 5
bodyText ||| through 8) was significantly higher than the combined
bodyText ||| number of “best” votes for all single sources (1 through 4).
bodyText ||| We consider the above findings as supporting hypothesis
bodyText ||| (4) – the value of aggregation.
bodyText ||| The results of the second step are shown on the bottom
bodyText ||| right of Table 2. All lists of this step received scores that
bodyText ||| are higher than 2 but lower than 3, and all lists received
bodyText ||| quite a few “best” votes (over 40). It appears that no
bodyText ||| optimal weighting scheme exists that may serve a good
bodyText ||| default for most users. We were therefore unable to prove
bodyText ||| our hypothesis (5). While conducting the interviews during
bodyText ||| experiment 3, we had another chance to see how different
bodyText ||| people prefer different sources. For example, when
bodyText ||| examining the list from Fringe, one of the users said:
bodyText ||| “Completely off. Only 7 people, out of them only 3 are
bodyText ||| familiar” while another said: “Accurate, very accurate
bodyText ||| actually. [ ...] that would be my ideal buddylist”.
bodyText ||| The results of the third step are shown on the bottom of
bodyText ||| Table 5. In this step we compared lists from private sources
bodyText ||| with lists from public sources and with lists based on a mix
bodyText ||| of private and public sources. For this step our plugin
bodyText ||| requested access to users’ private data. Only 55 users
bodyText ||| granted us access to their private data. We therefore based
bodyText ||| our analysis on the responses of these 55 users only.
bodyText ||| As can be expected, the lists based on private sources
bodyText ||| received better average scores (1.62-1.76) than those based
bodyText ||| solely on public sources. The list with most “best” votes
bodyText ||| (17) on is the list based on the (private) chat system.
table ||| 	17	18	19	20	21	22	23	24
table ||| Bookmarking	0.25		0.16	0.1	0.2			0.1
table ||| people tagging	0.25		0.16	0.1	0.2			0.1
table ||| blogs	0.25		0.16	0.1	0.2			0.1
table ||| org-chart	0.25		0.16	0.1	0.2			0.1
table ||| email		0.5	0.16	0.3	0.1	1.0		0.4
table ||| chat		0.5	0.16	0.3	0.1		1.0	0.2
table ||| average score
table ||| # of “best” votes	0	12	2	9	0	10	17	9
table ||| # of score “1”	3	30	6	23	4	25	26	23
tableCaption ||| Table 5. Weight combinations and results of public and
tableCaption ||| private sources in the third set of buddylists
bodyText ||| However, 17 votes are only 30.9%, indicating that no list
bodyText ||| significantly outvoted the others. The list with best average
bodyText ||| score (1.62) is the list based on combination 18 in Table 5
bodyText ||| (email and chat), supporting the value of aggregating
bodyText ||| information (private in this case) – hypothesis (4). Yet
bodyText ||| another supporting point for hypothesis (4) was received
bodyText ||| during the interviews, when no single user had chosen a list
bodyText ||| based solely on one source. This observation is less strong,
bodyText ||| since the experiment setting encouraged people to play with
bodyText ||| aggregations, yet they clearly had a choice to disable all
bodyText ||| other sources and stay with one, but did not.
bodyText ||| Table 2 and Table 5 also show the number of times each of
bodyText ||| the buddylists in this experiment received score 1. List 18
bodyText ||| (email and chat) received score 1 for the largest number of
bodyText ||| times – over 54% of the people granted it a perfect score.
bodyText ||| Other lists which obtained many high scores are list 20 (mix
bodyText ||| of public and private), list 22 (email), list 23 (chat), and list
bodyText ||| 24 (anther mix of public and private). It is obvious from the
bodyText ||| table that lists based on private sources receive score 1
bodyText ||| more often, as expected. The value of public sources is
bodyText ||| evident from the bottom line of Table 2: the lists based
bodyText ||| solely on public sources received a perfect score a
bodyText ||| considerable amount of times, supporting hypothesis (2). In
bodyText ||| experiment 3, seven of 11 used some combination of public
bodyText ||| and private data sources (the twelfth user had no access to
bodyText ||| private data) and two of them even preferred the public
bodyText ||| sources slightly over private ones (see Table 6).
bodyText ||| Two of the combinations that mixed all six sources (number
bodyText ||| 20 and number 24 in Table 5) received 9 “best” votes each.
bodyText ||| Examining our results reveals that each such vote was given
bodyText ||| by a different user, implying that for 18 people, they created
bodyText ||| a buddylist that is preferred over the buddylists based solely
bodyText ||| on private sources. Both these lists received an average
bodyText ||| score of 1.75, which is identical to the average score of the
bodyText ||| list based on chat, and they both received a perfect score 23
bodyText ||| times. This implies that for quite a few people the mix with
bodyText ||| public sources creates buddylists of high quality. Together
bodyText ||| with the fact that in experiment 3 most users chose to
bodyText ||| combine private with public data, we conclude that
bodyText ||| hypothesis (3) is true - information from public sources
bodyText ||| may provide a more complete picture of one’s SN.
bodyText ||| Finally, Experiment 3 revealed what people think about
bodyText ||| sharing lists coming from their private data sources (see
bodyText ||| Table 6). Most of the people (10) said that they will be
table ||| 	1	2	3	4	5	6	7	8	9	10	11	12
table ||| prv	85	00	100	48	63	100	100	100	69	48	54	54
table ||| pub	15	100	00	52	37	00	00	00	31	52	46	46
table ||| shr	2	3	2	2	2	3	2	2	3	3	1	0
tableCaption ||| Table 6. Experiment 3 results*
footnote ||| * First row shows percentage of private sources, second row percentage of
footnote ||| public sources, third row – sharing list preference (3 – automatically with
footnote ||| anyone, 2- after editing with anyone, 1 – after editing with friends, 0 – will
footnote ||| not share)
page ||| 1024
note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
bodyText ||| willing to share their lists with anyone. Seven stated that
bodyText ||| they would want to edit first. “I am worried that SONAR
bodyText ||| results are not accurate enough and would like to [ ...]
bodyText ||| make sure the people who see the lists get good lists”, said
bodyText ||| one user. Another user said, at first, “[I am] worried about
bodyText ||| what my buddies would say about me sharing their names”,
bodyText ||| but, after thinking about it he decided that it was harmless
bodyText ||| enough and said he would share his lists. Four users showed
bodyText ||| great openness by declaring that they would share their list
bodyText ||| automatically, without any editing, with anyone. Only one
bodyText ||| user said that he will not share his lists with anyone. One of
bodyText ||| the users summarized these results nicely: “... I think it
bodyText ||| should always be left up to the individual as there are
bodyText ||| dangerous things about SN. [but]... within a company, you
bodyText ||| have to realize you are probably not going to be that
bodyText ||| private”. All in all, hypothesis (6) is supported to a high
bodyText ||| extent. Our results suggest that there is a good chance
bodyText ||| people will be willing to share their private-based
bodyText ||| buddylists after applying some editing to it.
subsubsectionHeader ||| Discussion
bodyText ||| Our experiments show that information from public sources
bodyText ||| is very diverse and no single source may provide all SN
bodyText ||| information. While some sources provide communication
bodyText ||| data, others provide similarity data. While reacting to lists
bodyText ||| generated from Dogear, users said: “Far from ideal list”,
bodyText ||| “Over 50% are strangers”. But another user, while
bodyText ||| discussing her usage of SNs described: “if my goal was to
bodyText ||| search for expertise, then I would lean it heavily towards
bodyText ||| social bookmarking and blogs”. It suggests that diverse
bodyText ||| sources can become valuable for diverse tasks. It also
bodyText ||| explains why our hope to locate an optimal default
bodyText ||| combination of weights for aggregation was not fulfilled -
bodyText ||| different users with different views and different needs may
bodyText ||| require different combinations of the sources.
bodyText ||| The information extracted from public sources is shown to
bodyText ||| be of value, and while private sources provide better
bodyText ||| information, public sources do contribute additional
bodyText ||| information and create a more complete picture of SNs. The
bodyText ||| value of aggregation is proven both by the diversity of
bodyText ||| public sources and by user votes for aggregated lists.
bodyText ||| We saw in our interviews that aggregation and collection of
bodyText ||| SN information becomes crucial in global organizations.
bodyText ||| While analyzing the organizational chart data source one of
bodyText ||| the users noted: “It just looks at people within my world,
bodyText ||| and I deal with a lot of people outside of my function, if you
bodyText ||| will”. Another user commented: “Names that were missing
bodyText ||| on email appear now. Top person on ideal list does not
bodyText ||| appear here”. It shows that no single data source is
bodyText ||| sufficient for creating one’s ideal buddylist and thus
bodyText ||| demonstrates the value of aggregation.
sectionHeader ||| CONCLUSIONS AND FUTURE WORK
bodyText ||| In this paper, we present the motivation and challenge for
bodyText ||| aggregating SN information from multiple data sources. We
bodyText ||| describe SONAR, an API for exposing relations embedded
bodyText ||| in numerous applications or services. SONAR allows
bodyText ||| building weighted networks with evidence for each
bodyText ||| connection, showing how strongly people are connected.
bodyText ||| SONAR was implemented for various sources, public and
bodyText ||| personal, within IBM, and demonstrated through a plugin
bodyText ||| for Lotus Sametime: SONARBuddies.
bodyText ||| Our experiments indicate that aggregation produces a more
bodyText ||| comprehensive SN. Information coming from public data
bodyText ||| sources is shown to be relevant and diverse. Public sources
bodyText ||| mainly represent new emerging social technologies on the
bodyText ||| Web. We believe that people’s involvement in these
bodyText ||| technologies will continue to grow, while new technologies
bodyText ||| appear. Hence, more quality social information will be
bodyText ||| available for frameworks like SONAR. For some users,
bodyText ||| public sources make a significant contribution over private
bodyText ||| ones, which may have been considered the predominant
bodyText ||| sources. It is extremely interesting to continue examining
bodyText ||| the potential of public sources to actually replace SN
bodyText ||| information currently extracted from private sources, and
bodyText ||| thus relieving privacy issues.
bodyText ||| This paper focuses on general SNs. In practice, there are
bodyText ||| different types of SNs, which reflect different semantics of
bodyText ||| connections, like friendship, interpersonal communication,
bodyText ||| or similarity. Such networks tend to be semantically
bodyText ||| different even for the same user. Shared bookmarks, for
bodyText ||| instance, reflect similarity between users rather than a direct
bodyText ||| connection. The scenario used in our experiments asked the
bodyText ||| users to rank buddylists, typically used for communication.
bodyText ||| It was natural that Dogear, which exposes similarity,
bodyText ||| received low scores by our users. One could think of
bodyText ||| different scenarios, such as finding potential people for a
bodyText ||| community on a specific topic, where this similarity
bodyText ||| network would be a perfect networking tool. It would be
bodyText ||| interesting to identify different scenarios and examine the
bodyText ||| contribution of different sources to them.
bodyText ||| Another interesting direction is deriving contextual
bodyText ||| networks – networks that are related to a specific context or
bodyText ||| term. For example, the list of people with whom one
bodyText ||| communicates most frequently about Java, is likely to be
bodyText ||| different from the list of people with whom one
bodyText ||| communicates mostly about SN analysis.
bodyText ||| Our plans for future work on the SONAR API include
bodyText ||| extending it to support different types of relations (e.g.,
bodyText ||| familiarity vs. similarity). We also plan to allow a
bodyText ||| specification of a search term to support contextual queries
bodyText ||| such as: “who is most related to <person> w.r.t. <topic>?”
bodyText ||| These extensions would allow us to further explore the
bodyText ||| variety of SNs, the differences and relations among them,
bodyText ||| the value they bring to users, and the patterns of their usage.
sectionHeader ||| ACKNOWLEDGEMENTS
bodyText ||| We would like to acknowledge all those who installed
bodyText ||| SONARBuddies and provided us with feedback about its
bodyText ||| usage. We are especially grateful to those who participated
bodyText ||| in our experiments and interviews. We thank James Snell
page ||| 1025
note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
bodyText ||| for providing us data about the usage of BlogCentral, and
bodyText ||| Jonathan Feinberg for data about Dogear. Sigalit Ur and
bodyText ||| Inbal Ronen participated in numerous discussions and
bodyText ||| provided enlightening comments, we are indebted to them.
sectionHeader ||| REFERENCES
reference ||| 1. Adamic, L. A., and Adar, E. Friends and neighbors on
reference ||| the Web, Social Networks, 25, 3 (2003), 211-230.
reference ||| 2. Aleman-Meza, B., Nagarajan, M., Ramakrishnan, C.,
reference ||| Sheth, A., Arpinar, I., Ding, L., Kolari, P., Josi, A., and
reference ||| Finin, T. Semantic analytics on social networks:
reference ||| Experiences in addressing the problem of conflict of
reference ||| interest detection. Proc. WWW '06, ACM Press (2006),
reference ||| 407-416.
reference ||| 3. Bar-Yossef, Z., Guy, I., Lempel, R., Maarek, Y. S., and
reference ||| Soroka, V. Cluster ranking with an application to
reference ||| mining mailbox networks. Proc. ICDM '06, IEEE
reference ||| Computer Society (2006), 63-74.
reference ||| 4. Cai, D., Shao, Z., He, X., Yan, X., and Han, J. Mining
reference ||| hidden community in heterogeneous social networks. In
reference ||| Proc. of the 3rd International Workshop on Link
reference ||| Discovery (LinkKDD 2005),ACM Press (2005), 58 – 65.
reference ||| 5. Culotta, A., Bekkerman, R., and McCallum, A.
reference ||| Extracting social networks and contact information from
reference ||| email and the Web. First Conference on Email and Anti-
reference ||| Spam (CEAS 2004) (2004).
reference ||| 6. Facebook Developers – Documentation.
reference ||| http://developers.facebook.com/documentation.php .
reference ||| 7. Farrell, S., and Lau, T. Fringe Contacts: People-Tagging
reference ||| for the Enterprise. Workshop on Collaborative Web
reference ||| Tagging, WWW’06, (2006).
reference ||| 8. Farnham, S., Portnoy, W., Turski, A., Cheng, L., and
reference ||| Vronay, D. Personal Map: Automatically modeling the
reference ||| user’s online social network. Proc. INTERACT’03, IOS
reference ||| Press (2003), 567-574.
reference ||| 9. Fielding, R.T. Architectural styles and the design of
reference ||| network-based software architectures. PhD thesis,
reference ||| University of California, Irvine, CA, (2000).
reference ||| 10. Friend of a Friend (FOAF) project.
reference ||| http://www.foaf-project.org/ .
reference ||| 11. HammerSley, B. Content Syndication with RSS, (2003).
reference ||| 12. Hope, T., Nishimura, T., and Takeda, H. An integrated
reference ||| method for social network extraction. Proc. WWW ’06,
reference ||| ACM Press (2006), 845-846.
reference ||| 13. Introducing JSON. http://www.json.org/ .
reference ||| 14. Jackson, A., Yates, J., Orlikowski, W. “Corporate
reference ||| Blogging: Building community through persistent
reference ||| digital talk”. Proc. 40th Annual Hawaii International
reference ||| Conference on System Sciences HICSS'07, (2007), p. 80
reference ||| 15. Kautz, H., Selman, B., and Shah., M. ReferralWeb:
reference ||| Combining social networks and collaborative filtering.
reference ||| Communications of the ACM 40, 3 (1997), 63-65.
reference ||| 16. Matsuo, Y., Hamasaki, M. et al. Spinning multiple
reference ||| social networks for semantic Web. Proc. AAAI '06
reference ||| (2006).
reference ||| 17. Matsuo, Y., Mori, J., Hamasaki, M., Takeda, H.,
reference ||| Nishimura, T., Hasida, K., and Ishizuka, M.
reference ||| POLYPHONET: An advanced social network extraction
reference ||| system. Proc. WWW ‘06, ACM Press (2006), 397-406.
reference ||| 18. McDonald D.W. and Ackerman M.S. Expertise
reference ||| recommender: a flexible recommendation system and
reference ||| architecture. Proc. CSCW’00, (2000), 231–240.
reference ||| 19. Millen, D.R., Feinberg, J., and Kerr, B. Dogear: Social
reference ||| Bookmarking in the Enterprise. Proc. CHI 2006, (2006),
reference ||| 111-120.
reference ||| 20. Nardi, B.A., Whittaker, S., Issacs, E., Creech, M.,
reference ||| Johnson, J., and Hainsworth, J. Integrating
reference ||| communication and information through contact map.
reference ||| Communications of the ACM 45, 4 (2002) 89-95.
reference ||| 21. Neustaedter, C., Brush, A., Smith, M., and Fisher, D.
reference ||| The social network and relationship finder: Social
reference ||| sorting for email triage. Proc. CEAS 2005.
reference ||| 22. Newman, M. E. J. Scientific collaboration networks,
reference ||| part I. Network construction and fundamental results.
reference ||| Physical Review E, 64, 016131, (2001).
reference ||| 23. Nottingham, M., and Sayre, R. RFC 4287 – The Atom
reference ||| Syndication Format (Proposed Standard).
reference ||| http://tools.ietf.org/html/rfc4287
reference ||| 24. O'Reilly, T. What is Web 2.0.
reference ||| http://www.oreillynet.com/go/web2 .
reference ||| 25. Resig, J., Dawara, S., Homan, C. M., and Teredesai, A.
reference ||| Extracting social networks from instant messaging
reference ||| populations, Proc. of the 7th ACM SIGKDD Workshop
reference ||| on Link KDD, (2004).
reference ||| 26. Smarr, J. Technical and privacy challenges for
reference ||| integrating FOAF into existing applications. In the 1st
reference ||| Workshop on Friend of a Friend, Social Networking and
reference ||| the Semantic Web, (2004).
reference ||| 27. Smith, M. Invisible crowds in cyberspace: Measuring
reference ||| and mapping the social structure of Usenet. In Smith,
reference ||| M., and Kollock, P. Eds., Communities in Cyberspace.
reference ||| Routledge Press, (1999).
reference ||| 28. Tyler, J.R., Wilkinson, D.M., and Huberman, B.A.
reference ||| Email as spectroscopy: Automated discovery of
reference ||| community structure within organizations. In
reference ||| Communities and Technologies, Huysman, M., Wenger,
reference ||| E., and V. Wulf, Eds. (2003), 81-96.
reference ||| 29. Wasserman, S., and Faust, K. Social Network Analysis.
reference ||| (1994).
reference ||| 30. Wellman, B. Computer networks as social networks.
reference ||| Science 293 (2001) 2031-2034.
reference ||| 31. Zhang, J., Ackerman M.S. Searching for expertise in
reference ||| social networks: a simulation of potential strategies.
reference ||| Proc. GROUP 2005, ACM Press (2005), 71-80.
page ||| 1026
