note ||| CHI 2008 Proceedings · Search	April 5-10, 2008 · Florence, Italy
bodyText ||| duration per page and figure 6d shows the proportion of
bodyText ||| skipping gaze transitions in number of pages condition.
bodyText ||| Each bar within a page condition shows the performance on
bodyText ||| each page of that condition. For example, the only bar in the
bodyText ||| 1-page condition shows performance in the 1-page
bodyText ||| condition, the two bars in 2-pages condition show each
bodyText ||| performance in page 1 and 2 and the five bars in 5-page
bodyText ||| condition show each performance from page 1 to page 5,
bodyText ||| from left to right respectively.
bodyText ||| When we examined whether participants adopted different
bodyText ||| strategies in different pages in a search course, the values of
bodyText ||| four measures of search performance were taken from each
bodyText ||| page.
bodyText ||| Because there were four participants who didn’t have data
bodyText ||| in all five pages in the 5-page condition, we took out these
bodyText ||| four participants. Then, we arbitrarily selected and removed
bodyText ||| another two participants from the analysis to keep the
bodyText ||| counterbalanced design. Therefore, in this section, the
bodyText ||| results were from analysing eighteen participants’ data. The
bodyText ||| following analyses were conducted in 2-pages and 5-pages
bodyText ||| condition separately.
bodyText ||| In the 2-pages condition, every measure of four search
bodyText ||| performance of participants was not significantly different
bodyText ||| in page 1 and page2. it indicated that the search strategy did
bodyText ||| not vary in the first and second page, when participants
bodyText ||| search in a 2-pages display (see Figure 6a, b, c, d, 2-pages
bodyText ||| condition).
bodyText ||| In 5-pages condition, the results of a 5×2 repeated-measure
bodyText ||| ANOVA (page number: page 1, 2, 3, 4 and 5 × density:
bodyText ||| high and low) showed there were main effect of page
bodyText ||| number and density on every measure of search
bodyText ||| performance our participants’ performance (see Figure 6 a,
bodyText ||| b, c, d, 5-pages condition). The results of search
bodyText ||| performance per page in the 5-pages condition are
bodyText ||| summarized in Table 1. In general, search performance was
bodyText ||| in page number 1 is different to other pages.
bodyText ||| pairwise comparisons of page number with Bonferroni
bodyText ||| method in search duration, number of gazes, and proportion
bodyText ||| of skipping gaze transitions showed that the measures in
bodyText ||| page 1 were different from those in page 2 to page 5 (pair
bodyText ||| between page 1 and any other page was significant, p<0.01
bodyText ||| and pair between page 2 to page 5 were not significant
bodyText ||| different). There was a significant difference between page
bodyText ||| 1 and page 3 in gaze duration. Although any other pair does
bodyText ||| not reach significant, there was a trend for people to take
bodyText ||| longer gaze on page 1 than on pages 2, 3, 4, or 5. This
bodyText ||| indicated that participants search in the first page more
bodyText ||| carefully than other pages.
sectionHeader ||| DISCUSSION
bodyText ||| The results support the claim that visual search strategy is
bodyText ||| guided by expected information gain when people search
bodyText ||| results returned by an image search engine:
bodyText ||| 1. Participants were observed to adjust the duration that
bodyText ||| they attended to each item to the item density. When more
table ||| 		search duration (ms)	number of gazes		gaze duration (ms)	proportion of skipping gaze
table ||| 						transitions
table ||| 		mean	SD	mean	SD	mean	SD	mean	SD
table ||| page number
table ||| 	p. 1	5,238.64a	2,048.75	6.83 a	3.49	406.8 1b	55.64	74.64%a	0.08
table ||| 	p. 2	4,004.51	1,494.82	5.35	2.72	388.18	37.58	79.33%	0.08
table ||| high density	p. 3	3,796.32	1,295.97	5.27	2.30	377.32 c	39.58	79.36%	0.06
table ||| 	p. 4	3,781.66	1,359.42	5.13	2.41	380.30	34.42	77.55%	0.08
table ||| 	p. 5	3,999.54	1,653.50	5.50	2.88	381.00	36.14	77.86%	0.06
table ||| 	p. 1	5,810.45a	2,240.65	7.95 a	4.01	399.47 b	57.47	69.53%a	0.08
table ||| 	p. 2	4,176.94	1,853.84	5.64	3.20	365.01	37.52	77.33%	0.07
table ||| low density	p. 3	4,164.26	1,624.12	5.82	2.97	365.20 c	38.85	76.84%	0.09
table ||| 	p. 4	4,282.31	1,828.08	5.98	3.14	378.27	55.09	74.17%	0.08
table ||| 	p. 5	4,346.20	1,540.77	5.91	2.53	381.86	36.53	74.66%	0.06
table ||| repeated-measures	spacing	F	MSE	p	F	MSE	p	F	MSE	p	F	MSE	p
table ||| ANOVA
table ||| 		14.32	4.83E+05 0.001	9.54	1.942	0.007	4.56	757.26	0.048	13.73	0.003	0.002
table ||| 	page	29.63	5.21E+05 <0.001	17.06	1.397	<0.001	5.4	998.24	0.001	9.70	0.002	<0.001
tableCaption ||| Table 1. Search duration, number of gazes, gaze duration and proportion of skipping gaze transitions across per page in the 5-
tableCaption ||| pages condition and per density condition. (Note. p. = page number. asearch performance is significant different to all other pages in the same
tableCaption ||| density condition. b,csearch performance is significant different to each other in the same density condition)
page ||| 1081
note ||| CHI 2008 Proceedings · Search	April 5-10, 2008 · Florence, Italy
bodyText ||| items were available within the perceptual span (higher
bodyText ||| density), longer item visits were used, and when fewer
bodyText ||| items were available (lower density), shorter item visits
bodyText ||| were used. Longer visits were only used when they were
bodyText ||| efficient, i.e. when expected information gain was high.
bodyText ||| 2. Longer visits to items were combined with skipping.
bodyText ||| Participants in the high density conditions skipped items
bodyText ||| more often, visited fewer items, and spent less time
bodyText ||| searching overall.	In other words, when the potential
bodyText ||| information gain for longer visits was high, people made
bodyText ||| more use of longer visits and reduced the number of items
bodyText ||| that they directly fixated. They made more use of the
bodyText ||| perceptual span when it was rational given the constraints
bodyText ||| of the visual system to do so, and gained an overall
bodyText ||| reduction in the required search time.
bodyText ||| 3. Participants were observed to reduce the number of items
bodyText ||| that they visited, i.e. they skipped, when there was a larger
bodyText ||| number of items (Figure 5d) but without increasing the
bodyText ||| duration spent attending to each item (Figure 5c). These
bodyText ||| findings suggest that skipping was sensitive to the prior
bodyText ||| probability that any one item would be attractive enough to
bodyText ||| be selected but that gaze duration was not.
bodyText ||| 4. Participants spent more time on an item, when they
bodyText ||| revisited it than when they visited it for the first time. this
bodyText ||| findings indicates that people may use an iterative
bodyText ||| deepening of attention [34]. This strategy may help
bodyText ||| participants to parse large amounts of information quickly
bodyText ||| using lower tolerance to rule out poor quality items and
bodyText ||| then focus effort on a smaller set. The difference between
bodyText ||| [34] and our study is that our participants didn’t sample all
bodyText ||| items before they started to revisit, especially in conditions
bodyText ||| with more pages (Figure 4b). This finding suggests that the
bodyText ||| set size of potential items may be constrained by the
bodyText ||| capacity limitation in memory. We also observed
bodyText ||| participants select an item at the first time visit before
bodyText ||| sampling all items. This indicated that people also picked
bodyText ||| an item immediately when the value of the item currently
bodyText ||| visited is beyond their satisficing criteria [38]. Adopting the
bodyText ||| coarse-to-fine strategy [27,33] and employing satisficing
bodyText ||| [38] could save lots of visual processing cost for sampling
bodyText ||| out poor items quickly and gain an item with satisficing
bodyText ||| value or gain a revisited item with acceptable value.
bodyText ||| In sum, the results support the view that people adjusted
bodyText ||| their visual search strategy to their expectations of
bodyText ||| information gain, and that these expectations were
bodyText ||| contingent on (a) the density of items, and (b) the prior
bodyText ||| likelihood that an item is the one that they will want to
bodyText ||| select. In the remainder of the Discussion we first offer
bodyText ||| further explanations for the details of the findings, we then
bodyText ||| discuss some design implications.
subsectionHeader ||| Further Explanations
bodyText ||| Why, for some designs, is it more efficient to use fewer
bodyText ||| longer gazes than more, shorter, ones? Essentially, because
bodyText ||| planning and executing gaze transitions, saccades, is
bodyText ||| expensive. Planning and executing a new gaze so as to
bodyText ||| bring a foveal fixation to a new place requires effort, both
bodyText ||| mental and physical effort. Neurophysiological evidence
bodyText ||| indicates that making a saccade involves high cost neural
bodyText ||| processes to keep the visual scene stable (see [37] review).
bodyText ||| Therefore, to prolong an old gaze to gain information about
bodyText ||| an adjacent item can cost less than to plan and execute a
bodyText ||| new gaze. For example, in our experiment a new item visit
bodyText ||| took an extra 400 ms, but a longer gaze took only about 20
bodyText ||| ms more. Although each longer gaze takes more time, fewer
bodyText ||| gazes are required, reducing the overall visual search time.
bodyText ||| Why was it not possible for participants to increase
bodyText ||| perceptual span to cover adjacent items in lower density
bodyText ||| displays? Findings reported by Hooge, Vlaskamp and Over
bodyText ||| [16] suggest that information can be gathered from a wider
bodyText ||| area of a display as gaze durations increase, i.e. it is
bodyText ||| possible that perceptual span is itself contingent on duration
bodyText ||| of fixation. However, there are clearly limits [4], and it
bodyText ||| appears as though the reduction in the rate that information
bodyText ||| can be acquired caused by the lower densities in our
bodyText ||| experiment pushed participants beyond this limit.
bodyText ||| Will the findings generalise to other types of search result
bodyText ||| items? There is some evidence that the finding would
bodyText ||| generalise to word items. For example, Pollatsek, Perea
bodyText ||| and Binder [32] found that fixation duration is longer when
bodyText ||| a word with more neighbours than few neighbours. Longer
bodyText ||| fixation duration in a more dense display suggests that more
bodyText ||| information within the perceptual span is required to be
bodyText ||| processed serially. In contrast, Motter and Belky [24]
bodyText ||| showed that fixation duration didn’t change as the number
bodyText ||| of items within a 4° constant area and assumed that this
bodyText ||| result is because items surrounding a fixation are processed
bodyText ||| in parallel (number of items surrounded the fixation will not
bodyText ||| affect the fixation duration). These contrary results could be
bodyText ||| because of the relative complexities of stimuli in these two
bodyText ||| tasks are so different. Simple items, e.g. symbols, adjacent
bodyText ||| to a fixation can be processed in parallel, but complex items
bodyText ||| such photographic thumbnails in our task have to be
bodyText ||| processed in series and result in longer durations.
bodyText ||| Why do the findings differ from previous research? The
bodyText ||| importance of ecological validity. The observed density
bodyText ||| effect on gaze duration and number of gazes are consistent
bodyText ||| with some previous studies [26], but contrary to others
bodyText ||| [4,15]. Unlike most of the previous studies, our target was
bodyText ||| not defined by only one or two visual features (color, shape,
bodyText ||| and orientation et al.) or non-words (non-words without
bodyText ||| semantic meaning can be searched by their shape or the
bodyText ||| order of characters), but was, instead, informed by the
bodyText ||| semantic description of a place. In contrast to these
bodyText ||| previous studies, participants in our study had to search a
bodyText ||| target based on aesthetic judgment. They spent longer gaze
bodyText ||| duration in our task than normal visual search task. These
bodyText ||| differences in the task environment may lead to the
bodyText ||| different results of the effect on search performance.
bodyText ||| Ecological validity is therefore crucial to understanding the
bodyText ||| constraints on visual search strategy.
page ||| 1082
note ||| CHI 2008 Proceedings · Search	April 5-10, 2008 · Florence, Italy
bodyText ||| On the other hand, we have chosen to control some
bodyText ||| variables that are confounded in studies of potential new
bodyText ||| designs. For example, in studies of hyperbolic browsers
bodyText ||| [30] item size and item density are confounded, i.e. items
bodyText ||| that are close together are also smaller than items that are
bodyText ||| further apart. Although this is perhaps, a natural confound
bodyText ||| for systems like hyperbolic browsers, failing to isolate what
bodyText ||| are otherwise independent factors will limit the generality
bodyText ||| of conclusions drawn from the data.
bodyText ||| A downside of our effort to engage our participants in a
bodyText ||| meaningful task -- looking for attractive images of potential
bodyText ||| destinations -- was that there was a weak criterion for
bodyText ||| successful trial completion. The trial was over when
bodyText ||| participants indicated that they had found an attractive
bodyText ||| thumbnail but some participants may have used radically
bodyText ||| different thresholds for ‘attractive’ than others. In contrast,
bodyText ||| experiments in which participants were asked to find a
bodyText ||| particular item have a strong and measurable criterion for
bodyText ||| trial completion and moreover participants can make errors.
bodyText ||| Although we claim that our design reflects some part of the
bodyText ||| natural task ecology, it also reduces the strength of the
bodyText ||| conclusions that we can draw from the fact that participants
bodyText ||| took less time, overall, when items were presented with a
bodyText ||| higher density.
subsectionHeader ||| Design Implications
bodyText ||| A persistent problem for HCI is that the exploration of new
bodyText ||| designs in the absence of adequate empirically grounded
bodyText ||| theory might lead to the rejection of the design on the basis
bodyText ||| of false negatives. Hyperbolic or other fish-eye view
bodyText ||| projections have, for example, had no impact on the way
bodyText ||| that most people use computer systems, despite the huge
bodyText ||| research investment over many years. It is tempting to take
bodyText ||| this fact as evidence that hyperbolic browsers are not fit for
bodyText ||| purpose. However, an alternative reason for their failure to
bodyText ||| find a role might be that the particular design instances are
bodyText ||| not tuned to the detailed constraints and adaptive capability
bodyText ||| of the human visual system. Hyperbolic browsers that fail
bodyText ||| to let people adapt to the constraints and capabilities
bodyText ||| imposed by their visual system are unlikely to succeed.
bodyText ||| Careful empirical investigation in response to well-formed
bodyText ||| theory and motivated by the ecology of user’s real task
bodyText ||| environments may have the potential to address this
bodyText ||| problem.
bodyText ||| For example, although users might adapt their search
bodyText ||| strategy to achieve the highest payoff given a particular
bodyText ||| thumbnail density, some layout designs are better for
bodyText ||| decreasing of total search time and manual response time.
bodyText ||| The results reported above suggest the high density (3
bodyText ||| pixels gap between thumbnails) can facilitate search.
bodyText ||| Interestingly, even higher densities than we have explored
bodyText ||| in this paper are unlikely to produce further gains. Previous
bodyText ||| work [21] has suggested that when the spacing between
bodyText ||| icons is zero pixels search becomes more difficult.
bodyText ||| Thumbnails require at least some space for visual search,
bodyText ||| which perhaps reflects common intuitions.
sectionHeader ||| ACKNOWLEDGMENTS
bodyText ||| This research is supported by an Overseas Scholarship
bodyText ||| Scheme (OSS) Award from the University of Manchester
bodyText ||| and a Manchester Business School Award to Yuan-Chi
bodyText ||| Tseng and Office of Naval Research grant (N00014-03-1-
bodyText ||| 0087) to Andrew Howes.
sectionHeader ||| REFERENCES
reference ||| 1. Anderson, J.R. The Adaptive Character of Thought.
reference ||| Lawrence Erlbaum Associates, 1990.
reference ||| 2. Anderson, J.R., Bothell, D., Byrne, M.D., Douglass, S.,
reference ||| Lebiere, C., and Qin, Y. An integrated theory of the
reference ||| mind. Psychological Review 111, 4 (2004), 1036-1060.
reference ||| 3. Araujo, C.C., Kowler, E.E., and Pavel, M.M. Eye
reference ||| movements during visual search: the costs of choosing
reference ||| the optimal path. Vision Research 41, 25-26 (2001),
reference ||| 3613-3625.
reference ||| 4. Bertera, J.H. and Rayner, K. Eye movements and the
reference ||| span of the effective visual stimulus in visual search.
reference ||| Perception & Psychophysics 62 (2000), 576-585.
reference ||| 5. Brumby, D.P. and Howes, A. Good enough but I’ll just
reference ||| check: Web-page search as attentional refocusing. In
reference ||| Proc. ICCM 2004, Lawrence Erlbaum Associates
reference ||| (2004).
reference ||| 6. Brumby, D.P. and Howes, A. Strategies for guiding
reference ||| interactive search: An empirical investigation into the
reference ||| consequences of label relevance for assessment and
reference ||| selection. Human-Computer Interaction (in press).
reference ||| 7. Cockburn, A., Gutwin, C., and Alexander, J. Faster
reference ||| document navigation with space-filling thumbnails. In
reference ||| Proc. CHI 2006, ACM Press (2006), 1-10.
reference ||| 8. Cox, A.L. and Young, R.M. A Rational Model of the
reference ||| Effect of Information Scent on the Exploration of
reference ||| Menus. In Proc. ICCM 2004, Lawrence Erlbaum
reference ||| Associates (2004).
reference ||| 9. Cutrell, E. and Guan, Z. What are you looking for? An
reference ||| eye-tracking study of information usage in Web search.
reference ||| In Proc. CHI 2007, ACM Press (2007).
reference ||| 10.Eng, K., Lewis, R.L., Tollinger, I., Chu, A., Howes, A.,
reference ||| and Vera, A. Generating automated predictions of
reference ||| behavior strategically adapted to specific performance
reference ||| objectives. In Proc. CHI 2006, ACM Press (2006), 621-
reference ||| 630.
reference ||| 11.Everett, S.P. and Byrne, M.D. Unintended effects:
reference ||| Varying icon spacing changes users' visual search
reference ||| strategy. In Proc. CHI 2004, ACM Press (2004), 695-
reference ||| 702.
reference ||| 12.Findlay, J.M. and Gilchrist, I.D. Active vision-the
reference ||| psychology of looking and seeing. Oxford University
reference ||| Press, 2003.
reference ||| 13.Fu, W.-T. and Pirolli, P. SNIF-ACT: A Cognitive
reference ||| Model of User Navigation on the World Wide Web.
reference ||| Human-Computer Interaction 22 (2007).
page ||| 1083
note ||| CHI 2008 Proceedings · Search	April 5-10, 2008 · Florence, Italy
reference ||| 14.Gray, W.D. and Boehm-Davis, D.A. Milliseconds
reference ||| Matter: An introduction to microstrategies and to their
reference ||| use in describing and predicting interactive behavior.
reference ||| Journal of Experiment Psychology: Applied 6, 4 (2000),
reference ||| 322-335.
reference ||| 15.Halverson, T. and Hornof, A.J. Explaining eye
reference ||| movements in the visual search of varying density
reference ||| layouts. In Proc. ICCM 2004, Lawrence Erlbaum
reference ||| Associates (2004), 124-129.
reference ||| 16.Hooge, I.T.C., Vlaskamp, B.N.S., and Over, E.A.B.
reference ||| Saccadic search: the relation between fixation duration
reference ||| and saccade amplitude. Perception 31, ECVP Abstract
reference ||| Supplement (2002).
reference ||| 17.Howes, A., Vera, A., and Lewis, R.L. Bounding rational
reference ||| analysis: Constraints on asymptotic performance. In
reference ||| W.D. Gray (Ed.), Integrated Models of Cognitive
reference ||| Systems, Oxford University Press (2006).
reference ||| 18.Kieras, D.E. and Meyer, D.E. An overview of the EPIC
reference ||| architecture for cognition and performance with
reference ||| application to human-computer interaction. Human-
reference ||| Computer Interaction 12 (1997), 391-438.
reference ||| 19.Kieras, D.E. and Meyer, D.E. The role of cognitive task
reference ||| analysis in the application of predictive models of
reference ||| human performance. In J.M. Schraagen and S.F.
reference ||| Chipman (Eds.), Cognitive task analysis (2000), 237-
reference ||| 260.
reference ||| 20.Klöckner, K., Wirschum, N., and Jameson, A. Depth
reference ||| and breadth-first processing of search result lists. In Ext.
reference ||| Abstracts CHI 2004, ACM Press (2004), 1539-1539.
reference ||| 21.Lindberg, T. and Nasanen, R. The effect of icon spacing
reference ||| and size on the speed of icon processing in the human
reference ||| visual system. Displays 24, 3 (2003), 111-120.
reference ||| 22.Meyer, D.E. and Kieras, D.E. A computational theory of
reference ||| executive control processes and human multiple-task
reference ||| performance: Part 1. Basic Mechanisms. Psychological
reference ||| Review 104 (1997), 3-65.
reference ||| 23.Meyer, D.E. and Kieras, D.E. A computational theory of
reference ||| executive control processes and human multiple-task
reference ||| performance: Part 2. Accounts of Psychological
reference ||| Refractory-Period Phenomena. Psychological Review
reference ||| 104 (1997), 749-791.
reference ||| 24.Motter, B.C. and Belky, E.J. The zone of focal attention
reference ||| during active visual search. Vision Research 38 (1998),
reference ||| 1007-1022.
reference ||| 25.Najemnik, J. and Geisler, W.S. Optimal eye movement
reference ||| strategy in visual search. Nature 434 (2005), 387-391.
reference ||| 26.Ojanpää, H., Näsänen, R., and Kojo, I. Eye movements
reference ||| in the visual search of word lists. Vision Research 42, 12
reference ||| (2002), 1499-1512.
reference ||| 27.Over, E.A.B., Hooge, I.T.C., Vlaskamp, B.N.S., and
reference ||| Erkelens, C.J. Coarse-to-fine eye movement strategy in
reference ||| visual search. Vision Research 47 (2007), 2272-2280.
reference ||| 28.Payne, S.J., Howes, A., and Reader, W.R. Adaptively
reference ||| distributing cognition: a decision-making perspective on
reference ||| human-computer interaction. Behaviour and Information
reference ||| Technology 20, 5 (2001), 339-346.
reference ||| 29.Pirolli, P. and Card, S.K. Information foraging.
reference ||| Psychological Review 106, 4 (1999), 643-675.
reference ||| 30.Pirolli, P., Card, S.K., and Van Der Wege, M. The
reference ||| effects of information scent on visual search in the
reference ||| hyperbolic tree browser. ACM Transactions on
reference ||| Computer Human Interaction 10, 1 (2003), 20-53.
reference ||| 31.Pirolli, P. and Fu, W.-T. SNIF-ACT: a model of
reference ||| information foraging on the world wide web. In Proc.
reference ||| Ninth International Conference on User Modeling,
reference ||| Springer (2003).
reference ||| 32.Pollatsek, A., Perea, M., and Binder, K.S. The Effecs of
reference ||| Neighborhood Size in Reading and Lexical Decision.
reference ||| Journal of Experimental Psychology: Human Perception
reference ||| and Performance 25, 4 (1999), 1142-1158.
reference ||| 33.Rao, R.P.N., Zelinsky, G., Hayhoe, M.M., and Ballard,
reference ||| D.H. Eye movements in iconic visual search. Vision
reference ||| Research 42, 11 (2002), 1447-1463.
reference ||| 34.Reiman, J., Young, M., and Howes, A. A dual-space
reference ||| model of interatively deepening exploratory learning.
reference ||| International Journal of Human-Computer Studies 44
reference ||| (1996), 743-775.
reference ||| 35.Rele, R.S. and Duchowski, A.T. Using eye tracking to
reference ||| evaluate alternate search results interfaces. In Proc.
reference ||| HFES 49th Annual Conference (2005).
reference ||| 36.Resnick, M.L., Maldonado, C.A., Santos, J.M., and
reference ||| Lergier, R. Modeling On-line Search Behavior Using
reference ||| Alternative Output Structures. In Proc. HFES 45th
reference ||| Annual Conference (2001), 1166-1171.
reference ||| 37.Ross, J., Morrone, M.C., Goldberg, M.E., and Burr,
reference ||| D.C. Changes in visual perception at the time of
reference ||| saccades. Trends in Neurosciences 24, 2 (2001), 113-
reference ||| 121.
reference ||| 38.Simon, H.A. A behavioral model of rational choice.
reference ||| Quarterly Journal of Economics 69 (1955), 99-118.
reference ||| 39.Sperling, G. and Dosher, B.A. Strategy and optimization
reference ||| in human information processing. In K.R. Boff, L.
reference ||| Kaufman, and J.P. Thomas (Eds.), Handbook of
reference ||| perception and human performance, Vol. I, Sensory
reference ||| processes and perception, Wiley (1986).
reference ||| 40.Vlaskamp, B.N.S., Over, E.A.B., and Hooge, I.T.C.
reference ||| Saccadic search performance: the effect of element
reference ||| spacing. Experimental Brain Research 3 (2005), 1-14.
reference ||| 41.Woodruff, A., Faulring, A., Rosenholtz, R., Morrison,
reference ||| J., and Pirolli, P. Using Thumbnails to Search the Web.
reference ||| In Proc. CHI 2001, ACM Press (2001), 198-205.
reference ||| 42.Yee, K.P., Swearingen, K., Li, K., and Hearst, M.
reference ||| Faceted metadata for image search and browsing. In
reference ||| Proc. CHI 2003, ACM Press (2003), 401-408.
page ||| 1084
