title ||| A Pseudo Random Coordinated Scheduling Algorithm for
figure ||| ρ=0.6ρ=0.5 ρ=0.58ρ=0.48ρ=0.56 ρ=0.46ρ=0.36<ρlower ρ=0.2	ρ=0.35 ρ=0.5
figure ||| ρ=0.7	ρ=0.8>ρupper ρ=0.2 ρ=0.4	ρ=0.3 ρ=0.55
figure ||| checking intensity
figure ||| ρ=0.3
figure ||| ρ=0.55
figure ||| ρ=0.8>ρupper
figure ||| ρ=0.2 ρ=0.4
figure ||| checkpoints of A toward B
figure ||| checkpoints of B toward A
figure ||| ρ=0.7
figure ||| user data
figure ||| both node A and B double
figure ||| user data
figure ||| user data	user data
sectionHeader ||| 6. REFERENCE ALGORITHMS
bodyText ||| In this section we define the Ideal Coordinated Scatternet Sched-
bodyText ||| uler (ICSS) and the Uncoordinated Greedy Scatternet Scheduler
bodyText ||| (UGSS) reference algorithms. The ICSS algorithm represents
bodyText ||| the “ideal” case where nodes exploit all extra information when
bodyText ||| scheduling packet transmissions, which would not be available in a
bodyText ||| realistic scenario. The UGSS algorithm represents the greedy case
bodyText ||| where nodes continuously switch among their Bluetooth links in a
bodyText ||| random order.
subsectionHeader ||| 6.1 The ICSS Algorithm
bodyText ||| The ICSS algorithm is a hypothetical, ideal scheduling algorithm
bodyText ||| that we use as a reference case in the evaluation of the PCSS
bodyText ||| scheme. In the ICSS algorithm a node has the following extra
bodyText ||| information about its neighbours, which represents the idealized
bodyText ||| property of the algorithm:
listItem ||| •	a node is aware of the already pre-scheduled transmissions
listItem ||| of its neighbours; and
listItem ||| •	a node is aware of the content of the transmission buffers of
listItem ||| its neighbours.
bodyText ||| According to the ICSS algorithm each node maintains a scheduling
bodyText ||| list, which contains the already pre-scheduled tasks of the node. A
bodyText ||| task always corresponds to one packet pair exchange with a given
bodyText ||| peer of the node. Knowing the scheduling list of the neighbours
bodyText ||| allows the node to schedule communication with its neighbours
bodyText ||| without overlapping their other communication, such that the ca-
bodyText ||| pacity of the nodes is utilized as much as possible. Furthermore
bodyText ||| being aware of the content of the transmission buffers of neigh-
bodyText ||| bours eliminates the inefficiencies of the polling based scheme,
bodyText ||| since there will be no unnecessary polls and the system will be
bodyText ||| work-conserving.
bodyText ||| In the scheduling list of a node there is at most one packet pair
bodyText ||| exchange scheduled in relation to each of its peers, provided that
bodyText ||| there is a Bluetooth packet carrying user data either in the trans-
bodyText ||| mission buffer of the node or in the transmission buffer of the peer
bodyText ||| or in both. After completing a packet exchange on a given link the
bodyText ||| two nodes schedule the next packet exchange, provided that there
bodyText ||| is user data to be transmitted in at least one of the directions. If
bodyText ||| there is user data in only one of the directions, a POLL or NULL
bodyText ||| packet is assumed for the reverse direction depending on whether
bodyText ||| it is the master-to-slave or slave-to-master direction, respectively.
bodyText ||| The new task is fitted into the scheduling lists of the nodes using
bodyText ||| a first fit strategy. According to this strategy the task is fitted into
bodyText ||| the first time interval that is available in both of the scheduling lists
bodyText ||| and that is long enough to accommodate the new task. Note that the
bodyText ||| algorithm strives for maximal utilization of node capacity by trying
bodyText ||| to fill in the unused gaps in the scheduling lists.
bodyText ||| If there is no more user data to be transmitted on a previously busy
bodyText ||| link, the link goes to idle in which case no tasks corresponding to
bodyText ||| the given link will be scheduled until there is user data again in at
bodyText ||| least one of the directions.
bodyText ||| An example for the scheduling lists of a node pair A and B is shown
bodyText ||| in Figure 5. The tasks are labeled with the name of the correspond-
bodyText ||| ing peers the different tasks belong to. Each node has as many
bodyText ||| pre-scheduled tasks in its scheduling list as the number of its ac-
bodyText ||| tive Bluetooth links. A link is considered to be active if there is
bodyText ||| current time
bodyText ||| schedule the next packet pair
bodyText ||| exchange for node A and B
figureCaption ||| Figure 5: Example for the scheduling lists of a node pair in case
figureCaption ||| of the ICSS algorithm
bodyText ||| user data packet in at least one of the directions. Node A has active
bodyText ||| peers B and C, while node B has active peers A, D and E. After
bodyText ||| node A and B have finished the transmission of a packet pair they
bodyText ||| schedule the next task for the nearest time slots that are available
bodyText ||| in both of their scheduling lists and the number of consecutive free
bodyText ||| time slots is greater than or equal to the length of the task.
subsectionHeader ||| 6.2 The UGSS Algorithm
bodyText ||| In the UGSS algorithm Bluetooth nodes do not attempt to coordi-
bodyText ||| nate their meeting points, instead each node visits its neighbours
bodyText ||| in a random order. Nodes switch continuously among their Blue-
bodyText ||| tooth links in a greedy manner. If the node has n number of links it
bodyText ||| chooses each of them with a probability of 1/n. The greedy nature
bodyText ||| of the algorithm results in high power consumption of Bluetooth
bodyText ||| devices.
bodyText ||| If the node is the master on the visited link it polls the slave by
bodyText ||| sending a packet on the given link. The type of Bluetooth packet
bodyText ||| sent can be a 1, 3 or 5 slot packet carrying useful data or an empty
bodyText ||| POLL packet depending on whether there is user data to be trans-
bodyText ||| mitted or not. After the packet has been sent the master remains
bodyText ||| active on the link in order to receive any response from the slave.
bodyText ||| If the slave has not been active on the given link at the time when
bodyText ||| the master has sent the packet it could not have received the packet
bodyText ||| and consequently it will not send a response to the master. After
bodyText ||| the master has received the response of the slave or if it has sensed
bodyText ||| the link to be idle indicating that no response from the salve can be
bodyText ||| expected, it selects the next link to visit randomly.
bodyText ||| Similar procedure is followed when the node is the slave on the
bodyText ||| visited link. The slave tunes its receiver to the master and listens
bodyText ||| for a packet transmission from the master in the current master-
bodyText ||| to-slave slot. If the slave has not been addressed by the master
bodyText ||| in the actual master-to-slave slot it immediately goes to the next
bodyText ||| link. However, if the slave has been addressed it remains active on
bodyText ||| the current link and receives the packet. After having received the
bodyText ||| packet of the master the slave responds with its own packet in the
bodyText ||| following slave-to-master slot. After the slave has sent its response
bodyText ||| it selects the next link to visit randomly.
sectionHeader ||| 7. SIMULATION RESULTS
bodyText ||| First, we evaluate the algorithm in a realistic usage scenario, which
bodyText ||| is the Network Access Point (NAP) scenario. Next we investigate
bodyText ||| theoretical configurations and obtain asymptotical results that re-
bodyText ||| veals the scaling properties of the algorithm. For instance we in-
bodyText ||| vestigate the carried traffic in function of the number of forwarding
figure ||| peer B
figure ||| Dee, C	pear C
figure ||| t
figure ||| peer A
figure ||| ✑peer E	peer E
figure ||| t
figure ||| scheduling list of
figure ||| node A
figure ||| Deer B
figure ||| scheduling list of
figure ||| node B
figure ||| Deer A p
figure ||| eer D
bodyText ||| hops along the path and in function of bridging degree. Both in the
bodyText ||| realistic and theoretical configurations we relate the performance of
bodyText ||| the PCSS scheme to the performance of the ICSS and UGSS ref-
bodyText ||| erence algorithms. Before presenting the scenarios and simulation
bodyText ||| results we shortly describe the simulation environment and define
bodyText ||| the performance metrics that are going to be measured during the
bodyText ||| simulations.
subsectionHeader ||| 7.1 Simulation Environment
bodyText ||| We have developed a Bluetooth packet level simulator, which is
bodyText ||| based on the Plasma simulation environment [4]. The simulator
bodyText ||| has a detailed model of all the packet transmission, reception pro-
bodyText ||| cedures in the Bluetooth Baseband including packet buffering, up-
bodyText ||| per layer packet segmentation/reassemble, the ARQ mechanism,
bodyText ||| etc. The simulator supports all Bluetooth packet types and follows
bodyText ||| the same master-slave slot structure as in Bluetooth. For the physi-
bodyText ||| cal layer we employ a simplified analytical model that captures the
bodyText ||| frequency collision effect of interfering piconets.
bodyText ||| In the current simulations the connection establishment procedures,
bodyText ||| e.g., the inquiry and page procedures are not simulated in detail and
bodyText ||| we do not consider dynamic scatternet formation either. Instead we
bodyText ||| perform simulations in static scatternet configurations where the
bodyText ||| scatternet topology is kept constant during one particular run of
bodyText ||| simulation.
bodyText ||| In the current simulations we run IP directly on top of the Blue-
bodyText ||| tooth link layer and we apply AODV as the routing protocol in the
bodyText ||| IP layer. The simulator also includes various implementations of
bodyText ||| the TCP protocol (we employed RenoPlus) and supports different
bodyText ||| TCP/IP applications, from which we used TCP bulk data transfer
bodyText ||| in the current simulations.
bodyText ||| One of the most important user perceived performance measures is
bodyText ||| the achieved throughput. We are going to investigate the throughput
bodyText ||| in case of bulk TCP data transfer and in case of Constant Bit Rate
bodyText ||| (CBR) sources.
bodyText ||| In order to take into account the power consumption of nodes we
bodyText ||| define activity ratio of a node, ract as the fraction of time when
bodyText ||| the node has been active over the total elapsed time; and power
bodyText ||| efficiency, pep p as the fraction of the number of user bytes success-
bodyText ||| fully communicated (transmitted and received) over the total time
bodyText ||| the node has been active. The power efficiency shows the num-
bodyText ||| ber of user bytes that can be communicated by the node during an
bodyText ||| active period of length 1 sec. Power efficiency can be measured
bodyText ||| in [kbit/sec], or assuming that being active for 1 sec consumes 1
bodyText ||| unit of energy we can get a more straightforward dimension of
bodyText ||| [kbit/energy unit], which is interpreted as the number of bits that
bodyText ||| can be transmitted while consuming one unit of energy.
subsectionHeader ||| 7.2 Network Access Point Scenario
bodyText ||| In this scenario we have a NAP that is assumed to be connected to
bodyText ||| a wired network infrastructure and it provides network access via
bodyText ||| its Bluetooth radio interface. The NAP acts as a master and up to 7
bodyText ||| laptops, all acting as slaves, can connect to the NAP. Furthermore
bodyText ||| we assume that each laptop has a Bluetooth enabled mouse and
bodyText ||| each laptop connects to its mouse by forming a new piconet as it is
bodyText ||| shown in Figure 6.
bodyText ||| We simulate a bulk TCP data transfer from the NAP towards each
bodyText ||| laptop separately. Regarding the traffic generated by the mouse we
bodyText ||| assume that the mouse produces a 16 byte long packet each 50 ms,
figureCaption ||| Figure 6: Network Access Point Scenario
bodyText ||| periodically. In the NAP-laptop communication we are interested
bodyText ||| in the achieved throughput while in the laptop-mouse communi-
bodyText ||| cation we are concerned with the delay perceived by the mouse.
bodyText ||| In the current scenario we switched off the dynamic checkperiod
bodyText ||| adjustment capability of the PCSS algorithm and we set the base
bodyText ||| checking period to 32 frames (40 ms), which is in accordance with
bodyText ||| the delay requirement of a mouse. Note that this same base check-
bodyText ||| ing period is applied also on the NAP-laptop links, although, there
bodyText ||| is no delay requirement for the TCP traffic. However, the current
bodyText ||| implementation in the simulator does not yet support the setting of
bodyText ||| the base checking periods for each link separately. The dynamic
bodyText ||| checking period adjustment would definitely improve the through-
bodyText ||| put of NAP-laptop communication as we are going to see later in
bodyText ||| case of other configurations.
bodyText ||| The simulation results are shown in Figure 7. In plot (a) the aver-
bodyText ||| aged throughput of NAP-laptop communications are shown in the
bodyText ||| function of number of laptops for the different algorithms, respec-
bodyText ||| tively. Graph (b) plots the sum of the throughputs between the
bodyText ||| NAP and all laptops. As we expect, the individual laptop through-
bodyText ||| put decreases as the number of laptops increases. However, it is
bodyText ||| important to notice that the sum of laptop throughputs do not de-
bodyText ||| crease with increasing number of laptops in case of the PCSS and
bodyText ||| ICSS algorithms. As the number of laptops increases the efficient
bodyText ||| coordination becomes more important and the total carried traffic
bodyText ||| will decrease with the uncoordinated UGSS scheme. The increase
bodyText ||| of the total throughput in case of the PCSS algorithm is the conse-
bodyText ||| quence of the fixed checking intensities, which allocates one half
bodyText ||| of a laptop capacity to the mouse and the other half to the NAP. In
bodyText ||| case of small number of laptops this prevents the laptops to fully
bodyText ||| utilize the NAP capacity, which improves as the number of laptops
bodyText ||| increases.
bodyText ||| The 99% percentile of the delay seen by mouse packets is shown in
bodyText ||| plot (c). The delay that can be provided with the PCSS algorithm
bodyText ||| is determined by the base checking period that we use. Recall, that
bodyText ||| in the current setup the base checking period of the PCSS scheme
bodyText ||| was set to 32 frames, which implies that the delay has to be in the
bodyText ||| order of 32 frames, as shown in the figure. The low delay with the
bodyText ||| UGSS algorithm is due to the continuous switching among the links
bodyText ||| of a node, which ensures high polling intensity within a piconet
bodyText ||| and frequent switching between piconets. The UGSS algorithm
bodyText ||| provides an unnecessarily low delay, which is less than the delay
bodyText ||| requirement at the expense of higher power consumption.
bodyText ||| Plots (d) and (e) show the averaged activity ratio over all lap-
bodyText ||| tops and mice, respectively. The considerably higher throughput
bodyText ||| achieved for small number of laptops by the ICSS scheme explains
bodyText ||| its higher activity ratio. On graph (f) the averaged power efficiency
bodyText ||| of laptops is shown, which relates the number of bytes transmit-
bodyText ||| ted to the total time of activity. The power efficiency of the PCSS
figure ||| mouse
figure ||| mouse
figure ||| NAP
figure ||| laptop	max 7	laptop
bodyText ||| scheme decreases with increasing number of laptops, which is a
bodyText ||| consequence of the fixed checking intensities. Since the NAP has
bodyText ||| to share its capacity among the laptops, with an increasing number
bodyText ||| of laptops there will be an increasing number of checkpoints where
bodyText ||| the NAP cannot show up. In such cases the dynamic checking in-
bodyText ||| tensity adjustment procedure could help by decreasing checking
bodyText ||| intensity on the NAP-laptop links. Recall that in the current sce-
bodyText ||| nario we employed fixed checking intensities in order to satisfy the
bodyText ||| mouse delay requirement. It is also important to notice that with the
bodyText ||| uncoordinated UGSS scheme the activity ratio of a mouse is rela-
bodyText ||| tively high, which is an important drawback considering the low
bodyText ||| power capabilities of such devices.
subsectionHeader ||| 7.3 Impact of Number of Forwarding Hops
bodyText ||| In what follows, we investigate the performance impact of the num-
bodyText ||| ber of forwarding hops along the communication path in the scat-
bodyText ||| ternet configuration shown in Figure 8. The configuration consists
bodyText ||| of a chain of S/M forwarding nodes (Fi) and a certain number of
bodyText ||| additional node pairs connected to each forwarding node in order to
bodyText ||| generate background traffic. The number of S/M forwarding nodes
bodyText ||| is denoted by NF. There are NB number of background node pairs
bodyText ||| connected to each forwarding node as masters. The background
bodyText ||| traffic flows from each source node Bz) to its destination pair
bodyText ||| B(P) through the corresponding forwarding node Fi. The traffic
bodyText ||| that we are interested in is a bulk TCP data transfer between node
bodyText ||| S and D. The background traffic is a CBR source, which generates
bodyText ||| 512 byte long IP packets with a period of length 0.05 sec.
none ||| D
bodyText ||| During the simulations we vary the number of forwarding hops NF
bodyText ||| and the number of background node pairs NB connected to each
bodyText ||| forwarding node. As one would expect, with increasing number of
bodyText ||| forwarding hops and background node pairs the coordinated algo-
bodyText ||| rithms will perform significantly better than the one without any
bodyText ||| coordination (UGSS).
bodyText ||| The throughput of the S-D traffic as a function of the number of
bodyText ||| forwarding nodes (NF) without background traffic (NB = 0) and
bodyText ||| with two pairs of background nodes (NB = 2) are shown in Fig-
bodyText ||| ure 9 (a) and (b), respectively. The throughput in case of no cross
bodyText ||| traffic drops roughly by half when we introduce the first forward-
bodyText ||| ing node. Adding additional forwarding hops continuously reduces
bodyText ||| the throughput, however, the decrease at each step is less drasti-
bodyText ||| cal. We note that in case of the ICSS scheme one would expect
bodyText ||| that for NF > 1 the throughput should not decrease by adding
bodyText ||| additional forwarding hops. However, there are a number of other
bodyText ||| effects besides the number of forwarding hops that decrease the
bodyText ||| throughput. For instance, with an increasing number of forward-
bodyText ||| ing hops the number of piconets in the same area increases, which,
bodyText ||| in turn, causes an increasing number of lost packets over the radio
bodyText ||| interface due to frequency collisions. Furthermore with increasing
bodyText ||| number of hops the end-to-end delay suffered by the TCP flow in-
bodyText ||| creases, which makes the TCP connection less reactive to recover
bodyText ||| from packet losses.
bodyText ||| In the no background traffic case the PCSS scheme performs close
bodyText ||| to the UGSS algorithm in terms of throughput. However, as we
bodyText ||| introduce two pairs of background nodes the UGSS algorithm fails
bodyText ||| completely, while the PCSS scheme still achieves approximately 20
bodyText ||| kbit/sec throughput. Furthermore, the power efficiency of the PCSS
bodyText ||| scheme is an order of magnitude higher than that of the UGSS algo-
bodyText ||| rithm in both cases, which indicates that the PCSS algorithm con-
bodyText ||| sumes significantly less power to transmit the same amount of data
bodyText ||| than the UGSS scheme.
subsectionHeader ||| 7.4 Impact of Bridging Degree
bodyText ||| Next we investigate the performance of scheduling algorithms as
bodyText ||| the number of piconets that a bridging node participates in is in-
bodyText ||| creased. The scatternet setup that we consider is shown in Figure
bodyText ||| 10, where we are interested in the performance of the bridging node
bodyText ||| C. Node C is an all slave bridging node and it is connected to mas-
bodyText ||| ter nodes Pi, where the number of these master nodes is denoted
bodyText ||| by NP. To each master node Pi we connect NL number of leaf
bodyText ||| nodes as slaves in order to generate additional background load in
bodyText ||| the piconets. We introduce bulk TCP data transfer from node C
bodyText ||| towards each of its master node Pi and CBR background traffic
bodyText ||| on each Lij — Pi link. The packet generation interval for back-
bodyText ||| ground sources was set to 0.25 sec, which corresponds to a 16
bodyText ||| kbit/sec stream. During the simulation we vary the number of pi-
bodyText ||| conets NP participated by node C and investigate the performance
bodyText ||| of the PCSS algorithm with and without dynamic checkpoint inten-
bodyText ||| sity changes. The number of background nodes NL connected to
bodyText ||| each master node Pi was set to NL = 3 and it was kept constant in
bodyText ||| the simulations.
none ||| LmNL
bodyText ||| The throughputs of TCP flows between node C and each Pi are av-
bodyText ||| eraged and it is shown in Figure 10 (a). The sum of TCP through-
bodyText ||| puts are plotted in graph (b) and the power efficiency of the central
bodyText ||| node is shown in graph (c). The PCSS algorithm has been tested
bodyText ||| both with fixed base checking periods equal to 32 frames (“PCSS-
bodyText ||| 32”) and with dynamic checking intensity changes as well (“PCSS-
bodyText ||| dyn”). The parameter settings of the dynamic case is shown in Ta-
bodyText ||| ble 1.
table ||| quti = 0.7	Nsample,min = 4
table ||| Plower = 0.3	Pupper = 0.7
table ||| quiode)=0.7	Nuti,win = 10	maxe) = 0.8
table ||| Tmin = 8	Tmax = 256
tableCaption ||| Table 1: Parameter setting of the dynamic PCSS scheme
figure ||| Lmi
figure ||| LNPm
figure ||| Pm
figure ||| LNPNL
figure ||| PNP
figure ||| C
figureCaption ||| Figure 10: Impact of number of participated piconets
figure ||| 	B(D)	B(D)	B(D).
figure ||| 	1i	2i	NF�
figureCaption ||| Figure 8: Impact of number of forwarding nodes
figure ||| B(S)
figure ||| B(S)
figure ||| F1	F2	FNF
figure ||| S
figure ||| B(S)
figure ||| N.
figure ||| F�
figure ||| (d)	(e)	(f)
figureCaption ||| Figure 7: Throughput, delay and power measures in the function of number of laptops connected to the NAP
figure ||| Activity Ratio of laptops
figure ||| Activity Ratio of mice
figure ||| Power efficiency of laptops
figure ||| TCP throughput per laptop
figure ||| Sum TCP throughput of laptops
figure ||| 0.99 percentile of mouse dealy
figure ||| 1	2	3	4	5	6	7
figure ||| Number of laptops
figure ||| 1	2	3	4	5	6	7
figure ||| Number of laptops
figure ||| 1	2	3	4	5	6	7
figure ||| Number of laptops
figure ||| (a)	(b)	(c)
figure ||| PCSS
figure ||| UGSS
figure ||| ICSS
figure ||| PCSS
figure ||| UGSS
figure ||| ICSS
figure ||| 500
figure ||| 450
figure ||| 400
figure ||| 350
figure ||| 300
figure ||| 250
figure ||| 200
figure ||| 150
figure ||| 100
figure ||| 50
figure ||| 0
figure ||| 0.06
figure ||| 0.05
figure ||| 0.04
figure ||| 0.03
figure ||| 0.02
figure ||| 0.01
figure ||| 0
figure ||| 500
figure ||| 450
figure ||| 400
figure ||| 350
figure ||| 300
figure ||| 250
figure ||| 200
figure ||| 150
figure ||| 100
figure ||| 50
figure ||| 0
figure ||| PCSS
figure ||| UGSS
figure ||| ICSS
figure ||| 1	2	3	4	5	6	7
figure ||| Number of laptops
figure ||| 1	2	3	4	5	6	7
figure ||| Number of laptops
figure ||| 1	2	3	4	5	6	7
figure ||| Number of laptops
figure ||| 600
figure ||| 0.9
figure ||| 0.8
figure ||| 0.7
figure ||| 0.6
figure ||| 0.5
figure ||| 0.4
figure ||| 0.3
figure ||| 0.2
figure ||| 0.1
figure ||| 500
figure ||| PCSS
figure ||| UGSS
figure ||| ICSS
figure ||| 0.9
figure ||| 0.8
figure ||| 0.7
figure ||| 0.6
figure ||| 0.5
figure ||| 0.4
figure ||| 0.3
figure ||| 0.2
figure ||| 0.1
figure ||| 400
figure ||| 300
figure ||| 200
figure ||| 100
figure ||| 0
figure ||| 0
figure ||| 0
figure ||| PCSS
figure ||| UGSS
figure ||| ICSS
figure ||| PCSS
figure ||| UGSS
figure ||| ICSS
figure ||| TCP throughput without background nodes (N_B=0)
figure ||| PCSS
figure ||| UGSS
figure ||| ICSS
figure ||| 0	1	2	3	4	5	6	7	8
figure ||| Number of forwarding nodes (N_F)
figure ||| 500
figure ||| 450
figure ||| 400
figure ||| 350
figure ||| 300
figure ||| 250
figure ||| 200
figure ||| 150
figure ||| 100
figure ||| 50
figure ||| 0
figure ||| TCP throughput with 2 pairs of background nodes (N_B=2)
figure ||| Power efficiency of forwarding nodes (N_B=2)
figure ||| 0	1	2	3	4	5	6	7	8
figure ||| Number of forwarding nodes (N_F)
figure ||| 0	1	2	3	4	5	6	7	8
figure ||| Number of forwarding nodes (N_F)
figure ||| 0
figure ||| 300
figure ||| 200
figure ||| 100
figure ||| 500
figure ||| 450
figure ||| 400
figure ||| PCSS
figure ||| UGSS
figure ||| ICSS
figure ||| 350
figure ||| 300
figure ||| 250
figure ||| 200
figure ||| 150
figure ||| 100
figure ||| 50
figure ||| 0
figure ||| 600
figure ||| 500
figure ||| 400
figure ||| PCSS
figure ||| UGSS
figure ||| ICSS
figure ||| (a)	(b)	(c)
figureCaption ||| Figure 9: Throughput and power efficiency in function of number of forwarding hops
bodyText ||| It is important to notice that the per flow TCP throughputs in case
bodyText ||| of the dynamic PCSS scheme matches quite closely the through-
bodyText ||| put achieved by the ICSS algorithm and it significantly exceeds the
bodyText ||| throughput that has been achieved by the fixed PCSS. This large
bodyText ||| difference is due to the relatively low background traffic in the
bodyText ||| neighbouring piconets of node C, in which case the dynamic PCSS
bodyText ||| automatically reduces checkpoint intensity on the lightly loaded
bodyText ||| links and allocates more bandwidth to the highly loaded ones by
bodyText ||| increasing checking intensity.
sectionHeader ||| 8. CONCLUSIONS
bodyText ||| We have presented Pseudo Random Coordinated Scatternet
bodyText ||| Scheduling, an algorithm that can efficiently control communica-
bodyText ||| tion in Bluetooth scatternets without exchange of control informa-
bodyText ||| tion between Bluetooth devices. The algorithm relies on two key
bodyText ||| components, namely the use of pseudo random sequences of meet-
bodyText ||| ing points, that eliminate systematic collisions, and a set of rules
bodyText ||| that govern the increase and decrease of meeting point intensity
bodyText ||| without explicit coordination.
bodyText ||| We have evaluated the performance of PCSS in a number of sim-
bodyText ||| ulation scenarios, where we have compared throughput and power
bodyText ||| measures achieved by PCSS to those achieved by two reference
bodyText ||| schedulers. The first reference scheduler is an uncoordinated
bodyText ||| greedy algorithm, while the other is a hypothetical “ideal” sched-
bodyText ||| uler.
bodyText ||| In all the scenarios investigated we have found that PCSS achieves
bodyText ||| higher throughput than the uncoordinated reference algorithm.
bodyText ||| Moreover, with the traffic dependent meeting point intensity adjust-
bodyText ||| ments the throughput and power measures of PCSS quite closely
bodyText ||| match the results of the “ideal” reference algorithm. At the same
bodyText ||| time PCSS consumes approximately the same amount of power as
bodyText ||| the ideal scheduler to achieve the same throughput, which is sig-
bodyText ||| nificantly less than the power consumption of the uncoordinated
bodyText ||| reference scheduler.
sectionHeader ||| 9. REFERENCES
reference ||| [1] Bluetooth Special Interest Group. Bluetooth Baseband
reference ||| Specification Version 1.0 B. http://www.bluetooth.com/.
figureCaption ||| Figure 11: Throughput and power efficiency in function of the bridging degree of node C
figure ||| Averaged TCP throughput between central node and master nodes
figure ||| Sum of TCP throughputs at the central node
figure ||| Effective power of central node
figure ||| 1	2	3	4	5	6
figure ||| Number of piconets participated by the central node (N_P)
figure ||| 1	2	3	4	5	6
figure ||| Number of piconets participated by the central node (N_P)
figure ||| 1	2	3	4	5	6
figure ||| Number of piconets participated by the central node (N_P)
figure ||| (a)	(b)	(c)
figure ||| PCSS-3y2
figure ||| PCSUGSS
figure ||| ICSS
figure ||| PCSS-32
figure ||| PCSS-dyn
figure ||| UGSS
figure ||| ICSS
figure ||| 450
figure ||| 400
figure ||| 350
figure ||| 300
figure ||| 250
figure ||| 200
figure ||| 150
figure ||| 100
figure ||| 50
figure ||| 0
figure ||| 450
figure ||| 400
figure ||| 350
figure ||| 300
figure ||| 250
figure ||| 200
figure ||| 150
figure ||| 100
figure ||| 50
figure ||| 0
figure ||| 600
figure ||| 500
figure ||| 400
figure ||| 300
figure ||| 200
figure ||| 100
figure ||| 0
figure ||| PCSS-32
figure ||| P	y UGG
figure ||| ICSS
reference ||| [2] Bluetooth Special Interest Group.
reference ||| http://www.bluetooth.com/.
reference ||| [3] J. Haartsen. BLUETOOTH- the universal radio interface for
reference ||| ad-hoc, wireless connectivity. Ericsson Review, (3), 1998.
reference ||| [4] Z. Haraszti, I. Dahlquist, A. Farag´o, and T. Henk. Plasma -
reference ||| an integrated tool for ATM network operation. In Proc.
reference ||| International Switching Symposium, 1995.
reference ||| [5] N. Johansson, U. K¨orner, and P. Johansson. Performance
reference ||| evaluation of scheduling algorithms for Bluetooth. In IFIP
reference ||| TC6 WG6.2 Fifth International Conference on Broadband
reference ||| Communications (BC’99), Hong Kong, November 1999.
reference ||| [6] N. Johansson, U. K¨orner, and L. Tassiulas. A distributed
reference ||| scheduling algorithm for a Bluetooth scatternet. In Proc. of
reference ||| The Seventeenth International Teletraffic Congress, ITC’17,
reference ||| Salvador da Bahia, Brazil, September 2001.
reference ||| [7] P. Johansson, N. Johansson, U. K¨orner, J. Elgg, and
reference ||| G. Svennarp. Short range radio based ad hoc networking:
reference ||| Performance and properties. In Proc. ofICC’99, Vancouver,
reference ||| 1999.
reference ||| [8] M. Kalia, D. Bansal, and R. Shorey. MAC scheduling and
reference ||| SAR policies for Bluetooth: A master driven TDD
reference ||| pico-cellular wireless system. In IEEE Mobile Multimedia
reference ||| Communications Conference MOMUC’99, San Diego,
reference ||| November 1999.
reference ||| [9] M. Kalia, D. Bansal, and R. Shorey. MAC scheduling
reference ||| policies for power optimization in Bluetooth: A master
reference ||| driven TDD wireless system. In IEEE Vehicular Technology
reference ||| Conference 2000, Tokyo, 2000.
reference ||| [10] M. Kalia, S. Garg, and R. Shorey. Efficient policies for
reference ||| increasing capacity in Bluetooth: An indoor pico-cellular
reference ||| wireless system. In IEEE Vehicular Technology Conference
reference ||| 2000, Tokyo, 2000.
sectionHeader ||| APPENDIX
bodyText ||| Here, we present the procedure for generating the pseudo ran-
bodyText ||| dom sequence of checkpoints, where we reuse the elements of
bodyText ||| the pseudo random frequency hop generation procedure available
bodyText ||| in Bluetooth. The inputs to the checkpoint generation procedure
bodyText ||| PseudoChkGen are the current checking period T(h ck, the Blue-
bodyText ||| tooth MAC address of the slave As`ave and the current value of the
bodyText ||| master’s clock t(i). A node can perform checkpoint generation us-
bodyText ||| ing the PseudoChkGen procedure at any point in time, it is al-
bodyText ||| ways guaranteed that the position of checkpoint generated by the
bodyText ||| two nodes will be the same, as it has been pointed out in Section
bodyText ||| 5.1. Nevertheless the typical case will be that whenever a node ar-
bodyText ||| rives to a checkpoint it generates the position of the next checkpoint
bodyText ||| on the given link. The variable t(i)cysstores the master’s
bodyText ||| chek
bodyText ||| clock at the next checkpoint, thus it needs to be updated every time
bodyText ||| a checkpoint is passed. Here we note that the Bluetooth clock of a
bodyText ||| device is a 28 bit counter, where the LSB changes at every half slot.
bodyText ||| Let us assume that the base period of checkpoints on the it h link of
bodyText ||| the node is Tcheck = 2j-2, j > 2 number of frames, which means
bodyText ||| that there is one pseudo randomly positioned checkpoint in each
bodyText ||| consecutive time interval of length T(h ck and the jth bit of the
bodyText ||| Bluetooth clock changes at every Tcheck. Upon arrival to a check-
bodyText ||| point the variable t(i)
bodyText ||| check equals to the current value of the master’s
bodyText ||| clock on that link. After the checkpoint generation procedure has
bodyText ||| been executed the variable tcheck will store the master’s clock at
bodyText ||| the time of the next checkpoint on that link.
bodyText ||| Before starting the procedure the variable tch)eck is set to the cur-
bodyText ||| rent value of the master’s clock t(i) in order to cover the general
bodyText ||| case when at the time of generating the next checkpoint the value
bodyText ||| of t(i)
bodyText ||| check does not necessarily equals to the current value of the
bodyText ||| master’s clock t(i). The position of the next checkpoint is ob-
bodyText ||| tained such that the node first adds the current value of Tcheck
bodyText ||| to the variable tclzeck, clears the bits [j — 1, ... , 0] of tch)eck and
bodyText ||| then generates the bits [j — 1, ... , 2] one by one using the pro-
bodyText ||| cedure PseudoBitGen(X, WctT`). When generating the kth bit
