note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
bodyText ||| clicked the Amazon link and 37 clicked the eBay link. How-
bodyText ||| ever this difference was not statistically significant, nor were
bodyText ||| there any significant correlations based on which phishing
bodyText ||| message was viewed first. It should also be noted that every
bodyText ||| participant in the control group who followed a link from an
bodyText ||| email message also submitted information to the phishing
bodyText ||| websites (Table 1). Thus, in the absence of security indica-
bodyText ||| tors, it is likely that this type of phishing attack could have a
bodyText ||| success rate of at least 89%.
bodyText ||| With regard to the technical questions mentioned in the Re-
bodyText ||| cruitment section, we noticed a negative trend between tech-
bodyText ||| nical experience and obeying the warnings among Internet
bodyText ||| Explorer users (i.e. users with more technical experience
bodyText ||| were more likely to ignore the warnings). With Firefox,
bodyText ||| technical experience played no role: all users obeyed the
bodyText ||| warnings regardless of their technical experience.
bodyText ||| We did not actually collect any information entered into the
bodyText ||| phishing websites. Instead the experimenter observed each
bodyText ||| participant and noted when they submitted information. Thus
bodyText ||| we cannot conclusively say whether all participants entered
bodyText ||| their correct information. However, the experimenter did
bodyText ||| note that all usernames were entered correctly, and no partic-
bodyText ||| ipants denied entering their correct information when asked
bodyText ||| in the exit survey.
bodyText ||| We found that participants had very inaccurate mental mod-
bodyText ||| els of phishing. Both of our phishing messages contained
bodyText ||| language that said the orders would be cancelled if they did
bodyText ||| not visit the URLs. Thirty-two percent of the participants
bodyText ||| who heeded the warnings and left the phishing websites be-
bodyText ||| lieved that their orders would be cancelled as a result—they
bodyText ||| believed that the emails were really sent from eBay and Ama-
bodyText ||| zon. We asked 25 of the participants how they believed
bodyText ||| the fraudulent URLs came to them, and only three recog-
bodyText ||| nized that the emails had been sent by someone not affiliated
bodyText ||| with either eBay or Amazon (we added this question halfway
bodyText ||| through the study). Thus, there seems to be some cognitive
bodyText ||| dissonance between recognizing a fraudulent website and
bodyText ||| the fraudulent email that spread it. This raises grave con-
bodyText ||| cerns about Internet users’ susceptibility to phishing. Highly
bodyText ||| targeted phishing attacks will continue to be very effective as
bodyText ||| long as users do not understand how easy it is to forge email.
bodyText ||| At the same time, effective browser warnings may mitigate
bodyText ||| the need for user education, as we will now show.
subsectionHeader ||| Attention Switch and Maintenance
bodyText ||| The first stage in the C-HIP model is “attention switch.” If
bodyText ||| a warning is unable to capture the user’s attention, the warn-
bodyText ||| ing will not be noticed and thus be rendered useless. Unlike
bodyText ||| the passive indicators examined by Wu et al. [23], the ac-
bodyText ||| tive warnings in Firefox and Internet Explorer get the user’s
bodyText ||| attention by interrupting their task—the user is forced to
bodyText ||| choose one of the options presented by the warning.
page ||| 1070
note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
table ||| Firefox	20	20	13	4	17	19
table ||| Active IE	20	19	10	10	10	12
table ||| Passive IE	10	8	3	5	3	5
tableCaption ||| Table 2. This table depicts the number of participants in each experi-
bodyText ||| mental condition, the number who saw at least one warning, the num-
bodyText ||| ber who completely read at least one warning, the number who recog-
bodyText ||| nized the warnings, the number who correctly understood the warn-
bodyText ||| ings, and the number who understood the choices that the warnings
bodyText ||| presented.
bodyText ||| This was not the case with the passive warning in IE (Figure
bodyText ||| 2). This warning is a single dialog box with only the op-
bodyText ||| tion to dismiss it. We observed that it could take up to five
bodyText ||| seconds for this warning to appear. If a user starts typing
bodyText ||| during this period, the user’s keystrokes will inadvertently
bodyText ||| dismiss the warning. Six of the ten participants in this con-
bodyText ||| dition never noticed the warning because their focus was on
bodyText ||| either the keyboard or the input box. Two of these partic-
bodyText ||| ipants had this happen on both phishing websites, so they
bodyText ||| had no idea they were ever exposed to any warnings. We
bodyText ||| found no statistical significance between this condition and
bodyText ||| the control group. Thus, this type of warning is effectively
bodyText ||| useless.
bodyText ||| Effective warnings must also cause attention maintenance—
bodyText ||| they must grab the users’ attention long enough for them to
bodyText ||| attempt comprehension. We examined the number of partici-
bodyText ||| pants who read the warnings (as determined by self-reporting
bodyText ||| and confirmed by the observations of the experimenter) in
bodyText ||| order to determine their effectiveness at attention mainte-
bodyText ||| nance. Table 2 shows the number of warnings read and the
bodyText ||| number of participants who claimed to have seen the warn-
bodyText ||| ings prior to this study, for each experimental condition.
bodyText ||| Not counting the two participants who failed to notice the
bodyText ||| warnings entirely, and the participant in the active IE condi-
bodyText ||| tion who did not click on the URLs, we found that twenty-six
bodyText ||| of the remaining forty-seven (55%) claimed to have com-
bodyText ||| pletely read at least one of the warnings that were displayed.
bodyText ||| When asked, twenty-two of these twenty-six (85%) said they
bodyText ||| decided to read the warning because it appeared to warn
bodyText ||| about some sort of negative consequences.
bodyText ||| Upon seeing the warnings, two participants in the active IE
bodyText ||| condition immediately closed the window. They went back
bodyText ||| to the emails and clicked the links, were presented with the
bodyText ||| same warnings, and then closed the windows again. They
bodyText ||| repeated this process four or five times before giving up,
bodyText ||| though never bothered to read the warnings. Both said that
bodyText ||| the websites were not working. Despite not reading or un-
bodyText ||| derstanding the warnings, both were protected because the
bodyText ||| warnings “failed safely.” Thus, if users do not read or under-
bodyText ||| stand the warnings, the warnings can still be designed such
bodyText ||| that the user is likely to take the recommended action.
bodyText ||| Nineteen participants claimed to have previously seen these
bodyText ||| particular warnings. A significantly higher proportion of
bodyText ||| participants in the active IE condition (50%) claimed to have
bodyText ||| recognized the warnings as compared to participants in the
bodyText ||| Firefox condition (20%; p < 0.048 for Fisher’s exact test).
bodyText ||| Many of the participants who encountered the active IE warn-
bodyText ||| ing said that they had previously seen the same warning on
bodyText ||| websites which they trusted, and thus they ignored it. It is
bodyText ||| likely that they did not read this phishing warning because
bodyText ||| IE uses a similar warning when it encounters an expired or
bodyText ||| self-signed SSL certificate. Therefore they did not notice
bodyText ||| that this was a slightly different and more serious warning.
bodyText ||| We found a significant negative Pearson correlation between
bodyText ||| participants recognizing a warning message and their will-
bodyText ||| ingness to completely read it (r = —0.309, p < 0.03).
bodyText ||| This implies that if a warning is recognized, a user is sig-
bodyText ||| nificantly less likely to bother to read it completely (i.e. ha-
bodyText ||| bituation). Thus, very serious warnings should be designed
bodyText ||| differently than less serious warnings in order to increase the
bodyText ||| likelihood that users will read them. This was also the basis
bodyText ||| for Brustoloni and Villamar´ın-Salom´on’s work on dynamic
bodyText ||| warnings [3].
subsectionHeader ||| Warning Comprehension
bodyText ||| A well-designed warning must convey a sense of danger and
bodyText ||| present suggested actions. In this study we asked partici-
bodyText ||| pants what they believed each warning meant. Twenty-seven
bodyText ||| of the 47 participants (57%) who saw at least one of the
bodyText ||| warnings correctly said they believed that they had some-
bodyText ||| thing to do with giving information to fraudulent websites
bodyText ||| (Table 2). Of the 20 participants who did not understand the
bodyText ||| meaning of the warnings, one said that she did not see it long
bodyText ||| enough to have any idea, while the others had widely varying
bodyText ||| answers. Examples include: “someone got my password,”
bodyText ||| “[it] was not very serious like most window[s] warning[s],”
bodyText ||| and “there was a lot of security because the items were cheap
bodyText ||| and because they were international.”
bodyText ||| Using Fisher’s exact test, we found that those using Firefox
bodyText ||| understood the meaning of the warnings significantly more
bodyText ||| than those exposed to the active IE warnings (p < 0.041)
bodyText ||| and the passive IE warnings (p < 0.005), though we found
bodyText ||| no significant difference between the active and passive IE
bodyText ||| warnings. We found a significant Pearson correlation be-
bodyText ||| tween completely reading a warning and understanding its
bodyText ||| meaning for the active IE warning (r = 0.478, p < 0.039),
bodyText ||| but not for Firefox. Since all but one Firefox user correctly
bodyText ||| understood what the warning wanted them to do, this im-
bodyText ||| plies that users did not need to completely read it to know
bodyText ||| the appropriate actions to take.
bodyText ||| Overall, 31 of the 47 participants who noticed the warnings
bodyText ||| mentioned that they thought they were supposed to leave
bodyText ||| the website or refrain from entering personal information.
bodyText ||| Those who did not understand the warnings provided re-
bodyText ||| sponses such as “panic and cancel my accounts,” “confirm
bodyText ||| information about the orders,” and “put in my account infor-
bodyText ||| mation so that they could track it and use it for themselves.”
page ||| 1071
note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
subsectionHeader ||| Attitudes and Beliefs
bodyText ||| We asked participants how their attitudes and beliefs influ-
bodyText ||| enced their perceptions and found a highly significant corre-
bodyText ||| lation between trusting and obeying the warnings (i.e. users
bodyText ||| who did not trust the warnings were likely to ignore them;
bodyText ||| r = 0.76, p < 0.0001). More telling, all but three partic-
bodyText ||| ipants who ignored a warning said it was because they did
bodyText ||| not trust the warning. Two of the participants who ignored
bodyText ||| the warnings in the active IE group said they did so because
bodyText ||| they trusted them but thought the warnings were not very se-
bodyText ||| vere (“since it gave me the option of still proceeding to the
bodyText ||| website, I figured it couldn’t be that bad”). The other par-
bodyText ||| ticipant who trusted the warning yet ignored it was in the
bodyText ||| passive IE group and blamed habituation (“my own PC con-
bodyText ||| stantly bombards me with similar messages”). All three of
bodyText ||| these participants questioned the likelihood of the risks, and
bodyText ||| thus were more interested in completing the primary task.
bodyText ||| We found a significant correlation between recognizing and
bodyText ||| ignoring a warning (r = 0.506, p < 0.0003). This fur-
bodyText ||| ther implies that habituation was to blame when participants
bodyText ||| ignored warnings: they confused them with similar look-
bodyText ||| ing, but less serious warnings, and thus did not understand
bodyText ||| the level of risk that these warnings were trying to convey.
bodyText ||| This was only a problem for the warnings used by IE, as
bodyText ||| all the Firefox users obeyed the warnings (though only 20%
bodyText ||| claimed to have seen them before, compared to the 50% with
bodyText ||| IE). The IE users who ignored the warnings made comments
bodyText ||| such as:
listItem ||| •	“Oh, I always ignore those”
listItem ||| •	“Looked like warnings I see at work which I know to ig-
listItem ||| nore”
listItem ||| •	“Have seen this warning before and [it] was in all cases
listItem ||| [a] false positive”
listItem ||| •	“I’ve already seen such warnings pop up for some other
listItem ||| CMU web pages as well”
listItem ||| •	“I see them daily”
listItem ||| •	“I thought that the warnings were some usual ones dis-
listItem ||| played by IE”
bodyText ||| A warning should not require domain knowledge for a user
bodyText ||| to understand it. In order to examine whether prior knowl-
bodyText ||| edge of phishing impacted user attitudes towards the warn-
bodyText ||| ings, we asked them to define the term “phishing.” Twenty-
bodyText ||| six of the forty-seven participants who noticed the warn-
bodyText ||| ings were able to correctly say they had something to do
bodyText ||| with using fraudulent websites to steal personal information.
bodyText ||| We calculated Pearson’s correlation coefficient and found
bodyText ||| a significant correlation between knowing what phishing is
bodyText ||| and both reading (r = 0.487, p < 0.0005) and heeding
bodyText ||| (r = 0.406, p < 0.005) the warnings. Thus, if a user does
bodyText ||| not understand what phishing is, they are less likely to be
bodyText ||| concerned with the consequences, and thus less likely to pay
bodyText ||| attention to the warning.
subsectionHeader ||| Motivation and Warning Behaviors
bodyText ||| Table 1 depicts the number of participants from each condi-
bodyText ||| tion who fell for at least one phishing message. Some partic-
bodyText ||| ipants only clicked on one of the two phishing messages, and
bodyText ||| in other cases some participants only received one phishing
bodyText ||| message due to email filtering.
bodyText ||| Overall we found that active phishing warnings were signifi-
bodyText ||| cantly more effective than passive warnings (p < 0.0002 for
bodyText ||| Fisher’s exact test). We showed the passive Internet Explorer
bodyText ||| warning to ten different participants, but only one participant
bodyText ||| heeded it and closed the website, whereas the other times
bodyText ||| participants dismissed it and submitted personal information
bodyText ||| to the phishing websites (in two of these cases participants
bodyText ||| failed to notice the warnings altogether). We found that this
bodyText ||| passive warning did not perform significantly different than
bodyText ||| the control group (p < 1.0 for Fisher’s exact test). The ac-
bodyText ||| tive IE warning was ignored by nine participants, while in
bodyText ||| the Firefox condition every participant heeded the warning
bodyText ||| and navigated away from the phishing websites. This was a
bodyText ||| highly significant difference (p < 0.0004, for Fisher’s exact
bodyText ||| test), however the active IE warning still performed signifi-
bodyText ||| cantly better than the control condition (p < 0.01) and the
bodyText ||| passive IE warning (p < 0.044).
bodyText ||| Qualitatively, we examined why participants were motivated
bodyText ||| to heed or ignore the warnings. A total of thirty-one partic-
bodyText ||| ipants chose to heed the warnings, and in twenty-three of
bodyText ||| these cases participants said that the warnings made them
bodyText ||| think about risks:
listItem ||| •	“I didn’t want to get burned”
listItem ||| •	“...it is not necessary to run the risk of letting other poten-
listItem ||| tially dangerous sites to get my information”
listItem ||| •	“I chose to heed the warning since I don’t like to gamble
listItem ||| with the little money I have”
listItem ||| •	“I felt it better to be safe than sorry”
listItem ||| •	“I heeded the warning because it seemed less risky than
listItem ||| ignoring it”
bodyText ||| Participants who chose to submit information said that they
bodyText ||| did so because they were unaware of the risks (i.e. they did
bodyText ||| not read the warnings), were used to ignoring similarly de-
bodyText ||| signed warnings (i.e. habituation), or they did not under-
bodyText ||| stand the choices that the warnings presented.
subsectionHeader ||| Environmental Stimuli
bodyText ||| In the passive IE condition, three of the participants who ig-
bodyText ||| nored the warnings said they did so because they incorrectly
bodyText ||| placed some degree of trust in the phishing website because
bodyText ||| of stimuli other than the warning messages. When asked
bodyText ||| why they chose to ignore the warnings, one participant said
bodyText ||| she had “confidence in the website.” Another participant
bodyText ||| ignored the warning “because I trust the website that I am
bodyText ||| doing the online purchase at.” These answers corroborate
bodyText ||| Fogg’s work, showing that the look and feel of a website
bodyText ||| is often the biggest trust factor [10]. Participants who ig-
bodyText ||| nored the active IE warning provided similar answers, and
bodyText ||| also said that they ignored the warnings because they trusted
bodyText ||| the brands that the emails had spoofed.
bodyText ||| We also found that when some participants saw the warn-
bodyText ||| ings, they examined other security context information be-
bodyText ||| fore making a decision. One Firefox user reexamined the
bodyText ||| original phishing email and noticed the lack of any person-
bodyText ||| alized information. She then decided to “back out and log
bodyText ||| in from the root domain to check.” After seeing the warn-
bodyText ||| ings, ten other Firefox users also examined either the URL
bodyText ||| bar or the email headers. Some observations included: “The
page ||| 1072
note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
bodyText ||| URL did not match the usual eBay URL and so it could be
bodyText ||| fraudulent;” “I did look at the URL that I opened from the
bodyText ||| email, and the sender of the email, to confirm that they did
bodyText ||| look suspicious;” and “it made me look at the web address
bodyText ||| which was wrong.” One participant in the passive IE con-
bodyText ||| dition and three in the active IE condition incorrectly used
bodyText ||| this information to fall for the phishing attacks. Some of
bodyText ||| the comments included: “The address in the browser was
bodyText ||| of amazonaccounts.com which is a genuine address” and “I
bodyText ||| looked at the URL and it looked okay.”
bodyText ||| Finally, at least four participants claimed that the timing of
bodyText ||| the phishing emails with the purchases contributed to them
bodyText ||| ignoring the warnings. It is unclear how susceptible these
bodyText ||| participants would have been to a broader phishing attack,
bodyText ||| rather than the targeted attack that we examined.
sectionHeader ||| DISCUSSION
bodyText ||| In this section we provide some recommendations for im-
bodyText ||| proving the design of phishing indicators based on the results
bodyText ||| of our study.
bodyText ||| Interrupting the primary task — Phishing indicators need
bodyText ||| to be designed to interrupt the user’s task. We found that the
bodyText ||| passive indicator, which did not interrupt the user’s task, was
bodyText ||| not significantly different than not providing any warning.
bodyText ||| The active warnings were effective because they facilitated
bodyText ||| attention switch and maintenance.
bodyText ||| Providing clear choices — Phishing indicators need to pro-
bodyText ||| vide the user with clear options on how to proceed, rather
bodyText ||| than simply displaying a block of text. The users that no-
bodyText ||| ticed the passive Internet Explorer warning, read it but ig-
bodyText ||| nored it because they did not understand what they were sup-
bodyText ||| posed to do. They understood it had something to do with
bodyText ||| security, but they did not know how to proceed. In contrast,
bodyText ||| the active warnings presented choices and recommendations
bodyText ||| which were largely heeded. Wu found similar results with
bodyText ||| regard to providing users with clear choices [22].
bodyText ||| Failing safely — Phishing indicators must be designed such
bodyText ||| that one can only proceed to the phishing website after read-
bodyText ||| ing the warning message. Users of the active Internet Ex-
bodyText ||| plorer warning who did not read the warning or choices could
bodyText ||| only close the window to get rid of the message. This pre-
bodyText ||| vented them from accessing the page without reviewing the
bodyText ||| warning’s recommendations. However, users of the passive
bodyText ||| Internet Explorer warning had the option of clicking the fa-
bodyText ||| miliar ‘X’ in the corner to dismiss it without reading it, and
bodyText ||| accessing the page anyway.
bodyText ||| Preventing habituation — Phishing indicators need to be
bodyText ||| distinguishable from less serious warnings and used only
bodyText ||| when there is a clear danger. Users ignored the passive in-
bodyText ||| dicators because they looked like many other warnings that
bodyText ||| users have ignored without consequences, thus they appear
bodyText ||| to be “crying wolf.” Even the active Internet Explorer warn-
bodyText ||| ing was not read in a few cases because users mistook it for
bodyText ||| other IE warnings. More people read the Firefox warnings
bodyText ||| because they are designed unlike any other warnings. Dy-
bodyText ||| namic warning messages may help prevent habituation [3].
bodyText ||| Altering the phishing website — Phishing indicators need to
bodyText ||| distort the look and feel of the website such that the user does
bodyText ||| not place trust in it. This can be accomplished by altering its
bodyText ||| look or simply not displaying it at all. The overall look and
bodyText ||| feel of a website is usually the primary factor when users
bodyText ||| make trust decisions [10]. When the website was displayed
bodyText ||| alongside the passive indicators, users ignored the warnings
bodyText ||| because they said that they trusted the look of the website.
sectionHeader ||| CONCLUSION
bodyText ||| This study has given us insights into creating effective se-
bodyText ||| curity indicators within the context of phishing. Such in-
bodyText ||| dicators are clearly needed as 97% of participants believed
bodyText ||| the phishing emails enough to visit the URLs. Of the par-
bodyText ||| ticipants who saw the active warnings, 79% chose to heed
bodyText ||| them and close the phishing websites, whereas only 13% of
bodyText ||| those who saw the passive warnings obeyed them. Without
bodyText ||| the active warning indicators, it is likely that most partici-
bodyText ||| pants would have entered personal information. However,
bodyText ||| the active indicators did not perform equally: the indica-
bodyText ||| tors used by Firefox performed significantly better than the
bodyText ||| active warnings used by IE, though both performed signif-
bodyText ||| icantly better than the passive IE warnings (which was not
bodyText ||| significantly different from not showing any warnings in the
bodyText ||| control group).
bodyText ||| As phishing attacks continue to evolve, it is likely that highly
bodyText ||| targeted attacks will become more prevalent. Future indica-
bodyText ||| tors within the phishing context need to be designed such
bodyText ||| that they interrupt the user’s primary task, clearly convey the
bodyText ||| recommended actions to take, fail in a secure manner if the
bodyText ||| user does not understand or ignores them, draw trust away
bodyText ||| from the suspected phishing website, and prevent the user
bodyText ||| from becoming habituated.
sectionHeader ||| ACKNOWLEDGMENTS
bodyText ||| Thanks to the members of the Supporting Trust Decisions
bodyText ||| project for their feedback, and Matthew Williams for his as-
bodyText ||| sistance. This work was supported in part by the National
bodyText ||| Science Foundation under grant CCF-0524189. The views
bodyText ||| and conclusions contained in this document are those of the
bodyText ||| authors and should not be interpreted as representing the of-
bodyText ||| ficial policies, either expressed or implied, of the National
bodyText ||| Science Foundation or the U.S. government.
sectionHeader ||| REFERENCES
reference ||| 1. AMER, T. S., AND MARIS, J. B. Signal words and
reference ||| signal icons in application control and information
reference ||| technology exception messages – hazard matching and
reference ||| habituation effects. Tech. Rep. Working Paper
reference ||| Series–06-05, Northern Arizona University, Flagstaff,
reference ||| AZ, October 2006.
reference ||| 2. BANK OF AMERICA. How Bank of America SiteKey
reference ||| Works for Online Banking Security.
reference ||| http://www.bankofamerica.com/privacy/sitekey/, 2007.
reference ||| 3. BRUSTOLONI, J. C., AND VILLAMAR´IN-SALOM´ON,
reference ||| R. Improving security decisions with polymorphic and
reference ||| audited dialogs. In SOUPS ’07: Proceedings of the 3rd
reference ||| symposium on Usable privacy and security (New York,
reference ||| NY, USA, 2007), ACM Press, pp. 76–85.
page ||| 1073
note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
reference ||| 4. CERTIFICATION AUTHORITY/BROWSER FORUM.
reference ||| Extended validation ssl certificates, Accessed: July 27,
reference ||| 2007. http://cabforum.org/.
reference ||| 5. CRANOR, L. F. What do they “indicate?”: Evaluating
reference ||| security and privacy indicators. Interactions 13, 3
reference ||| (2006),45–47.
reference ||| 6. DHAMIJA, R., AND TYGAR, J. D. The battle against
reference ||| phishing: Dynamic security skins. In Proceedings of
reference ||| the 2005 Symposium on Usable Privacy and Security
reference ||| (New York, NY, USA, July 6-8 2005), ACM Press.
reference ||| 7. DHAMIJA, R., TYGAR, J. D., AND HEARST, M. Why
reference ||| phishing works. In CHI ’06: Proceedings of the
reference ||| SIGCHI conference on Human Factors in computing
reference ||| systems (New York, NY, USA, 2006), ACM Press,
reference ||| pp. 581–590.
reference ||| 8. DOWNS, J. S., HOLBROOK, M., AND CRANOR, L.
reference ||| Decision Strategies and Susceptibility to Phishing. In
reference ||| Proceedings of The 2006 Symposium on Usable
reference ||| Privacy and Security (Pittsburgh, PA, July 12-14,
reference ||| 2006).
reference ||| 9. FLORENCIO, D., AND HERLEY, C. A large-scale study
reference ||| of web password habits. In WWW ’07: Proceedings of
reference ||| the 16th international conference on World Wide Web
reference ||| (New York, NY, USA, 2007), ACM Press, pp. 657–666.
reference ||| 10. FOGG, B., MARSHALL, J., LARAKI, O., OSIPOVICH,
reference ||| A., VARMA, C., FANG, N., PAUL, J., RANGEKAR,
reference ||| A., SHON, J., SWANI, P., AND TREINEN, M. What
reference ||| Makes Web Sites Credible? A Report on a Large
reference ||| Quantitative Study. In Proceedings of the ACM
reference ||| Computer-Human Interaction Conference (Seattle,
reference ||| WA, March 31 - April 4, 2001), ACM.
reference ||| 11. GARTNER, INC. Gartner Says Number of Phishing
reference ||| E-Mails Sent to U.S. Adults Nearly Doubles in Just
reference ||| Two Years.
reference ||| http://www.gartner.com/it/page.jsp?id--498245,
reference ||| November 9 2006.
reference ||| 12. HELLIER, E., WRIGHT, D. B., EDWORTHY, J., AND
reference ||| NEWSTEAD, S. On the stability of the arousal strength
reference ||| of warning signal words. Applied Cognitive Psychology
reference ||| 14 (2000), 577–592.
reference ||| 13. JACKSON, C., SIMON, D., TAN, D., AND BARTH, A.
reference ||| An evaluation of extended validation and
reference ||| picture-in-picture phishing atttacks. In Proceedings of
reference ||| the 2007 Usable Security (USEC’07) Workshop
reference ||| (February 2007).
reference ||| http://www.usablesecurity.org/papers/jackson.pdf.
reference ||| 14. KUMARAGURU, P., RHEE, Y., ACQUISTI, A.,
reference ||| CRANOR, L. F., HONG, J., AND NUNGE, E.
reference ||| Protecting people from phishing: the design and
reference ||| evaluation of an embedded training email system. In
reference ||| CHI ’07: Proceedings of the SIGCHI conference on
reference ||| Human factors in computing systems (New York, NY,
reference ||| USA, 2007), ACM Press, pp. 905–914.
reference ||| 15. MOORE, T., AND CLAYTON, R. An empirical analysis
reference ||| of the current state of phishing attack and defence. In
reference ||| Proceedings of the 2007 Workshop on The Economics
reference ||| of Information Security (WEIS2007) (May 2007).
reference ||| http://www.cl.cam.ac.uk/ twm29/weis07-phishing.pdf.
reference ||| 16. OBERHEIDE, J. Google safe browsing, November 6
reference ||| 2006. http://jon.oberheide.org/blog/2006/11/13/google-
reference ||| safe-browsing/.
reference ||| 17. OPENDNS. PhishTank Annual Report.
reference ||| http://www.phishtank.com/, October 2007.
reference ||| 18. REFSNES DATA. Browser statistics, Accessed: April 4,
reference ||| 2007.
reference ||| http://www.w3schools.com/browsers/browsers stats.asp.
reference ||| 19. SCHECHTER, S. E., DHAMIJA, R., OZMENT, A.,
reference ||| AND FISCHER, I. The emperor’s new security
reference ||| indicators. In Proceedings of the 2007 IEEE
reference ||| Symposium on Security and Privacy (May 2007).
reference ||| 20. SHENG, S., MAGNIEN, B., KUMARAGURU, P.,
reference ||| ACQUISTI, A., CRANOR, L., HONG, J., AND NUNGE,
reference ||| E. Anti-phishing phil: The design and evaluation of a
reference ||| game that teaches people not to fall for phish. In
reference ||| Proceedings of the 2007 Symposium On Usable
reference ||| Privacy and Security (Pittsburgh, PA, July 18-20,
reference ||| 2007), ACM Press.
reference ||| 21. WOGALTER, M. S. Communication-Human
reference ||| Information Processing (C-HIP) Model. In Handbook
reference ||| of Warnings, M. S. Wogalter, Ed. Lawrence Erlbaum
reference ||| Associates, 2006, pp. 51–61.
reference ||| 22. WU, M. Fighting Phishing at the User Interface. PhD
reference ||| thesis, Massachusetts Institute of Technology, August
reference ||| 2006.
reference ||| 23. WU, M., MILLER, R. C., AND GARFINKEL, S. L. Do
reference ||| Security Toolbars Actually Prevent Phishing Attacks?
reference ||| In Proceedings of the SIGCHI Conference on Human
reference ||| Factors in Computing Systems Held in Montreal
reference ||| (2006), ACM Press, pp. 601–610.
reference ||| 24. YE, Z. E., AND SMITH, S. Trusted paths for browsers.
reference ||| In Proceedings of the 11 th USENIX Security
reference ||| Symposium (2002), pp. 263–279.
reference ||| 25. YEE, K.-P., AND SITAKER, K. Passpet: Convenient
reference ||| password management and phishing protection. In
reference ||| SOUPS ’06: Proceedings of the Second Symposium on
reference ||| Usable Privacy and Security (New York, NY, USA,
reference ||| 2006), ACM Press, pp. 32–43.
reference ||| 26. ZHANG, Y., EGELMAN, S., CRANOR, L. F., AND
reference ||| HONG, J. Phinding phish: Evaluating anti-phishing
reference ||| tools. In Proceedings of the 14th Annual Network &
reference ||| Distributed System Security Symposium (NDSS 2007)
reference ||| (28th February - 2nd March, 2007).
reference ||| http://lorrie.cranor.org/pubs/toolbars.html.
page ||| 1074
