title ||| A Machine Learning Based Approach for Table Detection
bodyText ||| could even argue that this is indeed a genuine table, with
bodyText ||| implicit row headers of Title, Name, Company Affiliation
bodyText ||| and Phone Number. This example demonstrates one of the
bodyText ||| most difficult challenges in table understanding, namely the
bodyText ||| ambiguous nature of many table instances (see [5] for a more
bodyText ||| detailed analysis on that). Figure 4(d) was also misclassi-
bodyText ||| fied as a genuine table. This is a case where layout features
bodyText ||| and the kind of shallow content features we used are not
bodyText ||| enough deeper semantic analysis would be needed in or-
bodyText ||| der to identify the lack of logical coherence which makes it
bodyText ||| a non-genuine table.
bodyText ||| For comparison, we tested the previously developed rule-
bodyText ||| based system [10] on the same database. The initial re-
bodyText ||| sults (shown in Table 4 under "Original Rule Based") were
bodyText ||| very poor. After carefully studying the results from the
bodyText ||| initial experiment we realized that most of the errors were
bodyText ||| caused by a rule imposing a hard limit on cell lengths in gen-
bodyText ||| uine tables. After deleting that rule the rule-based system
bodyText ||| achieved much improved results (shown in Table 4 under
bodyText ||| "Modified Rule Based"). However, the proposed machine
bodyText ||| learning based method still performs considerably better in
bodyText ||| comparison. This demonstrates that systems based on hand-
bodyText ||| crafted rules tend to be brittle and do not generalize well.
bodyText ||| In this case, even after careful manual adjustment in a new
bodyText ||| database, it still does not work as well as an automatically
bodyText ||| trained classifier.
figureCaption ||| Figure 3: Examples of correctly classified tables.
figureCaption ||| (a): a genuine table; (b): a non-genuine table.
tableCaption ||| Table 4: Experimental results of a previously devel-
tableCaption ||| oped rule based system.
table ||| 	Original Rule Based	Modified Rule Based
table ||| R (%)	48.16	95.80
table ||| P (%)	75.70	79.46
table ||| F (%)	61.93	87.63
page ||| 248
figure ||| (a)	(b)
figure ||| (c)	(d)
figureCaption ||| Figure 4: Examples of misclassified tables. (a) and (b): Genuine tables misclassified as non-genuine; (c) and
figureCaption ||| (d): Non-genuine tables misclassified as genuine.
bodyText ||| A direct comparison to other previous results [2, 14] is
bodyText ||| not possible currently because of the lack of access to their
bodyText ||| system. However, our test database is clearly more general
bodyText ||| and far larger than the ones used in [2] and [14], while our
bodyText ||| precision and recall rates are both higher.
sectionHeader ||| 6. CONCLUSION AND FUTURE WORK
bodyText ||| Table detection in web documents is an interesting and
bodyText ||| challenging problem with many applications. We present a
bodyText ||| machine learning based table detection algorithm for HTML
bodyText ||| documents. Layout features, content type features and word
bodyText ||| group features were used to construct a novel feature set.
bodyText ||| Decision tree and SVM classifiers were then implemented
bodyText ||| and tested in this feature space. We also designed a novel ta-
bodyText ||| ble ground truthing protocol and used it to construct a large
bodyText ||| web table ground truth database for training and testing.
bodyText ||| Experiments on this large database yielded very promising
bodyText ||| results.
bodyText ||| Our future work includes handling more different HTML
bodyText ||| styles in pseudo-rendering, detecting table titles of the rec-
bodyText ||| ognized genuine tables and developing a machine learning
bodyText ||| based table interpretation algorithm. We would also like to
bodyText ||| investigate ways to incorporate deeper language analysis for
bodyText ||| both table detection and interpretation.
sectionHeader ||| 7. ACKNOWLEDGMENT
bodyText ||| We would like to thank Kathie Shipley for her help in
bodyText ||| collecting the web pages, and Amit Bagga for discussions on
bodyText ||| vector space models.
bodyText ||| 8. REFERENCES
reference ||| [1] M. Campione, K. Walrath, and A. Huml. The
reference ||| java(tm) tutorial: A short course on the basics (the
reference ||| java(tm) series).
reference ||| [2] H.-H. Chen, S.-C. Tsai, and J.-H. Tsai. Mining tables
reference ||| from large scale html texts. In Proc. 18th
reference ||| International Conference on Computational
reference ||| Linguistics, Saabrucken, Germany, July 2000.
reference ||| [3] C. Cortes and V. Vapnik. Support-vector networks.
reference ||| Machine Learning, 20:273{296, August 1995.
reference ||| [4] R. Haralick and L. Shapiro. Computer and Robot
reference ||| Vision, volume 1. Addison Wesley, 1992.
reference ||| [5] J. Hu, R. Kashi, D. Lopresti, G. Nagy, and
reference ||| G. Wilfong. Why table ground-truthing is hard. In
reference ||| Proc. 6th International Conference on Document
reference ||| Analysis and Recognition (ICDAR01), pages 129{133,
reference ||| Seattle, WA, USA, September 2001.
reference ||| [6] M. Hurst. Layout and language: Challenges for table
reference ||| understanding on the web. In Proc. 1st International
reference ||| Workshop on Web Document Analysis, pages 27{30,
reference ||| Seattle, WA, USA, September 2001.
reference ||| [7] T. Joachims. A probabilistic analysis of the rocchio
reference ||| algorithm with tfidf for text categorization. In Proc.
reference ||| 14th International Conference on Machine Learning,
reference ||| pages 143{151, Morgan Kaufmann, 1997.
reference ||| [8] A. McCallum, K. Nigam, J. Rennie, and K. Seymore.
reference ||| Automating the construction of internet portals with
reference ||| machine learning. In Information Retrieval Journal,
reference ||| volume 3, pages 127{163, Kluwer, 2000.
page ||| 249
reference ||| [9] T. M. Mitchell. Machine Learning. McGraw-Hill, 1997.
reference ||| [10] G. Penn, J. Hu, H. Luo, and R. McDonald. Flexible
reference ||| web document analysis for delivery to narrow-
reference ||| bandwidth devices. In Proc. 6th International
reference ||| Conference on Document Analysis and Recognition
reference ||| (ICDAR01), pages 1074{1078, Seattle, WA, USA,
reference ||| September 2001.
reference ||| [11] M. F. Porter. An algorithm for suffix stripping.
reference ||| Program, 14(3):130-137, 1980.
reference ||| [12] V. N. Vapnik. The Nature of Statistical Learning
reference ||| Theory, volume 1. Springer, New York, 1995.
reference ||| [13] Y. Yang and X. Liu. A re-examination of text
reference ||| categorization methods. In Proc. SIGIR'99, pages
reference ||| 42{49, Berkeley, California, USA, August 1999.
reference ||| [14] M. Yoshida, K. Torisawa, and J. Tsujii. A method to
reference ||| integrate tables of the world wide web. In Proc. 1st
reference ||| International Workshop on Web Document Analysis,
reference ||| pages 31{34, Seattle, WA, USA, September 2001.
page ||| 250
