title ||| A Comparative Study on Generalization of Semantic Roles in FrameNet
bodyText ||| erarchy for each type of role-to-role relations and
bodyText ||| for different depths of grouping. Table 5 shows
bodyText ||| the micro-averaged F1 scores obtained from var-
bodyText ||| ious relation types and depths. The Inheritance
bodyText ||| and Using relations resulted in a slightly better ac-
bodyText ||| curacy than the other types. We did not observe
bodyText ||| any real differences among the remaining five re-
bodyText ||| lation types, possibly because there were few se-
footnote ||| 3 We include Core-unexpressed in core, because it has a
footnote ||| property of core inside one frame.
table ||| No.	Relation Type	Micro
table ||| -	baseline	89.00
table ||| 1	+ Inheritance (children)	89.52
table ||| 2	+ Inheritance (descendants)	89.70
table ||| 3	+Using (children)	89.35
table ||| 4	+Using (descendants)	89.37
table ||| 5	+ Perspective on (children)	89.01
table ||| 6	+ Perspective on (descendants)	89.01
table ||| 7	+ Subframe (children)	89.04
table ||| 8	+ Subframe (descendants)	89.05
table ||| 9	+ Causative of (parents)	89.03
table ||| 10	+ Causative of (ancestors)	89.03
table ||| 11	+ Inchoative of (parents)	89.02
table ||| 12	+ Inchoative of (ancestors)	89.02
table ||| 13	+Precedes (children)	89.01
table ||| 14	+Precedes (descendants)	89.03
table ||| 15	+Precedes (parents)	89.00
table ||| 16	+Precedes (ancestors)	89.00
table ||| 18	+all relations (2,4,6,8,10,12,14)	90.25
tableCaption ||| Table 5: Comparison of the accuracy with differ-
tableCaption ||| ent types of hierarchical relations.
bodyText ||| mantic roles associated with these types. We ob-
bodyText ||| tained better results by using not only groups for
bodyText ||| parent roles, but also groups for all ancestors. The
bodyText ||| best result was obtained by using all relations in
bodyText ||| the hierarchy.
subsectionHeader ||| 6.5 Analyses of different grouping criteria
bodyText ||| Table 6 reports the precision, recall, and micro-
bodyText ||| averaged F1 scores of semantic roles with respect
bodyText ||| to each coreness type .4 In general, semantic roles
bodyText ||| of the core coreness were easily identified by all
bodyText ||| of the grouping criteria; even the baseline system
bodyText ||| obtained an F 1 score of 91.93. For identifying se-
bodyText ||| mantic roles of the peripheral and extra-thematic
bodyText ||| types of coreness, the simplest solution, the de-
bodyText ||| scriptor criterion, outperformed other criteria.
bodyText ||| In Table 7, we categorize feature functions
bodyText ||| whose weights are in the top 1000 in terms of
bodyText ||| greatest absolute value. The behaviors of the role
bodyText ||| groups can be distinguished by the following two
bodyText ||| characteristics. Groups of role descriptors and se-
bodyText ||| mantic types have large weight values for the first
bodyText ||| word and supersense features, which capture the
bodyText ||| characteristics of adjunctive phrases. The original
bodyText ||| roles and hierarchical-relation groups have strong
footnote ||| 4The figures of role descriptors in Tables 4 and 6 differ.
footnote ||| In Table 4, we measured the performance when we used one
footnote ||| or all types of coreness for training. In contrast, in Table 6,
footnote ||| we used all types of coreness for training, but computed the
footnote ||| performance of semantic roles for each coreness separately.
page ||| 25
table ||| Feature	Type	Pre.	Rec.	Micro
table ||| baseline	c	91.07	92.83	91.93
table ||| 	p	81.05	76.03	78.46
table ||| 	e	78.17	66.51	71.87
table ||| + descriptor group	c	92.50	93.41	92.95
table ||| 	p	84.32	82.72	83.51
table ||| 	e	80.91	69.59	74.82
table ||| +hierarchical	c	92.10	93.28	92.68
table ||| relation	p	82.23	79.84	81.01
table ||| class	e	77.94	65.58	71.23
table ||| + semantic	c	92.23	93.31	92.77
table ||| type group	p	83.66	81.76	82.70
table ||| 	e	80.29	67.26	73.20
table ||| + VN thematic	c	91.57	93.06	92.31
table ||| role group	p	80.66	76.95	78.76
table ||| 	e	78.12	66.60	71.90
table ||| + all group	c	92.66	93.61	93.13
table ||| 	p	84.13	82.51	83.31
table ||| 	e	80.77	68.56	74.17
tableCaption ||| Table 6: The precision and recall of each type of
tableCaption ||| coreness with role groups. Type represents the
tableCaption ||| type of coreness; c denotes core, p denotes periph-
tableCaption ||| eral, and e denotes extra-thematic.
bodyText ||| associations with lexical and structural character-
bodyText ||| istics such as the syntactic path, content word, and
bodyText ||| head word. Table 7 suggests that role-descriptor
bodyText ||| groups and semantic-type groups are effective for
bodyText ||| peripheral or adjunctive roles, and hierarchical re-
bodyText ||| lation groups are effective for core roles.
sectionHeader ||| 7 Conclusion
bodyText ||| We have described different criteria for general-
bodyText ||| izing semantic roles in FrameNet. They were:
bodyText ||| role hierarchy, human-understandable descriptors
bodyText ||| of roles, semantic types of filler phrases, and
bodyText ||| mappings from FrameNet roles to thematic roles
bodyText ||| of VerbNet. We also proposed a feature design
bodyText ||| that combines and weights these criteria using the
bodyText ||| training data. The experimental result of the role
bodyText ||| classification task showed a 19.16% of the error
bodyText ||| reduction and a 7.42% improvement in the macro-
bodyText ||| averaged F1 score. In particular, the method we
bodyText ||| have presented was able to classify roles having
bodyText ||| few instances. We confirmed that modeling the
bodyText ||| role generalization at feature level was better than
bodyText ||| the conventional approach that replaces semantic
bodyText ||| role labels.
bodyText ||| Each criterion presented in this paper improved
bodyText ||| the accuracy of classification. The most success-
bodyText ||| ful criterion was the use of human-understandable
bodyText ||| role descriptors. Unfortunately, the FrameNet hi-
bodyText ||| erarchy did not outperform the role descriptors,
bodyText ||| contrary to our expectations. A future direction
bodyText ||| of this study would be to analyze the weakness of
bodyText ||| the FrameNet hierarchy in order to discuss possi-
bodyText ||| ble improvement of the usage and annotations of
table ||| features of x	class type
table ||| 	or	hr	rl	st	vn
table ||| frame	0	4	0	1	0
table ||| evoking word	3	4	7	3	0
table ||| ew & hw stem	9	34	20	8	0
table ||| ew & phrase type	11	7	11	3	1
table ||| head word	13	19	8	3	1
table ||| hw stem	11	17	8	8	1
table ||| content word	7	19	12	3	0
table ||| cw stem	11	26	13	5	0
table ||| cw PoS	4	5	14	15	2
table ||| directed path	19	27	24	6	7
table ||| undirected path	21	35	17	2	6
table ||| partial path	15	18	16	13	5
table ||| last word	15	18	12	3	2
table ||| first word	11	23	53	26	10
table ||| supersense	7	7	35	25	4
table ||| position	4	6	30	9	5
table ||| others	27	29	33	19	6
table ||| total	188	298	313	152	50
tableCaption ||| Table 7: The analysis of the top 1000 feature func-
tableCaption ||| tions. Each number denotes the number of feature
tableCaption ||| functions categorized in the corresponding cell.
tableCaption ||| Notations for the columns are as follows. ‘or’:
tableCaption ||| original role, ‘hr’: hierarchical relation, ‘rd’: role
tableCaption ||| descriptor, ‘st’: semantic type, and ‘vn’: VerbNet
tableCaption ||| thematic role.
bodyText ||| the hierarchy.
bodyText ||| Since we used the latest release of FrameNet
bodyText ||| in order to use a greater number of hierarchical
bodyText ||| role-to-role relations, we could not make a direct
bodyText ||| comparison of performance with that of existing
bodyText ||| systems; however we may say that the 89.00% F 1
bodyText ||| micro-average of our baseline system is roughly
bodyText ||| comparable to the 88.93% value of Bejan and
bodyText ||| Hathaway (2007) for SemEval-2007 (Baker et al.,
bodyText ||| 2007). 5 In addition, the methodology presented in
bodyText ||| this paper applies generally to any SRL resources;
bodyText ||| we are planning to determine several grouping cri-
bodyText ||| teria from existing linguistic resources and to ap-
bodyText ||| ply the methodology to the PropBank corpus.
sectionHeader ||| Acknowledgments
bodyText ||| The authors thank Sebastian Riedel for his useful
bodyText ||| comments on our work. This work was partially
bodyText ||| supported by Grant-in-Aid for Specially Promoted
bodyText ||| Research (MEXT, Japan).
sectionHeader ||| References
reference ||| Collin F. Baker, Charles J. Fillmore, and John B. Lowe.
reference ||| 1998. The berkeley framenet project. In Proceed-
reference ||| ings of Coling -ACL 1998, pages 86–90.
reference ||| Collin Baker, Michael Ellsworth, and Katrin Erk.
reference ||| 2007. Semeval-2007 task 19: Frame semantic struc-
footnote ||| 5There were two participants that performed whole SRL
footnote ||| in SemEval-2007. Bejan and Hathaway (2007) evaluated role
footnote ||| classification accuracy separately for the training data.
page ||| 26
reference ||| ture extraction. In Proceedings of SemEval-2007,
reference ||| pages 99–104.
reference ||| Ulrike Baldewein, Katrin Erk, Sebastian Pad´o, and
reference ||| Detlef Prescher. 2004. Semantic role labeling
reference ||| with similarity based generalization using EM-based
reference ||| clustering. In Proceedings of Senseval-3, pages 64–
reference ||| 68.
reference ||| Cosmin Adrian Bejan and Chris Hathaway. 2007.
reference ||| UTD-SRL: A Pipeline Architecture for Extract-
reference ||| ing Frame Semantic Structures. In Proceedings
reference ||| of SemEval-2007, pages 460–463. Association for
reference ||| Computational Linguistics.
reference ||| X. Chang and Q. Zheng. 2008. Knowledge Ele-
reference ||| ment Extraction for Knowledge-Based Learning Re-
reference ||| sources Organization. Lecture Notes in Computer
reference ||| Science, 4823:102–113.
reference ||| Eugene Charniak and Mark Johnson. 2005. Coarse-
reference ||| to-fine n-best parsing and MaxEnt discriminative
reference ||| reranking. In Proceedings of the 43rd Annual Meet-
reference ||| ing on Association for Computational Linguistics,
reference ||| pages 173–180.
reference ||| Massimiliano Ciaramita and Yasemin Altun. 2006.
reference ||| Broad-coverage sense disambiguation and informa-
reference ||| tion extraction with a supersense sequence tagger. In
reference ||| Proceedings ofEMNLP-2006, pages 594–602.
reference ||| Daniel Gildea and Daniel Jurafsky. 2002. Automatic
reference ||| labeling of semantic roles. Computational Linguis-
reference ||| tics, 28(3):245–288.
reference ||| Ana-Maria Giuglea and Alessandro Moschitti. 2006.
reference ||| Semantic role labeling via FrameNet, VerbNet and
reference ||| PropBank. In Proceedings of the 21st International
reference ||| Conference on Computational Linguistics and the
reference ||| 44th Annual Meeting of the ACL, pages 929–936.
reference ||| Andrew Gordon and Reid Swanson. 2007. General-
reference ||| izing semantic role annotations across syntactically
reference ||| similar verbs. In Proceedings of ACL-2007, pages
reference ||| 192–199.
reference ||| Edward Loper, Szu-ting Yi, and Martha Palmer. 2007.
reference ||| Combining lexical resources: Mapping between
reference ||| propbank and verbnet. In Proceedings of the 7th In-
reference ||| ternational Workshop on Computational Semantics,
reference ||| pages 118–128.
reference ||| Lluis M`arquez, Xavier Carreras, Kenneth C.
reference ||| Litkowski, and Suzanne Stevenson. 2008. Se-
reference ||| mantic role labeling: an introduction to the special
reference ||| issue. Computational linguistics, 34(2):145–159.
reference ||| Alessandro Moschitti, Ana-Maria Giuglea, Bonaven-
reference ||| tura Coppola, and Roberto Basili. 2005. Hierar-
reference ||| chical semantic role labeling. In Proceedings of
reference ||| CoNLL-2005, pages 201–204.
reference ||| Alessandro Moschitti, Silvia Quarteroni, Roberto
reference ||| Basili, and Suresh Manandhar. 2007. Exploiting
reference ||| syntactic and shallow semantic kernels for question
reference ||| answer classification. In Proceedings of ACL-07,
reference ||| pages 776–783.
reference ||| Srini Narayanan and Sanda Harabagiu. 2004. Ques-
reference ||| tion answering based on semantic structures. In Pro-
reference ||| ceedings of Coling-2004, pages 693–701.
reference ||| Jorge Nocedal. 1980. Updating quasi-newton matrices
reference ||| with limited storage. Mathematics of Computation,
reference ||| 35(151):773–782.
reference ||| Martha Palmer, Daniel Gildea, and Paul Kingsbury.
reference ||| 2005. The proposition bank: An annotated cor-
reference ||| pus of semantic roles. Computational Linguistics,
reference ||| 31(1):71–106.
reference ||| Dan Shen and Mirella Lapata. 2007. Using semantic
reference ||| roles to improve question answering. In Proceed-
reference ||| ings ofEMNLP-CoNLL 2007, pages 12–21.
reference ||| Lei Shi and Rada Mihalcea. 2005. Putting Pieces To-
reference ||| gether: Combining FrameNet, VerbNet and Word-
reference ||| Net for Robust Semantic Parsing. In Proceedings of
reference ||| CICLing-2005, pages 100–111.
reference ||| Mihai Surdeanu, Sanda Harabagiu, John Williams, and
reference ||| Paul Aarseth. 2003. Using predicate-argument
reference ||| structures for information extraction. In Proceed-
reference ||| ings ofACL-2003, pages 8–15.
reference ||| Szu-ting Yi, Edward Loper, and Martha Palmer. 2007.
reference ||| Can semantic roles generalize across genres? In
reference ||| Proceedings ofHLT-NAACL 2007, pages 548–555.
reference ||| Be˜nat Zapirain, Eneko Agirre, and Lluis M`arquez.
reference ||| 2008. Robustness and generalization of role sets:
reference ||| PropBank vs. VerbNet. In Proceedings of ACL-08:
reference ||| HLT, pages 550–558.
page ||| 27
