title ||| Unsupervised Multilingual Grammar Induction
bodyText ||| method is not sensitive to these exact values and
bodyText ||| any reasonably strong bias gave similar results.
bodyText ||| In all our experiments, we consider the hyper-
bodyText ||| parameters fixed and observed values.
bodyText ||| Testing and evaluation As mentioned above,
bodyText ||| we test our model only on monolingual data,
bodyText ||| where the parallel sentences are not provided to
bodyText ||| the model. To predict the bracketings of these
bodyText ||| monolingual test sentences, we take the smoothed
bodyText ||| counts accumulated in the final round of sampling
bodyText ||| over the training data and perform a maximum
bodyText ||| likelihood estimate of the monolingual CCM pa-
bodyText ||| rameters. These parameters are then used to pro-
bodyText ||| duce the highest probability bracketing of the test
bodyText ||| set.
bodyText ||| To evaluate both our model as well as the base-
bodyText ||| line, we use (unlabeled) bracket precision, re-
bodyText ||| call, and F-measure (Klein and Manning, 2002).
bodyText ||| Following previous work, we include the whole-
bodyText ||| sentence brackets but ignore single-word brack-
bodyText ||| ets. We perform experiments on different subsets
bodyText ||| of training and testing data based on the sentence-
bodyText ||| length. In particular we experimented with sen-
bodyText ||| tence length limits of 10, 20, and 30 for both the
bodyText ||| training and testing sets. We also report the upper
bodyText ||| bound on F-measure for binary trees. We average
bodyText ||| the results over 10 separate sampling runs.
sectionHeader ||| 5 Results
bodyText ||| Table 1 reports the full results of our experiments.
bodyText ||| In all testing scenarios the bilingual model out-
bodyText ||| performs its monolingual counterpart in terms of
bodyText ||| both precision and recall. On average, the bilin-
bodyText ||| gual model gains 10.2 percentage points in preci-
bodyText ||| sion, 7.7 in recall, and 8.8 in F-measure. The gap
bodyText ||| between monolingual performance and the binary
bodyText ||| tree upper bound is reduced by over 19%.
bodyText ||| The extent of the gain varies across pairings.
bodyText ||| For instance, the smallest improvement is ob-
bodyText ||| served for English when trained with Urdu. The
bodyText ||| Korean-English pairing results in substantial im-
bodyText ||| provements for Korean and quite large improve-
bodyText ||| ments for English, for which the absolute gain
bodyText ||| reaches 28 points in F-measure. In the case of Chi-
bodyText ||| nese and English, the gains for English are fairly
bodyText ||| minimal whereas those for Chinese are quite sub-
page ||| 79
table ||| 	Max Sent. Length		Monolingual			Bilingual			Upper Bound
table ||| 	Test	Train	Precision	Recall	F1	Precision	Recall	F1	F1
table ||| 		10	52.74	39.53	45.19	57.76	43.30	49.50	85.6
table ||| 	10	20	41.87	31.38	35.87	61.66	46.22	52.83	85.6
table ||| 		30	33.43	25.06	28.65	64.41	48.28	55.19	85.6
table ||| 	20	20	35.12	25.12	29.29	56.96	40.74	47.50	83.3
table ||| 		30	26.26	18.78	21.90	60.07	42.96	50.09	83.3
table ||| 	30	30	23.95	16.81	19.76	58.01	40.73	47.86	82.4
table ||| 		10	71.07	62.55	66.54	75.63	66.56	70.81	93.6
table ||| 	10	20	71.35	62.79	66.80	77.61	68.30	72.66	93.6
table ||| 		30	71.37	62.81	66.82	77.87	68.53	72.91	93.6
table ||| 	20	20	64.28	54.73	59.12	70.44	59.98	64.79	91.9
table ||| 		30	64.29	54.75	59.14	70.81	60.30	65.13	91.9
table ||| 	30	30	63.63	54.17	58.52	70.11	59.70	64.49	91.9
table ||| 		10	50.09	34.18	40.63	37.46	25.56	30.39	81.0
table ||| 	10	20	58.86	40.17	47.75	50.24	34.29	40.76	81.0
table ||| 		30	64.81	44.22	52.57	68.24	46.57	55.36	81.0
table ||| 	20	20	41.90	30.52	35.31	38.64	28.15	32.57	84.3
table ||| 		30	52.83	38.49	44.53	58.50	42.62	49.31	84.3
table ||| 	30	30	46.35	33.67	39.00	51.40	37.33	43.25	84.1
table ||| 		10	39.87	27.71	32.69	40.62	28.23	33.31	81.9
table ||| 	10	20	43.44	30.19	35.62	47.54	33.03	38.98	81.9
table ||| 		30	43.63	30.32	35.77	54.09	37.59	44.36	81.9
table ||| 	20	20	29.80	23.46	26.25	36.93	29.07	32.53	88.0
table ||| 		30	30.05	23.65	26.47	43.99	34.63	38.75	88.0
table ||| 	30	30	24.46	19.41	21.64	39.61	31.43	35.05	88.4
table ||| 		10	57.98	45.68	51.10	73.43	57.85	64.71	88.1
table ||| 	10	20	70.57	55.60	62.20	80.24	63.22	70.72	88.1
table ||| 		30	75.39	59.40	66.45	79.04	62.28	69.67	88.1
table ||| 	20	20	57.78	43.86	49.87	67.26	51.06	58.05	86.3
table ||| 		30	63.12	47.91	54.47	64.45	48.92	55.62	86.3
table ||| 	30	30	57.36	43.02	49.17	57.97	43.48	49.69	85.7
tableCaption ||| Table 1: Unlabeled precision, recall and F-measure for the monolingual baseline and the bilingual model
tableCaption ||| on several test sets. We report results for different combinations of maximum sentence length in both the
tableCaption ||| training and test sets. The right most column, in all cases, contains the maximum F-measure achievable
tableCaption ||| using binary trees. The best performance for each test-length is highlighted in bold.
bodyText ||| stantial. This asymmetry should not be surprising,
bodyText ||| as Chinese on its own seems to be quite a bit more
bodyText ||| difficult to parse than English.
bodyText ||| We also investigated the impact of sentence
bodyText ||| length for both the training and testing sets. For
bodyText ||| our model, adding sentences of greater length to
bodyText ||| the training set leads to increases in parse accu-
bodyText ||| racy for short sentences. For the baseline, how-
bodyText ||| ever, adding this additional training data degrades
bodyText ||| performance in the case of English paired with Ko-
bodyText ||| rean. Figure 2 summarizes the performance of
bodyText ||| our model for different sentence lengths on sev-
bodyText ||| eral of the test-sets. As shown in the figure, the
bodyText ||| largest improvements tend to occur at longer sen-
bodyText ||| tence lengths.
sectionHeader ||| 6 Conclusion
bodyText ||| We have presented a probabilistic model for bilin-
bodyText ||| gual grammar induction which uses raw parallel
bodyText ||| text to learn tree pairs and their alignments. Our
bodyText ||| formalism loosely binds the two trees, using bilin-
bodyText ||| gual patterns when possible, but allowing substan-
bodyText ||| tial language-specific variation. We tested our
bodyText ||| model on three test sets and showed substantial
bodyText ||| improvement over a state-of-the-art monolingual
bodyText ||| baseline.4
footnote ||| 4The authors acknowledge the support of the NSF (CA-
footnote ||| REER grant IIS-0448168, grant IIS-0835445, and grant IIS-
footnote ||| 0835652). Thanks to Amir Globerson and members of the
footnote ||| MIT NLP group for their helpful suggestions. Any opinions,
footnote ||| findings, or conclusions are those of the authors, and do not
footnote ||| necessarily reflect the views of the funding organizations
page ||| 80
sectionHeader ||| References
reference ||| Ann Bies, Martha Palmer, Justin Mott, and Colin
reference ||| Warner. 2007. English Chinese translation treebank
reference ||| v 1.0. LDC2007T02.
reference ||| Phil Blunsom, Trevor Cohn, and Miles Osborne. 2008.
reference ||| Bayesian synchronous grammar induction. In Pro-
reference ||| ceedings of NIPS.
reference ||| David Burkett and Dan Klein. 2008. Two languages
reference ||| are better than one (for syntactic parsing). In Pro-
reference ||| ceedings of EMNLP, pages 877–886.
reference ||| Eugene Charniak and Glen Carroll. 1992. Two exper-
reference ||| iments on learning probabilistic dependency gram-
reference ||| mars from corpora. In Proceedings of the AAAI
reference ||| Workshop on Statistically-Based NLP Techniques,
reference ||| pages 1–13.
reference ||| David Chiang. 2005. A hierarchical phrase-based
reference ||| model for statistical machine translation. In Pro-
reference ||| ceedings of the ACL, pages 263–270.
reference ||| Shay B. Cohen and Noah A. Smith. 2009. Shared lo-
reference ||| gistic normal distributions for soft parameter tying
reference ||| in unsupervised grammar induction. In Proceedings
reference ||| of the NAACL/HLT.
reference ||| Jason Eisner. 2003. Learning non-isomorphic tree
reference ||| mappings for machine translation. In The Compan-
reference ||| ion Volume to the Proceedings of the ACL, pages
reference ||| 205–208.
reference ||| Andrew Gelman, John B. Carlin, Hal S. Stern, and
reference ||| Donald B. Rubin. 2004. Bayesian data analysis.
reference ||| Chapman and Hall/CRC.
reference ||| Dmitriy Genzel. 2005. Inducing a multilingual dictio-
reference ||| nary from a parallel multitext in related languages.
reference ||| In Proceedings of EMNLP/HLT, pages 875–882.
reference ||| C. Han, N.R. Han, E.S. Ko, H. Yi, and M. Palmer.
reference ||| 2002. Penn Korean Treebank: Development and
reference ||| evaluation. In Proc. Pacific Asian Conf. Language
reference ||| and Comp.
reference ||| W. K. Hastings. 1970. Monte carlo sampling meth-
reference ||| ods using Markov chains and their applications.
reference ||| Biometrika, 57:97–109.
reference ||| R. Hwa, P. Resnik, A. Weinberg, C. Cabezas, and
reference ||| O. Kolak. 2005. Bootstrapping parsers via syntactic
reference ||| projection across parallel texts. Journal of Natural
reference ||| Language Engineering, 11(3):311–325.
reference ||| T. Jiang, L. Wang, and K. Zhang. 1995. Alignment of
reference ||| trees – an alternative to tree edit. Theoretical Com-
reference ||| puter Science, 143(1):137–148.
reference ||| M. Johnson, T. Griffiths, and S. Goldwater. 2007.
reference ||| Bayesian inference for PCFGs via Markov chain
reference ||| Monte Carlo. In Proceedings of the NAACL/HLT,
reference ||| pages 139–146.
reference ||| Dan Klein and Christopher D. Manning. 2002. A
reference ||| generative constituent-context model for improved
reference ||| grammar induction. In Proceedings of the ACL,
reference ||| pages 128–135.
reference ||| D. Klein. 2005. The Unsupervised Learning of Natu-
reference ||| ral Language Structure. Ph.D. thesis, Stanford Uni-
reference ||| versity.
reference ||| Jonas Kuhn. 2004. Experiments in parallel-text based
reference ||| grammar induction. In Proceedings of the ACL,
reference ||| pages 470–477.
reference ||| I. Dan Melamed. 2003. Multitext grammars
reference ||| and synchronous parsers. In Proceedings of the
reference ||| NAACL/HLT, pages 79–86.
reference ||| Franz Josef Och and Hermann Ney. 2003. A sys-
reference ||| tematic comparison of various statistical alignment
reference ||| models. Computational Linguistics, 29(1):19–51.
reference ||| Yoav Seginer. 2007. Fast unsupervised incremental
reference ||| parsing. In Proceedings of the ACL, pages 384–391.
reference ||| David A. Smith and Noah A. Smith. 2004. Bilingual
reference ||| parsing with factored estimation: Using English to
reference ||| parse Korean. In Proceeding of EMNLP, pages 49–
reference ||| 56.
reference ||| Benjamin Snyder and Regina Barzilay. 2008. Un-
reference ||| supervised multilingual learning for morphological
reference ||| segmentation. In Proceedings of the ACL/HLT,
reference ||| pages 737–745.
reference ||| Benjamin Snyder, Tahira Naseem, Jacob Eisenstein,
reference ||| and Regina Barzilay. 2008. Unsupervised multi-
reference ||| lingual learning for POS tagging. In Proceedings of
reference ||| EMNLP, pages 1041–1050.
reference ||| Benjamin Snyder, Tahira Naseem, Jacob Eisenstein,
reference ||| and Regina Barzilay. 2009. Adding more languages
reference ||| improves unsupervised multilingual part-of-speech
reference ||| tagging: A Bayesian non-parametric approach. In
reference ||| Proceedings of the NAACL/HLT.
reference ||| Andreas Stolcke and Stephen M. Omohundro. 1994.
reference ||| Inducing probabilistic grammars by Bayesian model
reference ||| merging. In Proceedings of ICGI, pages 106–118.
reference ||| Dekai Wu and Hongsing Wong. 1998. Machine
reference ||| translation with a stochastic grammatical channel.
reference ||| In Proceedings of the ACL/COLING, pages 1408–
reference ||| 1415.
reference ||| Dekai Wu. 1997. Stochastic inversion transduction
reference ||| grammars and bilingual parsing of parallel corpora.
reference ||| Computational Linguistics, 23(3):377–403.
reference ||| Chenhai Xi and Rebecca Hwa. 2005. A backoff
reference ||| model for bootstrapping resources for non-english
reference ||| languages. In Proceedings of EMNLP, pages 851 –
reference ||| 858.
reference ||| Hao Zhang and Daniel Gildea. 2005. Stochastic lex-
reference ||| icalized inversion transduction grammar for align-
reference ||| ment. In Proceedings of the ACL, pages 475–482.
page ||| 81
