title ||| A Geometric Constraint Library for
figure ||| // rotation transformation for the forearm: axis fixed to (0, 0, 1); angle ranging over [-3.14, 0]
figure ||| farmRTfm = new C3RotateTransform(new C3Domain3D(0, 0, 1), new C3Domain(-3.14, 0));
figure ||| s.add(farmRTfm, farmTTfm); // farmRTfm is parented by farmTTfm
figure ||| // variable for the hand’s position, associated with farmRTfm and fixed to (0, .5, 0)
figure ||| handPos = new C3Variable3D(farmRTfm, new C3Domain3D(0, .5, 0));
figure ||| // medium-strength edit constraint for the hand’s position
figure ||| editHandPos = new C3EditConstraint(handPos, C3.MEDIUM);
figure ||| s.add(editHandPos);
figure ||| // suggest the hand being located at the target’s position
figure ||| editHandPos.set(getTargetWorldCoordinates() );
figure ||| // solve the constraint system
figure ||| s.solve();
figure ||| // get solutions
figure ||| double shldrAngle = shldrRTfm.rotationAngle().value() ;
figure ||| double uarmAngle = uarmRTfm.rotationAngle().value();
figure ||| double farmAngle = farmRTfm.rotationAngle().value();
figureCaption ||| Figure 5: Constraint program for the robot arm application.
bodyText ||| the field of graphical user interfaces [3, 7, 11, 12, 13, 17, 18],
bodyText ||| most of them do not provide special treatment for 3D graph-
bodyText ||| ics. In general, the role of nonlinear geometric constraints
bodyText ||| is more important in 3D applications than in 2D interfaces.
bodyText ||| Most importantly, 3D graphics usually requires rotations of
bodyText ||| objects which are rarely used in 2D interfaces. The main
bodyText ||| reason is that we often equally treat all “horizontal” direc-
bodyText ||| tions in a 3D space even if we may clearly distinguish them
bodyText ||| from “vertical” directions. Therefore, nonlinear constraint
bodyText ||| solvers are appropriate for 3D applications. In addition, co-
bodyText ||| ordinate transformations should be supported since they are
bodyText ||| typically used to handle rotations of objects.
bodyText ||| Gleicher proposed the differential approach [8, 9], which sup-
bodyText ||| ports 3D geometric constraints and coordinate transforma-
bodyText ||| tions. In a sense, it shares a motivation with Chorus3D; in
bodyText ||| addition to support for 3D graphics, it allows user-defined
bodyText ||| kinds of geometric constraints. However, it is based on a dif-
bodyText ||| ferent solution method from Chorus3D; it realizes constraint
bodyText ||| satisfaction by running virtual dynamic simulations. This
bodyText ||| difference results in a quite different behavior of solutions as
bodyText ||| well as an interface for controlling solutions. By contrast,
bodyText ||| Chorus3D provides a much more compatible interface with
bodyText ||| recent successful solvers such as Cassowary [3].
bodyText ||| Much research on inverse kinematics has been conducted in
bodyText ||| the fields of computer graphics and robotics [1, 20]. How-
bodyText ||| ever, inverse kinematics is typically implemented as special-
bodyText ||| ized software which only provides limited kinds of geometric
bodyText ||| constraints.
bodyText ||| Chorus3D has two limitations in its algorithm: one is on the
bodyText ||| precision of solutions determined by preferential constraints;
bodyText ||| the other is on the speed of the satisfaction of large con-
bodyText ||| straint systems. These limitations are mainly caused by the
bodyText ||| treatment of multi-level preferences of constraints in addi-
bodyText ||| tion to required constraints (i.e., constraint hierarchies). Al-
bodyText ||| though many numerical optimization techniques have been
bodyText ||| proposed and implemented in the field of mathematical pro-
bodyText ||| gramming [2, 6], most of them do not handle preferential
bodyText ||| constraints. To alleviate the limitations of Chorus3D, we
bodyText ||| are pursuing a more sophisticated method for processing
bodyText ||| multi-level preferential constraints.
bodyText ||| We implemented Chorus3D as a class library which can
bodyText ||| be exploited in C++ and Java programs. However, more
bodyText ||| high-level authoring tools will also be useful for declarative
bodyText ||| approaches to 3D design. One possible direction is to ex-
bodyText ||| tend VRML [4] to support geometric constraints. Standard
bodyText ||| VRML requires scripts in Java or JavaScript to realize com-
bodyText ||| plex layouts and behaviors. By contrast, constraint-enabled
bodyText ||| VRML will cover a wider range of applications without such
bodyText ||| additional scripts.
sectionHeader ||| 8. CONCLUSIONS AND FUTURE WORK
bodyText ||| In this paper, we presented Chorus3D, a geometric con-
bodyText ||| straint library for 3D graphical applications. It enables pro-
bodyText ||| grammers to use geometric constraints for various purposes
page ||| 100
bodyText ||| such as geometric layout, constrained dragging, and inverse
bodyText ||| kinematics. Its novel feature is to handle scene graphs
bodyText ||| by processing coordinate transformations in geometric con-
bodyText ||| straint satisfaction.
bodyText ||| Our future work includes the development of other kinds of
bodyText ||| geometric constraints to further prove the usefulness of our
bodyText ||| approach. In particular, we are planning to implement non-
bodyText ||| overlapping constraints [13] in Chorus3D so that we can use
bodyText ||| it for the collision resolution of graphical objects. Another
bodyText ||| future direction is to improve Chorus3D in the scalability
bodyText ||| and accuracy of constraint satisfaction.
sectionHeader ||| 9. REFERENCES
reference ||| [1] Badler, N. I., Phillips, C. B., and Webber, B. L.
reference ||| Simulating Humans: Computer Graphics, Animation,
reference ||| and Control. Oxford University Press, Oxford, 1993.
reference ||| [2] Bertsekas, D. P. Nonlinear Programming, 2nd ed.
reference ||| Athena Scientific, 1999.
reference ||| [3] Borning, A., Marriott, K., Stuckey, P., and Xiao, Y.
reference ||| Solving linear arithmetic constraints for user interface
reference ||| applications. In Proc. ACM UIST, 1997, 87–96.
reference ||| [4] Carey, R., Bell, G., and Marrin, C. The Virtual
reference ||| Reality Modeling Language (VRML97). ISO/IEC
reference ||| 14772-1:1997, The VRML Consortium Inc., 1997.
reference ||| [5] Diehl, S., and Keller, J. VRML with constraints. In
reference ||| Proc. Web3D-VRML, ACM, 2000, 81–86.
reference ||| [6] Fletcher, R. Practical Methods of Optimization,
reference ||| 2nd ed. John Wiley & Sons, 1987.
reference ||| [7] Freeman-Benson, B. N., Maloney, J., and Borning, A.
reference ||| An incremental constraint solver. Commun. ACM 33,
reference ||| 1 (1990), 54–63.
reference ||| [8] Gleicher, M. A graphical toolkit based on differential
reference ||| constraints. In Proc. ACM UIST, 1993, 109–120.
reference ||| [9] Gleicher, M. A differential approach to graphical
reference ||| manipulation (Ph.D. thesis). Tech. Rep.
reference ||| CMU-CS-94-217, Sch. Comput. Sci. Carnegie Mellon
reference ||| Univ., 1994.
reference ||| [10] Herrera, F., Lozano, M., and Verdegay, J. L. Tackling
reference ||| real-coded genetic algorithms: Operators and tools for
reference ||| behavioural analysis. Artif. Intell. Rev. 12, 4 (1998),
reference ||| 265–319.
reference ||| [11] Heydon, A., and Nelson, G. The Juno-2
reference ||| constraint-based drawing editor. Research Report
reference ||| 131a, Digital Systems Research Center, 1994.
reference ||| [12] Hosobe, H. A scalable linear constraint solver for user
reference ||| interface construction. In Principles and Practice of
reference ||| Constraint Programming—CP2000, vol. 1894 of
reference ||| LNCS, Springer, 2000, 218–232.
reference ||| [13] Hosobe, H. A modular geometric constraint solver for
reference ||| user interface applications. In Proc. ACM UIST, 2001,
reference ||| 91–100.
reference ||| [14] Kamada, T., and Kawai, S. An algorithm for drawing
reference ||| general undirected graphs. Inf. Process. Lett. 31, 1
reference ||| (1989), 7–15.
reference ||| [15] Kitano, H., Ed. Genetic Algorithms. Sangyo-Tosho,
reference ||| 1993. In Japanese.
reference ||| [16] Kramer, G. A. A geometric constraint engine. Artif.
reference ||| Intell. 58, 1–3 (1992), 327–360.
reference ||| [17] Marriott, K., Chok, S. S., and Finlay, A. A tableau
reference ||| based constraint solving toolkit for interactive
reference ||| graphical applications. In Principles and Practice of
reference ||| Constraint Programming—CP98, vol. 1520 of LNCS,
reference ||| Springer, 1998, 340–354.
reference ||| [18] Sannella, M. Skyblue: A multi-way local propagation
reference ||| constraint solver for user interface construction. In
reference ||| Proc. ACM UIST, 1994,137–146.
reference ||| [19] Takahashi, S. Visualizing constraints in visualization
reference ||| rules. In Proc. CP2000 Workshop on Analysis and
reference ||| Visualization of Constraint Programs and Solvers,
reference ||| 2000.
reference ||| [20] Zhao, J., and Badler, N. I. Inverse kinematics
reference ||| positioning using nonlinear programming for highly
reference ||| articulated figures. ACM Trans. Gr. 13, 4 (1994),
reference ||| 313–336.
page ||| 101
