title ||| A Distributed 3D Graphics Library
bodyText ||| are needed for general-purpose 3D graphical applications, such as
bodyText ||| texture mapping, indexed line and polygon sets, choice groups,
bodyText ||| projection and transformation callbacks, and picking. Since
bodyText ||| DistAnim-3D is embedded in Repo instead of Obliq (see
bodyText ||| Section 4.3), the resulting library is called Repo-3D.
subsectionHeader ||| 4.3 Obliq and Repo
bodyText ||| Obliq [8] is a lexically-scoped, untyped, interpreted language for
bodyText ||| distributed object-oriented computation. It is implemented in, and
bodyText ||| tightly integrated with, Modula-3. An Obliq computation may
bodyText ||| involve multiple threads of control within an address space, multi-
bodyText ||| ple address spaces on a machine, heterogeneous machines over a
bodyText ||| local network, and multiple networks over the Internet. Obliq uses,
bodyText ||| and supports, the Modula-3 thread, exception, and garbage-collec-
bodyText ||| tion facilities. Its distributed-computation mechanism is based on
bodyText ||| Network Objects, allowing transparent support for multiple
bodyText ||| processes on heterogeneous machines. Objects are local to a site,
bodyText ||| while computations can roam over the network. Repo [23] is a
bodyText ||| descendant of Obliq that extends the Obliq object model to include
bodyText ||| replicated objects. Therefore, Repo objects have state that may be
bodyText ||| local to a site (as in Obliq) or replicated across multiple sites.
sectionHeader ||| 5 DESIGN OF REPO-3D
bodyText ||| Repo-3D’s design has two logical parts: the basic design and local
bodyText ||| variations. The basic design encompasses the changes to Obliq-3D
bodyText ||| to carry it into a distributed context, and additional enhancements
bodyText ||| that are not particular to distributed graphics (and are therefore not
bodyText ||| discussed here). Local variations are introduced to handle two
bodyText ||| issues mentioned in Section 1: transient local changes and respon-
bodyText ||| sive local editing.
figure ||| . . .
figure ||| Name
figure ||| Property
figure ||| Value	Behavior
figure ||| Request
figure ||| Request
figure ||| GroupGO
figure ||| CameraGO
figure ||| LightGO
figure ||| SurfaceGO
figure ||| LineGO
figure ||| MarkerGO
figure ||| TextGO
subsectionHeader ||| 5.1 Basic Repo-3D Design
bodyText ||| The Anim-3D scene-graph model is well suited for adaptation to a
bodyText ||| distributed environment. First, in Anim-3D, properties are attached
bodyText ||| to nodes, not inserted into the graph, and the property and child
bodyText ||| lists are unordered (i.e., the order in which properties are assigned
bodyText ||| to a node, or children are added to a group, does not affect the final
bodyText ||| result). In libraries that insert properties and nodes in the graph and
bodyText ||| execute the graph in a well-defined order (such as Inventor), the
bodyText ||| siblings of a node (or subtree) can affect the attributes of that node
bodyText ||| (or subtree). In Anim-3D, and similar libraries (such as Java 3D),
bodyText ||| properties are only inherited down the graph, so a node’s properties
bodyText ||| are a function of the node itself and its ancestors—its siblings do
bodyText ||| not affect it. Therefore, subtrees can be added to different scene
bodyText ||| graphs, perhaps in different processes, with predictable results.
bodyText ||| Second, the interface (both compiled Anim-3D and interpreted
bodyText ||| Obliq-3D) is programmatical and declarative. There is no “graphi-
bodyText ||| cal scene” file format per se: graphical scenes are created as the
bodyText ||| side effect of executing programs that explicitly create objects and
bodyText ||| manipulate them via the object methods. Thus, all graphical
bodyText ||| objects are stored as the Repo-3D programs that are executed to
bodyText ||| create them. This is significant, because by using the Replicated
bodyText ||| Object library described in Section 4.1 to make the graphical
bodyText ||| objects distributed, the “file format” (i.e., a Repo-3D program) is
bodyText ||| updated for free.
bodyText ||| Converting Anim-3D objects to Replicated Objects involved
bodyText ||| three choices: what objects to replicate, what methods update the
bodyText ||| object state, and what the global, replicated state of each object is.
bodyText ||| Since replicated objects have more overhead (e.g., method execu-
bodyText ||| tion time, memory usage, and latency when passed between
bodyText ||| processes), not every category of object in Repo-3D is replicated.
bodyText ||| We will consider each of the object categories described in
bodyText ||| Figure 4.2 in turn: graphical objects (GOs), properties (values,
bodyText ||| names, behaviors, animation handles) and callbacks. For each of
bodyText ||| these objects, the obvious methods are designated as update meth-
bodyText ||| ods, and, as discussed in Section 4. 1, the global state of each object
bodyText ||| is implicitly determined by those update methods. Therefore, we
bodyText ||| will not go into excessive detail about either the methods or the
bodyText ||| state. Finally, Repo-3D’s support for change notification will be
bodyText ||| discussed.
subsubsectionHeader ||| 5.1.1 Graphical Objects
bodyText ||| GOs are the most straightforward. There are currently twenty-one
bodyText ||| different types of GOs, and all but the RootGOs are replicated.
bodyText ||| Since RootGOs are associated with an onscreen window, they are
bodyText ||| not replicated—window creation remains an active decision of the
bodyText ||| local process. Furthermore, if replicated windows are needed, the
bodyText ||| general-purpose programming facilities of Repo can be used to
bodyText ||| support this in a relatively straightforward manner, outside the
bodyText ||| scope of Repo-3D. A GO’s state is comprised of the properties
bodyText ||| attached to the object, its name, and some other non-inherited
bodyText ||| property attributes.5 The methods that modify the property list are
bodyText ||| update methods. Group GOs also contain a set of child nodes, and
bodyText ||| have update methods that modify that set.
subsubsectionHeader ||| 5.1.2 Properties
bodyText ||| Properties are more complex. There are far more properties in a
bodyText ||| graphical scene than there are graphical objects, they change much
bodyText ||| more rapidly, and each property is constructed from a set of
bodyText ||| Modula-3 objects. There are currently 101 different properties of
footnote ||| 5. Some attributes of a GO, such as the arrays of Point3D properties that
footnote ||| define the vertices of a polygon set, are not attached to the object, but
footnote ||| are manipulated through method calls.
bodyText ||| seventeen different types in Repo-3D, and any of them can be
bodyText ||| attached to any GO. A typical GO would have anywhere from two
bodyText ||| or three (e.g., a BoxGO would have at least two properties to
bodyText ||| define its corners) to a dozen or more. And, each of these proper-
bodyText ||| ties could be complex: in the example in Section 6, a single
bodyText ||| synchronous property for a long animation could have hundreds of
bodyText ||| requests enqueued within it.
bodyText ||| Consider again the object structure illustrated in Figure 4. A
bodyText ||| property is defined by a name and a value, with the value being a
bodyText ||| container for a behavior. Only one of the Modula-3 objects is
bodyText ||| replicated, the property value. Property values serve as the repli-
bodyText ||| cated containers for property behaviors. To change a property, a
bodyText ||| new behavior is assigned to its value. The state of the value is the
bodyText ||| current behavior.
bodyText ||| Animation handles are also replicated. They tie groups of related
bodyText ||| synchronous properties together, and are the basis for the interac-
bodyText ||| tion in the example in Section 6. In Anim-3D, handles have one
bodyText ||| animate method, which starts an animation and blocks until it
bodyText ||| finishes. Since update methods are executed everywhere, and block
bodyText ||| access to the object while they are being executed, they should not
bodyText ||| take an extended period of time. In creating Repo-3D, the
bodyText ||| animate method was changed to call two new methods: an update
bodyText ||| method that starts the animation, and a non-update method that
bodyText ||| waits for the animation to finish. We also added methods to pause
bodyText ||| and resume an animation, to retrieve and change the current rela-
bodyText ||| tive time of an animation handle, and to stop an animation early.
bodyText ||| The state of an Animation handle is a boolean value that says if it is
bodyText ||| active or not, plus the start, end, and current time (if the handle is
bodyText ||| paused).
bodyText ||| Most of the Modula-3 objects that comprise a property are not
bodyText ||| replicated, for a variety of reasons:
listItem ||| •	Properties represent a permanent binding between a property
listItem ||| value and a name. Since they are immutable, they have no syn-
listItem ||| chronization requirements and can simply be copied between
listItem ||| processes.
listItem ||| •	Names represent simple constant identifiers, and are therefore
listItem ||| not replicated either.
listItem ||| •	Behaviors and requests are not replicated. While they can be
listItem ||| modified after being created, they are treated as immutable
listItem ||| data types for two reasons. First, the vast majority of behaviors,
listItem ||| even complex synchronous ones, are not changed once they
listItem ||| have been created and initialized. Thus, there is some justifica-
listItem ||| tion for classifying the method calls that modify them as part
listItem ||| of their initialization process. The second reason is practical
listItem ||| and much more significant. Once a scene has been created and
listItem ||| is being “used” by the application, the bulk of the time-critical
listItem ||| changes to it tend to be assignments of new behaviors to the
listItem ||| existing property values. For example, an object is moved by
listItem ||| assigning a new (often constant) behavior to its
listItem ||| GO _T rans fo rm property value. Therefore, the overall perfor-
listItem ||| mance of the system depends heavily on the performance of
listItem ||| property value behavior changes. By treating behaviors as
listItem ||| immutable objects, they can simply be copied between
listItem ||| processes without incurring the overhead of the replicated
listItem ||| object system.
subsubsectionHeader ||| 5.1.3 Input Callbacks
bodyText ||| In Repo-3D, input event callbacks are not replicated. As discussed
bodyText ||| in Section 4.2, input events are delivered to the callback stacks of a
bodyText ||| RootGO. Callbacks attached to any other object receive input
bodyText ||| events only if they are delivered to that object by the programmer,
bodyText ||| perhaps recursively from another input event callback (such as the
bodyText ||| one attached to the RootGO). Therefore, the interactive behavior of
bodyText ||| a root window is defined not only by the callbacks attached to its
bodyText ||| RootGO, but also by the set of callbacks associated with the graph
bodyText ||| rooted at that RootGO. Since the RootGOs are not replicated, the
figure ||| (a)	(b)
figure ||| (c) (d)
figureCaption ||| Figure 5: Simultaneous images from a session with the distributed CATHI animation viewer, running on four machines, showing an anima-
figureCaption ||| tion of an engine. (a) Plain animation viewer, running on Windows NT. (b) Overview window, running on Windows 95. (c) Animation viewer
figureCaption ||| with local animation meter, running on IRIX. (d) Animation viewer with local transparency to expose hidden parts, running on Solaris.
bodyText ||| callbacks that they delegate event handling to are not replicated
bodyText ||| either. If a programmer wants to associate callbacks with objects as
bodyText ||| they travel between processes, Repo’s general-purpose program-
bodyText ||| ming facilities can be used to accomplish this in a straightforward
bodyText ||| manner.
subsubsectionHeader ||| 5.1.4 Change Notification
bodyText ||| The final component of the basic design is support for notification
bodyText ||| of changes to distributed objects. For example, when an object’s
bodyText ||| position changes or a new child is added to a group, some of the
bodyText ||| processes containing replicas may wish to react in some way. For-
bodyText ||| tunately, as discussed in Section 4.1, the Replicated Object
bodyText ||| package automatically generates Notification Object types for all
bodyText ||| replicated object types, which provide exactly the required
bodyText ||| behavior. The Notification Objects for property values allow a
bodyText ||| programmer to be notified of changes to the behavior of a property,
bodyText ||| and the Notification Objects for the various GOs likewise allow
bodyText ||| notification of updates to them.
subsectionHeader ||| 5.2 Local Variations
bodyText ||| Repo-3D’s local variations solve a set of problems particular to the
bodyText ||| distributed context in which Repo-3D lives: maintaining interactiv-
bodyText ||| ity and supporting local modifications to the shared scene graph.
bodyText ||| If the graphical objects and their properties were always strictly
bodyText ||| replicated, programmers would have to create local variations by
bodyText ||| copying the objects to be modified, creating a set of Notification
bodyText ||| Objects on the original objects, the copies of those objects, and all
bodyText ||| their properties (to be notified when either change), and reflecting
bodyText ||| the appropriate changes between the instances. Unfortunately,
bodyText ||| while this process could be automated somewhat, it would still be
bodyText ||| extremely tedious and error prone. More seriously, the overhead of
bodyText ||| creating this vast array of objects and links between them would
bodyText ||| make this approach impractical for short transient changes, such as
bodyText ||| highlighting an object under the mouse.
bodyText ||| To overcome this problem, Repo-3D allows the two major
bodyText ||| elements of the shared state of the graphical object scene—the
bodyText ||| properties attached to a GO and the children of a group—to have
bodyText ||| local variations applied to them. (Local variations on property
bodyText ||| values or animation handles are not supported, although we are
bodyText ||| considering adding support for the latter.)
bodyText ||| Conceptually, local state is the state added to each object (the
bodyText ||| additions, deletions, and replacements to the properties or
bodyText ||| children) that is only accessible to the local copies and is not
bodyText ||| passed to remote processes when the object is copied to create a
bodyText ||| new replica. The existence of local state is possible because, as
bodyText ||| discussed in Section 4. 1, the shared state of a replicated object is
bodyText ||| implicitly defined by the methods that update it 6. Therefore, the
bodyText ||| new methods that manipulate the local variations are added to the
bodyText ||| GOs as non-update methods. Repo-3D combines both the global
bodyText ||| and local state when creating the graphical scene using the under-
bodyText ||| lying graphics package.
bodyText ||| As mentioned above, local variations come in two flavors:
listItem ||| •	Property variations. There are three methods to set, unset, and
listItem ||| get the global property list attached to a GO. We added the
listItem ||| following methods to manipulate local variations: add or
listItem ||| remove local properties (overriding the value normally used for
listItem ||| the object), hide or reveal properties (causing the property
listItem ||| value of the parent node to be inherited), and flush the set of
listItem ||| local variations (removing them in one step) or atomically
listItem ||| apply them to the global state of the object.
listItem ||| •	Child variations. There are five methods to add, remove,
listItem ||| replace, retrieve, and flush the set of children contained in a
listItem ||| group node. We added the following ones: add a local node,
listItem ||| remove a global node locally, replace a global node with some
listItem ||| other node locally, remove each of these local variations, flush
listItem ||| the local variations (remove them all in one step), and atomi-
listItem ||| cally apply the local variations to the global state.
bodyText ||| This set of local operations supports the problems local variations
bodyText ||| were designed to solve, although some possible enhancements are
bodyText ||| discussed in Section 7.
sectionHeader ||| 6 EXAMPLE: AN ANIMATION EXAMINER
bodyText ||| As an example of the ease of prototyping distributed applications
bodyText ||| with Repo-3D, we created a distributed animation examiner for the
bodyText ||| CATHI [6] animation generation system. CATHI generates short
bodyText ||| informational animation clips to explain the operation of technical
bodyText ||| devices. It generates full-featured animation scripts, including
bodyText ||| camera and object motion, color and opacity effects, and lighting
bodyText ||| setup.
bodyText ||| It was reasonably straightforward to modify CATHI to generate
bodyText ||| Repo-3D program files, in addition to the GeomView and Render-
bodyText ||| Man script files it already generated. The resulting output is a
bodyText ||| Repo-3D program that creates two scene DAGs: a camera graph
bodyText ||| and a scene graph. The objects in these DAGs have synchronous
bodyText ||| behaviors specified for their surface and transformation properties.
bodyText ||| An entire animation is enqueued in the requests of these behaviors,
bodyText ||| lasting anywhere from a few seconds to a few minutes.
bodyText ||| We built a distributed, multi-user examiner over the course of a
bodyText ||| weekend. The examiner allows multiple users to view the same
bodyText ||| animation while discussing it (e.g., via electronic chat or on the
bodyText ||| phone). Figure 5 shows images of the examiner running on four
footnote ||| 6. The local state is not copied when a replicated object is first passed to a
footnote ||| new process because the Repo-3D objects have custom serialization
footnote ||| routines (or Picklers, in Modula-3 parlance). These routines only pass
footnote ||| the global state, and initialize the local state on the receiving side to
footnote ||| reasonable default values corresponding to the empty local state.
bodyText ||| machines, each with a different view of the scene. The first step
bodyText ||| was to build a simple “loader” that reads the animation file, creates
bodyText ||| a window, adds the animation scene and camera to it, and exports
bodyText ||| the animation on the network, requiring less than a dozen lines of
bodyText ||| Repo-3D code. A “network” version, that imports the animation
bodyText ||| from the network instead of reading it from disk, replaced the lines
bodyText ||| of code to read and export the animation with a single line to
bodyText ||| import it. Figure 5(a) shows an animation being viewed by one of
bodyText ||| these clients.
bodyText ||| The examiner program is loaded by both these simple clients, and
bodyText ||| is about 450 lines long. The examiner supports:
listItem ||| •	Pausing and continuing the animation, and changing the
listItem ||| current animation time using the mouse. Since this is done by
listItem ||| operating on the shared animation handle, changes performed
listItem ||| by any viewer are seen by all. Because of the consistency guar-
listItem ||| antees, all users can freely attempt to change the time, and the
listItem ||| system will maintain all views consistently.
listItem ||| •	A second “overview” window (Figure 5(b)), where a new
listItem ||| camera watches the animation scene and camera from a distant
listItem ||| view. A local graphical child (representing a portion of the
listItem ||| animation camera’s frustum) was added to the shared anima-
listItem ||| tion camera group to let the attributes of the animation camera
listItem ||| be seen in the overview window.
listItem ||| •	A local animation meter (bottom of Figure 5(c)), that can be
listItem ||| added to any window by pressing a key, and which shows the
listItem ||| current time offset into the animation both graphically and
listItem ||| numerically. It was added in front of the camera in the anima-
listItem ||| tion viewer window, as a local child of a GO in the camera
listItem ||| graph, so that it would be fixed to the screen in the animation
listItem ||| viewer.
listItem ||| •	Local editing (Figure 5(d)), so that users can select objects and
listItem ||| make them transparent (to better see what was happening in the
listItem ||| animation) or hide them completely (useful on slow machines,
listItem ||| to speed up rendering). Assorted local feedback (highlighting
listItem ||| the object under the mouse and flashing the selected object)
listItem ||| was done with local property changes to the shared GOs in the
listItem ||| scene graph.
bodyText ||| Given the attention paid to the design of Repo-3D, it was not
bodyText ||| necessary to be overly concerned with the distributed behavior of
bodyText ||| the application (we spent no more than an hour or so). Most of that
bodyText ||| time was spent deciding if a given operation should be global or a
bodyText ||| local variation. The bulk of programming and debugging time was
bodyText ||| spent implementing application code. For example, in the overview
bodyText ||| window, the representation of the camera moves dynamically,
bodyText ||| based on the bounding values of the animation’s scene and camera
bodyText ||| graphs. In editing mode, the property that flashes the selected node
bodyText ||| bases its local color on the current global color (allowing a user
bodyText ||| who is editing while an animation is in progress to see any color
bodyText ||| changes to the selected node.)
sectionHeader ||| 7 CONCLUSIONS AND FUTURE WORK
bodyText ||| We have presented the rationale for, and design of, Repo-3D, a
bodyText ||| general-purpose, object-oriented library for developing distributed,
bodyText ||| interactive 3D graphics applications across a range of heteroge-
bodyText ||| neous workstations. By presenting the programmer with the
bodyText ||| illusion of a large shared memory, using the Shared Data-Object
bodyText ||| model of DSM, Repo-3D makes it easy for programmers to rapidly
bodyText ||| prototype distributed 3D graphics applications using a familiar
bodyText ||| object-oriented programming paradigm. Both graphical and
bodyText ||| general-purpose, non-graphical data can be shared, since Repo-3D
bodyText ||| is embedded in Repo, a general-purpose, lexically-scoped, distrib-
bodyText ||| uted programming language.
bodyText ||| Repo-3D is designed to directly support the distribution of graph-
bodyText ||| ical objects, circumventing the “duplicate database” problem and
bodyText ||| allowing programmers to concentrate on the application function-
bodyText ||| ality of a system, rather than its communication or synchronization
bodyText ||| components. We have introduced a number of issues that must be
bodyText ||| considered when building a distributed 3D graphics library, espe-
bodyText ||| cially concerning efficient and clean support for data distribution
bodyText ||| and local variations of shared graphical scenes, and discussed how
bodyText ||| Repo-3D addresses them.
bodyText ||| There are a number of ways in which Repo-3D could be
bodyText ||| improved. The most important is the way the library deals with
bodyText ||| time. By default, the library assumes all machines are running a
bodyText ||| time-synchronization rotocol, such as NTP, and uses an internal
bodyText ||| animation time offset�(instead of the system-specific time offset)
bodyText ||| because different OSs (e.g., NT vs. UNIX) start counting time at
bodyText ||| different dates. Hooks have been provided to allow a programmer
bodyText ||| to specify their own function to compute the “current” animation
bodyText ||| time offset within a process. Using this facility, it is possible to
bodyText ||| build inter-process time synchronization protocols (which we do),
bodyText ||| but this approach is not entirely satisfactory given our stated goal
bodyText ||| of relieving the programmer of such tedious chores. Future
bodyText ||| systems should integrate more advanced solutions, such as adjust-
bodyText ||| ing time values as they travel between machines, so that users of
bodyText ||| computers with unsynchronized clocks can collaborate8. This will
bodyText ||| become more important as mobile computers increase in popular-
bodyText ||| ity, as it may not be practical to keep their clocks synchronized.
bodyText ||| The specification of local variations in Repo-3D could benefit
bodyText ||| from adopting the notion of paths (as used in Java 3D and Inventor,
bodyText ||| for example). A path is an array of objects leading from the root of
bodyText ||| the graph to an object; when an object occurs in multiple places in
bodyText ||| one or more scene graphs, paths allow these instances to be differ-
bodyText ||| entiated. By specifying local variations using paths, nodes in the
bodyText ||| shared scene graphs could have variations within a process as well
bodyText ||| as between processes. One other limitation of Repo-3D, arising
bodyText ||| from our use of the Replicated Object package, is that there is no
bodyText ||| way to be notified when local variations are applied to an object.
bodyText ||| Recall that the methods of an automatically generated Notification
bodyText ||| Object correspond to the update methods of the corresponding
bodyText ||| Replicated Object. Since the methods that manipulate the local
bodyText ||| variations are non-update methods (i.e., they do not modify the
bodyText ||| replicated state), there are no corresponding methods for them in
bodyText ||| the Notification Objects. Of course, it would be relatively straight-
bodyText ||| forward to modify the Replicated Object package to support this,
bodyText ||| but we have not yet found a need for these notifiers.
bodyText ||| A more advanced replicated object system would also improve
bodyText ||| the library. Most importantly, support for different consistency
bodyText ||| semantics would be extremely useful. If we could specify
bodyText ||| semantics such as “all updates completely define the state of an
bodyText ||| object, and only the last update is of interest,” the efficiency of the
bodyText ||| distribution of property values would improve significantly; in this
bodyText ||| case, updates could be applied (or discarded) when they arrive,
bodyText ||| without waiting for all previous updates to be applied, and could be
bodyText ||| applied locally without waiting for the round trip to the sequencer.
bodyText ||| There are also times when it would be useful to have support for
bodyText ||| consistency across multiple objects, either using causal ordering
bodyText ||| (as provided by systems such as ISIS and Visual-Obliq), or some
bodyText ||| kind of transaction protocol to allow large groups of changes to be
bodyText ||| applied either as a unit, or not at all. It is not clear how one would
bodyText ||| provide these features with a replicated object system such as the
bodyText ||| one used here.
bodyText ||| While a library such as Repo-3D could be built using a variety of
bodyText ||| underlying platforms, the most likely one for future work is Java.
bodyText ||| Java shares many of the advantages of Modula-3 (e.g., threads and
bodyText ||| garbage collection are common across all architectures) and the
footnote ||| 7. Computed as an offset from January 1, 1997.
footnote ||| 8. Implementation details of the combination of Network and Replicated
footnote ||| Objects made it difficult for us to adopt a more advanced solution.
bodyText ||| packages needed to create a Repo-3D-like toolkit are beginning to
bodyText ||| appear. While Java does not yet have a replicated object system as
bodyText ||| powerful as the Replicated Object package, a package such as
bodyText ||| JSDT [36] (which focuses more on data communication than high-
bodyText ||| level object semantics) may be a good starting point. Work is also
bodyText ||| being done on interpreted, distributed programming languages on
bodyText ||| top of Java (e.g., Ambit [9]). Finally, Java 3D is very similar to
bodyText ||| Anim-3D, even though its design leans toward efficiency instead of
bodyText ||| generality when there are trade-offs to be made. For example, the
bodyText ||| designers chose to forgo Anim-3D’s general property inheritance
bodyText ||| mechanism because it imposes computational overhead. By com-
bodyText ||| bining packages such as Java 3D, JSDT, and Ambit, it should be
bodyText ||| possible to build a distributed graphics library such as Repo-3D in
bodyText ||| Java.
sectionHeader ||| Acknowledgments
bodyText ||| We would like to thank the reviewers for their helpful comments,
bodyText ||| as well as the many other people who have contributed to this
bodyText ||| project. Andreas Butz ported CATHI to use Repo-3D and helped
bodyText ||| with the examples and the video. Clifford Beshers participated in
bodyText ||| many lively discussions about the gamut of issues dealing with
bodyText ||| language-level support for 3D graphics. Tobias Höllerer and
bodyText ||| Steven Dossick took part in many other lively discussions. Xinshi
bodyText ||| Sha implemented many of the extensions to Obliq-3D that went
bodyText ||| into Repo-3D. Luca Cardelli and Marc Najork of DEC SRC
bodyText ||| created Obliq and Obliq-3D, and provided ongoing help and
bodyText ||| encouragement over the years that Repo and Repo-3D have been
bodyText ||| evolving.
bodyText ||| This research was funded in part by the Office of Naval Research
bodyText ||| under Contract N00014-97-1-0838 and the National Tele-Immer-
bodyText ||| sion Initiative, and by gifts of software from Critical Mass and
bodyText ||| Microsoft.
sectionHeader ||| References
reference ||| [1] D. B. Anderson, J. W. Barrus, J. H. Howard, C. Rich, C. Shen, and
reference ||| R. C. Waters. Building Multi-User Interactive Multimedia Environ-
reference ||| ments at MERL. Technical Report Research Report TR95-17, Mit-
reference ||| subishi Electric Research Laboratory, November 1995.
reference ||| [2] H. Bal, M. Kaashoek, and A. Tanenbaum. Orca: A Language for
reference ||| Parallel Programming of Distributed Systems. IEEE Transactions on
reference ||| Software Engineering, 18(3):190–205, March 1992.
reference ||| [3] K. Bharat and L. Cardelli. Migratory Applications. In ACM UIST '95,
reference ||| pages 133-142, November 1995.
reference ||| [4] K. P. Birman. The Process Group Approach to Reliable Distributed
reference ||| Computing. CACM, 36(12):36–53, Dec 1993.
reference ||| [5] A. Birrell, G. Nelson, S. Owicki, and E. Wobber. Network Objects.
reference ||| In Proc. 14th ACM Symp. on Operating Systems Principles, 1993.
reference ||| [6] A Butz, Animation with CATHI, In Proceedings ofAAAI/IAAI '97,
reference ||| pages 957–962, 1997.
reference ||| [7]	J. Calvin, A. Dickens, B. Gaines, P. Metzger, D. Miller, and
reference ||| D. Owen. The SIMNET Virtual World Architecture. In Proc. IEEE
reference ||| VRAIS ’93, pages 450–455, Sept 1993.
reference ||| [8] L. Cardelli. A Language with Distributed Scope. Computing Sys-
reference ||| tems, 8(1):27–59, Jan 1995.
reference ||| [9] L. Cardelli and A. Gordon. Mobile Ambients. In Foundations of
reference ||| Software Science and Computational Structures, Maurice Nivat
reference ||| (Ed.), LNCE 1378, Springer, 140–155. 1998.
reference ||| [10] R. Carey and G. Bell. The Annotated VRML 2.0 Reference Manual.
reference ||| Addison-Wesley, Reading, MA, 1997.
reference ||| [11] C. Carlsson and O. Hagsand. DIVE—A Multi-User Virtual Reality
reference ||| System. In Proc. IEEE VRAIS ’93, pages 394–400, Sept 1993.
reference ||| [12] C. F. Codella, R. Jalili, L. Koved, and J. B. Lewis. A Toolkit for
reference ||| Developing Multi-User, Distributed Virtual Environments. In Proc.
reference ||| IEEE VRAIS ’93, pages 401–407, Sept 1993.
reference ||| [13] C. Elliott, G. Schechter, R. Yeung and S. Abi-Ezzi. TBAG: A High
reference ||| Level Framework for Interactive, Animated 3D Graphics
reference ||| Applications, In Proc. ACM SIGGRAPH 94, pages 421–434, August,
reference ||| 1994.
reference ||| [14] M. Fairen and A. Vinacua, ATLAS, A Platform for Distributed
reference ||| Graphics Applications, In Proc. VI Eurographics Workshop on Pro-
reference ||| gramming Paradigms in Graphics, pages 91–102, September, 1997.
reference ||| [15] S. Feiner, B. MacIntyre, M. Haupt, and E. Solomon. Windows on the
reference ||| World: 2D Windows for 3D Augmented Reality. In Proc. ACM UIST
reference ||| ’93, pages 145–155, 1993.
reference ||| [16] T. A. Funkhouser. RING: A Client-Server System for Multi-User
reference ||| Virtual Environments. In Proc. 1995 ACM Symp. on Interactive 3D
reference ||| Graphics, pages 85–92, March 1995.
reference ||| [17] G. Grimsdale. dVS—Distributed Virtual Environment System. In
reference ||| Proc. Computer Graphics ’91 Conference, 1991.
reference ||| [18] S. P. Harbison. Modula-3. Prentice-Hall, 1992.
reference ||| [19] H.W. Holbrook, S.K. Singhal and D.R. Cheriton, Log-Based
reference ||| Receiver-Reliable Multicast for Distributed Interactive Simulation,
reference ||| Proc. ACM SIGCOMM ’95, pages 328–341, 1995.
reference ||| [20] W. Levelt, M. Kaashoek, H. Bal, and A. Tanenbaum. A Comparison
reference ||| of Two Paradigms for Distributed Shared Memory. Software
reference ||| Practice and Experience, 22(11):985–1010, Nov 1992.
reference ||| [21] B. Lucas. A Scientific Visualization Renderer. In Proc. IEEE
reference ||| Visualization '92, pp. 227-233, October 1992.
reference ||| [22] V. Machiraju, A Framework for Migrating Objects in Distributed
reference ||| Graphics Applications, Masters Thesis, University of Utah, Depart-
reference ||| ment of Computer Science, Salt Lake City, UT, June, 1997.
reference ||| [23] B. MacIntyre. Repo: Obliq with Replicated Objects. Programmers
reference ||| Guide and Reference Manual. Columbia University Computer
reference ||| Science Department Research Report CUCS-023-97, 1997.}
reference ||| [24] B. MacIntyre, and S. Feiner. Language-level Support for Exploratory
reference ||| Programming of Distributed Virtual Environments. In Proc. ACM
reference ||| UIST ’96, pages 83–94, Seattle, WA, November 6–8, 1996.
reference ||| [25] M. A. Najork and M. H. Brown. Obliq-3D: A High-level, Fast-turn-
reference ||| around 3D Animation System. IEEE Transactions on Visualization
reference ||| and Computer Graphics, 1(2):175–145, June 1995.
reference ||| [26] R. Ben-Natan. CORBA: A Guide to the Common Object Request
reference ||| Broker Architecture, McGraw Hill, 1995.
reference ||| [27] D. Phillips, M. Pique, C. Moler, J. Torborg, D. Greenberg. Distribut-
reference ||| ed Graphics: Where to Draw the Lines? Panel Transcript,
reference ||| SIGGRAPH 89, available at:
reference ||| http://www.siggraph.org:443/publications/panels/siggraphi89/
reference ||| [28] A. Prakash and H. S. Shim. DistView: Support for Building Efficient
reference ||| Collaborative Applications Using Replicated Objects. In Proc. ACM
reference ||| CSCW ’94, pages 153–162, October 1994.
reference ||| [29] J. Rohlf and J. Helman, IRIS Performer: A High Performance
reference ||| Multiprocessing Toolkit for Real-Time {3D} Graphics, In Proc.
reference ||| ACM SIGGRAPH 94, pages 381–394, 1994.
reference ||| [30] M. Roseman and S. Greenberg. Building Real-Time Groupware with
reference ||| GroupKit, a Groupware Toolkit. ACM Transactions on Computer-
reference ||| Human Interaction, 3(1):66–106, March 1996.
reference ||| [31] C. Shaw and M. Green. The MR Toolkit Peers Package and
reference ||| Experiment. In Proc. IEEE VRAIS ’93, pages 18–22, Sept 1993.
reference ||| [32] G. Singh, L. Serra, W. Png, A. Wong, and H. Ng. BrickNet: Sharing
reference ||| Object Behaviors on the Net. In Proc. IEEE VRAIS ’95, pages 19–25,
reference ||| 1995.
reference ||| [33] H. Sowizral, K. Rushforth, and M. Deering. The Java 3D API
reference ||| Specification, Addison-Wesley, Reading, MA, 1998.
reference ||| [34] M. Stefik, G. Foster, D. G. Bobrow, K. Kahn, S. Lanning, and
reference ||| L. Suchman. Beyond The Chalkboard: Computer Support for
reference ||| Collaboration and Problem Solving in Meetings. CACM, 30(1):32–
reference ||| 47, January 1987.
reference ||| [35] P. S. Strauss and R. Carey, An Object-Oriented 3D Graphics Toolkit,
reference ||| In Computer Graphics (Proc. ACM SIGGRAPH 92), pages 341–349,
reference ||| Aug, 1992.
