title ||| Automatic Extraction of Titles from General Documents
bodyText ||| are statistically significant (in the sense p-value &lt; 0.05)
tableCaption ||| Table 6. Sign test results
table ||| Documents Type	Sign test between	p-value
table ||| Word	Perceptron vs. Largest	3.59e-26
table ||| 	Perceptron vs. First	7.12e-10
table ||| PowerPoint	Perceptron vs. Largest	0.010
table ||| 	Perceptron vs. First	5.13e-40
bodyText ||| We see, from the results, that the two baselines can work well for
bodyText ||| title extraction, suggesting that font size and position information
bodyText ||| are most useful features for title extraction. However, it is also
bodyText ||| obvious that using only these two features is not enough. There
bodyText ||| are cases in which all the lines have the same font size (i.e., the
bodyText ||| largest font size), or cases in which the lines with the largest font
bodyText ||| size only contain general descriptions like ‘Confidential’, ‘White
bodyText ||| paper’, etc. For those cases, the ‘largest font size’ method cannot
bodyText ||| work well. For similar reasons, the ‘first line’ method alone
bodyText ||| cannot work well, either. With the combination of different
bodyText ||| features (evidence in title judgment), Perceptron can outperform
bodyText ||| Largest and First.
bodyText ||| We investigate the performance of solely using linguistic features.
bodyText ||| We found that it does not work well. It seems that the format
bodyText ||| features play important roles and the linguistic features are
bodyText ||| supplements..
bodyText ||| We conducted an error analysis on the results of Perceptron. We
bodyText ||| found that the errors fell into three categories. (1) About one third
bodyText ||| of the errors were related to ‘hard cases’. In these documents, the
bodyText ||| layouts of the first pages were difficult to understand, even for
bodyText ||| humans. Figure 8 and 9 shows examples. (2) Nearly one fourth of
bodyText ||| the errors were from the documents which do not have true titles
bodyText ||| but only contain bullets. Since we conduct extraction from the top
bodyText ||| regions, it is difficult to get rid of these errors with the current
bodyText ||| approach. (3). Confusions between main titles and subtitles were
bodyText ||| another type of error. Since we only labeled the main titles as
bodyText ||| titles, the extractions of both titles were considered incorrect. This
bodyText ||| type of error does little harm to document processing like search,
bodyText ||| however.
subsectionHeader ||| 6.5 Comparison between Models
bodyText ||| To compare the performance of different machine learning models,
bodyText ||| we conducted another experiment. Again, we perform 4-fold cross
figureCaption ||| Figure 8. An example Word document.
figureCaption ||| Figure 9. An example PowerPoint document.
page ||| 151
bodyText ||| validation on the first data set (MS). Table 7, 8 shows the results
bodyText ||| of all the four models.
bodyText ||| It turns out that Perceptron and PMM perform the best, followed
bodyText ||| by MEMM, and ME performs the worst. In general, the
bodyText ||| Markovian models perform better than or as well as their classifier
bodyText ||| counterparts. This seems to be because the Markovian models are
bodyText ||| trained globally, while the classifiers are trained locally. The
bodyText ||| Perceptron based models perform better than the ME based
bodyText ||| counterparts. This seems to be because the Perceptron based
bodyText ||| models are created to make better classifications, while ME
bodyText ||| models are constructed for better prediction.
tableCaption ||| Table 7. Comparison between different learning models for
table ||| title extraction with Word
table ||| Model	Precision	Recall	F1
table ||| Perceptron	0.810	0.837	0.823
table ||| MEMM	0.797	0.824	0.810
table ||| PMM	0.827	0.823	0.825
table ||| ME	0.801	0.621	0.699
tableCaption ||| Table 8. Comparison between different learning models for
table ||| title extraction with PowerPoint
table ||| Model	Precision	Recall	F1
table ||| Perceptron	0.875	0. 895	0. 885
table ||| MEMM	0.841	0.861	0.851
table ||| PMM	0.873	0.896	0.885
table ||| ME	0.753	0.766	0.759
subsectionHeader ||| 6.6 Domain Adaptation
bodyText ||| We apply the model trained with the first data set (MS) to the
bodyText ||| second data set (DotCom and DotGov). Tables 9-12 show the
bodyText ||| results.
tableCaption ||| Table 9. Accuracies of title extraction with Word in DotGov
table ||| 		Precision	Recall	F1
table ||| Model	Perceptron	0.716	0.759	0.737
table ||| Baselines	Largest font size	0.549	0.619	0.582
table ||| 	First line	0.462	0.521	0.490
tableCaption ||| Table 10. Accuracies of title extraction with PowerPoint in
table ||| DotGov
table ||| 		Precision	Recall	F1
table ||| Model	Perceptron	0.900	0.906	0.903
table ||| Baselines	Largest font size	0.871	0.888	0.879
table ||| 	First line	0.554	0.564	0.559
tableCaption ||| Table 11. Accuracies of title extraction with Word in DotCom
table ||| 		Precisio	Recall	F1
table ||| 		n		
table ||| Model	Perceptron	0.832	0.880	0.855
table ||| Baselines	Largest font size	0.676	0.753	0.712
table ||| 	First line	0.577	0.643	0.608
tableCaption ||| Table 12. Performance of PowerPoint document title
table ||| extraction in DotCom
table ||| 		Precisio	Recall	F1
table ||| 		n		
table ||| Model	Perceptron	0.910	0.903	0.907
table ||| Baselines	Largest font size	0.864	0.886	0.875
table ||| 	First line	0.570	0.585	0.577
bodyText ||| From the results, we see that the models can be adapted to
bodyText ||| different domains well. There is almost no drop in accuracy. The
bodyText ||| results indicate that the patterns of title formats exist across
bodyText ||| different domains, and it is possible to construct a domain
bodyText ||| independent model by mainly using formatting information.
subsectionHeader ||| 6.7 Language Adaptation
bodyText ||| We apply the model trained with the data in English (MS) to the
bodyText ||| data set in Chinese.
bodyText ||| Tables 13-14 show the results.
tableCaption ||| Table 13. Accuracies of title extraction with Word in Chinese
table ||| 		Precision	Recall	F1
table ||| Model	Perceptron	0.817	0.805	0.811
table ||| Baselines	Largest font size	0.722	0.755	0.738
table ||| 	First line	0.743	0.777	0.760
tableCaption ||| Table 14. Accuracies of title extraction with PowerPoint in
tableCaption ||| Chinese
table ||| 		Precision	Recall	F1
table ||| Model	Perceptron	0.766	0.812	0.789
table ||| Baselines	Largest font size	0.753	0.813	0.782
table ||| 	First line	0.627	0.676	0.650
bodyText ||| We see that the models can be adapted to a different language.
bodyText ||| There are only small drops in accuracy. Obviously, the linguistic
bodyText ||| features do not work for Chinese, but the effect of not using them
bodyText ||| is negligible. The results indicate that the patterns of title formats
bodyText ||| exist across different languages.
bodyText ||| From the domain adaptation and language adaptation results, we
bodyText ||| conclude that the use of formatting information is the key to a
bodyText ||| successful extraction from general documents.
subsectionHeader ||| 6.8 Search with Extracted Titles
bodyText ||| We performed experiments on using title extraction for document
bodyText ||| retrieval. As a baseline, we employed BM25 without using
bodyText ||| extracted titles. The ranking mechanism was as described in
bodyText ||| Section 5. The weights were heuristically set. We did not conduct
bodyText ||| optimization on the weights.
bodyText ||| The evaluation was conducted on a corpus of 1.3 M documents
bodyText ||| crawled from the intranet of Microsoft using 100 evaluation
bodyText ||| queries obtained from this intranet’s search engine query logs. 50
bodyText ||| queries were from the most popular set, while 50 queries other
bodyText ||| were chosen randomly. Users were asked to provide judgments of
bodyText ||| the degree of document relevance from a scale of 1to 5 (1
bodyText ||| meaning detrimental, 2 – bad, 3 – fair, 4 – good and 5 – excellent).
page ||| 152
bodyText ||| Figure 10 shows the results. In the chart two sets of precision
bodyText ||| results were obtained by either considering good or excellent
bodyText ||| documents as relevant (left 3 bars with relevance threshold 0.5), or
bodyText ||| by considering only excellent documents as relevant (right 3 bars
bodyText ||| with relevance threshold 1.0)
figure ||| Name All
figureCaption ||| Figure 10. Search ranking results.
bodyText ||| Figure 10 shows different document retrieval results with different
bodyText ||| ranking functions in terms of precision @10, precision @5 and
bodyText ||| reciprocal rank:
listItem ||| •	Blue bar – BM25 including the fields body, title (file
listItem ||| property), and anchor text.
listItem ||| •	Purple bar – BM25 including the fields body, title (file
bodyText ||| property), anchor text, and extracted title.
bodyText ||| With the additional field of extracted title included in BM25 the
bodyText ||| precision @10 increased from 0.132 to 0.145, or by ~10%. Thus,
bodyText ||| it is safe to say that the use of extracted title can indeed improve
bodyText ||| the precision of document retrieval.
sectionHeader ||| 7. CONCLUSION
bodyText ||| In this paper, we have investigated the problem of automatically
bodyText ||| extracting titles from general documents. We have tried using a
bodyText ||| machine learning approach to address the problem.
bodyText ||| Previous work showed that the machine learning approach can
bodyText ||| work well for metadata extraction from research papers. In this
bodyText ||| paper, we showed that the approach can work for extraction from
bodyText ||| general documents as well. Our experimental results indicated that
bodyText ||| the machine learning approach can work significantly better than
bodyText ||| the baselines in title extraction from Office documents. Previous
bodyText ||| work on metadata extraction mainly used linguistic features in
bodyText ||| documents, while we mainly used formatting information. It
bodyText ||| appeared that using formatting information is a key for
bodyText ||| successfully conducting title extraction from general documents.
bodyText ||| We tried different machine learning models including Perceptron,
bodyText ||| Maximum Entropy, Maximum Entropy Markov Model, and Voted
bodyText ||| Perceptron. We found that the performance of the Perceptorn
bodyText ||| models was the best. We applied models constructed in one
bodyText ||| domain to another domain and applied models trained in one
bodyText ||| language to another language. We found that the accuracies did
bodyText ||| not drop substantially across different domains and across
bodyText ||| different languages, indicating that the models were generic. We
bodyText ||| also attempted to use the extracted titles in document retrieval. We
bodyText ||| observed a significant improvement in document ranking
bodyText ||| performance for search when using extracted title information. All
bodyText ||| the above investigations were not conducted in previous work, and
bodyText ||| through our investigations we verified the generality and the
bodyText ||| significance of the title extraction approach.
sectionHeader ||| 8. ACKNOWLEDGEMENTS
bodyText ||| We thank Chunyu Wei and Bojuan Zhao for their work on data
bodyText ||| annotation. We acknowledge Jinzhu Li for his assistance in
bodyText ||| conducting the experiments. We thank Ming Zhou, John Chen,
bodyText ||| Jun Xu, and the anonymous reviewers of JCDL’05 for their
bodyText ||| valuable comments on this paper.
sectionHeader ||| 9. REFERENCES
reference ||| [1] Berger, A. L., Della Pietra, S. A., and Della Pietra, V. J. A
reference ||| maximum entropy approach to natural language processing.
reference ||| Computational Linguistics, 22:39-71, 1996.
reference ||| [2] Collins, M. Discriminative training methods for hidden
reference ||| markov models: theory and experiments with perceptron
reference ||| algorithms. In Proceedings of Conference on Empirical
reference ||| Methods in Natural Language Processing, 1-8, 2002.
reference ||| [3] Cortes, C. and Vapnik, V. Support-vector networks. Machine
reference ||| Learning, 20:273-297, 1995.
reference ||| [4] Chieu, H. L. and Ng, H. T. A maximum entropy approach to
reference ||| information extraction from semi-structured and free text. In
reference ||| Proceedings of the Eighteenth National Conference on
reference ||| Artificial Intelligence, 768-791, 2002.
reference ||| [5] Evans, D. K., Klavans, J. L., and McKeown, K. R. Columbia
reference ||| newsblaster: multilingual news summarization on the Web.
reference ||| In Proceedings of Human Language Technology conference /
reference ||| North American chapter of the Association for
reference ||| Computational Linguistics annual meeting, 1-4, 2004.
reference ||| [6] Ghahramani, Z. and Jordan, M. I. Factorial hidden markov
reference ||| models. Machine Learning, 29:245-273, 1997.
reference ||| [7] Gheel, J. and Anderson, T. Data and metadata for finding and
reference ||| reminding, In Proceedings of the 1999 International
reference ||| Conference on Information Visualization, 446-451,1999.
reference ||| [8] Giles, C. L., Petinot, Y., Teregowda P. B., Han, H.,
reference ||| Lawrence, S., Rangaswamy, A., and Pal, N. eBizSearch: a
reference ||| niche search engine for e-Business. In Proceedings of the
reference ||| 26th Annual International ACM SIGIR Conference on
reference ||| Research and Development in Information Retrieval, 413-
reference ||| 414, 2003.
reference ||| [9] Giuffrida, G., Shek, E. C., and Yang, J. Knowledge-based
reference ||| metadata extraction from PostScript files. In Proceedings of
reference ||| the Fifth ACM Conference on Digital Libraries, 77-84, 2000.
reference ||| [ 10] Han, H., Giles, C. L., Manavoglu, E., Zha, H., Zhang, Z., and
reference ||| Fox, E. A. Automatic document metadata extraction using
reference ||| support vector machines. In Proceedings of the Third
reference ||| ACM/IEEE-CS Joint Conference on Digital Libraries, 37-48,
reference ||| 2003.
reference ||| [1 1 ] Kobayashi, M., and Takeda, K. Information retrieval on the
reference ||| Web. ACM Computing Surveys, 32:144-173, 2000.
reference ||| [ 12] Lafferty, J., McCallum, A., and Pereira, F. Conditional
reference ||| random fields: probabilistic models for segmenting and
figure ||| 0.45
figure ||| BM25 AnchorTitle, Body
figure ||| BM25 AnchorTitle, Body ExtractedTitle
figure ||| 0.4
figure ||| 0.35
figure ||| 0.3
figure ||| 0.25
figure ||| 0.2
figure ||| 0.15
figure ||| 0.1
figure ||| 0.05
figure ||| 0
figure ||| P@10	P@5	ReciprocalP@10	P@5	Reciprocal
figure ||| 0.5	1
figure ||| RelevanceThreshold Data
figure ||| Description
page ||| 153
reference ||| labeling sequence data. In Proceedings of the Eighteenth
reference ||| International Conference on Machine Learning, 282-289,
reference ||| 2001.
reference ||| [13] Li, Y., Zaragoza, H., Herbrich, R., Shawe-Taylor J., and
reference ||| Kandola, J. S. The perceptron algorithm with uneven margins.
reference ||| In Proceedings of the Nineteenth International Conference
reference ||| on Machine Learning, 379-386, 2002.
reference ||| [14] Liddy, E. D., Sutton, S., Allen, E., Harwell, S., Corieri, S.,
reference ||| Yilmazel, O., Ozgencil, N. E., Diekema, A., McCracken, N.,
reference ||| and Silverstein, J. Automatic Metadata generation &amp;
reference ||| evaluation. In Proceedings of the 25th Annual International
reference ||| ACM SIGIR Conference on Research and Development in
reference ||| Information Retrieval, 401-402, 2002.
reference ||| [15] Littlefield, A. Effective enterprise information retrieval
reference ||| across new content formats. In Proceedings of the Seventh
reference ||| Search Engine Conference,
reference ||| http://www.infonortics.com/searchengines/sh02/02prog.html,
reference ||| 2002.
reference ||| [16] Mao, S., Kim, J. W., and Thoma, G. R. A dynamic feature
reference ||| generation system for automated metadata extraction in
reference ||| preservation of digital materials. In Proceedings of the First
reference ||| International Workshop on Document Image Analysis for
reference ||| Libraries, 225-232, 2004.
reference ||| [17] McCallum, A., Freitag, D., and Pereira, F. Maximum entropy
reference ||| markov models for information extraction and segmentation.
reference ||| In Proceedings of the Seventeenth International Conference
reference ||| on Machine Learning, 591-598, 2000.
reference ||| [ 18] Murphy, L. D. Digital document metadata in organizations:
reference ||| roles, analytical approaches, and future research directions.
reference ||| In Proceedings of the Thirty-First Annual Hawaii
reference ||| International Conference on System Sciences, 267-276, 1998.
reference ||| [19] Pinto, D., McCallum, A., Wei, X., and Croft, W. B. Table
reference ||| extraction using conditional random fields. In Proceedings of
reference ||| the 26th Annual International ACM SIGIR Conference on
reference ||| Research and Development in Information Retrieval, 235-
reference ||| 242, 2003.
reference ||| [20] Ratnaparkhi, A. Unsupervised statistical models for
reference ||| prepositional phrase attachment. In Proceedings of the
reference ||| Seventeenth International Conference on Computational
reference ||| Linguistics. 1079-1085, 1998.
reference ||| [21] Robertson, S., Zaragoza, H., and Taylor, M. Simple BM25
reference ||| extension to multiple weighted fields, In Proceedings of
reference ||| ACM Thirteenth Conference on Information and Knowledge
reference ||| Management, 42-49, 2004.
reference ||| [22] Yi, J. and Sundaresan, N. Metadata based Web mining for
reference ||| relevance, In Proceedings of the 2000 International
reference ||| Symposium on Database Engineering &amp; Applications, 113-
reference ||| 121, 2000.
reference ||| [23] Yilmazel, O., Finneran, C. M., and Liddy, E. D. MetaExtract:
reference ||| An NLP system to automatically assign metadata. In
reference ||| Proceedings of the 2004 Joint ACM/IEEE Conference on
reference ||| Digital Libraries, 241-242, 2004.
reference ||| [24] Zhang, J. and Dimitroff, A. Internet search engines&apos; response
reference ||| to metadata Dublin Core implementation. Journal of
reference ||| Information Science, 30:310-320, 2004.
reference ||| [25] Zhang, L., Pan, Y., and Zhang, T. Recognising and using
reference ||| named entities: focused named entity recognition using
reference ||| machine learning. In Proceedings of the 27th Annual
reference ||| International ACM SIGIR Conference on Research and
reference ||| Development in Information Retrieval, 281-288, 2004.
reference ||| [26] http://dublincore.org/groups/corporate/Seattle/
page ||| 154
