title ||| 2-Source Dispersers for Sub-Polynomial Entropy and
bodyText ||| However it is not clear how to do this when the total
bodyText ||| entropy is less than -,/n. On the one hand we will have
bodyText ||| to partition our sources into blocks of length significantly
bodyText ||| more than -,/n (or the adversary could distribute a negligible
bodyText ||| fraction of entropy in all blocks). On the other hand, if
bodyText ||| our blocks are so large, a single block could contain all the
bodyText ||| entropy. Thus it was not clear how to use the challenge
bodyText ||| response mechanism to find a block source.
sectionHeader ||| 4. THE SUBSOURCE SOMEWHERE
sectionHeader ||| EXTRACTOR SSE
bodyText ||| We now explain some of the ideas behind the construction
bodyText ||| of the subsource somewhere extractor SSE of Theorem 2.6.
bodyText ||| Consider the source X. We are seeking to find in it a some-
bodyText ||| where c-block-source, so that we can use it (together with Y)
bodyText ||| in the block-source extractor of Theorem 2.8. Like in previ-
bodyText ||| ous works in the extractor literature (e.g. [19, 13]) we use a
bodyText ||| ”win-win” analysis which shows that either X is already a
bodyText ||| somewhere c-block-source, or it has a condensed part which
bodyText ||| contains a lot of the entropy of the source. In this case we
bodyText ||| proceed recursively on that part. Continuing this way we
bodyText ||| eventually reach a source so condensed that it must be a
bodyText ||| somewhere block source. Note that in [4], the challenge re-
bodyText ||| sponse mechanism was used to find a block source also, but
bodyText ||| there the entropy was so high that they could afford to use
page ||| 675
figure ||| Not Somewhere block source	n bits total
figure ||| 		t blocks			Outputs
figure ||| &lt; k’
figure ||| Challenge Challenge
figure ||| responded responded
figure ||| X
figure ||| low
figure ||| med
figure ||| high
figure ||| n/t bits total
figure ||| t blocks
figure ||| Challenge Unresponded
figure ||| SB
figure ||| Somewhere Block Source!
figure ||| med
figure ||| med
figure ||| low
figure ||| 0&lt; low &lt; k’/t
figure ||| k’/t &lt; med &lt; k’/c
figure ||| k’/c &lt; high &lt; k’
figure ||| high
figure ||| med
figure ||| Random Row
figure ||| med
figure ||| SB
figureCaption ||| Figure 1: Analysis of the subsource somewhere extractor.
figureCaption ||| a tree of depth 1. They did not need to recurse or condense
figureCaption ||| the sources.
bodyText ||| Consider the tree of parts of the source X evolved by
bodyText ||| such recursion. Each node in the tree corresponds to some
bodyText ||| interval of bit locations of the source, with the root node
bodyText ||| corresponding to the entire source. A node is a child of an-
bodyText ||| other if its interval is a subinterval of the parent. It can be
bodyText ||| shown that some node in the tree is ”good”; it corresponds
bodyText ||| to a somewhere c-source, but we don’t know which node is
bodyText ||| good. Since we only want a somewhere extractor, we can
bodyText ||| apply to each node the somewhere block-source extractor of
bodyText ||| Corollary 2.8 – this will give us a random output in every
bodyText ||| ”good” node of the tree. The usual idea is output all these
bodyText ||| values (and in seeded extractors, merge them using the ex-
bodyText ||| ternally given random seed). However, we cannot afford to
bodyText ||| do that here as there is no external seed and the number of
bodyText ||| these outputs (the size of the tree) is far too large.
bodyText ||| Our aim then will be to significantly prune this number
bodyText ||| of candidates and in fact output only the candidates on one
bodyText ||| path to a canonical”good” node. First we will give a very in-
bodyText ||| formal description of how to do this (Figure 1). Before call-
bodyText ||| ing SSE recursively on a subpart of a current part of X, we’ll
bodyText ||| use the ”Challenge-Response” mechanism described above
bodyText ||| to check if ”it has entropy”.4 We will recurse only with the
bodyText ||| first (in left-to-right order) part which passes the ”entropy
bodyText ||| test”. Thus note that we will follow a single path on this
bodyText ||| tree. The algorithm SSE will output only the sets of strings
bodyText ||| produced by applying the somewhere c-block-extractor SB
bodyText ||| on the parts visited along this path.
bodyText ||| Now let us describe the algorithm for SSE. SSE will be
bodyText ||| initially invoked as SSE(x, y), but will recursively call itself
bodyText ||| with different inputs z which will always be substrings of x.
footnote ||| 4We note that we ignore the additional complication that
footnote ||| SSE will actually use recursion also to compute the challenge
footnote ||| in the challenge-response mechanism.
construct ||| Algorithm: SSE(z, y)
bodyText ||| Let pSE(., .) be the somewhere extractor with a polyno-
bodyText ||| mial number of outputs of Proposition 2.3.
bodyText ||| Let SB be the somewhere block source extractor of Corol-
bodyText ||| lary 2.8.
bodyText ||| Global Parameters: t, the branching factor of the tree. k
bodyText ||| the original entropy of the sources.
bodyText ||| Output will be a set of strings.
listItem ||| 1. If z is shorter than √k, return the empty set, else
listItem ||| continue.
listItem ||| 2. Partition z into t equal parts z = z1, z2, ... ,zt.
listItem ||| 3. Compute the response set R(z, y) which is the set of
listItem ||| strings output by pSE(z, y).
listItem ||| 4. For i E [t], compute the challenge set C(zi, y), which
listItem ||| is the set of outputs of SSE(zi, y).
listItem ||| 5. Let h be the smallest index for which the challenge set
listItem ||| C(zh, y) is not contained in the response set (set h = t
listItem ||| if no such index exists).
listItem ||| 6. Output SB(z, y) concatenated with SSE(zh, y).
listItem ||| Proving that indeed there are subsources on which SSE
listItem ||| will follow a path to a ”good” (for these subsources) node,
listItem ||| is the heart of the analysis. It is especially complex due
listItem ||| to the fact that the recursive call to SSE on subparts of
listItem ||| the current part is used to generate the Challenges for the
listItem ||| Challenge-Response mechanism. Since SSE works only on
listItem ||| a subsources we have to guarantee that restriction to these
listItem ||| does not hamper the behavior of SSE in past and future calls
listItem ||| to it.
listItem ||| Let us turn to the highlights of the analysis, for the proof
listItem ||| of Theorem 2.6. Let k&apos; be the entropy of the source Z at
listItem ||| some place in this recursion. Either one of its blocks Zi has
page ||| 676
bodyText ||| entropy k&apos;/c, in which case it is very condensed, since its
bodyText ||| size is n/t for t ≫ c), or it must be that c of its blocks form
bodyText ||| a c-block source with block entropy k&apos;/t (which is sufficient
bodyText ||| for the extractor B used by SB). In the 2nd case the fact
bodyText ||| that SB(z, y) is part of the output of of our SSE guarantees
bodyText ||| that we are somewhere random. If the 2nd case doesn’t hold,
bodyText ||| let Zi be the leftmost condensed block. We want to ensure
bodyText ||| that (on appropriate subsources) SSE calls itself on that ith
bodyText ||| subpart. To do so, we fix all Zj for j &lt; i to constants zj. We
bodyText ||| are now in the position described in the Challenge-Response
bodyText ||| mechanism section, that (in each of the first i parts) there
bodyText ||| is either no entropy or lots of entropy. We further restrict
bodyText ||| to subsources as explained there which make all first i − 1
bodyText ||| blocks fail the ”entropy test”, and the fact that Zi still has
bodyText ||| lots of entropy after these restrictions (which we need to
bodyText ||| prove) ensures that indeed SSE will be recursively applied
bodyText ||| to it.
bodyText ||| We note that while the procedure SSE can be described re-
bodyText ||| cursively, the formal analysis of fixing subsources is actually
bodyText ||| done globally, to ensure that indeed all entropy requirements
bodyText ||| are met along the various recursive calls.
bodyText ||| Let us remark on the choice of the branching parameter t.
bodyText ||| On the one hand, we’d like to keep it small, as it dominates
bodyText ||| the number of outputs tc of SB, and thus the total number of
bodyText ||| outputs (which is tc logt n). For this purpose, any t = no(1)
bodyText ||| will do. On the other hand, t should be large enough so that
bodyText ||| condensing is faster than losing entropy. Here note that if
bodyText ||| Z is of length n, its child has length n/t, while the entropy
bodyText ||| shrinks only from k&apos; to k&apos;/c. A simple calculation shows that
bodyText ||| if k(lo9t)/lo9c) &gt; n2 then a c block-source must exist along
bodyText ||| such a path before the length shrinks to √k. Note that for
bodyText ||| k = nΩ(1) a (large enough) constant t suffices (resulting in
bodyText ||| only logarithmic number of outputs of SSE). This analysis
bodyText ||| is depicted pictorially in Figure 1.
sectionHeader ||| 5. THE FINAL DISPERSER D
bodyText ||| Following is a rough description of our disperser D proving
bodyText ||| Theorem 2.1. The high level structure of D will resemble the
bodyText ||| structure of SSE - we will recursively split the source X and
bodyText ||| look for entropy in the parts. However now we must output
bodyText ||| a single value (rather than a set) which can take both values
bodyText ||| 0 and 1. This was problematic in SSE, even knowing where
bodyText ||| the ”good” part (containing a c-block-source) was! How can
bodyText ||| we do so now?
bodyText ||| We now have at our disposal a much more powerful tool
bodyText ||| for generating challenges (and thus detecting entropy), namely
bodyText ||| the subsource somewhere disperser SSE. Note that in con-
bodyText ||| structing SSE we only had essentially the somewhere c-block-
bodyText ||| source extractor SB to (recursively) generate the challenges,
bodyText ||| but it depended on a structural property of the block it was
bodyText ||| applied on. Now SSE does not assume any structure on its
bodyText ||| input sources except sufficient entropy 5.
bodyText ||| Let us now give a high level description of the disperser
bodyText ||| D. It too will be a recursive procedure. If when processing
bodyText ||| some part Z of X it ”realizes” that a subpart Zi of Z has
bodyText ||| entropy, but not all the entropy of Z (namely Zi, Z is a
bodyText ||| 2-block-source) then we will halt and produce the output
bodyText ||| of D. Intuitively, thinking about the Challenge-Response
bodyText ||| mechanism described above, the analysis implies that we
footnote ||| 5There is a catch – it only works on subsources of them!
footnote ||| This will cause us a lot of head ache; we will elaborate on it
footnote ||| later.
footnote ||| can either pass or fail Zi (on appropriate subsources). But
footnote ||| this means that the outcome of this ”entropy test” is a 1-bit
footnote ||| disperser!
footnote ||| To capitalize on this idea, we want to use SSE to identify
footnote ||| such a block-source in the recursion tree. As before, we scan
footnote ||| the blocks from left to right, and want to distinguish three
footnote ||| possibilities.
footnote ||| low Zi has low entropy. In this case we proceed to i + 1.
footnote ||| medium Zi has ”medium” entropy (Zi, Z is a block-source).
footnote ||| In which case we halt and produce an output (zero or
footnote ||| one).
footnote ||| high Zi has essentially all entropy of Z. In this case we
footnote ||| recurse on the condensed block Zi.
footnote ||| As before, we use the Challenge-Response mechanism (with
footnote ||| a twist). We will compute challenges C(Zi, Y) and responses
footnote ||| R(Z, Y), all strings of length m. The responses are computed
footnote ||| exactly as before, using the somewhere extractor pSE. The
footnote ||| Challenges are computed using our subsource somewhere
footnote ||| extractor SSE.
footnote ||| We really have 4 possibilities to distinguish, since when we
footnote ||| halt we also need to decide which output bit we give. We will
footnote ||| do so by deriving three tests from the above challenges and
footnote ||| responses: (CH, RH), (CM, RM), (CL, RL) for high, medium
footnote ||| and low respectively, as follows. Let m ≥ mH &gt;&gt; mM &gt;&gt;
footnote ||| mL be appropriate integers: then in each of the tests above
footnote ||| we restrict ourselves to prefixes of all strings of the appro-
footnote ||| priate lengths only. So every string in CM will be a prefix
footnote ||| of length mM of some string in CH. Similarly, every string
footnote ||| in RL is the length mL prefix of some string in RH. Now
footnote ||| it is immediately clear that if CM is contained in RM, then
footnote ||| CL is contained in RL. Thus these tests are monotone, if
footnote ||| our sample fails the high test, it will definitely fail all tests.
construct ||| Algorithm: D(z, y)
bodyText ||| Let pSE(., .) be the somewhere extractor with a polyno-
bodyText ||| mial number of outputs of Proposition 2.3.
bodyText ||| Let SSE(.,.) be the subsource somewhere extractor of The-
bodyText ||| orem 2.6.
bodyText ||| Global Parameters: t, the branching factor of the tree. k
bodyText ||| the original entropy of the sources.
bodyText ||| Local Parameters for recursive level: mL ≪ mM ≪ mH.
bodyText ||| Output will be an element of {0, 1}.
listItem ||| 1. If z is shorter than √k, return 0.
listItem ||| 2. Partition z into t equal parts z = z1, z2, ... , zt.
listItem ||| 3. Compute three response sets RL, RM, RH using pSE(z, y).
listItem ||| Rj will be the prefixes of length mj of the strings in
listItem ||| pSE(z, y).
listItem ||| 4. For each i ∈ [t], compute three challenge sets CiL, CiM, CiH
listItem ||| using SSE(zi, y). Cij will be the prefixes of length mj
listItem ||| of the strings in SSE(zi, y).
listItem ||| 5. Let h be the smallest index for which the challenge set
listItem ||| CL is not contained in the response set RL, if there is
listItem ||| no such index, output 0 and halt.
listItem ||| 6. If ChH is contained in RH and ChH is contained in RM,
listItem ||| output 0 and halt. If ChH is contained in RH but ChH
listItem ||| is not contained in RM, output 1 and halt.
page ||| 677
figure ||| t blocks
figure ||| X
figure ||| low
figure ||| fail
figure ||| fail
figure ||| fail
figure ||| X_3
figure ||| (X_3)_4
figure ||| low
figure ||| low
figure ||| fail
figure ||| fail
figure ||| fail
figure ||| fail
figure ||| fail
figure ||| fail
figure ||| low
figure ||| low
figure ||| pass
figure ||| pass
figure ||| pass
figure ||| high
figure ||| low
figure ||| low
figure ||| t blocks
figure ||| low
figure ||| high
figure ||| t blocks
figure ||| med
figure ||| n bits total
figure ||| n/t bits total
figure ||| n/t^2 bits total
figure ||| fail
figure ||| fail
figure ||| fail
figure ||| fail
figure ||| fail
figure ||| fail
figure ||| pass
figure ||| pass
figure ||| fail
figure ||| pass
figure ||| fail
figure ||| fail
figure ||| Output 0	Output 1
figureCaption ||| Figure 2: Analysis of the disperser.
listItem ||| 7. Output D(zh, y),
bodyText ||| First note the obvious monotonicity of the tests. If Zi fails
bodyText ||| one of the tests it will certainly fail for shorter strings. Thus
bodyText ||| there are only four outcomes to the three tests, written in the
bodyText ||| order (low, medium, high): (pass, pass, pass), (pass, pass, fail),
bodyText ||| (pass, fail, fail) and (fail, fail, fail). Conceptually, the algo-
bodyText ||| rithm is making the following decisions using the four tests:
listItem ||| 1. (fail, fail, fail): Assume Zi has low entropy and proceed
listItem ||| to block i + 1.
listItem ||| 2. (pass, fail, fail): Assume Zi is medium, halt and output
listItem ||| 0.
listItem ||| 3. (pass, pass, fail): Assume Zi is medium, halt and out-
listItem ||| put 1.
listItem ||| 4. (pass, pass, pass): Assume Zi is high and recurse on Zi.
bodyText ||| The analysis of this idea (depicted in Figure 2).turns out
bodyText ||| to be more complex than it seems. There are two reasons for
bodyText ||| that. Now we briefly explain them and the way to overcome
bodyText ||| them in the construction and analysis.
bodyText ||| The first reason is the fact mentioned above, that SSE
bodyText ||| which generates the challenges, works only on a subsources
bodyText ||| of the original sources. Restricting to these subsources at
bodyText ||| some level of the recursion (as required by the analysis of of
bodyText ||| the test) causes entropy loss which affects both definitions
bodyText ||| (such as these entropy thresholds for decisions) and correct-
bodyText ||| ness of SSE in higher levels of recursion. Controlling this en-
bodyText ||| tropy loss is achieved by calling SSE recursively with smaller
bodyText ||| and smaller entropy requirements, which in turn limits the
bodyText ||| entropy which will be lost by these restrictions. In order not
bodyText ||| to lose all the entropy for this reason alone, we must work
bodyText ||| with special parameters of SSE, essentially requiring that at
bodyText ||| termination it has almost all the entropy it started with.
bodyText ||| The second reason is the analysis of the test when we are
bodyText ||| in a medium block. In contrast with the above situation, we
bodyText ||| cannot consider the value of Zi fixed when we need it to fail
bodyText ||| on the Medium and Low tests. We need to show that for
bodyText ||| these two tests (given a pass for High), they come up both
bodyText ||| (pass, fail) and (fail, fail) each with positive probability.
bodyText ||| Since the length of Medium challenges and responses is
bodyText ||| mM, the probability of failure is at least exp(−Q(mM)) (this
bodyText ||| follows relatively easily from the fact that the responses are
bodyText ||| somewhere random). If the Medium test fails so does the
bodyText ||| Low test, and thus (fail, fail) has a positive probability and
bodyText ||| our disperser D outputs 0 with positive probability.
bodyText ||| To bound (pass, fail) we first observe (with a similar
bodyText ||| reasoning) that the low test fails with probability at least
bodyText ||| exp(−Q(mL)). But we want the medium test to pass at the
bodyText ||| same time. This probability is at least the probability that
bodyText ||| low fails minus the probability that medium fails. We already
bodyText ||| have a bound on the latter: it is at most poly(n)exp(−ℓmM).
bodyText ||| Here comes our control of the different length into play - we
bodyText ||| can make the mL sufficiently smaller than mM to yield this
bodyText ||| difference positive. We conclude that our disperser D out-
bodyText ||| puts 1 with positive probability as well.
bodyText ||| Finally, we need to take care of termination: we have to
bodyText ||| ensure that the recurrence always arrives at a medium sub-
bodyText ||| part, but it is easy to chose entropy thresholds for low, medium
bodyText ||| and high to ensure that this happens.
page ||| 678
sectionHeader ||| 6. RESILIENCY AND DEFICIENCY
bodyText ||| In this section we will breifly discuss an issue which arises
bodyText ||| in our construction that we glossed over in the previous sec-
bodyText ||| tions. Recall our definition of subsources:
construct ||| DEfInItIOn 6.1 (SUBSOURCES). Given random variables
construct ||| Z and Zˆ on {0,1}n we say that Zˆ is a deficiency d subsource
construct ||| of Z and write Zˆ ⊆ Z if there exists a set A ⊆ {0,1}n such
construct ||| that (Z|A) = Zˆ and Pr[Z ∈ A] ≥ 2—d.
bodyText ||| Recall that we were able to guarantee that our algorithms
bodyText ||| made the right decisions only on subsources of the original
bodyText ||| source. For example, in the construction of our final dis-
bodyText ||| perser, to ensure that our algorithms correctly identify the
bodyText ||| right high block to recurse on, we were only able to guar-
bodyText ||| antee that there are subsources of the original sources in
bodyText ||| which our algorithm makes the correct decision with high
bodyText ||| probability. Then, later in the analysis we had to further
bodyText ||| restrict the source to even smaller subsources. This leads to
bodyText ||| complications, since the original event of picking the correct
bodyText ||| high block, which occurred with high probability, may be-
bodyText ||| come an event which does not occur with high probability
bodyText ||| in the current subsource. To handle these kinds of issues,
bodyText ||| we will need to be very careful in measuring how small our
bodyText ||| subsources are.
bodyText ||| In the formal analysis we introduce the concept of re-
bodyText ||| siliency to deal with this. To give an idea of how this works,
bodyText ||| here is the actual definition of somewhere subsource extrac-
bodyText ||| tor that we use in the formal analysis.
construct ||| DEfInItIOn 6.2 (SUBSOURCE SOmEWhERE ExtRaCtOR).
bodyText ||| A function SSE : {0, 1}n × {0, 1}n → ({0, 1}m)ℓ is a sub-
bodyText ||| source somewhere extractor with nrows output rows, entropy
bodyText ||| threshold k, deficiency def, resiliency res and error ǫ if for
bodyText ||| every (n, k)-sources X, Y there exist a deficiency def sub-
bodyText ||| source Xgood of X and a deficiency def subsource Ygood of
bodyText ||| Y such that for every deficiency res subsource X&apos; of Xgood
bodyText ||| and deficiency res subsource Y&apos; of Ygood, the random vari-
bodyText ||| able SSE(X&apos;,Y&apos;) is ǫ-close to a ℓ × m somewhere random
bodyText ||| distribution.
bodyText ||| It turns out that our subsource somewhere extractor does
bodyText ||| satisfy this stronger definition. The advantage of this defi-
bodyText ||| nition is that it says that once we restrict our attention to
bodyText ||| the good subsources Xgood, Ygood, we have the freedom to fur-
bodyText ||| ther restrict these subsources to smaller subsources, as long
bodyText ||| as our final subsources do not lose more entropy than the
bodyText ||| resiliency permits.
bodyText ||| This issue of managing the resiliency for the various ob-
bodyText ||| jects that we construct is one of the major technical chal-
bodyText ||| lenges that we had to overcome in our construction.
sectionHeader ||| 7. OPEN PROBLEMS
bodyText ||| Better Independent Source Extractors A bottleneck to
bodyText ||| improving our disperser is the block versus general
bodyText ||| source extractor of Theorem 2.7. A good next step
bodyText ||| would be to try to build an extractor for one block
bodyText ||| source (with only a constant number of blocks) and
bodyText ||| one other independent source which works for polylog-
bodyText ||| arithmic entropy, or even an extractor for a constant
bodyText ||| number of sources that works for sub-polynomial en-
bodyText ||| tropy.
bodyText ||| Simple Dispersers While our disperser is polynomial time
bodyText ||| computable, it is not as explicit as one might have
bodyText ||| hoped. For instance the Ramsey Graph construction
bodyText ||| of Frankl-Wilson is extremely simple: For a prime p,
bodyText ||| let the vertices of the graph be all subsets of [p3] of
bodyText ||| size p2 − 1. Two vertices S, T are adjacent if and only
bodyText ||| if |S ∩ T | ≡ −1 mod p. It would be nice to find a good
bodyText ||| disperser that beats the Frankl-Wilson construction,
bodyText ||| yet is comparable in simplicity.
sectionHeader ||| 8. REFERENCES
reference ||| [1] N. Alon. The shannon capacity of a union.
reference ||| Combinatorica, 18, 1998.
reference ||| [2] B. Barak. A simple explicit construction of an
reference ||| n˜o(logn )-ramsey graph. Technical report, Arxiv, 2006.
reference ||| http://arxiv.org/abs/math.CO/0601651.
reference ||| [3] B. Barak, R. Impagliazzo, and A. Wigderson.
reference ||| Extracting randomness using few independent sources.
reference ||| In Proceedings of the 45th Annual IEEE Symposium
reference ||| on Foundations of Computer Science, pages 384–393,
reference ||| 2004.
reference ||| [4] B. Barak, G. Kindler, R. Shaltiel, B. Sudakov, and
reference ||| A. Wigderson. Simulating independence: New
reference ||| constructions of condensers, Ramsey graphs,
reference ||| dispersers, and extractors. In Proceedings of the 37th
reference ||| Annual ACM Symposium on Theory of Computing,
reference ||| pages 1–10, 2005.
reference ||| [5] J. Bourgain. More on the sum-product phenomenon in
reference ||| prime fields and its applications. International Journal
reference ||| of Number Theory, 1:1–32, 2005.
reference ||| [6] J. Bourgain, N. Katz, and T. Tao. A sum-product
reference ||| estimate in finite fields, and applications. Geometric
reference ||| and Functional Analysis, 14:27–57, 2004.
reference ||| [7] M. Capalbo, O. Reingold, S. Vadhan, and
reference ||| A. Wigderson. Randomness conductors and
reference ||| constant-degree lossless expanders. In Proceedings of
reference ||| the 34th Annual ACM Symposium on Theory of
reference ||| Computing, pages 659–668, 2002.
reference ||| [8] B. Chor and O. Goldreich. Unbiased bits from sources
reference ||| of weak randomness and probabilistic communication
reference ||| complexity. SIAM Journal on Computing,
reference ||| 17(2):230–261, 1988.
reference ||| [9] P. Frankl and R. M. Wilson. Intersection theorems
reference ||| with geometric consequences. Combinatorica,
reference ||| 1(4):357–368, 1981.
reference ||| [10] P. Gopalan. Constructing ramsey graphs from boolean
reference ||| function representations. In Proceedings of the 21th
reference ||| Annual IEEE Conference on Computational
reference ||| Complexity, 2006.
reference ||| [11] V. Grolmusz. Low rank co-diagonal matrices and
reference ||| ramsey graphs. Electr. J. Comb, 7, 2000.
reference ||| [12] V. Guruswami. Better extractors for better codes?
reference ||| Electronic Colloquium on Computational Complexity
reference ||| (ECCC), (080), 2003.
reference ||| [13] C. J. Lu, O. Reingold, S. Vadhan, and A. Wigderson.
reference ||| Extractors: Optimal up to constant factors. In
reference ||| Proceedings of the 35th Annual ACM Symposium on
reference ||| Theory of Computing, pages 602–611, 2003.
reference ||| [14] P. Miltersen, N. Nisan, S. Safra, and A. Wigderson.
reference ||| On data structures and asymmetric communication
reference ||| complexity. Journal of Computer and System
reference ||| Sciences, 57:37–49, 1 1998.
page ||| 679
reference ||| [15] N. Nisan and D. Zuckerman. More deterministic
reference ||| simulation in logspace. In Proceedings of the 25th
reference ||| Annual ACM Symposium on Theory of Computing,
reference ||| pages 235–244, 1993.
reference ||| [16] P. Pudlak and V. Rodl. Pseudorandom sets and
reference ||| explicit constructions of ramsey graphs. Submitted for
reference ||| publication, 2004.
reference ||| [17] A. Rao. Extractors for a constant number of
reference ||| polynomially small min-entropy independent sources.
reference ||| In Proceedings of the 38th Annual ACM Symposium
reference ||| on Theory of Computing, 2006.
reference ||| [18] R. Raz. Extractors with weak random seeds. In
reference ||| Proceedings of the 37th Annual ACM Symposium on
reference ||| Theory of Computing, pages 11–20, 2005.
reference ||| [19] O. Reingold, R. Shaltiel, and A. Wigderson.
reference ||| Extracting randomness via repeated condensing. In
reference ||| Proceedings of the 41st Annual IEEE Symposium on
reference ||| Foundations of Computer Science, pages 22–31, 2000.
reference ||| [20] M. Santha and U. V. Vazirani. Generating
reference ||| quasi-random sequences from semi-random sources.
reference ||| Journal of Computer and System Sciences, 33:75–87,
reference ||| 1986.
reference ||| [21] R. Shaltiel. Recent developments in explicit
reference ||| constructions of extractors. Bulletin of the European
reference ||| Association for Theoretical Computer Science,
reference ||| 77:67–95, 2002.
reference ||| [22] A. Ta-Shma and D. Zuckerman. Extractor codes.
reference ||| IEEE Transactions on Information Theory, 50, 2004.
reference ||| [23] U. Vazirani. Towards a strong communication
reference ||| complexity theory or generating quasi-random
reference ||| sequences from two communicating slightly-random
reference ||| sources (extended abstract). In Proceedings of the 17th
reference ||| Annual ACM Symposium on Theory of Computing,
reference ||| pages 366–378, 1985.
reference ||| [24] A. Wigderson and D. Zuckerman. Expanders that
reference ||| beat the eigenvalue bound: Explicit construction and
reference ||| applications. Combinatorica, 19(1):125–138, 1999.
page ||| 680
