title ||| Automated Rich Presentation of a Semantic Topic
bodyText ||| where Di(n) is the difference function in the ith sub-band, Ai(n) is
bodyText ||| the amplitude envelope of the ith sub-band, and C(n) is the Canny
bodyText ||| operator with a Gaussian kernel,
equation ||| C(n) = i e .2/2σ2 n∈
equation ||| σ 2 c c
bodyText ||| where Lc is the length of the Canny operator and a is used to
bodyText ||| control the operator’s shape, which are set as 12 and 4 in our
bodyText ||| implementation, respectively.
bodyText ||| Finally, the sum of the difference curves of these six sub-bands is
bodyText ||| used to extract onset sequence. Each peak is considered as an
bodyText ||| onset, and the peak value is considered as the onset strength.
bodyText ||| Based on the obtained onsets, an incidental music is further
bodyText ||| segmented into music sub-clips, where a strong onset is taken as
bodyText ||| the boundary of a music sub-clip. These music sub-clips are then
bodyText ||| used as the basic timeline for the synchronization in the next step.
bodyText ||| Thus, to satisfy the requirement that the event slide transitions of
bodyText ||| the storyboard should occur at the music beats, we just need to
bodyText ||| align the event slide boundaries and music sub-clip boundaries.
bodyText ||| To give a more pleasant perception, the music sub-clip should not
bodyText ||| be too short or too long, also it had better not always keep the
bodyText ||| same length. In our implementation, the length of music sub-clips
bodyText ||| is randomly selected in a range of [tmin, tmax] seconds. Thus, the
bodyText ||| music sub-clips can be extracted in the following way: given the
bodyText ||| previous boundary, the next boundary is selected as the strongest
bodyText ||| onset in the window which is [tmin, tmax] seconds away from the
bodyText ||| previous boundary. In the proposed system, users can manually
bodyText ||| specify the range of the length of the music sub-clip. The default
bodyText ||| range in the system is set as [12, 18] seconds, in order to let users
bodyText ||| have enough time to read all the information on each event slide.
subsubsectionHeader ||| 4.2.2 Alignment Scheme
bodyText ||| To synchronize the transitions between different event slides and
bodyText ||| the beats of the incidental music, as mentioned above, we actually
bodyText ||| need to align the slide boundaries and music sub-clip boundaries.
bodyText ||| To satisfy this requirement, a straightforward way is to set the
bodyText ||| length of each event slide be equal to the corresponding length of
bodyText ||| the sub-music clip.
bodyText ||| However, as Fig. 5 illustrates, the number of event slides is
bodyText ||| usually not equal to the number of music sub-clip. In this case, in
bodyText ||| our proposed system, we provide two schemes to solve this
bodyText ||| problem.
listItem ||| 1) Music Sub-clip Based. In this scheme, only the top N important
listItem ||| events of the target topic are adaptively chosen and used in the
listItem ||| rich presentation, where N is supposed as the number of music
listItem ||| sub-clip in the corresponding incidental music, as the Fig.5 shows.
listItem ||| Although a formal definition of event importance is usually hard
listItem ||| and subjective, in our approach, the importance score of an event
listItem ||| is simply measured by the number of documents reporting it,
listItem ||| assuming that the more important the event, the more the
listItem ||| corresponding documents. The assumption is quite similar as that
listItem ||| in the definition of (10).
figure ||| Acoustic Music Data
figure ||| FFT
figure ||| Difference curve
figure ||| Sub-Band 1
figure ||| Envelope
figure ||| Extractor
figure ||| ...	...	...
figure ||| .
figure ||| .
figure ||| .
figure ||| .
figure ||| .
figure ||| .
figure ||| Difference curve
figure ||| Sub-Band N
figure ||| Envelope
figure ||| Extractor
figure ||| ]
figure ||| (13)
page ||| 750
listItem ||| 2) Specified Event Number Based. In this scheme, users can
listItem ||| specify the number of the event he wants to learn. For example, a
listItem ||| user could choose to show the top 30 important events or all the
listItem ||| events. Thus, to accommodate all the events in the music duration,
listItem ||| we will repeat the incidental music if it is needed and then fade out
listItem ||| the music at the end.
bodyText ||| Fig. 5 Music and storyboard synchronization: a music sub-slip
bodyText ||| based scheme, that is, only the top important events are presented
bodyText ||| to match the number of music sub-clips.
subsubsectionHeader ||| 4.2.3 Rendering
bodyText ||| After the alignment between storyboard and incidental music, in
bodyText ||| our system, fifteen common transition effects, such as cross-fade,
bodyText ||| wipe and dissolve, are also randomly selected to connect the event
bodyText ||| slides, producing a better rich presentation in final rendering.
sectionHeader ||| 5. EVALUATIONS
bodyText ||| In this section, we evaluate the performance of the proposed
bodyText ||| approach to rich presentation and its key component, event
bodyText ||| clustering. In the experiments, we randomly select 8 topics of
bodyText ||| different types, including Earthquake, Halloween, Air Disaster,
bodyText ||| US Election, Nobel Prize, Britney Spears, David Beckham, and
bodyText ||| Harry Potter, from some hot news topics in the end of 2004 and
bodyText ||| beginning of 2005. Once the topic is selected, the topic name is
bodyText ||| used as a query and the relevant documents are collected from
bodyText ||| CNN, MSNBC and BBC. More details about the selected topics
bodyText ||| and the corresponding documents are shown in the Table 1, which
bodyText ||| lists the topic name, the time range of the collected documents,
bodyText ||| and the number of documents and its corresponding events.
tableCaption ||| Table 1. A list of testing topics in the rich presentation evaluations
table ||| No.	Topic	Time	#doc	#event
table ||| 1	Earthquake	1995-2004	976	17
table ||| 2	Halloween	1995-2004	762	9
table ||| 3	Air Disaster	1995-2004	210	13
table ||| 4	US Election	1995-2004	2486	—
table ||| 5	Britney Spears	2000-2004	1311	—
table ||| 6	Nobel Prize	1995-2004	186	—
table ||| 7	David Beckham	1995-2004	877	—
table ||| 8	Harry Potter	2000-2004	841	—
table ||| Total	——	——	7649	—
bodyText ||| It is noted that, in the table, only 3 topics have labeled events,
bodyText ||| while another 5 topics have not. This is because that, the labeling
bodyText ||| work of a topic is very subjective and usually hard for individuals
bodyText ||| to manually decide the event number of a given topic. Therefore,
bodyText ||| we only label the topics which are easily to be annotated based on
bodyText ||| the criterion in Topic Detection and Tracking (TDT) project [21].
bodyText ||| For example, Halloween is a topic which is reported once a year,
bodyText ||| thus, each year&apos;s documents can be regarded as an event; as for
bodyText ||| Earthquake and Air Disaster, their events lists could be found
bodyText ||| from corresponding official websites. In the annotation, we
bodyText ||| remove the events which do not have or have few (less than 4)
bodyText ||| relevant documents, and also remove the documents not belonging
bodyText ||| to any events.
bodyText ||| After parsing the obtained documents, for each topic, we usually
bodyText ||| can obtain 3.8 images per document in average. With further
bodyText ||| duplicate detection, only 1.6 images per document are remained.
bodyText ||| Moreover, from each document, we could also obtain about 3.0
bodyText ||| unique location entities and 2.8 unique name entities. Other words
bodyText ||| except of these entities are taken as keywords. Fig.6 shows a real
bodyText ||| representation of an example document with extracted entities in
bodyText ||| the XML format, from which the event clustering is performed.
figure ||| &lt;URL&gt;http://news.bbc.co.uk/1/hi/world/americas/4071845.stm &lt;/URL&gt;
figure ||| &lt;Abstract&gt;The US battleground state of Ohio has certified the victory
figure ||| of President George W Bush&apos;s in last month&apos;s poll. &lt;/Abstract&gt;
figure ||| &lt;Date&gt; 2004/12/6 &lt;/Date&gt;
figure ||| &lt;NLPRESULT&gt;
figure ||| &lt;LOCATION&gt;
figure ||| &lt;entity&gt; Ohio &lt;/entity&gt; &lt;freq&gt;4&lt;/freq&gt;
figure ||| &lt;entity&gt; US &lt;/entity&gt; &lt;freq&gt; 2 &lt;/freq&gt;
figure ||| &lt;/LOCATION&gt;
figure ||| &lt;PERSON&gt;
figure ||| &lt;entity&gt; Bush &lt;/entity&gt; &lt;freq&gt; 3 &lt;/freq&gt;
figure ||| &lt;entity&gt;David Cobb&lt;/entity&gt; &lt;freq&gt;1&lt;/freq&gt;
figure ||| ...
figure ||| &lt;/PERSON&gt;
figure ||| ...
figure ||| &lt;DATE&gt;
figure ||| &lt;entity&gt; 6 December, 200&lt;/entity&gt; &lt;freq&gt; 1 &lt;/freq&gt;
figure ||| &lt;entity&gt; Friday &lt;/entity&gt; &lt;freq&gt; 2 &lt;/freq&gt;
figure ||| ...
figure ||| &lt;/DATE&gt;
figure ||| &lt;KEYWORDS&gt;
figure ||| ...
figure ||| &lt;entity&gt; recount &lt;/entity&gt; &lt;freq&gt;7&lt;/freq&gt;
figure ||| &lt;entity&gt; elect &lt;/entity&gt; &lt;freq&gt;3&lt;/freq&gt;
figure ||| &lt;entity&gt; America &lt;/entity&gt; &lt;freq&gt;3&lt;/freq&gt;
figure ||| &lt;entity&gt; poll &lt;/entity&gt; &lt;freq&gt;3&lt;/freq&gt;
figure ||| ...
figure ||| &lt;/KEYWORDS&gt;
figure ||| &lt;/NLPRESULT&gt;
figureCaption ||| Fig. 6. XML representation of a document on “US Election” with
figureCaption ||| extracted entities
subsectionHeader ||| 5.1 Event Clustering
bodyText ||| As mentioned above, the evaluation of the approach to event
bodyText ||| clustering is evaluated on three topics, including Earthquake, Hal-
bodyText ||| loween, and Air Disaster, for which the corresponding event num-
bodyText ||| bers are determined and the documents are labeled using a similar
bodyText ||| method in the TDT project. However, in the proposed appraoch,
bodyText ||| we actually do not estimate the optimal event number, but use a
bodyText ||| much larger one. Therefore, in order to better evaluate the
bodyText ||| performance of the event clustering algorithm and compare with
bodyText ||| its counterpart, we use the event number in the ground truth to
bodyText ||| initialize the cluster number in the proposed clustering algorithm.
figure ||| Event
figure ||| Slide List
figure ||| Music
figure ||| Sub-Clip
figure ||| E1
figure ||| S1
figure ||| E2
figure ||| S2
figure ||| E3
figure ||| S3
figure ||| E4
figure ||| S4
figure ||| E5
figure ||| S5
figure ||| E6
figure ||| E7
figure ||| E8
page ||| 751
bodyText ||| In the experiments, K-means, which is another frequently used
bodyText ||| clustering algorithm (as well in TDT [22]), is adopted to compare
bodyText ||| with the proposed approach. The comparison results of two
bodyText ||| clustering approaches are illustrated in Table 2, with precision and
bodyText ||| recall for each topic.
tableCaption ||| Table 2. The performance comparison between our approach and
tableCaption ||| K-means on the event clustering
table ||| 	Precision		Recall	
table ||| 	K-means	Ours	K-means	Ours
table ||| Earthquake	0.74	0.87	0.63	0.74
table ||| Halloween	0.88	0.93	0.72	0.81
table ||| Air Disaster	0.57	0.68	0.55	0.61
table ||| Average	0.73	0.83	0.63	0.72
bodyText ||| From Table 2, it can be seen that the results of our approach are
bodyText ||| significantly better than those of K-means, both on precision and
bodyText ||| recall. On the three testing topics, the average precision of our
bodyText ||| approach is up to 0.83 and the average recall achieves 0.72, which
bodyText ||| is 10% and 9% higher than those of K-means, respectively. By
bodyText ||| tracing the process of K-means, we find that K-means usually
bodyText ||| assigns documents far away from each other on the timeline into
bodyText ||| the same cluster, since the time information affects little in K-
bodyText ||| means. It also indicates the advantages of our approach with time
bodyText ||| modeling.
bodyText ||| The algorithms also show different performance on different kind
bodyText ||| topics. As for the “Air disaster”, its performance is not as good as
bodyText ||| that of the other two, since the features (words and time) of its
bodyText ||| events are more complicated and intertwined in the feature space.
bodyText ||| As for the topics (4-8 in Table I) which could not have an
bodyText ||| objective evaluation, the clustering performance on these topics
bodyText ||| could be indirectly reflected by the subjective evaluation of the
bodyText ||| rich presentation presented in section 5.2. This is because users
bodyText ||| will be more satisfied when the grouped documents shown in each
bodyText ||| event slide really belong to the same event; while users are not
bodyText ||| satisfied if the documents from different events are mixed in one
bodyText ||| event slide.
subsectionHeader ||| 5.2 Rich Presentation
bodyText ||| It is usually difficult to find a quantitative measure for rich
bodyText ||| presentation, since the assessment of the goodness of rich presen-
bodyText ||| tation is a strong subjective task. In this paper, we carry out a pre-
bodyText ||| liminary user study to evaluate the performance of the proposed
bodyText ||| rich presentation schemes.
bodyText ||| To indicate the performance of rich presentation, we design two
bodyText ||| measures in the experiments, including ‘informativeness’ and
bodyText ||| ‘enjoyablity’, following the criteria used in the work [7]. Here, the
bodyText ||| informativeness measures whether the subjects satisfy with the
bodyText ||| information obtained from the rich presentation; while enjoyablity
bodyText ||| indicates if users feel comfortable and enjoyable when they are
bodyText ||| reading the rich presentation. In evaluating the informativeness,
bodyText ||| we also provide the documents from which the rich presentation is
bodyText ||| generated. They are used as baseline, based on which the subjects
bodyText ||| can more easily evaluate if the important overview information
bodyText ||| contained in the documents is conveyed by the rich presentation.
bodyText ||| Moreover, in order to reveal the subjects’ opinion on the design of
bodyText ||| the storyboard template, like the one shown in Fig 3, we also ask
bodyText ||| the subjects to evaluate the ‘interface design’.
bodyText ||| In the user study, 10 volunteered subjects including 8 males and 2
bodyText ||| females are invited. The subjects are around 20-35 years old, have
bodyText ||| much experience on computer manipulation, and usually read
bodyText ||| news on web in their leisure time. We ask them to give a
bodyText ||| subjective score between 1 and 5 for each measure of the rich
bodyText ||| presentation of each testing topic (an exception is ‘interface
bodyText ||| design’, which is the same for each rich presentation). Here, the
bodyText ||| score ‘1’ to ‘5’ stands for unsatisfied (1), somewhat unsatisfied (2),
bodyText ||| acceptable (3), satisfied (4) and very satisfied (5), respectively.
bodyText ||| In experiments, we first check with the ‘interface design’ measure.
bodyText ||| We find 7 out of 10 subjects satisfy with the event template design
bodyText ||| and the left three also think it is acceptable. The average score is
bodyText ||| up to 3.9. An interesting observation is that, some subjects like
bodyText ||| the template design very much at the first glance, but they feel a
bodyText ||| little boring after they finish all the user study since every slide in
bodyText ||| the rich presentation of each topic has the same appearance. It
bodyText ||| hints us that we had better design different templates for different
bodyText ||| topics to make the rich presentation more attractive.
bodyText ||| As for the other two measures, we average the score across all the
bodyText ||| subjects to represent the performance for each topic, and list the
bodyText ||| detailed results in Table 3. It can be seen that the average score of
bodyText ||| both enjoyablity and informativeness achieves 3.7, which indicates
bodyText ||| that most subjects satisfy the provided overview information of the
bodyText ||| target topic, and they enjoy themselves when reading these rich
bodyText ||| presentations.
tableCaption ||| Table 3. The evaluation results of rich presentation on each topic
table ||| No.	Topic	Informative	Enjoyable
table ||| 1	Earthquake	4.3	3.2
table ||| 2	Halloween	3.6	4.0
table ||| 3	Air Disaster	4.0	3.4
table ||| 4	US Election	4.1	4.0
table ||| 5	Britney Spears	3.6	4.1
table ||| 6	Nobel Prize	3.3	3.4
table ||| 7	David Beckham	3.4	4.0
table ||| 8	Harry Potter	3.3	3.4
table ||| Average		3.7	3.7
bodyText ||| In the experiments, we find informativeness is highly depended on
bodyText ||| the correlation between the presented documents and the target
bodyText ||| topic. If the presented information is consistent with the topic,
bodyText ||| subjects usually give a high score for informativeness, such as
bodyText ||| those on Earthquake and US Election; otherwise, they will give a
bodyText ||| low score, like those on David Beckham and Nobel Prize. It
bodyText ||| indicates that it is quite important to provide users clean
bodyText ||| information of the target topic with less noise. However, in
bodyText ||| current system, the documents are crawled from web and
bodyText ||| inevitably contain many noises. It affects much on the perform-
bodyText ||| ance of informativeness in the current system. We need to consider
bodyText ||| how to prone the information of the target topic in the future
bodyText ||| works.
bodyText ||| We also find that the enjoyablity score is usually related with
bodyText ||| informativeness. If the subjects do not get enough information
bodyText ||| from the rich presentation, they will be not enjoyable as well, such
bodyText ||| as the topics of Nobel Prize and Harry Potter. Enjoyablity is also
bodyText ||| topic-related, the subjects usually feel unconformable when they
bodyText ||| are facing with miserable topics, such as Earthquake and Air
bodyText ||| Disaster, although their informativeness is quite high. On the
page ||| 752
bodyText ||| contrary, users give a high score for enjoyablity on the interesting
bodyText ||| topics, such as Britney Spears and David Beckham, although their
bodyText ||| informative score is not high. This is because that there are
bodyText ||| usually many funny and interesting pictures in the presentation of
bodyText ||| these topics. Another finding is that users usually fell unenjoyable
bodyText ||| if the images and summaries in one event slide are not consistent
bodyText ||| with each other. From this view, the high enjoyablity score in our
bodyText ||| experiments also indicates that our event clustering algorithm
bodyText ||| works promisingly
sectionHeader ||| 6. CONCLUSIONS
bodyText ||| To facilitate users to quickly grasp and go through the content of a
bodyText ||| semantic topic, in this paper, we have proposed a novel approach
bodyText ||| to rich presentation to generate a concise and informative
bodyText ||| storyboard for the target topic, with many relevant multimodal
bodyText ||| information including image, text, audio and video. In this
bodyText ||| approach, the related multimodal information of a given topic is
bodyText ||| first extracted from news databases. Then, the events are clustered,
bodyText ||| and the corresponding information, such as representative images,
bodyText ||| geographic information, and event summary, is obtained. The
bodyText ||| information is composed into an attractive storyboard which is
bodyText ||| finally synchronized with incidental music. A user study indicates
bodyText ||| that the presented system works well on our testing examples.
bodyText ||| There is still some room for improving the proposed approach.
bodyText ||| First, the proposed approach could be extended to other
bodyText ||| multimedia databases or more general websites. For example,
bodyText ||| some standard multimedia database like NIST TRECVID could
bodyText ||| provide a nice platform for the implementation and evaluation of
bodyText ||| event detection and rich presentation. Second, to integrate more
bodyText ||| relevant multimedia information (such as video clips and flashes)
bodyText ||| and more accurate information regarding the target topic is highly
bodyText ||| expected by users. Thus, more advanced information retrieval/
bodyText ||| extraction techniques and other multimedia analysis techniques are
bodyText ||| needed to be exploited and integrated, such as relevance ranking,
bodyText ||| mapping schemes, important or representative video clips
bodyText ||| detection and video clip summarization. We also need to design a
bodyText ||| much natural way to incorporate video clips in the event template.
bodyText ||| Third, we also consider designing various storyboard templates for
bodyText ||| different kind of topics. For example, each topic may be belonging
bodyText ||| to different clusters such as politics, sports and entertainments,
bodyText ||| each of which can have a representative template. Forth,
bodyText ||| appropriate user interaction will be added to further make the
bodyText ||| storyboard more interactive and easy to control. Finally, a
bodyText ||| thorough evaluation will be implemented to evaluate the effect of
bodyText ||| each component in the framework and storyboard template.
sectionHeader ||| 7. REFERENCES
reference ||| [1] A. Vailaya, M.A.T. Figueiredo, A. K. Jain, and H.-J. Zhang.
reference ||| “Image classification for content-based indexing”. IEEE
reference ||| Transactions on Image Processing, Vol. 10, Iss.1, 2001
reference ||| [2] F. J., M.-J. Li, H.-J. Zhang, and B. Zhang. “An effective
reference ||| region-based image retrieval framework”. Proc. ACM
reference ||| Multimedia’02, pp. 456-465, 2002
reference ||| [3] J. Platt “AutoAlbum: Clustering Digital Photographs using
reference ||| Probabilistic Model Merging” Proc. IEEE Workshop on
reference ||| Content-Based Access of Image and Video Libraries, pp. 96–
reference ||| 100, 2000.
reference ||| [4] A. Hanjalic, R. L. Lagendijk, J. Biemond, “Automated high-
reference ||| level movie segmentation for advanced video-retrieval
reference ||| systems”, IEEE Trans on Circuits and Systems For Video
reference ||| Technology, Vol. 9, No. 4, pp. 580-588, 1999.
reference ||| [5] J. Assfalg and et al, “Semantic annotation of soccer videos:
reference ||| automatic highlights identification,&quot; CVIU&apos;03, vol. 92, pp.
reference ||| 285-305, 2003.
reference ||| [6] A. Ekin, A. M. Tekalp, and R. Mehrotra, &quot;Automatic soccer
reference ||| video analysis and summarization,&quot; IEEE Trans. on Image
reference ||| Processing, 12(7), pp. 796-807, 2003.
reference ||| [7] Y. -F. Ma, L. Lu, H. -J. Zhang, and M.-J Li. “A User
reference ||| Attention Model for Video Summarization”. ACM
reference ||| Multimeida’02, pp. 533-542, 2002.
reference ||| [8] L. Xie, P. Xu, S.F. Chang, A. Divakaran, and H. Sun,
reference ||| &quot;Structure analysis of soccer video with domain knowledge
reference ||| and hidden markov models,&quot; Pattern Recognition Letters,
reference ||| vol. 25(7), pp. 767-775, 2004.
reference ||| [9] L. Lu, H. Jiang, H. J. Zhang, “A Robust Audio Classification
reference ||| and Segmentation Method,” Proc. ACM Multimedia’01, pp.
reference ||| 203-211, 2001
reference ||| [10] R. Cai, L. Lu, H.-J. Zhang, and L.-H. Cai, “Highlight Sound
reference ||| Effects Detection in Audio Stream,” Proc. ICME’03 Vol.3,
reference ||| pp.37-40, 2003.
reference ||| [11] Y. Rui, A. Gupta, and A. Acero, “Automatically Extracting
reference ||| Highlights for TV Baseball Programs”, Proc. ACM Multi-
reference ||| media’00, pp. 105-115, 2000.
reference ||| [12] C. Snoek, and M. Worring. “Multimodal Video Indexing: A
reference ||| Review of the State-of-the-art”. Multimedia Tools and
reference ||| Applications, Vol. 25, No. 1 pp. 5 – 35, 2005
reference ||| [13] E.M. Voorhees, “Query expansion using lexical-semantic
reference ||| relations” Proc. ACM SIGIR Conference on Research and
reference ||| Development in Information Retrieval , pp 61 - 69, 1994
reference ||| [14] Z.-W. Li, M.-J. Li, and W.-Y. Ma. &quot;A Probabilistic Model for
reference ||| Retrospective News Event Detection”, Proc. SIGIR
reference ||| Conference on Research and Development in Information
reference ||| Retrieval, 2005
reference ||| [15] D. M. Bikel, R. L. Schwartz, and R. M. Weischedel. “An
reference ||| Algorithm That Learns What’s in a Name”. Machine
reference ||| Learning, 34(1-3), 1999
reference ||| [16] K. Nigam, A. McCallum, S. Thrun, and T. Mitchell. “Text
reference ||| Classification from Labeled and Unlabeled Documents using
reference ||| EM”. Machine Learning, 39(2-3), 2000
reference ||| [17] T. Hastie, R. Tibshirani, and J. Friedman. “The Elements of
reference ||| Statistical Learning: Data Mining, Inference and Prediction”.
reference ||| Springer-Verlag, 2001
reference ||| [18] MapPoint Web Service http://www.microsoft.com/mappoint/
reference ||| products/ webservice/default.mspx
reference ||| [19] X.-S. Hua, L. Lu, H.-J. Zhang. &quot;Automated Home Video
reference ||| Editing&quot;, Proc. ACM Multimedia’03, pp. 490-497, 2003
reference ||| [20] J. Foote, M. Cooper, and A. Girgensohn. “Creating Music
reference ||| Videos Using Automatic Media Analysis”. ACM
reference ||| Multimedia’02, pp.553-560, 2002.
reference ||| [21] Topic Detection and Tracking (TDT) Project: http://www.
reference ||| nist.gov/speech/tests/tdt/
reference ||| [22] J. Allan, R. Papka, and V. Lavrenko. “On-line New Event
reference ||| Detection and Tracking”. Proc. SIGIR Conference on
reference ||| Research and Development in Information Retrieval 98,
reference ||| pp.37-45, 1998
page ||| 753
