title ||| A Computational Approach to Reflective Meta-Reasoning about
bodyText ||| ing abstractly about languages, classes of languages and so forth.
subsectionHeader ||| 3.4 Inductively Defining the Type of Well-Formed Bterms
bodyText ||| There are two equivalent approaches to inductively defining the
bodyText ||| general type (set) of all well-formed bterms. The first one follows
bodyText ||| the same idea as in Example 1:
listItem ||| •	bterm{x1 , · · · , xn.xi } is a well-formed bterm for 1 &lt; i &lt; n;
listItem ||| •	mk bterm{n; op; btl} is a well-formed bterm when op is a well-
listItem ||| formed quoted operator and btl is a list of well-formed bterms
listItem ||| that is compatible with op at some depth n.
bodyText ||| If we denote bterm{x1, · · · , xl, y, z1, · · · , zr.y} as var{l; r},
bodyText ||| we can restate the base case of the above definition as “var{l; r},
bodyText ||| where l and r are arbitrary natural numbers, is a well-formed
bodyText ||| bterm”. Once we do this it becomes apparent that the above def-
bodyText ||| inition has a lot of similarities with de Bruijn-style indexing of
bodyText ||| variables [dB72]. Indeed, one might call the numbers l and r the
bodyText ||| left and right indices of the variable var{l; r}.
bodyText ||| It is possible to provide an alternate definition that is closer to
bodyText ||| pure HOAS:
listItem ||| •	bnd{x.t[x]}, where t is a well-formed substitution function, is
listItem ||| a well-formed bterm (the bnd operation increases the binding
listItem ||| depth of t by one by adding x to the beginning of the list of t’s
listItem ||| outer binders).
listItem ||| •	mk term{op; btl}, where op is a well-formed quoted operator,
listItem ||| and btl is a list of well-formed bterms that is compatible with
listItem ||| op at depth 0, is a well-formed bterm (of binding depth 0).
bodyText ||| Other than better capturing the idea of HOAS, the latter defini-
bodyText ||| tion also makes it easier to express the reflective correspondence
bodyText ||| between the meta-syntax (the syntax used to express the theory of
bodyText ||| syntax, namely the one that includes the operators mk bterm, bnd,
bodyText ||| etc.) and the meta-meta-syntax (the syntax that is used to express
bodyText ||| the theory of syntax and the underlying theory, in other words, the
bodyText ||| syntax that includes the second-order notations.) Namely, provided
bodyText ||| that we define the subst{bt; t} operation to compute the result of
bodyText ||| substituting a closed term t for the first outer binder of the bterm
bodyText ||| bt, we can state that
equation ||| subst{bnd{x.t1 [x]} ; t2} ≡ t1 [t2] (3)
equation ||| (where t1 and t2 are literal second-order variables). In other words,
equation ||| we can state that the substitution operator subst and the implicit
equation ||| second-order substitution in the “meta-meta-” language are equiv-
equation ||| alent.
bodyText ||| The downside of the alternate definition is that it requires defin-
bodyText ||| ing the notion of “being a substitution function”.
subsectionHeader ||| 3.5 Our Approach
bodyText ||| In our work we try to combine the advantages of both approaches
bodyText ||| outlined above. In the next Section we present a theory that includes
bodyText ||| both the HOAS-style operations (bnd, mk term) and the de Bruijn-
bodyText ||| style ones (var, mk bterm). Our theory also allows deriving the
bodyText ||| equivalence (3). In our theory the definition of the basic syntactic
bodyText ||| operations is based on the HOAS-style operators; however, the
bodyText ||| recursive definition of the type of well-formed syntax is based on
bodyText ||| the de Bruijn-style operations. Our theory includes also support for
bodyText ||| variable-length lists of binders.
sectionHeader ||| 4. Formal Implementation in a Theorem Prover
bodyText ||| In this Section we describe how the foundations of our theory are
bodyText ||| formally defined and derived in the NuPRL-style Computational
bodyText ||| Type Theory in the MetaPRL Theorem Prover. For brevity, we
bodyText ||| will present a slightly simplified version of our implementation;
bodyText ||| full details are available in the extended version of this paper
bodyText ||| [NKYH05, Appendix].
subsectionHeader ||| 4.1 Computations and Types
bodyText ||| In our work we make heavy usage of the fact that our type theory
bodyText ||| allows us to define computations without stating upfront (or even
bodyText ||| knowing) what the relevant types are. In NuPRL-style type theo-
page ||| 6
bodyText ||| ries (which some even dubbed “untyped type theory”), one may de-
bodyText ||| fine arbitrary recursive functions (even potentially nonterminating
bodyText ||| ones). Only when proving that such function belongs to a particular
bodyText ||| type, one may have to prove termination. See [All87a, All87b] for
bodyText ||| a semantics that justifies this approach.
bodyText ||| The formal definition of the syntax of terms consists of two
bodyText ||| parts:
listItem ||| •	The definition of untyped term constructors and term oper-
listItem ||| ations, which includes both HOAS-style operations and de
listItem ||| Bruijn-style operations. As it turns out, we can establish most
listItem ||| of the reduction properties without explicitly giving types to all
listItem ||| the operations.
listItem ||| •	The definition of the type of terms. We will define the type of
listItem ||| terms as the type that contains all terms that can be legitimately
listItem ||| constructed by the term constructors.
subsectionHeader ||| 4.2 HOAS Constructors
bodyText ||| At the core of our term syntax definition are two basic HOAS-style
bodyText ||| constructors:
listItem ||| •	bnd{x.t[x]} is meant to represent a term with a free variable x.
listItem ||| The intended semantics (which will not become explicit until
listItem ||| later) is that bnd{x.t[x]} will only be considered well-formed
listItem ||| when t is a substitution function.
bodyText ||| Internally, bnd{x.t[x]} is implemented simply as the pair
bodyText ||| (0, Xx.t[x]). This definition is truly internal and is used only
bodyText ||| to prove the properties of the two destructors presented below;
bodyText ||| it is never used outside of this Section (Section 4.2).
listItem ||| •	mk term{op; ts} pairs op with ts. The intended usage of this
listItem ||| operation (which, again, will only become explicit later) is that
listItem ||| it represents a closed term (i.e. a bterm of binding depth 0) with
listItem ||| operator op and subterms ts. It will be considered well-formed
listItem ||| when op is an operator and ts is a list of terms that is compatible
bodyText ||| with op at depth 0. For example, mk term{X; bnd{x.x}} is Xx.x.
bodyText ||| Internally, mk term{op; ts} is implemented as the nested pair
bodyText ||| (1, (op, ts)). Again, this definition is never used outside of this
bodyText ||| Section.
bodyText ||| We also implement two destructors:
listItem ||| •	subst{bt; t} is meant to represent the result of substituting term
listItem ||| t for the first variable of the bterm bt. Internally, subst{bt; t}
listItem ||| is defined simply as an application (bt.2) t (where bt.2 is the
listItem ||| second element of the pair bt).
bodyText ||| We derive the following property of this substitution operation:
equation ||| subst{bnd{x.t1 [x]} ; t2} ≡ t1 [t2]
equation ||| where “≡” is the computational equality relation1 and t1 and
equation ||| t2 may be absolutely arbitrary, even ill-typed. This derivation
equation ||| is the only place where the internal definition of subst{bt; t} is
equation ||| used.
bodyText ||| Note that the above equality is exactly the “reflective property
bodyText ||| of substitution” (3) that was one of the design goals for our
bodyText ||| theory.
listItem ||| •	weak dest {bt; bcase; op, ts.mkt case[op; ts]} is designed to
listItem ||| provide a way to find out whether bt is a bnd{} or a mk term{op; ts}
footnote ||| 1 In NuPRL-style type theories the computational equality relation (which
footnote ||| is also sometimes called “squiggle equality” and is sometimes denoted
bodyText ||| as“∼” or “←-+”) is the finest-grained equality relation in the theory.
bodyText ||| When a ≡ b is true, a may be replaced with b in an arbitrary context.
bodyText ||| Examples of computational equality include beta-reduction Xx.a[x]b ≡
bodyText ||| a[b], arithmetical equalities (1 + 2 ≡ 3), and definitional equality (an
bodyText ||| abstraction is considered to be computationally equal to its definition).
bodyText ||| and to “extract” the op and ts in the latter case. In the rest of
bodyText ||| this paper we will use the “pretty-printed” form for weak dest
bodyText ||| — “match bt with bnd{ } -+ bcase I mk term{op; ts} -+
bodyText ||| mkt case[op; ts]”. Internally, it is defined as
bodyText ||| if bt.1 = 0 then bcase else mkt case[bt.2.1; bt.2.2].
bodyText ||| From this internal definition we derive the following properties
bodyText ||| of weak dest:
equation ||| ⎛	⎞
equation ||| matchbnd{x.t[x]} with
equation ||| ⎝bnd{ } -+ bcase	⎠
equation ||| bcase
equation ||| mk term{op; ts} -+ mkt case[op; ts]≡
equation ||| ⎛
equation ||| matchmk term{op; ts} with
equation ||| ⎝bnd{ } -+ bcase
equation ||| Imk term{o; t} -+ mkt case[o; t]
equation ||| 4.3 Vector HOAS Operations
bodyText ||| As we have mentioned at the end of Section 2, some approaches to
bodyText ||| reasoning about syntax make it hard or even impossible to express
bodyText ||| arbitrary-length lists of binders. In our approach, we address this
bodyText ||| challenge by allowing operators where a single binding in the meta-
bodyText ||| language stands for a list of object-level bindings. In particular, we
bodyText ||| allow representing bnd{x1.bnd{x2. · · · bnd{xn.t[x1; ... ; xn]} · · ·}}
bodyText ||| as
bodyText ||| vbnd{n; x.t[nth{1; x}; . . . ; nth{n; x}]}, where “nth{i; l}” is the “i-
bodyText ||| th element of the list l” function.
bodyText ||| We define the following vector-style operations:
listItem ||| •	vbnd{n; x.t[x]} represents a “telescope” of nested bnd opera-
listItem ||| tions. It is defined by induction2 on the natural number n as
listItem ||| follows:
equation ||| vbnd{0; x.t[x]}:= t[nil]
equation ||| vbnd{n + 1; x.t[x]}:= bnd{v.vbnd{n; x.t[v :: x]}}
bodyText ||| We also introduce vbnd{n; t} as a simplified notation for
bodyText ||| vbnd{n; x.t} when t does not have free occurrences of x.
listItem ||| •	vsubst{bt; ts} is a “vector” substitution operation that is meant
listItem ||| to represent the result of simultaneous substitution of the terms
listItem ||| in the ts list for the first ItsI variables of the bterm bt (here IlI is
listItem ||| the length of the list l). vsubst{bt; ts} is defined by induction on
listItem ||| the list ts as follows:
equation ||| vsubst{bt; nil}:= bt
equation ||| vsubst{bt; t :: ts}:= vsubst{subst{bt; t} ; ts}
bodyText ||| Below are some of the derived properties of these operations:
equation ||| 	bnd{v.t[v]} ≡ vbnd{1; hd(v)}	(4)
equation ||| Vm , n E N.
equation ||| �vbnd{m +n; x.t[x]} ≡ vbnd{m; y.vbnd{n; z.t[y@z]}}) (5)
equation ||| 	Vl E List. (vsubst{vbnd{Il I; v.t[v]} ;l} ≡ t[l])	(6)
equation ||| Vl E List.Vn E N. �(n ≥ IlI) ⇒	(7)
equation ||| (vsubst{vbnd{n; v.t[v]} ;l} ≡ vbnd{n − IlI; v.bt[l@v]}))
equation ||| Vn E N.	(8)
equation ||| vbnd{n; l.vsubst{vbnd{n; v.t[v]} ;l}} ≡ vbnd{n; l.t[l]})
bodyText ||| where “hd” is the list “head” operation, “@” is the list append
bodyText ||| operation, “List” is the type of arbitrary lists (the elements of a list
bodyText ||| do not have to belong to any particular type), N is the type of natural
bodyText ||| numbers, and all the variables that are not explicitly constrained to
bodyText ||| a specific type stand for arbitrary expressions.
footnote ||| 2 Our presentation of the inductive definitions is slightly simplified by
footnote ||| omitting some minor technical details. See [NKYH05, Appendix] for
footnote ||| complete details.
equation ||| ⎞⎠ ≡mkt case[op; ts]
page ||| 7
bodyText ||| Equivalence (5) allows the merging and splitting of vector bnd
bodyText ||| operations. Equivalence (6) is a vector variant of equivalence (3).
bodyText ||| Equivalence (8) is very similar to equivalence (6) applied in the
bodyText ||| vbnd{n; l. · · ·} context, except that (8) does not require l to be a
bodyText ||| member of any special type.
subsectionHeader ||| 4.4 De Bruijn-style Operations
bodyText ||| Based on the HOAS constructors defined in the previous two sec-
bodyText ||| tions, we define two de Bruijn-style constructors.
listItem ||| •	var{i; j} is defined as vbnd{i; bnd{v.vbnd{j; v}}}. It is easy to
listItem ||| see that this definition indeed corresponds to the informal
equation ||| bterm{x1,··· ,xl, y, z1,··· , zr .y}
equation ||| definition given in Section 3.4.
equation ||| •	mk bterm{n; op; ts} is meant to compute a bterm of binding
equation ||| depth n, with operator op, and with ts as its subterms. This op-
equation ||| eration is defined by induction on natural number n as follows:
equation ||| mk bterm{0; op; ts}:= mk term{op; ts}
equation ||| mk bterm{n + 1; op; ts}:=
equation ||| bnd{v.mk bterm{n; op; map Xt.subst{t; v} ts}}
bodyText ||| Note that, if ts is a list of bnd expressions (which is the intended
bodyText ||| usage of the mk bterm operation), then the
equation ||| bnd{v. · · · map Xt.subst{t; v} ts · · ·}
bodyText ||| has the effect of stripping the outer bnd from each of the mem-
bodyText ||| bers of the ts list and “moving” them into a single “merged” bnd
bodyText ||| on the outside.
bodyText ||| We also define a number of de Bruijn-style destructors, i.e., op-
bodyText ||| erations that compute various de Bruijn-style characteristics of a
bodyText ||| bterm. Since the var and mk bterm constructors are defined in terms
bodyText ||| of the HOAS constructors, the destructors have to be defined in
bodyText ||| terms of HOAS operations as well. Because of this, these defini-
bodyText ||| tions are often far from straightforward.
bodyText ||| It is important to emphasize that the tricky definitions that we
bodyText ||| use here are only needed to establish the basic properties of the
bodyText ||| operations we defined. Once the basic theory is complete, we can
bodyText ||| raise the level of abstraction and no usage of this theory will
bodyText ||| ever require using any of these definitions, being aware of these
bodyText ||| definitions, or performing similar tricks again.
listItem ||| •	bdepth{t} computes the binding depth of term t. It is defined
listItem ||| recursively using the Y combinator as
equation ||| rXb.matchb with
equation ||| Y	bnd{ } -+ 1 + f (subst{b; mk term{0; 0}})
equation ||| |mkterm{ ; }-+0
bodyText ||| In effect, this recursive function strips the outer binders from a
bodyText ||| bterm one by one using substitution (note that here we can use
bodyText ||| an arbitrary mk bterm expression as a second argument for the
bodyText ||| substitution function; the arguments to mk bterm do not have
bodyText ||| to have the “correct” type) and counts the number of times it
bodyText ||| needs to do this before the outermost mk bterm is exposed.
bodyText ||| We derive the following properties of bdepth:
equation ||| Vl, r E ICY. (bdepth {var{l; r}} ≡ (l +r + 1));
equation ||| Vn E ICY.(bdepth{mk bterm{n; op; ts}} ≡ n).
bodyText ||| Note that the latter equivalence only requires n to have the
bodyText ||| “correct” type, while op and ts may be arbitrary. Since the
bodyText ||| bdepth operator is needed for defining the type of Term of well-
bodyText ||| formed bterms, at this point we would not have been able to
bodyText ||| express what the “correct” type for ts would be.
bodyText ||| •	left{t} is designed to compute the “left index” of a var expres-
bodyText ||| sion. It is defined as
equation ||| 	�	�
equation ||| Xf.Xb.Xl.
equation ||| match b with	�
equation ||| 	Y	bnd{ } -+
equation ||| �1 + f (subst{b; mk term {l; 0}})(l + 1) � �
equation ||| |mk term{lf; ) -+ lf
bodyText ||| In effect, this recursive function substitutes mk term{0; 0}
bodyText ||| for the first binding of t, mk term{1; 0} for the second one,
bodyText ||| mk term{2; 0} for the next one and so forth. Once all the binders
bodyText ||| are stripped and a mk term{l; 0} is exposed, l is the index
bodyText ||| we were looking for. Note that here we intentionally supply
bodyText ||| mk term with an argument of a “wrong” type (ICY instead of
bodyText ||| Op); we could have avoided this, but then the definition would
bodyText ||| have been significantly more complicated.
bodyText ||| As expected, we derive that
equation ||| Vl, r E ICY.(left{var{l; r}} ≡ l).
listItem ||| •	right{t} computes the “right index” of a var expression. It
listItem ||| is trivial to define in terms of the previous two operators:
listItem ||| right{t}:= bdepth{t} − left{t} − 1.
listItem ||| •	get op{t; op} is an operation such that
equation ||| Vn E ICY.(get op{mk bterm{n; op; ts} ; opf) ≡ op),
equation ||| Vl, r E ICY. ((get op{var{i; j} ; op} ≡ op).
bodyText ||| Its definition is similar to that of left{}.
listItem ||| •	subterms{t} is designed to recover the last argument of a
listItem ||| mk bterm expression. The definition is rather technical and
listItem ||| complicated, so we omit it; see [NKYH05, Appendix C] for
listItem ||| details. The main property of the subterms operation that we
listItem ||| derive is
bodyText ||| Vn E ICY.Vbtl E List.(subterms{mk bterm{n; op; btl}} ≡
bodyText ||| map Xb.vbnd{n; v.vsubst{b; v}} btl)
bodyText ||| The right-hand side of this equivalence is not quite the plain
bodyText ||| “btl” that one might have hoped to see here. However, when
bodyText ||| btl is a list of bterms with binding depths at least n, which is
bodyText ||| necessarily the case for any well-formed mk bterm{n; op; btl},
bodyText ||| equivalence (8) would allow simplifying this right-hand side to
bodyText ||| the desired btl.
subsectionHeader ||| 4.5 Operators
bodyText ||| For this basic theory the exact representation details for operators
bodyText ||| are not essential and we define the type of operators Op abstractly.
bodyText ||| We only require that operators have decidable equality and that
bodyText ||| there exist a function of the type Op -+ ICY List that computes
bodyText ||| operators’ shapes.
bodyText ||| Using this shape function and the bdepth function from Sec-
bodyText ||| tion 4.4, it is trivial to formalize the “ts is compatible with op at
bodyText ||| depth n” predicate of Definition 4. We denote this predicate as
bodyText ||| shape compat{n; op; ts} and define it as
equation ||| |shape{op}| = |btl|A
equation ||| Vi E 1..|btl|.bdepth{nth{btl; i}} = n +nth{shape{op}; i}
subsectionHeader ||| 4.6 The Type of Terms
bodyText ||| In this section we will define the type of terms (i.e. well-formed
bodyText ||| bterms), Term, as the type of all terms that can be constructed by
bodyText ||| the de Bruijn constructors from Section 4.4. That is, the Term type
bodyText ||| contains all expressions of the forms:
listItem ||| •	var{i; j} for all natural numbers i, j; or
equation ||| )t
equation ||| t0
page ||| 8
listItem ||| • mk bterm{n; op; ts} for any natural number n, operator op, and
listItem ||| list of terms ts that is compatible with op at depth n.
bodyText ||| The Term type is defined as a fixpoint of the following function
bodyText ||| from types to types:
equation ||| Iter(X) := Image(dom(X); x.mk(x)),
bodyText ||| where
listItem ||| •	Image is a type constructor such that Image(T; x. f [xl) is the
listItem ||| type of all the f [tl for t e T (for it to be well-formed, T must
listItem ||| be a well-formed type and f must not have any free variables
listItem ||| except for x);
listItem ||| •	dom(X) is a type defined as
equation ||| (N×N)+(n:N× op:Op× {ts:X List I shape compat{n; op; ts}});
listItem ||| •	and mk(x) (where x is presumably a member of the type
listItem ||| dom(X)) is defined as
equation ||| matchx with
equation ||| inl (i, j) -+ var{i ; j}
equation ||| Iinr (n, op, ts) -+ mk bterm{n; op; ts} .
bodyText ||| The fixpoint of Iter is reached by defining
listItem ||| •	Term0 := Void (an empty type)
listItem ||| •	Termn+1 := Iter(Termn)
listItem ||| •	Term := U Termn
listItem ||| neN
bodyText ||| We derive the intended introduction rules for the Term type:
equation ||| i eN	j eN
equation ||| var{i ; j} e Term
equation ||| and
equation ||| n e N op e Op ts e TermList shape compat{n; op; ts}
equation ||| .
equation ||| mk bterm{n; op; ts} e Term
bodyText ||| Also, the structural induction principle is derived for the Term
bodyText ||| type. Namely, we show that to prove that some property P[tl holds
bodyText ||| for any term t, it is sufficient to prove
listItem ||| •	(Base case) P holds for all variables, that is, P[var{i ; j}l holds
listItem ||| for all natural numbers i and j;
listItem ||| •	(Induction step) P[mk bterm{n; op; ts}l is true for any natural
listItem ||| number n, any operator op, and any list of terms ts that is
listItem ||| compatible with op at depth n, provided P[tl is true for any
listItem ||| element t of the list ts.
bodyText ||| Note that the type of “terms over n variables” (where n = 0 cor-
bodyText ||| responds to closed terms) may be trivially defined using the Term
bodyText ||| type and the “subset” type constructor — {t : Term II bdepth{t} =
bodyText ||| n}.
sectionHeader ||| 5. Conclusions and Future Work
bodyText ||| In Sections 3 and 4 we have presented a basic theory of syntax
bodyText ||| that is fully implemented in a theorem prover. As we mentioned in
bodyText ||| the introduction, the approach is both natural and expressive, and
bodyText ||| provides a foundation for reflective reasoning about classes of lan-
bodyText ||| guages and logics. However, we consider this theory to be only
bodyText ||| the first step towards building a user-accessible uniform reflection
bodyText ||| framework and a user-accessible uniform framework for program-
bodyText ||| ming language reasoning and experimentation, where tasks similar
bodyText ||| to the ones presented in the POPLMARK challenge [ABF+05] can
bodyText ||| be performed easily and naturally. In this section we provide an out-
bodyText ||| line of our plans for building such frameworks on top of the basic
bodyText ||| syntactic theory.
subsectionHeader ||| 5.1 Higher-Level User Interface
bodyText ||| One obvious shortcoming of the theory presented in Sections 3
bodyText ||| and 4 is that it provides only the basic low-level operations such
bodyText ||| as bnd, var, subterms, etc. It presents a very low-level account of
bodyText ||| syntax in a way that would often fail to abstract away the details
bodyText ||| irrelevant to the user.
bodyText ||| To address this problem we are planning to provide user in-
bodyText ||| terface functionality capable of mapping the high-level concepts
bodyText ||| to the low-level ones. In particular, we are going to provide an
bodyText ||| interface that would allow instantiating general theorems to spe-
bodyText ||| cific collections of operators and specific languages. Thus, the user
bodyText ||| will be able to write something like “reflect language [Xx..;
bodyText ||| apply{.; .}] ” and the system will create all the components outlined
bodyText ||| in Example 1:
listItem ||| •	It will create a definition for the type
equation ||| Language[Xx..; apply{.; .}l
bodyText ||| of reflected lambda-terms (where Language[ll is a general def-
bodyText ||| inition of a language over a list of operators l);
listItem ||| •	It will state and derive the introduction rules for this type;
listItem ||| •	It will state and derive the elimination rule for this type (the
listItem ||| induction principle).
bodyText ||| Moreover, we are planning to support even more complicated lan-
bodyText ||| guage declarations, such as
equation ||| t := int I t -+ t; e := v I Xx : t.e[xl I apply{e; e}
bodyText ||| that would cause the system to create mutually recursive type
bodyText ||| definitions and appropriate rules.
bodyText ||| Finally, we are also planning to support “pattern bindings” that
bodyText ||| are needed for a natural encoding of ML-like pattern matching
bodyText ||| (such as the one sketched in the POPLMARK challenge [ABF+05]).
bodyText ||| As far as the underlying theory goes, we believe that the mecha-
bodyText ||| nisms very similar to the “vector bindings” presented in Section 4.3
bodyText ||| will be sufficient here.
subsectionHeader ||| 5.2 “Dereferencing” Quoted Terms
bodyText ||| As in Barzilay’s work, the quoted operator approach makes it easy
bodyText ||| to define the “unquoting” (or “dereferencing”) operator [lunq. If t
bodyText ||| is a syntactic term, then [tllunq is the value represented by t. By
bodyText ||| definition,
equation ||| [op{t1; ... ; tn}lunq = op{[t1lunq; ... ; [tnllunq}.
equation ||| For instance, [2 * 3lunq is 2 * 3 (i.e. 6).
bodyText ||| In order to define unquoting on terms with bindings, we need to
bodyText ||| introduce the “guard” operation hp pi such that [bt)llunq is t for an
bodyText ||| arbitrary expression t. Then [lunq can be defined as follows:
equation ||| [op{x1, ..., xk.t[x1; ... ; xkl; ... ;z1, ..., zl.s[z1; ... ; zll}lunq =
equation ||| op{x1, . . . ,xk.[[t[(ix1 ; ... ; Ixk�llunq;
equation ||| . . .	;
equation ||| z1, . . . , zl.[s[(z1�� ; ... ; (1zl�llunq}.
equation ||| For example, [[Xx.2*xlunq = Xx.[2*��x�llunq = Xx.[2lunq *
equation ||| [bx)lunq =Xx.2 * x.
bodyText ||| The unquote operation establishes the identity between the orig-
bodyText ||| inal syntax and the reflected syntax, making it a “true” reflection.
bodyText ||| Note that the type theory (which ensures, in particular, that
bodyText ||| only terminating functions may be shown to belong to a function
bodyText ||| type) would keep the [ llunq operation from introducing logical
bodyText ||| paradoxes.3
footnote ||| 3 This is, obviously, not a proper argument. While a proper argument can be
footnote ||| made here, it is outside of the scope of this particular paper.
page ||| 9
bodyText ||| Also, since the notion of the quoted operators is fully open-
bodyText ||| ended, each new language added to the system will automatically
bodyText ||| get to use the Q lunq operation for all its newly introduced opera-
bodyText ||| tors.
subsectionHeader ||| 5.3 Logical Reflection
bodyText ||| After defining syntactic reflection, it is easy to define logical reflec-
bodyText ||| tion. If we consider the proof system open-ended, then the logical
bodyText ||| reflection is trivial — when P is a quotation of a proposition, we
bodyText ||| can regard “QPlunq” as meaning “P is true”. The normal modal
bodyText ||| rules for the Qlunq modality are trivially derivable. For example
bodyText ||| modus ponens
equation ||| QP  =:�  Qlunq =:� QPlunq =:� QQQlunq
bodyText ||| is trivially true because if we evaluate the first Qllunq (remember,
equation ||| QP =:� Qlunq = (QPlunq =:� QQlunq)
bodyText ||| by definition of Qlunq), we get an obvious tautology
bodyText ||| (QPlunq =:� QQQlunq) =:� QPlunq =:� QQlunq.
bodyText ||| In order to consider a closed proof system (in other words, if
bodyText ||| we want to be able to do induction over derivations), we would
bodyText ||| need to define a provability predicate for that system. We are
bodyText ||| planning to provide user interface functionality that would allow
bodyText ||| users to describe a set of proof rules and the system would generate
bodyText ||| appropriate proof predicate definitions and derive appropriate rules
bodyText ||| (in a style similar to the one outlined in Section 5.1 for the case of
bodyText ||| language descriptions).
sectionHeader ||| 6. Related Work
bodyText ||| In Section 2 we have already discussed a number of approaches
bodyText ||| that we consider ourselves inheriting from. Here we would like to
bodyText ||| revisit some of them and mention a few other related efforts.
bodyText ||| Our work has a lot in common with the HOAS implemented in
bodyText ||| Coq by Despeyroux and Hirschowitz [DH94]. In both cases, the
bodyText ||| more general space of terms (that include the exotic ones) is later
bodyText ||| restricted in a recursive manner. In both cases, the higher-order
bodyText ||| analogs of first-order de Bruijn operators are defined and used as a
bodyText ||| part of the “well-formedness” specification for the terms. Despey-
bodyText ||| roux and Hirschowitz use functions over infinite lists of variables
bodyText ||| to define open terms, which is similar to our vector bindings.
bodyText ||| There are a number of significant differences as well. Our ap-
bodyText ||| proach is sufficiently syntactical, which allows eliminating all ex-
bodyText ||| otic terms, even those that are extensionally equal to the well-
bodyText ||| formed ones, while the more semantic approach of [DH94,
bodyText ||| DFH95] has to accept such exotic terms (their solution to this prob-
bodyText ||| lem is to consider an object term to be represented by the whole
bodyText ||| equivalence class of extensionally equal terms); more generally
bodyText ||| while [DH94] states that “this problem of extensionality is recur-
bodyText ||| rent all over our work”, most of our lemmas establish identity and
bodyText ||| not just equality, thus avoiding most of the issues of extensional
bodyText ||| equality. In our implementation, the substitution on object terms is
bodyText ||| mapped directly to P-reduction, while Despeyroux et al. [DFH95]
bodyText ||| have to define it recursively. In addition, we provide a uniform ap-
bodyText ||| proach to both free and bound variables that naturally extends to
bodyText ||| variable-length “vector” bindings.
bodyText ||| While our approach is quite different from the modal X-calculus
bodyText ||| one [DPS97, DL99, DL01], there are some similarities in the in-
bodyText ||| tuition behind it. Despeyroux et al. [DPS97] says “Intuitively, we
bodyText ||| interpret ❑B as the type of closed objects of type B. We can iter-
bodyText ||| ate or distinguish cases over closed objects, since all constructors
bodyText ||| are statically known and can be provided for.” The intuition be-
bodyText ||| hind our approach is in part based on the canonical model of the
bodyText ||| NuPRL type theory [All87a, All87b], where each type is mapped
bodyText ||| to an equivalence relations over the closed terms of that type.
bodyText ||| Gordon and Melham [GM96] define the type of X-terms as a
bodyText ||| quotient of the type of terms with concrete binding variables over
bodyText ||| a-equivalence. Michael Norrish [Nor04] builds upon this work by
bodyText ||| replacing certain variable “freshness” requirements with variable
bodyText ||| “swapping”. This approach has a number of attractive properties;
bodyText ||| however, we believe that the level of abstraction provided by the
bodyText ||| HOAS-style approaches makes the HOAS style more convenient
bodyText ||| and accessible.
bodyText ||| Ambler, Crole, and Momigliano [ACM02] have combined the
bodyText ||| HOAS with the induction principle using an approach which in
bodyText ||| some sense is opposite to ours. Namely, they define the HOAS
bodyText ||| operators on top of the de Bruijn definition of terms using higher
bodyText ||| order pattern matching. In a later work [ACM03] they have de-
bodyText ||| scribed the notion of “terms-in-infinite-context” which is quite sim-
bodyText ||| ilar to our approach to vector binding. While our vector bindings
bodyText ||| presented in Section 4.3 are finite length, the exact same approach
bodyText ||| would work for the infinite-length “vectors” as well.
sectionHeader ||| Acknowledgments
bodyText ||| The authors are grateful to Eli Barzilay whose ideas were an in-
bodyText ||| spiration for some of the work that lead to this paper. We are also
bodyText ||| grateful for his comments on an early draft of this paper.
bodyText ||| We are grateful to the anonymous reviewers for their very thor-
bodyText ||| ough and fair feedback and many helpful suggestions.
sectionHeader ||| References
reference ||| [AA99] Eric Aaron and Stuart Allen. Justifying calculational logic
reference ||| by a conventional metalinguistic semantics. Technical Report
reference ||| TR99-1771, Cornell University, Ithaca, New York, September
reference ||| 1999.
reference ||| [ABF+05] Brian E. Aydemir, Aaron Bohannon, Matthew Fairbairn,
reference ||| J. Nathan Foster, Benjamin C. Pierce, Peter Sewell, Dimitrios
reference ||| Vytiniotis, Geoffrey Washburn, Stephanie Weirich, and Steve
reference ||| Zdancewic. Mechanized metatheory for the masses: The
reference ||| POPLmark challenge. Available fromhttp://www.cis.
reference ||| upenn.edu/group/proj/plclub/mmm/,2005.
reference ||| [AC92] William Aitken and Robert L. Constable. Reflecting on
reference ||| NuPRL : Lessons 1–4. Technical report, Cornell University,
reference ||| Computer Science Department, Ithaca, NY, 1992.
reference ||| [ACE+00] Stuart Allen, Robert Constable, Richard Eaton, Christoph
reference ||| Kreitz, and Lori Lorigo. The NuPRL open logical envi-
reference ||| ronment. In David McAllester, editor, Proceedings of the
reference ||| 17th International Conference on Automated Deduction, vol-
reference ||| ume 1831 of Lecture Notes in Artificial Intelligence, pages
reference ||| 170–176. Springer Verlag, 2000.
reference ||| [ACHA90] Stuart F. Allen, Robert L. Constable, Douglas J. Howe,
reference ||| and William Aitken. The semantics of reflected proof. In
reference ||| Proceedings of the 5th Symposium on Logic in Computer
reference ||| Science, pages 95–197. IEEE Computer Society Press, June
reference ||| 1990.
reference ||| [ACM02] Simon Ambler, Roy L. Crole, and Alberto Momigliano.
reference ||| Combining higher order abstract syntax with tactical theorem
reference ||| proving and (co)induction. In TPHOLs ’02: Proceedings
