title ||| An Intensional Approach to the Specification of Test Cases
bodyText ||| imagine that we have processed the tree shown in Figure 3 as
bodyText ||| far as the leaf node representing the OrderDetail relation.
bodyText ||| Join operators further constrain the selection condition (by
bodyText ||| conjoining in their join condition), but add no other con-
bodyText ||| straints. So, by the time we reach this leaf node, SelC will
bodyText ||| have been set to:
equation ||| o.orderno = d.orderno A d.productno = p.productno
bodyText ||| We need to find out whether a suitable OrderDetail record
bodyText ||| exists within the database. However, in order to do this,
bodyText ||| we need to know something about what preparation actions
bodyText ||| were performed when the Product leaf node was processed.
bodyText ||| Maybe there were already plenty of £50-plus products in
bodyText ||| the catalogue, or maybe there were none and one had to
bodyText ||| be created. How is this information passed through to the
bodyText ||| OrderDetail node so that the correct tuple can be identi-
bodyText ||| fied or created?
bodyText ||| In the current version of our algorithm, we have chosen
bodyText ||| to use the database itself to communicate these values. If
bodyText ||| there are many suitable Product records, then we can find
bodyText ||| one by querying the database directly once again. If a new
bodyText ||| product had to be created, then it will now be present in
bodyText ||| the database, so we can still retrieve it by querying. The
bodyText ||| information needed to construct these queries is present in
bodyText ||| the selection conditions that have been considered during
bodyText ||| the processing of the relational algebra tree up to this point.
bodyText ||| For example, in order to search for an OrderDetail tuple
bodyText ||| that is connected to a suitable Product, we need to issue
bodyText ||| the following query:
construct ||| SELECT d.* FROM OrderDetail d, Product p
construct ||| WHERE d.productno = p.productno AND
construct ||| p.price &gt; 50
bodyText ||| This query cannot be constructed from only the constraints
bodyText ||| pushed-down from the parent nodes of the leaf node; instead,
bodyText ||| we need to collect up the constraints imposed by all nodes
bodyText ||| visited before the current node, so that they are available for
bodyText ||| query formation. This is done using the Bgs data structure
bodyText ||| mentioned earlier.
bodyText ||| Figure 4 presents the complete algorithm, showing the be-
bodyText ||| haviour required for each different type of operator. The al-
bodyText ||| gorithm is presented as a side-effecting function which takes
bodyText ||| the constrained query that is to be satisfied by the database,
bodyText ||| and a set of initial conditions that state the required cardi-
bodyText ||| nality bounds and initialise SelC to true, UAtts to 0 and Bgs
bodyText ||| to 0. The function returns a set of bindings, but these are
bodyText ||| discarded. The main task of the algorithm is carried out
bodyText ||| by the side-effecting updates that occur when leaf nodes are
bodyText ||| processed.
sectionHeader ||| 4. DOT-UNIT TESTING FRAMEWORK
bodyText ||| The intensional database test language and accompanying
bodyText ||| preparation algorithm have been implemented within a test-
bodyText ||| ing tool, called DOT- Unit. This tool is part of a larger Data-
bodyText ||| Oriented Testing7 framework that is under development at
bodyText ||| the University of Manchester [20]. DOT-Unit has been im-
bodyText ||| plemented as an extension to the JUnit testing framework
footnote ||| 7http://www.cs.man.ac.uk/—willmord/dot/
page ||| 107
figure ||| Projection operator
figure ||| prepare(irattsQ, Min, Max, UAtts, SelC, Bgs)
figure ||| = prepare(Q, Min, Max, UAtts U Atts, SelC, Bgs)
figure ||| Selection operator
figure ||| prepare(acQ, Min, Max, UAtts, SelC, Bgs)
figure ||| = prepare(Q, Min, Max, UAtts, SelC n c, Bgs)
figure ||| Join operator
figure ||| prepare(Q1 ✶jc Q2, Min, Max, UAtts, SelC, Bgs)
figure ||| = prepare(Q2, Min, Max, UAtts, SelC n jc,
figure ||| prepare(Q1, Min, Max, UAtts, SelC, Bgs))
figure ||| Relation (leaf node)
figure ||| prepare(Rasv, Min, Max, UAtts, SelC, Bgs)
figure ||| Q = bindingQuery(v, SelC, Bgs)
figure ||| Execute Q to produce result set RS
figure ||| if IRSI &lt; Min then
figure ||| Invoke DBMonster to create (Min - IRSI) more
figure ||| instances of R that satisfy the conditions in Q
figure ||| else if IRSI &gt; Max then
figure ||| Delete the first (IRSI - Max) tuples in RS
figure ||| else
figure ||| No preparation updates needed
figure ||| return (Bgs U binding(v, Q))
figureCaption ||| Figure 4: The Database Preparation Algorithm
bodyText ||| for the unit testing of Java applications [16]. We have sub-
bodyText ||| classed the standard JUnit TestCase class, to create a ded-
bodyText ||| icated DatabaseTestCase class for specifying and man-
bodyText ||| aging intensional database tests. DatabaseTestCase pro-
bodyText ||| vides facilities for specifying pre-conditions on database state,
bodyText ||| generating and manipulating the bindings that are produced
bodyText ||| by such pre-conditions, and evaluating post-conditions on
bodyText ||| the database state after the test has been completed. The
bodyText ||| standard JUnit methods for determining the results of test
bodyText ||| execution on the in-memory fixture can also be used.
figureCaption ||| Figure 5 shows an example DatabaseTestCase that in-
figureCaption ||| cludes two individual tests. The first verifies that when a
figureCaption ||| customer with a non-negative balance is deleted, all cus-
figureCaption ||| tomers with that customer number really do disappear from
figureCaption ||| the database. The second uses a data generation function to
figureCaption ||| propose attribute values for a new customer record (includ-
figureCaption ||| ing a unique customer number), and checks that after the
figureCaption ||| program has executed only one customer with the generated
figureCaption ||| customer number exists.
bodyText ||| We use a prefixed colon to indicate variables that are
bodyText ||| shared amongst the test components — a notation that will
bodyText ||| be familiar to many database programmers, since it is com-
bodyText ||| monly used in various forms of embedded SQL. The shared
bodyText ||| variables acquire their values when the test harness evalu-
bodyText ||| ates the precondition (and performs any necessary database
bodyText ||| preparation steps). These values can then be accessed us-
bodyText ||| ing the binding method, and can be used in arbitrarily
bodyText ||| complex assert conditions, as well as in instantiating the
bodyText ||| post-condition query.
bodyText ||| One of the main advantages of using the JUnit framework
bodyText ||| as the basis for the implementation of DOT-Unit is that it
bodyText ||| allows us to integrate our tool seamlessly into existing de-
bodyText ||| velopment environments, such as Eclipse8. Thus, DOT-Unit
bodyText ||| tests are executed in exactly the same way as a standard JU-
bodyText ||| nit test case, and the results are displayed using the same
bodyText ||| interface components. This allows testing of database and
bodyText ||| non-database components to be interleaved in a convenient
bodyText ||| and natural manner.
footnote ||| 8http://www.eclipse.org
sectionHeader ||| 5. EVALUATION
bodyText ||| The practicality of this intensional test case approach de-
bodyText ||| pends largely on the performance overhead imposed by the
bodyText ||| database preparation algorithm. If the time required to ex-
bodyText ||| ecute each individual test case is significantly higher using
bodyText ||| our approach than with DBUnit, say, then fewer tests will
bodyText ||| be able to be executed in the time available and the benefits
bodyText ||| of faster test development and fewer spurious test failures
bodyText ||| will be negated.
bodyText ||| To gain a handle on the degree of performance overhead
bodyText ||| to be expected from DOT-Unit, we made use of an exist-
bodyText ||| ing extensional DB test suite that we created for earlier
bodyText ||| work [20]. This suite was designed for mp3cd browser9, an
bodyText ||| open-source Java/JDBC program that stories information
bodyText ||| about mp3 files in a MySQL 5.0 database10. The schema
bodyText ||| of the database consists of 6 relations with 22 attributes, 7
bodyText ||| primary key constraints and 6 foreign key constraints. We
bodyText ||| created an equivalent intensional test suite, consisting of 20
bodyText ||| test cases, from the extensional suite by converting each test
bodyText ||| case into DOT-Unit pre- and post-conditions. We also re-
bodyText ||| placed each hard-coded test parameter in the original tests
bodyText ||| into constrained query bindings.
bodyText ||| We wanted to investigate two specific aspects of the per-
bodyText ||| formance of DOT-Unit. First, we wanted to compare its
bodyText ||| performance with that of DBUnit over the equivalent test
bodyText ||| cases as the database size grows. Second, we wanted to gain
bodyText ||| some idea of what aspects of DB preparation and testing
bodyText ||| were dominating the performance of DOT-Unit. The re-
bodyText ||| sults of the experiments we performed are presented below.
bodyText ||| All experiments were run on a Pentium-M 2.0GHz machine,
bodyText ||| with 1Gb RAM, running Ubuntu Linux.
subsectionHeader ||| 5.1 Comparison with DBUnit
bodyText ||| At first sight, the extensional approach, as exemplified
bodyText ||| by DBUnit, would seem to be the more efficient method
bodyText ||| of the two, as the testing harness does not need to spend
bodyText ||| any time figuring out what updates need to be made prior
bodyText ||| to each test—it only needs to execute them. This does
footnote ||| 9http://mp3cdbrowser.sourceforge.net/mp3cd/
footnote ||| 10http://www.mysql.com
page ||| 108
figure ||| public class ProgramTest extends DatabaseTestCase {
figure ||| public void testDeleteCustomer() {
figure ||| preCondition(&quot;ANY :cn GENERATED BY SELECT custNo FROM customer WHERE balance &gt; 0;&quot;);
figure ||| Program p = new Program();
figure ||| p.deleteCustomer(binding(&quot;:cn&quot;));
figure ||| postCondition(&quot;NO :cn2 GENERATED BY SELECT custno FROM customer WHERE custNo = :cn;&quot;);
figure ||| }
figure ||| public void testNewCustomer() {
figure ||| preCondition(&quot;ANY :cn, :name, :addr GENERATED BY SELECT gc.custNo, gc.name, gc.addr FROM
figure ||| genCustomerDetails() AS gc WHERE gc.custNo NOT IN (SELECT custNo FROM customer);&quot;);
figure ||| Program p = new Program();
figure ||| boolean b = p.newCustomer(binding(&quot;:cn&quot;), binding(&quot;:name&quot;), binding(&quot;:addr&quot;));
figure ||| assertTrue(b);
figure ||| postCondition(&quot;EXACTLY 1 :cn, :name, :addr GENERATED BY SELECT custno, name, addr
figure ||| FROM customer;&quot;);
figure ||| }
figure ||| }
figureCaption ||| Figure 5: Example DOT-Unit Test Case
bodyText ||| not happen by accident, but because a human programmer
bodyText ||| has spent time earlier, deciding exactly what the database
bodyText ||| should look like for each test case. However, when writing
bodyText ||| DBUnit tests, it is common to try to reuse database de-
bodyText ||| scriptions for multiple test cases where possible, to reduce
bodyText ||| the amount of programming and maintenance time. In this
bodyText ||| case, some redundant updates will be made before each test
bodyText ||| case - updates that our extensional approach will not bother
bodyText ||| to make. It is also the case that DBUnit makes its updates
bodyText ||| blindly, whether they are needed or not, whereas the inten-
bodyText ||| sional approach will be able to reuse much of the existing
bodyText ||| database state for each new test case.
bodyText ||| Given this, it seems likely that the performance of DBUnit
bodyText ||| will be better when the database state required for each
bodyText ||| test case is relatively small, but that the situation will be
bodyText ||| reversed when the database state grows much larger. In
bodyText ||| order to gauge the point at which this change occurs, we
bodyText ||| ran our two test suites (extensional and intensional) with
bodyText ||| databases of varying sizes, and measured the execution time
bodyText ||| taken to execute the whole test suite.
bodyText ||| In each case, we generated initial database states of vary-
bodyText ||| ing sizes at random - either populating the database directly
bodyText ||| (for the intensional test cases) or generating XML descrip-
bodyText ||| tions of the required state (for the extensional test cases).
bodyText ||| The results are shown in Figure 6.
figureCaption ||| Figure 6: Comparison of Approaches as DB Size
figureCaption ||| Increases
bodyText ||| To our surprise, although the performance of DOT-Unit was
bodyText ||| initially worse than that of DBUnit, it overtook its com-
bodyText ||| petitor at a comparatively small database size of around 20
bodyText ||| tuples per relation. Obviously, this experiment is a little
bodyText ||| unfair to DBUnit, since programmers are unlikely to create
bodyText ||| database descriptions consisting of 1000s of tuples per re-
bodyText ||| lation. However, tests of this scale will be needed at some
bodyText ||| point in the development cycle, in order to verify the be-
bodyText ||| haviour of the system on more realistic data sets.
bodyText ||| In order to assess the behaviour of DOT-Unit more pre-
bodyText ||| cisely, consider the graph in Figure 7, which shows the re-
bodyText ||| sults at small databases sizes in more detail. It can be ob-
bodyText ||| served that the performance of DOT-Unit first improves and
bodyText ||| then begins to degrade again at a database size of around
bodyText ||| 50 tuples per relation.
figureCaption ||| Figure 7: Detailed Comparison of Approaches
bodyText ||| One possible explanation for this initial improvement in per-
bodyText ||| formance is that, as the database size rises, so does the
bodyText ||| probability that the data needed for the test case is al-
bodyText ||| ready present in the database. For the very small states,
bodyText ||| a lot of preparation work is required to create the needed
bodyText ||| data, whereas less work is needed for a more fully populated
bodyText ||| database. As the database size increases further, however,
bodyText ||| the costs of making the queries needed to test the precondi-
bodyText ||| tions and formulate the preparation updates rises, pushing
bodyText ||| up the time required for the entire preparation step. This
page ||| 109
bodyText ||| behaviour may be a peculiarity of the particular test suite
bodyText ||| used, of course, and further, more extensive studies will be
bodyText ||| required in order to completely characterise the performance
bodyText ||| of the DOT-Unit test harness.
bodyText ||| From these initial results, however, DOT-Unit appears to
bodyText ||| scale well relative to database size, and the execution times
bodyText ||| are of the same order of magnitude as those resulting from
bodyText ||| DBUnit. This suggests that the intensional approach may
bodyText ||| provide a good compromise between saving expensive pro-
bodyText ||| grammer time in developing new test cases and expenditure
bodyText ||| of cheaper processing time in executing the test cases.
subsectionHeader ||| 5.2 Effect of Constraint Complexity
bodyText ||| A further concern was the effect of increasing constraint
bodyText ||| complexity on the performance of DOT-Unit test cases. How
bodyText ||| much additional overhead is added for conditions involving
bodyText ||| a higher number of selection conditions and (most impor-
bodyText ||| tantly) joins? In order to assess this, we grouped the test
bodyText ||| cases into three groups, according to their complexity:
listItem ||| 9 A: queries with one or more selections and no joins,
listItem ||| 9 B: queries with one or more selections and a join be-
listItem ||| tween two relations,
listItem ||| 9 C: queries with one or more selections and joins be-
listItem ||| tween three relations.
bodyText ||| This gave a test suite with 5 test cases in each of these
bodyText ||| categories, which we executed against a randomly generated
bodyText ||| database state with 500 tuples per relation that does not
bodyText ||| satisfy any of the test case pre-conditions. Figure 8 shows
bodyText ||| the results obtained for the three complexity categories. We
bodyText ||| measured the average time taken to execute the test cases
bodyText ||| in each category, including a breakdown of where the time
bodyText ||| is spent in each case:
listItem ||| 9 Test: the time required to execute the procedural as-
listItem ||| pects of the test case;
listItem ||| 9 Query: the time required to execute the query aspect
listItem ||| of the test case condition;
listItem ||| 9 Prepare the time required to execute the preparation
listItem ||| aspect of the test case condition.
bodyText ||| While the overall time required to execute the test cases rises
bodyText ||| as the complexity rises (unsurprisingly), the relative propor-
bodyText ||| tions of time spent in the various phases remains roughly the
bodyText ||| same. The preparation phase seems to account for slightly
bodyText ||| more than half of the time in each case, indicating that sig-
bodyText ||| nificant improvements could be achieved with a less-naive
bodyText ||| preparation algorithm.
sectionHeader ||| 6. CONCLUSIONS
bodyText ||| We have presented a new approach to the specification
bodyText ||| of test cases for database systems that attempts to reduce
bodyText ||| the amount of manual intervention required in between test
bodyText ||| case runs while also minimising the number of spurious test
bodyText ||| failures due to inappropriate input database states. The ap-
bodyText ||| proach has the further advantage that it sits naturally on top
bodyText ||| of test data sets taken from live databases, and this allows
bodyText ||| testing to be carried out using realistic data sets without re-
bodyText ||| quiring significant programmer effort to tailor the data set to
bodyText ||| the test cases. In effect, the intensional approach we have
figureCaption ||| Figure 8: The Affect of Changing Constraint Com-
figureCaption ||| plexity
bodyText ||| described allows software developers to trade programmer
bodyText ||| time for test execution time
bodyText ||| Our experience has indicated that intensional test cases
bodyText ||| are quick and natural to write for anyone who is familiar
bodyText ||| with SQL and database programming, although a study
bodyText ||| with an independent testing team would be necessary be-
bodyText ||| fore we can make any strong claims in this regard. How-
bodyText ||| ever, compared with what is involved in writing pure JDBC
bodyText ||| database test cases and DBUnit test cases, we found that
bodyText ||| the self-contained nature of the intensional test cases was a
bodyText ||| definite advantage. Writing DBUnit test cases requires the
bodyText ||| programmer to continually check that the test case is com-
bodyText ||| patible with the database description. Moreover, since it is
bodyText ||| common to try to reuse database descriptions for multiple
bodyText ||| test cases by combining their requirements into one database
bodyText ||| state, it becomes very easy to break one test case by chang-
bodyText ||| ing the database description in order to ready it for another.
bodyText ||| These problems do not arise with intensional testing, since
bodyText ||| all the information about the test case is present in a single
bodyText ||| file (the Java class file).
bodyText ||| We designed this first version of the preparation algorithm
bodyText ||| for simplicity and correctness rather than efficiency, and as
bodyText ||| such it performs rather stupidly in many cases. We are cur-
bodyText ||| rently exploring options for improving the algorithm, includ-
bodyText ||| ing more intelligent selection of the order in which the rela-
bodyText ||| tional algebra tree is traversed, alternating between passing
bodyText ||| query bindings and passing literal value bindings as is most
bodyText ||| efficient, and making use of modifications to existing tuples
bodyText ||| as well as simply adding and deleting tuples (both of which
bodyText ||| are comparatively expensive operations). The complexity of
bodyText ||| the conditions we can handle is at present limited by the
bodyText ||| capabilities of DBMonster, and can be expanded by devel-
bodyText ||| opment of a custom data generation facility. We also need
bodyText ||| to expand the range of queries that can be handled, beyond
bodyText ||| simple select-project-join queries. For example, standard
bodyText ||| SQL also allows aggregation and ordering within queries—
bodyText ||| both of which offer challenges in terms of automatic prepa-
bodyText ||| ration.
bodyText ||| A further problem with our current algorithm is that it
bodyText ||| may sometimes fail to find a solution to the database prepa-
bodyText ||| ration problem, even though one exists. This is due to the
bodyText ||| fact that updates are made at leaf nodes before the full set of
bodyText ||| constraints on those nodes has been encountered. It should
page ||| 110
bodyText ||| be possible to address the problem with more sophisticated
bodyText ||| querying techniques (this is an example of a fairly standard
bodyText ||| constrained search problem, after all), although this will add
bodyText ||| to the performance overhead. A thorough study of the trade-
bodyText ||| offs between spurious failures and more intelligent searching
bodyText ||| will need to be carried out before any concrete recommen-
bodyText ||| dations can be made.
bodyText ||| Finally, we note that where it is important to test large
bodyText ||| numbers of frame constraints (i.e. aspects of the original
bodyText ||| database state that are not affected by the execution of the
bodyText ||| program under test), it may be easier to express the test case
bodyText ||| using DBUnit, rather than cluttering up the intensional test
bodyText ||| with many such constraints.
bodyText ||| Our work presents a number of possible avenues for future
bodyText ||| work beyond the improvements mentioned above, of which
bodyText ||| the most urgent is the question of ordering of test cases
bodyText ||| within suites. This ordering can be in terms of reducing the
bodyText ||| cost of the modifications to database state or to maximise
bodyText ||| fault coverage. There is also the question of whether the
bodyText ||| modifications to database state should always persist be-
bodyText ||| tween test cases or under certain conditions discarded. For
bodyText ||| example, a test case may specify that a relation be empty
bodyText ||| and to satisfy the condition the content is discarded. How-
bodyText ||| ever, this relation may be required by later test cases and so
bodyText ||| by discarding its contents we increase the divide between the
bodyText ||| test state and the real world. This could be accomplished
bodyText ||| by either embedding the modifications inside of a transac-
bodyText ||| tion which can then be aborted or by using a hypothetical
bodyText ||| database engine.
sectionHeader ||| 7. ACKNOWLEDGMENTS
bodyText ||| We thank Leonardo Mariani and the anonymous reviewers
bodyText ||| for comments on earlier drafts of this paper. David Willmor
bodyText ||| is supported by a research studentship from the UK Engi-
bodyText ||| neering and Physical Sciences Research Council.
sectionHeader ||| 8. REFERENCES
reference ||| [1] M. Arenas, L. E. Bertossi, and J. Chomicki.
reference ||| Consistent query answers in inconsistent databases. In
reference ||| Proceedings of the 18th ACM
reference ||| SIGACT-SIGMOD-SIGART Symposium on Principles
reference ||| of Database Systems (PODS), pages 68–79. ACM
reference ||| Press, 1999.
reference ||| [2] L. E. Bertossi and J. Chomicki. Query answering in
reference ||| inconsistent databases. In J. Chomicki, R. van der
reference ||| Meyden, and G. Saake, editors, Logics for Emerging
reference ||| Applications of Databases, pages 43–83. Springer,
reference ||| 2003.
reference ||| [3] P. Bohannon, M. Flaster, W. Fan, and R. Rastogi. A
reference ||| cost-based model and effective heuristic for repairing
reference ||| constraints by value modification. In Proceedings of
reference ||| the SIGMOD Conference, pages 143–154. ACM, 2005.
reference ||| [4] L. Bravo and L. E. Bertossi. Logic programs for
reference ||| consistently querying data integration systems. In
reference ||| G. Gottlob and T. Walsh, editors, Proceedings of the
reference ||| 18th International Joint Conference on Artificial
reference ||| Intelligence (IJCAI), pages 10–15. Morgan Kaufmann,
reference ||| August 2003.
reference ||| [5] A. Cali, D. Lembo, and R. Rosati. On the decidability
reference ||| and complexity of query answering over inconsistent
reference ||| and incomplete databases. In Proceedings of the 22nd
reference ||| ACM SIGACT-SIGMOD-SIGART Symposium on
reference ||| Principles of Database Systems (PODS), pages
reference ||| 260–271. ACM, June 2003.
reference ||| [6] D. Chays, S. Dan, P. G. Frankl, F. I. Vokolos, and
reference ||| E. J. Weber. A framework for testing database
reference ||| applications. In Proceedings of the International
reference ||| Symposium on Software Testing and Analysis
reference ||| (ISSTA), pages 147–157, August 2000.
reference ||| [7] D. Chays, Y. Deng, P. G. Frankl, S. Dan, F. I.
reference ||| Vokolos, and E. J. Weyuker. An AGENDA for testing
reference ||| relational database applications. Software Testing,
reference ||| Verification and Reliability, 14(1):17–44, 2004.
reference ||| [8] J. Chomicki and J. Marcinkowski. On the
reference ||| computational complexity of minimal-change integrity
reference ||| maintenance in relational databases. In L. E. Bertossi,
reference ||| A. Hunter, and T. Schaub, editors, Inconsistency
reference ||| Tolerance, volume 3300 of Lecture Notes in Computer
reference ||| Science, pages 119–150. Springer, 2005.
reference ||| [9] S. S. Cosmadakis and C. H. Papadimitriou. Updates
reference ||| of relational views. Journal of the ACM,
reference ||| 31(4):742–760, 1984.
reference ||| [10] S. M. Embury, S. M. Brandt, J. S. Robinson,
reference ||| I. Sutherland, F. A. Bisby, W. A. Gray, A. C. Jones,
reference ||| and R. J. White. Adapting integrity enforcement
reference ||| techniques for data reconciliation. Information
reference ||| Systems, 26(8):657–689, 2001.
reference ||| [11] G. Greco, S. Greco, and E. Zumpano. A logical
reference ||| framework for querying and repairing inconsistent
reference ||| databases. IEEE Transactions on Knowledge and
reference ||| Data Engineering, 15(6):1389–1408, 2003.
reference ||| [12] A. Guessoum and J. W. Lloyd. Updating knowledge
reference ||| bases. New Generation Computing, 8(1):71–89, 1990.
reference ||| [13] F. Haftmann, D. Kossmann, and A. Kreutz. Efficient
reference ||| regression tests for database applications. In
reference ||| Proceedings of the 2nd Biennial Conference on
reference ||| Innovative Data Systems Research (CIDR), pages
reference ||| 95–106. Online Proceedings, January 2005.
reference ||| [14] G. M. Kapfhammer and M. L. Soffa. A family of test
reference ||| adequacy criteria for database-driven applications. In
reference ||| Proceedings of the 11th ACM SIGSOFT Symposium
reference ||| on Foundations of Software Engineering, pages
reference ||| 98–107. ACM, September 2003.
reference ||| [15] R. Langerak. View updates in relational databases
reference ||| with an independent scheme. ACM Transactions on
reference ||| Database Systems (TODS), 15(1):40–66, 1990.
reference ||| [16] P. Louridas. Junit: Unit testing and coding in
reference ||| tandem. IEEE Software, 22(4):12 – 15, July-Aug 2005.
reference ||| [17] J. Melton and A. R. Simon. SQL:1999 Understanding
reference ||| Relational Language Components. Morgan Kaufmann,
reference ||| 2002.
reference ||| [18] H. Shu. Using constraint satisfaction for view update.
reference ||| Journal of Intelligent Information Systems,
reference ||| 15(2):147–173, 2000.
reference ||| [19] D. Willmor and S. M. Embury. Exploring test
reference ||| adequacy for database systems. In Proceedings of the
reference ||| 3rd UK Software Testing Research Workshop
reference ||| (UKTest), pages 123–133. The University of Sheffield,
reference ||| September 2005.
reference ||| [20] D. Willmor and S. M. Embury. A safe regression test
reference ||| selection technique for database–driven applications.
reference ||| In Proceedings of the 21st International Conference on
reference ||| Software Maintenance (ICSM), pages 421–430. IEEE
reference ||| Computer Society, September 2005.
page ||| 111
