title ||| An expressive aspect language for system applications
figure ||| if( expr ) [ &amp;&amp; PIf ]
figure ||| readGlobal( type varId) [ &amp;&amp; value( pattern) ] [ &amp;&amp; PIf ]
figure ||| 1writeGlobal( type varId) [ &amp;&amp; value( pattern) ] [ &amp;&amp; size( pattern) ] [ &amp;&amp; PIf ]
figure ||| ::=
figure ||| ::=
figure ||| ::=
figure ||| ::=
figure ||| controlflow( PCallSigList, PCfEnd )
figure ||| PCf End	::=
figure ||| PAcc	
figure ||| pattern	::=
figure ||| var 1 val
figure ||| read( var ) [ &amp;&amp; value(pattern ) ] [ &amp;&amp; PIf ]
figure ||| 1write( var ) [ &amp;&amp; value( pattern ) ] [ &amp;&amp; size( pattern) ] [ &amp;&amp; PIf ]
figure ||| ::=
figureCaption ||| Figure 6: Pointcut language
figure ||| A::= A&apos;
figure ||| 1A 11 A	; parallelism
figure ||| A&apos;::= µa.A&apos;	; recursive definition (a E Rec)
figure ||| 1C D I; A	; prefixing
figure ||| 1C D I; a	; end of sequence (a E Rec)
figure ||| 1C D I; STOP ; halting aspect
figure ||| 1A&apos; ❑ A&apos;	; choice
figureCaption ||| Figure 8: Tiny aspect language
bodyText ||| tive as long as the following one in the sequence does not
bodyText ||| match. Branching, i.e., a logical ‘or’ between two primitive
bodyText ||| aspects, can be introduced in a sequence by the operator 11.
bodyText ||| An element of the sequence can also match a global vari-
bodyText ||| able of the base program and accesses to its local aliases, as
bodyText ||| soon as its address is known (i.e., a previous primitive point-
bodyText ||| cut has already bound its address to a pointcut variable).
bodyText ||| Hence, an aspect matching accesses cannot start a sequence.
bodyText ||| Every join point matching the first primitive pointcut of a
bodyText ||| sequence starts a new instance of the sequence. The different
bodyText ||| instances are matched in parallel.
bodyText ||| A primitive or a sequence aspect a can be used in combi-
bodyText ||| nation with an expression until (a1 ), to restrict its scope. In
bodyText ||| this case, once a join point has been matched by a, the execu-
bodyText ||| tion of a proceeds as previously described until a1 matches.
bodyText ||| To conclude the presentation of our language, note that it
bodyText ||| does not include some features, such as named pointcuts as
bodyText ||| arguments to controlf lows and conjunctive terms, which
bodyText ||| are not necessary for the examples we considered but which
bodyText ||| could easily be added. (As an aside, note that such exten-
bodyText ||| sions of the pointcut language may affect the computability
bodyText ||| of advanced algorithmic problems, such as whether a point-
bodyText ||| cut matches some part of any base program [25].)
subsectionHeader ||| 3.5 Towards a formal semantics for expressive
subsectionHeader ||| aspects
bodyText ||| In the previous sections, we have given an informal se-
bodyText ||| mantics of our aspect language. We now illustrate how the
bodyText ||| aspect language could be formally defined by translating one
bodyText ||| of the example aspects into formal aspect language by ex-
bodyText ||| tension of that used in the formal framework of [14].
bodyText ||| The original formal language must be extended in order to
bodyText ||| deal with halting aspects, an unbounded number of sequen-
bodyText ||| tial aspects and arbitrary join point predicates. The gram-
bodyText ||| mar of the extension, our tiny aspect language, is defined in
bodyText ||| Figure 8. In this language, aspect expressions A consists of
bodyText ||| parallel combinations of aspects, C is a join point predicate
bodyText ||| (similar to our pointcut language) expressed as a conjunc-
bodyText ||| tion of a term pattern and possibly an expression from the
bodyText ||| constraint logic programming language CLP(R) [20].
bodyText ||| An aspect A&apos; is either:
listItem ||| •	A recursive definition.
listItem ||| •	A sequence formed using the prefix operation C D I; X,
listItem ||| where X is an aspect or a recursion variable and I a piece
listItem ||| of code (i.e., an advice).
listItem ||| •	A choice construction A1 ❑ A2 which chooses the first
listItem ||| aspect that matches a join point (the other is thrown away).
listItem ||| If both match the same join point, A1 is chosen.
listItem ||| •	A parallel composition of two aspects A1 11 A2 that
listItem ||| cannot occur in choice construction.
listItem ||| •	A halting aspect STOP.
bodyText ||| The semantics of the protocol translation aspect (from
bodyText ||| TCP to UDP) is given in Fig. 9. A sequence can have sev-
bodyText ||| eral instances. This is translated into the language A by the
bodyText ||| expression a1 11 ... which starts a new sequence a1 once
bodyText ||| the first join point has been matched and continue to match
bodyText ||| the rest of the sequence in progress. The repetition oper-
bodyText ||| ator ∗ is translated into recursion on variable the a2. The
bodyText ||| branching operator 11 is translated into the choice operator
page ||| 32
figure ||| µa1. callJP(fd socket(AF INET,  SOCK  STREAM, 0)) D socket(AF INET, SOCK DGRAM, 0);
figure ||| a1 ( callJP(a connect(fd, address, length)) D returnZero();
figure ||| µa2. callJP(b close(fd)) D skip; STOP 
figure ||| ❑	callJP(c read(fd, readBuffer, readLength)) D recvfrom(fd, readBuffer, readLength, 0, address, length); a2
figure ||| ❑	callJP(d write(fd, writeBuffer, writeLength)) D recvfrom(fd, writeBuffer, writeLength, 0, address, length); a2
figureCaption ||| Figure 9: Definition of the protocol translation using the tiny aspect language
bodyText ||| ❑. Finally, the last primitive aspect of the sequence occurs
bodyText ||| as the first aspect of a choice to get priority over the join
bodyText ||| points read and write because of the *. Note that we use
bodyText ||| pattern matching in A and that an overbar marks the first
bodyText ||| occurrence of a variable (i.e., its definition not a use).
bodyText ||| Note that formal definitions such as that of the protocol
bodyText ||| translation aspect precisely define several important issues,
bodyText ||| in particular, when new instances of the sequence aspect are
bodyText ||| created, and disambiguate of potentially non-deterministic
bodyText ||| situations, e.g., when two pointcuts of consecutive primitive
bodyText ||| aspects in the sequence match at the same time.
sectionHeader ||| 4. DYNAMIC WEAVING WITH ARACHNE
bodyText ||| Arachne is built around two tools, an aspect compiler and
bodyText ||| a runtime weaver. The aspect compiler translates the aspect
bodyText ||| source code into a compiled library that, at weaving time, di-
bodyText ||| rects the weaver to place the hooks in the base program. The
bodyText ||| hooking mechanisms used in Arachne are based on improved
bodyText ||| techniques originally developed for µDyner [32]. These tech-
bodyText ||| niques allow to rewrite the binary code of executable files
bodyText ||| on the fly i.e.without pausing the base program, as long
bodyText ||| as these files conform to the mapping defined by the Unix
bodyText ||| standard [35] between the C language and x86 assembly lan-
bodyText ||| guage. Arachne’s implementation is structured as an open
bodyText ||| framework that allows to experiment with new kinds of join
bodyText ||| points and pointcut constructs. Another important differ-
bodyText ||| ence between Arachne and µDyner is, that µDyner requires
bodyText ||| a compile time preparation of the base program, whereas
bodyText ||| Arachne does not. Hence Arachne is totally transparent for
bodyText ||| the base program while µDyner is not.
subsectionHeader ||| 4.1 The Arachne Open Architecture
bodyText ||| The Arachne open architecture is structured around three
bodyText ||| main entities: the aspect compiler, the instrumentation ker-
bodyText ||| nel, and the different rewriting strategies. The aspect com-
bodyText ||| piler translates the aspect source code into C before com-
bodyText ||| piling it. Weaving is accomplished through a command line
bodyText ||| tool weave that acts as a front end for the instrumentation
bodyText ||| kernel. weave relays weaving requests to the instrumen-
bodyText ||| tation kernel loaded in the address space of the program
bodyText ||| through Unix sockets. Upon reception of a weaving request,
bodyText ||| the instrumentation kernel selects the appropriate rewriting
bodyText ||| strategies referred by the aspects to be woven and instru-
bodyText ||| ments the base program accordingly. The rewriting strat-
bodyText ||| egy consults the pointcut analysis performed by the aspect
bodyText ||| compiler to locate the places where the binary code of the
bodyText ||| base program needs to be rewritten. It finally modifies the
bodyText ||| binary code to actually tie the aspects to the base program.
bodyText ||| With this approach, the Arachne core is independent of
bodyText ||| a particular aspect, of the aspect language, of the particu-
bodyText ||| lar processor architecture, and of a particular base program.
bodyText ||| In fact, all dependencies to aspect language implementation
bodyText ||| are limited to the aspect compiler. All dependencies to the
bodyText ||| operating system are localized in the instrumentation ker-
bodyText ||| nel and finally all dependencies to the underlying hardware
bodyText ||| architecture are modularized in the rewriting strategies.
subsubsectionHeader ||| 4.1.1 The Arachne aspect compilation process
bodyText ||| The aspect compilation scheme is relatively straightfor-
bodyText ||| ward: it transforms advices into regular C functions. Point-
bodyText ||| cuts are rewritten as C code driving hook insertions into
bodyText ||| the base program at weaving time. There are however cases
bodyText ||| where the sole introduction of hooks is insufficient to deter-
bodyText ||| mine whether an advice should be executed. In this case,
bodyText ||| the aspect compiler generates functions that complement
bodyText ||| the hooks with dynamic tests on the state of the base pro-
bodyText ||| gram. These dynamic tests are called residues in AspectJ
bodyText ||| and the rewritten instructions within the base program the
bodyText ||| shadow [16]. Once the aspects have been translated into C,
bodyText ||| the Arachne compiler uses a legacy C compiler to generate a
bodyText ||| dynamically linked library (DLL) for the compiled aspects.
subsubsectionHeader ||| 4.1.2 The Arachne weaving process
bodyText ||| From a user viewpoint, the Arachne weave and deweave
bodyText ||| command line programs the same syntax than µDyner’s ver-
bodyText ||| sion. They both take two arguments. The first identifies the
bodyText ||| process to weave aspects in or deweave aspects from, and
bodyText ||| the second indicates the aspect DLL. However, Arachne can
bodyText ||| target potentially any C application running on the machine
bodyText ||| while µDyner was limited to applications compiled with it
bodyText ||| running on the machine. When Arachne’s weave receives a
bodyText ||| request to weave an aspect in a process that does not con-
bodyText ||| tain the Arachne instrumentation kernel, it loads the kernel
bodyText ||| in the process address space using standard techniques [11].
bodyText ||| The instrumentation kernel is transparent for the base
bodyText ||| program as the latter cannot access the resources (mem-
bodyText ||| ory and sockets essentially) used by the former. Once in-
bodyText ||| jected, the kernel creates a thread with the Linux system
bodyText ||| call: clone. This thread handles the different weaving re-
bodyText ||| quests. Compared to the POSIX pthread create function,
bodyText ||| the usage of clone allows the instrumentation thread to pre-
bodyText ||| vent the base program to access its sockets. The instrumen-
bodyText ||| tation kernel allocates memory by using side effect free allo-
bodyText ||| cation routines (through the Linux mmap API). Because the
bodyText ||| allocation routines are side effect free, Arachne’s memory is
bodyText ||| totally invisible to the base program. It is up to the aspect
bodyText ||| to use Arachne’s memory allocation routines or base pro-
bodyText ||| gram specific allocation functions. This transparency turns
bodyText ||| out to be crucial in our experiments. Legacy applications
bodyText ||| such as Squid use dedicated resource management routines
bodyText ||| and expect any piece of code they run to use these routines.
bodyText ||| Failures will result in an application crash.
bodyText ||| After loading an aspect, the instrumentation kernel rewrites
bodyText ||| the binary code of the base program. These rewriting strate-
bodyText ||| gies are not included in the kernel and must be fetched on
bodyText ||| demand by each loaded aspect.
subsectionHeader ||| 4.2 Rewriting strategies
bodyText ||| Rewriting strategies are responsible for transforming the
bodyText ||| binary code of the base program to effectively tie aspects to
page ||| 33
figureCaption ||| Figure 10: Generic hook operations.
bodyText ||| the base program at weaving time. These strategies localize
bodyText ||| Arachne’s main dependencies to the underlying hardware
bodyText ||| architecture. In general, rewriting strategies need to col-
bodyText ||| lect information about the base program. These information
bodyText ||| typically consist of the addresses of the different shadows,
bodyText ||| their size, the symbol (i.e.function or global variable name)
bodyText ||| they manipulate, their length etc. In order to keep compiled
bodyText ||| aspects independent from the base program, this informa-
bodyText ||| tion is gathered on demand at runtime. The mapping be-
bodyText ||| tween a symbol name in the base program source code and
bodyText ||| its address in memory is inferred from linking information
bodyText ||| contained in the base program executable. However because
bodyText ||| these information can be costly to retrieve, Arachne collects
bodyText ||| and stores it into meta-information DLLs. these DLLs be-
bodyText ||| have as a kind of cache and lessen the problem of collecting
bodyText ||| the information required to instrument the base program.
bodyText ||| To implement our aspect language, Arachne provides a set
bodyText ||| of eight rewriting strategies that might eventually use each
bodyText ||| other.
subsubsectionHeader ||| 4.2.1 Strategiesfor call, readGlobal and writeGlobal
bodyText ||| In Arachne, call, readGlobal and writeGlobal allow an
bodyText ||| advice to be triggered upon a function call, a read on a
bodyText ||| global variable or a write respectively. While the implemen-
bodyText ||| tation of readGlobal and writeGlobal in Arachne is close
bodyText ||| to the one in µDyner, Arachne implements the strategy for
bodyText ||| call by rewriting function invocations found in the base
bodyText ||| program. µDyner instead rewrites the function body of the
bodyText ||| callee. On the Intel architecture, function calls benefit from
bodyText ||| the direct mapping to the x86 call assembly instruction
bodyText ||| that is used by almost, if not all, compilers. Write and read
bodyText ||| accesses to global variables are translated into instructions
bodyText ||| using immediate, hard coded addresses within the binary
bodyText ||| code of the base program. By comparing these addresses
bodyText ||| with linking information contained in the base program ex-
bodyText ||| ecutable, Arachne can determine where the global variable
bodyText ||| is being accessed. Therefore those primitive pointcuts do
bodyText ||| not involve any dynamic tests. The sole rewriting of the
bodyText ||| binary base program code is enough to trigger advice and
bodyText ||| residue1 executions at all appropriate points.
bodyText ||| The size of the x86 call instruction and the size of an x86
bodyText ||| jump (jmp) instruction are the same. Since the instruction
bodyText ||| performing an access to a global variable involves a hard
bodyText ||| coded address, x86 instructions that read or write a global
footnote ||| 1Residues (i.e. dynamic tests on the base program state) are
footnote ||| required when these primitive pointcuts are combined with
footnote ||| conditional pointcuts or when pattern matching is involved.
bodyText ||| variable have at least the size of a x86 jmp instruction. Hence
bodyText ||| at weaving time, Arachne rewrites them as a jmp instruction
bodyText ||| to a hook. Hooks are generated on the fly on freshly allo-
bodyText ||| cated memory. As shown in figure 10, hooks contain a few
bodyText ||| assembly instructions that save and restore the appropriate
bodyText ||| registers before and after an advice (or shadow) execution.
bodyText ||| A generic approach is to have hooks save the whole set of
bodyText ||| registers, then execute the appropriate residue and/or ad-
bodyText ||| vice code before restoring the whole set of registers; finally
bodyText ||| the instructions found at the join point shadow are executed
bodyText ||| to perform the appropriate side effects on the processor reg-
bodyText ||| isters. This is accomplished by relocating the instructions
bodyText ||| found at the join point shadow. Relocating the instructions
bodyText ||| makes the rewriting strategies handling read and write ac-
bodyText ||| cess to global variable independent from the instruction gen-
bodyText ||| erated by the compiler to perform the access 2. The limited
bodyText ||| number of x86 instructions used to invoke a function allows
bodyText ||| Arachne’s rewriting strategy to exploit more efficient, relo-
bodyText ||| cation free, hooks.
subsubsectionHeader ||| 4.2.2 Strategiesfor controlf low and controlflowstar
bodyText ||| Every time a C function is called, the Linux runtime
bodyText ||| creates an activation record on the call stack [35]. Like
bodyText ||| µDyner, Arachne’s implementation of the rewriting strat-
bodyText ||| egy for controlf low uses the most deeply nested function
bodyText ||| call (or global read or write access) in the control flow point-
bodyText ||| cut as shadow. This shadow triggers a residue. This residue
bodyText ||| uses the activation record’s chaining to check whether the
bodyText ||| remaining function calls of the control flow, are on the call
bodyText ||| stack maintained by the Linux runtime. An appropriate
bodyText ||| usage of hashtables that store the linking information con-
bodyText ||| tained in the base program executables can thereby de-
bodyText ||| crease the cost of determining if a specific function is the
bodyText ||| caller of another to a pointer comparison. Therefore, the
bodyText ||| residue for a controlf low with n directly nested functions
bodyText ||| implies exactly n pointer comparisons. However, the residue
bodyText ||| worst case runtime for the indirect control flow operator
bodyText ||| controlflowstar that allows for not directly nested func-
bodyText ||| tions, is proportional to the base program stack depth.
subsubsectionHeader ||| 4.2.3 Strategiesfor read and write
bodyText ||| read and write are new join points not included in µDyner
bodyText ||| that have been added to the latest version of Arachne. Their
bodyText ||| implementation relays on a page memory protection as al-
bodyText ||| lowed by the Linux operating system interface (i.e. mprotect)
bodyText ||| and the Intel processor specifications [18]. A read or write
bodyText ||| pointcut triggers a residue to relocate the bound variable
bodyText ||| into a memory page that the base program is not allowed
bodyText ||| to access and adds a dedicated signal handler. Any attempt
bodyText ||| made by the base program to access the bound variable iden-
bodyText ||| tified will then trigger the execution of the previously added
bodyText ||| signal handler. This handler will then inspect the binary
bodyText ||| instruction trying to access the protected page to determine
bodyText ||| whether it was a read or a write access before eventually
bodyText ||| executing the appropriate advice.
subsubsectionHeader ||| 4.2.4 Strategiesfor seq
bodyText ||| Like read and write, seq is a new language feature of
bodyText ||| Arachne. µDyner offers no equivalent construct. Arachne’s
bodyText ||| rewriting strategy of this operator associates a linked list to
footnote ||| 2About 250 x86 instruction mnemonics can directly manip-
footnote ||| ulate a global variable. This corresponds to more than one
footnote ||| thousand opcodes.
figure ||| execution flow
figure ||| Legacy base program
figure ||| shadow: rewriting
figure ||| site replaced by a
figure ||| jump
figure ||| B���piled baof sethe
figure ||| program
figure ||| x86 instruction
figure ||| x86 instruction
figure ||| x86 instruction
figure ||| x86 instruction
figure ||| Relocated tailored
figure ||| ���tructio��
figure ||| up���ng re���ters
figure ||| Hooks generated at weavingAspect DLL
figure ||| time	generated at aspect compile time
figure ||| Entry hook
figure ||| save registers
figure ||| Return hook
figure ||| Restore registers
figure ||| Residue (dynamic tests)
figure ||| and/or advices
page ||| 34
bodyText ||| every stage inside the sequence except the last one. Each
bodyText ||| stage in a sequence triggers a residue that updates these
bodyText ||| linked lists to reflect state transitions of currently match-
bodyText ||| ing execution flows. Upon matching of the first pointcut
bodyText ||| of the first primitive aspect in the seq, a node is allocated
bodyText ||| and added to the associated linked list. This node con-
bodyText ||| tains a structure holding variables shared among the dif-
bodyText ||| ferent pointcuts within the sequence. Once a join point
bodyText ||| matches a pointcut of an primitive aspect denoting a stage
bodyText ||| in the sequence, Arachne consults every node in the linked
bodyText ||| list associated with the previous stage and executes the cor-
bodyText ||| responding advice 3. Arachne eventually updates the node
bodyText ||| and in the absence of a * moves it to the list associated
bodyText ||| with the currently matched pointcut.If the matching point-
bodyText ||| cut corresponds to the end of the sequence, structures are
bodyText ||| not moved into another list but freed. Our aspect compiler
bodyText ||| includes an optimization where structures are allocated from
bodyText ||| a resizable pool and upon a sequence termination, structures
bodyText ||| are not freed but returned to the pool.
subsectionHeader ||| 4.3 Arachne limitations
bodyText ||| Aggressive optimizations of the base program might pre-
bodyText ||| vent Arachne to seamlessly weave aspects. Two optimiza-
bodyText ||| tions are not yet supported by Arachne. First if the compiler
bodyText ||| inlines a function in another one within the binary code of
bodyText ||| the base program, the Arachne weaver will fail to properly
bodyText ||| handle pointcuts referring to that function. Second, con-
bodyText ||| trol flow pointcuts are based on the chaining of activation
bodyText ||| records. On the x86 architecture, in leaf functions, opti-
bodyText ||| mizing compilers sometimes do not maintain this chaining
bodyText ||| to free one register for the rest of the computation. This
bodyText ||| however has not been a problem during our experiments
bodyText ||| as we used the open source C compiler gcc. Arachne sup-
bodyText ||| ports two of the three optimization levels proposed by gcc.
bodyText ||| Stripping that removes linking information and aggressive
bodyText ||| optimizations that break the interoperability between com-
bodyText ||| pilers and/or debuggers are incompatible with Arachne. In
bodyText ||| practice, Arachne can be used on applications compiled like
bodyText ||| squid with two of the three gcc optimization level.
sectionHeader ||| 5. PERFORMANCE EVALUATION
bodyText ||| Aspect-oriented solutions will be used if the aspect sys-
bodyText ||| tem’s language is expressive enough and if the aspect system
bodyText ||| overhead is low enough, for the task at hand. The purpose
bodyText ||| of this section is to study Arachne’s performance. We first
bodyText ||| present the speed of each Arachne language construct and
bodyText ||| compare it to similar C language constructs. We then study
bodyText ||| the overhead of extending Squid with a prefetching policy.
bodyText ||| This case study shows that even if the cost of some Arachne
bodyText ||| aspect language constructs might be high compared to C
bodyText ||| language constructs, this overhead is largely amortized in
bodyText ||| real applications.
subsectionHeader ||| 5.1 Evaluation of the language constructs
subsectionHeader ||| This performance evaluation focuses on studying the cost
subsectionHeader ||| of each construct of our aspect language. To estimate the
subsectionHeader ||| cost for each construct of our aspect language, we wrote an
subsectionHeader ||| aspect using this construct that behaves as an interpreter of
footnote ||| 3In case the previous stage pointcut was used with a star
footnote ||| *, Arachne examines nodes from linked list associated with
footnote ||| the last two previous stages, and so on, until a not starred
footnote ||| primitive aspect in the sequence is reached.
table ||| Execution times (cycles)
table ||| call	Arachne	Native	Ratio
table ||| 	28±2.3%	21±1.9%	1.3
table ||| seq	201±0.5%	63±1.7%	3.2
table ||| cflow	228±1.6%	42±1.8%	5.4
table ||| readGlobal	2762±4.3%	1±0.2%	2762
table ||| read	9729±4.9%	1±0.6%	9729
tableCaption ||| Table 1: Speed of each language construct used to
tableCaption ||| interpret the base program compared to a native
tableCaption ||| execution.
bodyText ||| the base program. For example, to study the performance
bodyText ||| of readGlobal, we wrote an aspect whose action returns the
bodyText ||| value of the global variable referred in the pointcut, i.e., we
bodyText ||| wrote aspects behaving like the base program. For each of
bodyText ||| these aspects, we compare the time required to perform the
bodyText ||| operation matching the pointcut, in case the operation is
bodyText ||| interpreted by the woven aspect with the time required to
bodyText ||| carry out the operation natively (without the woven aspect).
bodyText ||| For example, to study the performance of readGlobal, we
bodyText ||| first evaluate the time needed to retrieve the global variable
bodyText ||| value through the code generated by the C compiler gcc
bodyText ||| without any aspect woven and compare this value to the
bodyText ||| time needed to retrieve the global variable value through
bodyText ||| the aspect once it has been woven in the base program.
bodyText ||| We express our measurements as a ratio between these two
bodyText ||| durations to abstract from the experimentation platform.
bodyText ||| This approach requires the ability to measure short peri-
bodyText ||| ods of time. For instance, a global variable value is usually
bodyText ||| retrieved (readGlobal in our aspect language) in a single
bodyText ||| clock tick. Since standard time measurement APIs were
bodyText ||| not precise enough, our benchmarking infrastructure relies
bodyText ||| on the rdtsc assembly instruction [18]. This instruction re-
bodyText ||| turns the number of clock cycles elapsed since power up. The
bodyText ||| Pentium 4 processor has the ability to dynamically reorder
bodyText ||| the instructions it executes. To ensure the validity of our
bodyText ||| measurement, we thus insert mfence instructions in the gen-
bodyText ||| erated code whose execution speed is being measured. An
bodyText ||| mfence forces the preceding instructions to be fully executed
bodyText ||| before going on. The pipeline mechanism in the Pentium 4
bodyText ||| processor entails that the speed of a piece of assembly code
bodyText ||| depends from the preceding instructions. To avoid such hid-
bodyText ||| den dependencies, we place the operation whose execution
bodyText ||| time is being measured in a loop. We use gcc to unroll the
bodyText ||| loop at compile time and we measure the time to execute
bodyText ||| the complete loop. This measure divided by the number of
bodyText ||| loop repetitions yields an estimation of the time required
bodyText ||| to execute the operation. The number of times the loop is
bodyText ||| executed is chosen after the relative variations of the mea-
bodyText ||| sures ,i.e., we increased the number of repetitions until ten
bodyText ||| runs yields an average relative variation not exceeding 5%.
bodyText ||| To check the correctness of our experimental protocol, we
bodyText ||| measured the time needed to execute a nop assembly in-
bodyText ||| struction, that requires one processor cycle according to the
bodyText ||| Intel specification. The measures of nop presented a relative
bodyText ||| variation of 1.6%.
bodyText ||| Table 1 summarizes our experimental results. Using the
bodyText ||| aspect language to replace a function that returns immedi-
bodyText ||| ately is only 1.3 times slower than a direct, aspect-less, call
bodyText ||| to that empty function. Since the aspect compiler packages
bodyText ||| advices as regular C functions, and because a call pointcut
bodyText ||| involves no residue, this good result is not surprising. When
page ||| 35
figureCaption ||| Figure 11: controlflow, seq, and read performances
bodyText ||| an access to a global variable is replaced by an advice exe-
bodyText ||| cution, the hooks generated by the rewriting strategy need
bodyText ||| to prepare the processor to call the advice function. This
bodyText ||| increases the time spent in the hooks. In addition, while
bodyText ||| an access to a global variable is often performed by a sin-
bodyText ||| gle x86 instruction, an empty function is often composed
bodyText ||| of four instructions. Hence the relative cost of an aspect
bodyText ||| triggered upon a global variable access and a direct, aspect-
bodyText ||| less, access to a global variable is slightly higher than the
bodyText ||| corresponding ratio for functions. A seq of three invoca-
bodyText ||| tions of empty functions is only 3.2 time slower than the
bodyText ||| direct, aspect-less, three successive functions calls. Com-
bodyText ||| pared to the pointcuts used to delimit the different stages,
bodyText ||| the seq overhead is limited to a few pointer exchanges be-
bodyText ||| tween the linked lists holding the bound variable. On Intel
bodyText ||| x86, global variable accesses benefit from excellent hardware
bodyText ||| support. In the absence of aspects, a direct global variable
bodyText ||| read is usually carried out in a single unique cycle. To trig-
bodyText ||| ger the advice execution, the Arachne runtime has to save
bodyText ||| and restore the processor state to ensure the execution co-
bodyText ||| herency, as advices are packaged as regular C functions (see
bodyText ||| also 4.2.1). It is therefore not surprising that a global vari-
bodyText ||| able readGlobal appears as being 2762 times slower than
bodyText ||| a direct, aspect-less global variable read. read performance
bodyText ||| can be accounted in the same way: in the absence of aspect,
bodyText ||| local variables are accessed in a single unique cycle. The
bodyText ||| signal mechanism used in the read requires that the oper-
bodyText ||| ating system detects the base program attempt to read into
bodyText ||| a protected memory page before locating and triggering the
bodyText ||| signal handler set up by Arachne, as shown in 4.2.3. Such
bodyText ||| switches to and from kernel space remain slow. Using read
bodyText ||| to read a local variable is 9729 times slower than retrieving
bodyText ||| the local variable value directly, without aspects.
bodyText ||| seq and controlf low can refer to several points in the exe-
bodyText ||| cution of the base program (i.e. different stages for seq and
bodyText ||| different function invocations for the controlflow). The
bodyText ||| runtime of these pointcuts grows linearly with the number
bodyText ||| of execution points they refer to and with the number of
bodyText ||| matching instances. Figure 11 summarizes a few experimen-
bodyText ||| tal results for controlf low and seq proving these points.
subsectionHeader ||| 5.2 Case Study on a real application
bodyText ||| Since, depending on the aspect construct used, interpret-
bodyText ||| ing the base program with aspects can slow it down by a fac-
bodyText ||| tor ranging between 1.3 and 9729, we studied Arachne’s per-
bodyText ||| formance on a real world application, the Web cache Squid.
table ||| 	Arachne	Manual	Diff
table ||| 			(%)
table ||| 	Top1	Top1	
table ||| 	Top2	Top2	
table ||| Throughput	5.59	5.59	
table ||| (request/s)	5.58	5.59	
table ||| Response Time (ms)	1131.42	1146.07	1.2–-1
table ||| 	1085.31	1074.55	
table ||| Miss response time (ms)	2533.50	2539.52	0.2– 1.8
table ||| 	2528.35	2525.34	
table ||| Hit response time (ms)	28.96	28.76	-0.6 – 3.8
table ||| 	30.62	31.84	
table ||| Hit ratio	59.76	59.35	-0.6 – 0.7
table ||| 	61.77	62.22	
table ||| Errors	0.51	0.50	-1.9–0
table ||| 	0.34	0.34	
tableCaption ||| Table 2: Performances comparison between manual
tableCaption ||| modification and Arachne, for prefechting policy in-
tableCaption ||| tegration in Squid
bodyText ||| We extended Squid with a prefetching policy [9]. As de-
bodyText ||| scribed in section 3.1, we implemented this policy as a set
bodyText ||| of aspects and made a second implementation of this policy
bodyText ||| by editing the Squid source code and recompiling it. This
bodyText ||| section compares the performance of these two implemen-
bodyText ||| tations using standard Web cache performance indicators:
bodyText ||| throughput, response time and hit ratio.
bodyText ||| Obtaining access traces adequate to study a Web cache
bodyText ||| performance is difficult. The trace must be long enough to
bodyText ||| fill the cache. Due to privacy issues, traces are usually not
bodyText ||| publicly available. Since traces do not include the content of
bodyText ||| the accessed pages, these pages must be downloaded again.
bodyText ||| In the meantime the page contents may have changed and
bodyText ||| even the URLs may have disappeared.
bodyText ||| Instead of traces, we based our evaluation on Web Poly-
bodyText ||| graph [30]. Polygraph is a benchmarking tool developed by
bodyText ||| the Squid team and featuring a realistic HTTP and SSL
bodyText ||| traffic generator and a flexible content simulator.
bodyText ||| We filled up the cache and simulated a one day workload
bodyText ||| with its two request rate peaks observed in real life environ-
bodyText ||| ments [30]. Table 2 shows results of our simulation. Mea-
bodyText ||| sures have been made during the two request peaks. The
bodyText ||| hit time and the miss time, time needed to deliver a docu-
bodyText ||| ment present, respectively not present, in the cache are very
bodyText ||| similar. It shows that differences are imperceptible between
bodyText ||| the version of Squid extended by Arachne and the one ex-
bodyText ||| tended manually (less than 1%). Hence, even if the cost
bodyText ||| of Arachne’s aspect language constructs might seem high,
bodyText ||| they are largely amortized in real applications. To give a
bodyText ||| typical example observed on our experimental platform: in
bodyText ||| case of a cache hit, a 3.8 MB page was retrieved in a single
bodyText ||| second, the time spent in prefetching advices amounted to
bodyText ||| 1801 µsec, and the time spent within Arachne to execute the
bodyText ||| hooks and dynamic tests to 0.45 µsec. In a miss case, on
bodyText ||| the average, a client retrieved the same page in 1.3 seconds,
bodyText ||| 16679 µsec were spent in the advices and 0.67 µsec within
bodyText ||| Arachne itself.
sectionHeader ||| 6. RELATED WORK
bodyText ||| Our work is directly related to other aspect weavers for
bodyText ||| C, approaches for expressive aspect languages, and dynamic
bodyText ||| weaving, in particular for C. In this section, we consider
bodyText ||| related work in each of these fields in turn.
bodyText ||| Apart from µDyner and Arachne, there are few aspect
figure ||| Sequence
figure ||| 1	2	3	4	5
figure ||| 1	2	3	4	5
figure ||| Number of imbricated calls	Number of matching instances
figure ||| Controlflow
figure ||| 10
figure ||| 3000
figure ||| 2000
figure ||| 30
figure ||| 20
figure ||| 5
figure ||| 1000
figure ||| 10
page ||| 36
bodyText ||| weavers for C (or even C like languages); some notewor-
bodyText ||| thy exceptions are AspectC [12] (no available implementa-
bodyText ||| tion), AspectC++ and [33]. All of these rely on source-code
bodyText ||| transformation and thus cannot apply aspects to running
bodyText ||| C applications as required by the applications we consider.
