title ||| A New Approach to Intranet Search
bodyText ||| models. In the models, we mainly utilize format information such
bodyText ||| as font size as features. As models, we employ Perceptron with
bodyText ||| Uneven Margins [23].
bodyText ||| Experimental results indicate that our approach works well for
bodyText ||| title extraction from general documents. Our method can
bodyText ||| significantly outperform the baselines: one that always uses the
bodyText ||| first lines as titles and the other that always uses the lines in the
bodyText ||| largest font sizes as titles. Precision and recall for title extraction
bodyText ||| from Word are 0.875 and 0.899 respectively, and precision and
figureCaption ||| Figure 5. Title and author extraction from four example
figure ||| PowerPoint documents
figure ||| Microsoft Project 2002 Project Guide
figure ||| Architecture and Extensibi(ity
figure ||| White Paper
figure ||| DRAFT
page ||| 465
bodyText ||| recall for title extraction from PowerPoint are 0.907 and 0.951
bodyText ||| respectively.
bodyText ||| Metadata extraction has been intensively studied. For instance,
bodyText ||| Han et al [14] proposed a method for metadata extraction from
bodyText ||| research papers. They considered the problem as that of
bodyText ||| classification based on SVM. They mainly used linguistic
bodyText ||| information as features. To the best of our knowledge, no
bodyText ||| previous work has been done on metadata extraction from general
bodyText ||| documents. We report our title extraction work in details in [19].
bodyText ||| The feature of ‘who is’ can help find documents authored by a
bodyText ||| person, but existing in different team web sites. Information
bodyText ||| extraction (specifically metadata extraction) makes the aggregation
bodyText ||| of information possible.
subsubsectionHeader ||| 5.2.4 ‘Who knows about’
bodyText ||| The basic idea for the feature is that if a person has authored many
bodyText ||| documents on an issue (term), then it is very likely that he/she is an
bodyText ||| expert on the issue, or if the person’s name co-occurs in many times
bodyText ||| with the issue, then it is likely that he/she is an expert on the issue.
bodyText ||| As described above, we can extract titles, authors, and key terms
bodyText ||| from all the documents. In this way, we know how many times each
bodyText ||| person is associated with each topic in the extracted titles and in the
bodyText ||| extracted key terms. We also go through all the documents and see
bodyText ||| how many times each person’s name co-occurs with each topic in
bodyText ||| text segments within a pre-determined window size.
bodyText ||| In search, we use the three types of information: topic in title, topic
bodyText ||| in key term, and topic in text segment to rank persons, five persons
bodyText ||| for each type. We rank persons with a heuristic method and return
bodyText ||| the list of ranked persons. A person who has several documents with
bodyText ||| titles containing the topic will be ranked higher than a person whose
bodyText ||| name co-occurs with the topic in many documents.
bodyText ||| It appears that the results of the feature largely depend on the size of
bodyText ||| document collection we crawl. Users’ feedbacks on the results show
bodyText ||| that sometimes the results are very accurate, however, sometimes
bodyText ||| they are not (due to the lack of information).
bodyText ||| Craswell et al. developed a system called ‘P@NOPTIC’, which can
bodyText ||| automatically find experts using documents on an intranet [7]. The
bodyText ||| system took documents as plain texts and did not utilize metadata of
bodyText ||| documents as we do at Information Desk.
subsubsectionHeader ||| 5.2.5 ‘Where is homepage of’
bodyText ||| We identify homepages (team web sites) using several rules. Most of
bodyText ||| the homepages at the intranet of Microsoft are created by
bodyText ||| SharePoint, a product of Microsoft. From SharePoint, we can obtain
bodyText ||| a property of each page called ‘ContentClass’. It tells exactly
bodyText ||| whether a web page corresponds to a homepage or a team site. So
bodyText ||| we know it is a homepage (obviously, this does not apply in
bodyText ||| general). Next we use several patterns to pull out titles from the
bodyText ||| homepages. The precision of home page identification is nearly
bodyText ||| 100%.
bodyText ||| In search, we rank the discovered home pages related to a query
bodyText ||| term using the URL lengths of the home pages. A home page with a
bodyText ||| shorter URL will be ranked higher.
bodyText ||| TREC has a task called ‘home/named page finding’ [8, 9], which is
bodyText ||| to find home pages talking about a topic. Many methods have been
bodyText ||| developed for pursuing the task [5, 6, 26, 29]. Since we can identify
bodyText ||| homepages by using special properties on our domain, we do not
bodyText ||| consider employing a similar method.
sectionHeader ||| 6. EVALUATION
bodyText ||| Usually it is hard to conduct evaluation on a practical system. We
bodyText ||| evaluated the usefulness of Information Desk by conducting a
bodyText ||| survey and by recording system logs.
bodyText ||| We have found from analysis results that the ‘what is’ and ‘where is
bodyText ||| homepage of’ features are very useful. The ‘who is’ feature works
bodyText ||| well, but the ‘who knows about’ feature still needs improvements.
subsectionHeader ||| 6.1 Survey Result Analysis
bodyText ||| The survey described in section 4.3 also includes feedbacks on
bodyText ||| Information Desk.
bodyText ||| Figure 6 shows a question on the usefulness of the features and a
bodyText ||| summary on the answers. We see that the features ‘where is
bodyText ||| homepage of’ and ‘what is’ are regarded useful by the responders in
bodyText ||| the survey.
bodyText ||| Figure 7 shows a question on new features and a summary on the
bodyText ||| answers. We see that the users want to use the features of ‘how to’,
bodyText ||| ‘when’, ‘where’ and ‘why’ in the future. This also justifies the
bodyText ||| correctness of our claim on intranet search made in section 4.
bodyText ||| Figure 8 shows a question on purposes of use and a digest on the
bodyText ||| results. About 50% of the responders really want to use Information
bodyText ||| Desk to search for information.
bodyText ||| There is also an open-ended question asking people to make
bodyText ||| comments freely. Figure 9 gives some typical answers from the
bodyText ||| responders. The first and second answers are very positive, while the
bodyText ||| third and fourth point out the necessity of increasing the coverage of
bodyText ||| the system.
bodyText ||| Figure 6. Users’ evaluation on Information Desk
bodyText ||| Figure 7. New features expected by users
figure ||| Which feature of Information Desk has helped you in finding
figure ||| information?
figure ||| •	‘where is homepage of’ - finding homepages
figure ||| 54 %
figure ||| •	‘what is’ - finding definitions/acronyms
figure ||| 25 %
figure ||| •	‘who is’ - finding information about people
figure ||| 18 %
figure ||| •	‘who knows about’ - finding experts
figure ||| 3 %
figure ||| What kind of new feature do you want to use at Information
figure ||| Desk? (multiple choice)
figure ||| •	‘how to’ - e.g., &quot;how to activate Windows&quot;
figure ||| 57 %
figure ||| •	‘when’ - e.g., &quot;when is Yukon RTM&quot;
figure ||| 57 %
figure ||| •	‘where’ - e.g., &quot;where can I find an ATM&quot;
figure ||| 39 %
figure ||| •	‘why’ - e.g., &quot;why doesn&apos;t my printer work&quot;
figure ||| 28 %
figure ||| •	others
figure ||| 9 %
page ||| 466
figure ||| I visited Information Desk today to
figure ||| •	conduct testing on Information Desk
figure ||| 	54 %
figure ||| •	search for information related to my work
figure ||| 	46 %
figureCaption ||| Figure 8. Motivation of using Information Desk
figure ||| Please provide any additional comments, thanks!
figure ||| •	This is a terrific tool! Including ‘how to’ and ‘when’
figure ||| capabilities will put this in the ‘can’t live without it’
figure ||| category.
figure ||| •	Extremely successful searching so far! Very nice product
figure ||| with great potential.
figure ||| •	I would like to see more ‘Microsoftese’ definitions. There is
figure ||| a lot of cultural/tribal knowledge here that is not explained
figure ||| anywhere.
figure ||| •	Typing in my team our website doesn’t come up in the
figure ||| results, is there any way we can provide content for the
figure ||| search tool e.g., out group sharepoint URL?
figure ||| •	...
figureCaption ||| Figure 9. Typical user comments to Information Desk
subsectionHeader ||| 6.2 System Log Analysis
bodyText ||| We have made log during the running of Information Desk. The
bodyText ||| log includes user IP addresses, queries and clicked documents
bodyText ||| (recall that links to the original documents, from which
bodyText ||| information has been extraction, are given in search). The log data
bodyText ||| was collected from 1,303 unique users during the period from
bodyText ||| November 26th, 2004 to February 22nd, 2005. The users were
bodyText ||| Microsoft employees.
bodyText ||| In the log, there are 9,076 query submission records. The records
bodyText ||| include 4,384 unique query terms. About 40% of the queries are
bodyText ||| related to the ‘what is’ feature, 29% related to ‘where is homepage
bodyText ||| of’, 30% related to ‘who knows about’ and 22% related to ‘who
bodyText ||| is’. A query can be related to more than one feature.
bodyText ||| In the log, there are 2,316 clicks on documents after query
bodyText ||| submissions. The numbers of clicks for the ‘what is’, ‘where is
bodyText ||| homepage of’, ‘who knows about’, and ‘who is’ features are 694,
bodyText ||| 1041, 200 and 372, respectively. Note that for ‘what is’, ‘where is
bodyText ||| home page of’, and ‘who knows about’ we conduct ranking on
bodyText ||| retrieved information. The top ranked results are considered to be
bodyText ||| the best. If a user has clicked a top ranked document, then it
bodyText ||| means that he is interested in the document, and thus it is very
bodyText ||| likely he has found the information he looks for. Thus a system
bodyText ||| which has higher average rank of clicks is better than the other
bodyText ||| that does not. We used average rank of clicked documents to
bodyText ||| evaluate the performances of the features. The average ranks of
bodyText ||| clicks for ‘what is’, ‘where is homepage of’ and ‘who knows
bodyText ||| about’ are 2.4, 1.4 and 4.7 respectively. The results indicate that
bodyText ||| for the first two features, users usually can find information they
bodyText ||| look for on the top three answers. Thus it seems safe to say that
bodyText ||| the system have achieved practically acceptable performances for
bodyText ||| the two features. As for ‘who is’, ranking of a person’s documents
bodyText ||| does not seem to be necessary and the performance should be
bodyText ||| evaluated in a different way. (For example, precision and recall of
bodyText ||| metadata extraction as we have already reported in section 5).
sectionHeader ||| 7. CONCLUSION
bodyText ||| In this paper, we have investigated the problem of intranet search
bodyText ||| using information extraction.
bodyText ||| •	Through an analysis of survey results and an analysis of
bodyText ||| search log data, we have found that search needs on intranet
bodyText ||| can be categorized into a hierarchy.
bodyText ||| •	Based on the finding, we propose a new approach to intranet
bodyText ||| search in which we conduct search for each special type of
bodyText ||| information.
bodyText ||| •	We have developed a system called ‘Information Desk’,
bodyText ||| based on the idea. In Information Desk, we provide search on
bodyText ||| four types of information - finding term definitions,
bodyText ||| homepages of groups or topics, employees’ personal
bodyText ||| information and experts on topics. Information Desk has
bodyText ||| been deployed to the intranet of Microsoft and has received
bodyText ||| accesses from about 500 employees per month. Feedbacks
bodyText ||| from users show that the proposed approach is effective and
bodyText ||| the system can really help employees to find information.
bodyText ||| •	For each type of search, information extraction technologies
bodyText ||| have been used to extract, fuse, and summarize information
bodyText ||| in advance. High performance component technologies for
bodyText ||| the mining have been developed.
bodyText ||| As future work, we plan to increase the number of search types
bodyText ||| and combine them with conventional relevance search.
sectionHeader ||| 8. ACKNOWLEDGMENTS
bodyText ||| We thank Jin Jiang, Ming Zhou, Avi Shmueli, Kyle Peltonen,
bodyText ||| Drew DeBruyne, Lauri Ellis, Mark Swenson, and Mark Davies for
bodyText ||| their supports to the project.
sectionHeader ||| 9. REFERENCES
reference ||| [1] S. Blair-Goldensohn, K.R. McKeown, A.H. Schlaikjer. A
reference ||| Hybrid Approach for QA Track Definitional Questions. In
reference ||| Proc. of Twelfth Annual Text Retrieval Conference (TREC-
reference ||| 12), NIST, Nov., 2003.
reference ||| [2] E. Brill, S. Dumais, and M. Banko, An Analysis of the
reference ||| AskMSR Question-Answering System, EMNLP 2002
reference ||| [3] M. Chen, A. Hearst, A. Marti, J. Hong, and J. Lin, Cha-Cha:
reference ||| A System for Organizing Intranet Results. Proceedings of the
reference ||| 2nd USENIX Symposium on Internet Technologies and
reference ||| Systems. Boulder, CO. Oct. 1999.
reference ||| [4] C. L. A. Clarke, G. V. Cormack, T. R. Lynam, C. M. Li, and
reference ||| G. L. McLearn, Web Reinforced Question Answering
reference ||| (MultiText Experiments for TREC 2001). TREC 2001
reference ||| [5] N. Craswell, D. Hawking, and S.E. Robertson. Effective site
reference ||| finding using link anchor information. In Proc. of the 24th
reference ||| annual international ACM SIGIR conference on research
reference ||| and development in information retrieval, pages 250--257,
reference ||| 2001.
reference ||| [6] N. Craswell, D. Hawking, and T. Upstill. TREC12 Web and
reference ||| Interactive Tracks at CSIRO. In TREC12 Proceedings, 2004.
reference ||| [7] N. Craswell, D. Hawking, A. M. Vercoustre, and P. Wilkins.
reference ||| P@noptic expert: Searching for experts not just for
reference ||| documents. Poster Proceedings of AusWeb&apos;01,
page ||| 467
reference ||| 2001b./urlausweb.scu.edu.au/aw01/papers/edited/vercoustre/
reference ||| paper.htm.
reference ||| [8] N. Craswell, D. Hawking, R. Wilkinson, and M. Wu.
reference ||| Overview of the TREC-2003 Web Track. In NIST Special
reference ||| Publication: 500-255, The Twelfth Text REtrieval
reference ||| Conference (TREC 2003), Gaithersburg, MD, 2003.
reference ||| [9] N. Craswell, D. Hawking, R. Wilkinson, and M. Wu. Task
reference ||| Descriptions: Web Track 2003. In TREC12 Proceedings,
reference ||| 2004.
reference ||| [10] H. Cui, M-Y. Kan, and T-S. Chua. Unsupervised Learning of
reference ||| Soft Patterns for Definitional Question Answering,
reference ||| Proceedings of the Thirteenth World Wide Web conference
reference ||| (WWW 2004), New York, May 17-22, 2004.
reference ||| [11] A. Echihabi, U.Hermjakob, E. Hovy, D. Marcu, E. Melz, D.
reference ||| Ravichandran. Multiple-Engine Question Answering in
reference ||| TextMap. In Proc. of Twelfth Annual Text Retrieval
reference ||| Conference (TREC-12), NIST, Nov., 2003.
reference ||| [12] R. Fagin, R. Kumar, K. S. McCurley, J. Novak, D.
reference ||| Sivakumar, J. A. Tomlin, and D. P. Williamson. Searching
reference ||| the workplace web. Proc. 12th World Wide Web Conference,
reference ||| Budapest, 2003.
reference ||| [13] S. Feldman and C. Sherman. The high cost of not finding
reference ||| information. Technical Report #29127, IDC, April 2003.
reference ||| [14] H. Han, C. L. Giles, E. Manavoglu, H. Zha, Z. Zhang, and E.
reference ||| A. Fox. Automatic Document Metadata Extraction using
reference ||| Support Vector Machines. In Proceedings of the third
reference ||| ACM/IEEE-CS joint conference on Digital libraries, 2003
reference ||| [15] S. Harabagiu, D. Moldovan, C. Clark, M. Bowden, J.
reference ||| Williams, J. Bensley. Answer Mining by Combining
reference ||| Extraction Techniques with Abductive Reasoning. In Proc.
reference ||| of Twelfth Annual Text Retrieval Conference (TREC-12),
reference ||| NIST, Nov., 2003.
reference ||| [16] D. Hawking. Challenges in Intranet search. Proceedings of
reference ||| the fifteenth conference on Australasian database. Dunedin,
reference ||| New Zealand, 2004.
reference ||| [17] D. Hawking, N. Craswell, F. Crimmins, and T. Upstill.
reference ||| Intranet search: What works and what doesn&apos;t. Proceedings
reference ||| of the Infonortics Search Engines Meeting, San Francisco,
reference ||| April 2002.
reference ||| [18] E. Hovy, L. Gerber, U. Hermjakob, M. Junk, and C. Y. Lin.
reference ||| Question Answering in Webclopedia. TREC 2000
reference ||| [19] Y. Hu, H. Li, Y. Cao, D. Meyerzon, and Q. Zheng.
reference ||| Automatic Extraction of Titles from General Documents
reference ||| using Machine Learning. To appear at Proc. of Joint
reference ||| Conference on Digital Libraries (JCDL), 2005. Denver,
reference ||| Colorado, USA. 2005.
reference ||| [20] A. Ittycheriah and S. Roukos, IBM&apos;s Statistical Question
reference ||| Answering System-TREC 11. TREC 2002
reference ||| [21] J. Klavans and S. Muresan. DEFINDER: Rule-Based
reference ||| Methods for the Extraction of Medical Terminology and
reference ||| their Associated Definitions from On-line Text. In
reference ||| Proceedings of AMIA Symposium 2000.
reference ||| [22] C. C. T. Kwok, O. Etzioni, and D. S. Weld, Scaling question
reference ||| answering to the Web. WWW-2001: 150-161
reference ||| [23] Y. Li, H Zaragoza, R Herbrich, J Shawe-Taylor, and J. S.
reference ||| Kandola. The Perceptron Algorithm with Uneven Margins.
reference ||| in Proceedings of ICML&apos;02.
reference ||| [24] B. Liu, C. W. Chin, and H. T. Ng. Mining Topic-Specific
reference ||| Concepts and Definitions on the Web. In Proceedings of the
reference ||| twelfth international World Wide Web conference (WWW-
reference ||| 2003), 20-24 May 2003, Budapest, HUNGARY.
reference ||| [25] D. Mattox, M. Maybury and D. Morey. Enterprise Expert
reference ||| and Knowledge Discovery. Proceedings of the HCI
reference ||| International &apos;99 (the 8th International Conference on
reference ||| Human-Computer Interaction) on Human-Computer
reference ||| Interaction: Communication, Cooperation, and Application
reference ||| Design-Volume 2 - Volume 2. 1999.
reference ||| [26] P. Ogilvie and J. Callan. Combining Structural Information
reference ||| and the Use of Priors in Mixed Named-Page and Homepage
reference ||| Finding. In TREC12 Proceedings, 2004.
reference ||| [27] D. R. Radev, W. Fan, H. Qi, H. Wu, and A. Grewal.
reference ||| Probabilistic question answering on the web. WWW 2002:
reference ||| 408-419
reference ||| [28] D. E. Rose and D. Levinson. Understanding user goals in
reference ||| web search. Proceedings of the 13th international World
reference ||| Wide Web conference on Alternate track papers &amp; posters,
reference ||| 2004 New York, USA.
reference ||| [29] J. Savoy, Y. Rasolofo, and L. Perret, L. Report on the TREC-
reference ||| 2003 Experiment: Genomic and Web Searches. In TREC12
reference ||| Proceedings, 2004.
reference ||| [30] D. Stenmark. A Methodology for Intranet Search Engine
reference ||| Evaluations. Proceedings of IRIS22, Department of CS/IS,
reference ||| University of Jyväskylä, Finland, August 1999.
reference ||| [31 ] V. N. Vapnik. The Nature of Statistical Learning Theory.
reference ||| Springer, 1995.
reference ||| [32] J. Xu, Y. Cao, H. Li, and M. Zhao. Ranking Definitions with
reference ||| Supervised Learning Methods. In Proc. of 14th International
reference ||| World Wide Web Conference (WWW05), Industrial and
reference ||| Practical Experience Track, Chiba, Japan, pp.811-819, 2005.
reference ||| [33] J. Xu, A. Licuanan, R. Weischedel. TREC 2003 QA at BBN:
reference ||| Answering Definitional Questions. In Proc. of 12th Annual
reference ||| Text Retrieval Conference (TREC-12), NIST, Nov., 2003.
reference ||| [34] H. Yang, H. Cui, M. Maslennikov, L. Qiu, M-Y. Kan, and T-
reference ||| S. Chua, QUALIFIER in TREC-12 QA Main Task. TREC
reference ||| 2003: 480-488
reference ||| [35] Intellectual capital management products. Verity,
reference ||| http://www.verity.com/
reference ||| [36] IDOL server. Autonomy,
reference ||| http://www.autonomy.com/content/home/
reference ||| [37] Fast data search. Fast Search &amp; Transfer,
reference ||| http://www.fastsearch.com/
reference ||| [38] Atomz intranet search. Atomz, http://www.atomz.com/
reference ||| [39] Google Search Appliance. Google,
reference ||| http://www.google.com/enterprise/
page ||| 468
