title ||| A New Statistical Formula for Chinese Text Segmentation
figure ||| Improved mutual
figure ||| information
figure ||| 	75 70 65 60 55
page ||| 87
table ||| Association Score between -1.0 and -2.0
table ||| the northern section of a construction project
table ||| fragments of ancient books
table ||| Association Score < -2.0
table ||| September
table ||| 3rd day
table ||| (name of a district in China )
table ||| (name of an institution)
table ||| the Book of Changes
tableCaption ||| Table 7. 2-character words with association score
tableCaption ||| below -1.0
bodyText ||| We divide the errors of commission (bigrams that are incorrectly
bodyText ||| identified as words by the automatic segmentation) into 2 groups:
listItem ||| 1. Definite errors: bigrams with association scores above 1.0 but
listItem ||| are not words
listItem ||| 2. Borderline errors: bigrams with association scores between –
listItem ||| 1.0 and 1.0 and are not words
bodyText ||| We also divide the errors of omission (bigrams that are words
bodyText ||| but are not identified by the automatic segmentation) into 2
bodyText ||| groups:
listItem ||| 1. Definite errors: bigrams with association scores below –1.0
listItem ||| but are words
listItem ||| 2. Borderline errors: bigrams with association scores between –
listItem ||| 1.0 and 1.0 and are words.
subsectionHeader ||| 7.1 Errors of Commission
bodyText ||| Errors of commission can be divided into 2 types:
listItem ||| 1. The bigram is a simple word that is part of a longer
listItem ||| meaningful word.
listItem ||| 2. The bigram is not a word (neither simple word nor
listItem ||| meaningful word).
bodyText ||| Errors of the first type are illustrated in Table 5. The words
bodyText ||| within parenthesis are actually meaningful words but segmented
bodyText ||| as simple words (words on the left). The words lose part of the
bodyText ||| meaning when segmented as simple words. These errors
bodyText ||| occurred mostly with 3 or 4-character meaningful words.
bodyText ||| Errors of the second type are illustrated in Table 6. Many of the
bodyText ||| errors are caused by incorrectly linking a character with a
bodyText ||| function word or pronoun. Some of the errors can easily be
bodyText ||| removed by using a list of function words and pronouns to
bodyText ||| identify these characters.
subsectionHeader ||| 7.2 Errors of Omission
bodyText ||| Examples of definite errors of omission (bigrams with
bodyText ||| association scores below –1.0 but are words) are given in Table
bodyText ||| 7. Most of the errors are rare words and time words. Some are
bodyText ||| ancient names, rare and unknown place names, as well as
bodyText ||| technical terms. Since our corpus comprises general news
bodyText ||| articles, these types of words are not frequent in the corpus. Time
bodyText ||| words like dates usually have low association values because
bodyText ||| they change everyday! These errors can be reduced by
bodyText ||| incorporating a separate algorithm for recognizing them.
bodyText ||| The proportion of errors of the various types are given in Table 8.
sectionHeader ||| 8. CONCLUSION
bodyText ||| A new statistical formula for identifying 2-character words in
bodyText ||| Chinese text, called the contextual information formula, was
bodyText ||| developed empirically using regression analysis. The focus was
bodyText ||| on identifying meaningful words (including multi-word terms
bodyText ||| and idioms) rather than simple words. The formula was found to
bodyText ||| give significantly and substantially better results than the mutual
bodyText ||| information formula.
bodyText ||| Contextual information in the form of the frequency of characters
bodyText ||| that are adjacent to the bigram being processed as well as the
bodyText ||| weighted document frequency of the overlapping bigrams were
bodyText ||| found to be significant factors for predicting the probablity that
bodyText ||| the bigram constitutes a word. Local information (e.g. the
bodyText ||| number of times the bigram occurs in the document being
bodyText ||| segmented) and the position of the bigram in the sentence were
bodyText ||| not found to be useful in determining words.
bodyText ||| Of the bigrams that the formula erroneously identified as words,
bodyText ||| about 80% of them were actually simple words. Of the rest,
bodyText ||| many involved incorrect linking with a function words. Of the
bodyText ||| words that the formula failed to identify as words, more than a
bodyText ||| third of them were rare words or time words. The proportion of
bodyText ||| rare words increased as the threshold value used was lowered.
bodyText ||| These rare words cannot be identified using statistical
bodyText ||| techniques.
bodyText ||| This study investigated a purely statistical approach to text
table ||| Errors of Commission	Borderline Cases	Errors of Omission
table ||| Association score > 1.0	Association score: –1.0 to1.0	Association score < –1.0
table ||| (No. of errors=34)	(No. of cases: 210)
table ||| Simple words	Not words	Simple words	Not words	Meaning- ful words	Association score:	Association score
table ||| 82.3%	17.7%	55.2%	20.5%	24.3%	–1.0 to –2.0	< –2.0
table ||| 					(No. of errors=43)	(No. of errors=22)
table ||| 					Rare words	Others	Rare words	Others
table ||| 					& time	76.8%	& time	36.4%
table ||| 					words		words
table ||| 					23.2%		63.6%
tableCaption ||| Table 8. Proportion of errors of different types
page ||| 88
bodyText ||| segmentation. The advantage of the statistical approach is that it
bodyText ||| can be applied to any domain, provided that the document
bodyText ||| collection is sufficiently large to provide frequency information.
bodyText ||| A domain-specific dictionary of words is not required. In fact, the
bodyText ||| statistical formula can be used to generate a shortlist of candidate
bodyText ||| words for such a dictionary. On the other hand, the statistical
bodyText ||| method cannot identify rare words and proper names. It is also
bodyText ||| fooled by combinations of function words that occur frequently
bodyText ||| and by function words that co-occur with other words.
bodyText ||| It is well-known that a combination of methods is needed to give
bodyText ||| the best segmentation results. The segmentation quality in this
bodyText ||| study can be improved by using a list of function words and
bodyText ||| segmenting the function words as single character words. A
bodyText ||| dictionary of common and well-known names (including names
bodyText ||| of persons, places, institutions, government bodies and classic
bodyText ||| books) could be used by the system to identify proper names that
bodyText ||| occur infrequently in the corpus. Chang et al. [2] developed a
bodyText ||| method for recognizing proper nouns using a dictionary of family
bodyText ||| names in combination with a statistical method for identifying
bodyText ||| the end of the name. An algorithm for identifying time and dates
bodyText ||| would also be helpful. It is not clear whether syntactic processing
bodyText ||| can be used to improve the segmentation results substantially.
bodyText ||| Our current work includes developing statistical formulas for
bodyText ||| identifying 3 and 4-character words, as well as investigating
bodyText ||| whether the statistical formula developed here can be used with
bodyText ||| other corpora. The approach adopted in this study can also be
bodyText ||| used to develop statistical models for identifying multi-word
bodyText ||| terms in English text. It would be interesting to see whether the
bodyText ||| regression model developed for English text is similar to the one
bodyText ||| developed in this study for Chinese text. Frantzi, Ananiadou &
bodyText ||| Tsujii [7], using a different statistical approach, found that
bodyText ||| contextual information could be used to improve the
bodyText ||| identification of multi-word terms in English text.
sectionHeader ||| 9. REFERENCES
reference ||| [1] Chang, C.-H., and Chen, C.-D. A study of integrating
reference ||| Chinese word segmentation and part-of-speech tagging.
reference ||| Communications of COLIPS, 3, 1 (1993), 69-77.
reference ||| [2] Chang, J.-S., Chen, S.-D., Ker, S.-J., Chen, Y., and Liu, J.S.
reference ||| A multiple-corpus approach to recognition of proper names
reference ||| in Chinese texts. Computer Processing of Chinese and
reference ||| Oriental Languages, 8, 1 (June 1994), 75-85.
reference ||| [3] Church, K.W., and Hanks, P. Word association norms,
reference ||| mutual information and lexicography. In Proceedings of the
reference ||| 27th Annual Meeting of the Association for Computational
reference ||| Linguistics (Vancouver, June 1989), 76-83.
reference ||| [4] Dai, J.C., and Lee, H.J. A generalized unification-based LR
reference ||| parser for Chinese. Computer Processing of Chinese and
reference ||| Oriental Languages, 8, 1 (1994), 1-18.
reference ||| [5] Dai, Y. Developing a new statistical method for Chinese
reference ||| text segmentation. (Master s thesis in preparation)
reference ||| [6] Damerau, F.J. Generating and evaluating domain-oriented
reference ||| multi-word terms from texts. Information Processing &
reference ||| Management, 29, 4 (1993), 433-447.
reference ||| [7] Frantzi, K.T., Ananiadou, S., and Tsujii, J. The C-
reference ||| value/NC-value method of automatic recognition for multi-
reference ||| word terms. In C. Nikolaou and C. Stephanidis (eds.),
reference ||| Research and Advanced Technology for Digital Libraries,
reference ||| 2nd European Conference, ECDL 98 (Heraklion, Crete,
reference ||| September 1998), Springer-Verlag, 585-604.
reference ||| [8] Liang, N.Y. The knowledge of Chinese words segmentation
reference ||| [in Chinese]. Journal of Chinese Information Processing, 4,
reference ||| 2 (1990), 42-49.
reference ||| [9] Liu, I.M. Descriptive-unit analysis of sentences: Toward a
reference ||| model natural language processing. Computer Processing of
reference ||| Chinese & Oriental Languages, 4, 4 (1990), 314-355.
reference ||| [10] Liu, Y., Tan, Q., and Shen, X.K. Xin xi chu li yong xian dai
reference ||| han yu fen ci gui fan ji zi dong fen ci fang fa [ Modern
reference ||| Chinese Word Segmentation Rules and Automatic Word
reference ||| Segmentation Methods for Information Processing ]. Qing
reference ||| Hua University Press, Beijing, 1994.
reference ||| [11] Lua, K.T. Experiments on the use of bigram mutual
reference ||| information in Chinese natural language processing.
reference ||| Presented at the 1995 International Conference on Computer
reference ||| Processing of Oriental Languages (ICCPOL) (Hawaii,
reference ||| November 1995). Available: http://137.132.89.143/luakt/
reference ||| publication.html
reference ||| [12] Lua, K.T. From character to word - An application of
reference ||| information theory. Computer Processing of Chinese &
reference ||| Oriental Languages, 4, 4 (1990), 304-312.
reference ||| [13] Lua, K.T., and Gan, G.W. An application of information
reference ||| theory in Chinese word segmentation. Computer Processing
reference ||| of Chinese & Oriental Languages, 8, 1 (1994), 115-124.
reference ||| [14] Nie, J.Y., Hannan, M.L., and Jin, W.Y. Unknown word
reference ||| detection and segmentation of Chinese using statistical and
reference ||| heuristic knowledge. Communications of COLIPS, 5, 1&2
reference ||| (1995), 47-57.
reference ||| [15] Ogawa, Y., and Matsuda, T. Overlapping statistical word
reference ||| indexing: A new indexing method for Japanese text. In
reference ||| Proceedings of the 20th Annual International ACM SIGIR
reference ||| Conference on Research and Development in Information
reference ||| Retrieval (Philadelphia, July 1997), ACM, 226-234.
reference ||| [16] Sproat, R., and Shih, C.L. A statistical method for finding
reference ||| word boundaries in Chinese text. Computer Processing of
reference ||| Chinese & Oriental Languages, 4, 4 (1990), 336-351.
reference ||| [17] Sproat, R., Shih, C., Gale, W., and Chang, N. A stochastic
reference ||| finite-state word-segmentation algorithm for Chinese.
reference ||| Computational Lingustics, 22, 3 (1996), 377-404.
reference ||| [18] Tung, C.-H., and Lee, H.-J. Identification of unknown words
reference ||| from a corpus. Computer Processing of Chinese and
reference ||| Oriental Languages, 8 (Supplement, Dec. 1994), 131-145.
reference ||| [19] Wu, Z., and Tseng, G. ACTS: An automatic Chinese text
reference ||| segmentation system for full text retrieval. Journal of the
reference ||| American Society for Information Science, 46, 2 (1995), 83-
reference ||| 96.
reference ||| [20] Yeh, C.L., and Lee, H.J. Rule-based word identification for
reference ||| mandarin Chinese sentences: A unification approach.
reference ||| Computer Processing of Chinese and Oriental Languages, 5,
reference ||| 2 (1991), 97-118.
page ||| 89
