title ||| Accelerated Focused Crawling through
bodyText ||| to accommodate these requirements. We first experimented
bodyText ||| with a simple linear perceptron, training it with the delta
bodyText ||| rule (gradient descent) [26]. Even for a linear perceptron,
bodyText ||| convergence was surprisingly slow, and after convergence,
bodyText ||| the error rate was rather high. It is likely that local
bodyText ||| optima were responsible, because stability was generally
bodyText ||| poor, and got worse if we tried to add hidden layers or
bodyText ||| sigmoids. In any case, convergence was too slow for use
bodyText ||| as an online learner. All this was unfortunate, because the
bodyText ||| direct regression output from a neural network would be
bodyText ||| convenient, and we were hoping to implement a Kohonen
bodyText ||| layer for smoothing d.
bodyText ||| In contrast, a naive Bayes (NB) classifier worked very
bodyText ||| well. A NB learner is given a set of training documents,
bodyText ||| each labeled with one of a finite set of classes/topic. A
bodyText ||| document or Web page u is modeled as a multiset or bag
bodyText ||| of words, {(T,n(u,T))} where T is a feature which occurs
bodyText ||| n(u, T) times in u. In ordinary text classification (such as
bodyText ||| our baseline learner) the features T are usually single words.
bodyText ||| For our apprentice learner, a feature T is a (t, d) pair.
bodyText ||| NB classifiers can predict from a discrete set of classes,
bodyText ||| but our prediction is a continuous (probability) score. To
bodyText ||| bridge this gap, We used a simple two-bucket (low/high
bodyText ||| relevance) special case of Torgo and Gama’s technique of
bodyText ||| using classifiers for discrete labels for continuous regression
bodyText ||| [33], using “equally probable intervals” as far as possible.
page ||| 152
bodyText ||| Torgo and Gama recommend using a measure of centrality,
bodyText ||| such as the median, of each interval as the predicted value of
bodyText ||| that class. Rennie and McCallum [30] corroborate that 2–3
bodyText ||| bins are adequate. As will be clear from our experiments, the
bodyText ||| medians of our ‘low’ and ‘high’ classes are very close to zero
bodyText ||| and one respectively (see Figure 5). Therefore, we simply
bodyText ||| take the probability of the ‘high’ class as the prediction from
bodyText ||| our naive Bayes apprentice.
bodyText ||| The prior probability of class c, denoted Pr(c) is the
bodyText ||| fraction of training documents labeled with class c. The NB
bodyText ||| model is parameterized by a set of numbers 0c,T which is
bodyText ||| roughly the rate of occurrence of feature τ in class c, more
bodyText ||| exactly,
equation ||| ITI + Pu T n(u τ,), (1)
bodyText ||| where Vc is the set of Web pages labeled with c and T is the
bodyText ||| entire vocabulary. The NB learner assumes independence
bodyText ||| between features, and estimates
equation ||| Pr(cIu) a Pr(c) Pr(uIc) ≈ Pr(c) 11 0n (u,T)
equation ||| c,T. (2)
equation ||| TEu
bodyText ||| Nigam et al. provide further details [22].
sectionHeader ||| 3 Experimental study
bodyText ||| Our experiments were guided by the following requirements.
bodyText ||| We wanted to cover a broad variety of topics, some ‘easy’ and
bodyText ||| some ‘di cult’, in terms of the harvest rate of the baseline
bodyText ||| crawler. Here is a quick preview of our results.
listItem ||| •	The apprentice classifier achieves high accuracy in
listItem ||| predicting the relevance of unseen pages given (t, d)
listItem ||| features. It can determine the best value of dmax to
listItem ||| use, typically, 4–6.
listItem ||| •	Encoding DOM offsets in features improves the
listItem ||| accuracy of the apprentice substantially, compared
listItem ||| to a bag of ordinary words collected from within the
listItem ||| same DOM offset window.
listItem ||| •	Compared to a baseline crawler, a crawler that is
listItem ||| guided by an apprentice (trained offiine) has a 30%
listItem ||| to 90% lower loss rate. It finds crawl paths never
listItem ||| expanded by the baseline crawler.
listItem ||| •	Even if the apprentice-guided crawler is forced to
listItem ||| stay within the (inferior) Web graph collected by the
listItem ||| baseline crawler, it collects the best pages early on.
listItem ||| •	The apprentice is easy to train online. As soon as it
bodyText ||| starts guiding the crawl, loss rates fall dramatically.
listItem ||| •	Compared to (t, d) features, topic- or cocitation-based
listItem ||| features have negligible effect on the apprentice.
bodyText ||| To run so many experiments, we needed three highly
bodyText ||| optimized and robust modules: a crawler, a HTML-to-DOM
bodyText ||| converter, and a classifier.
bodyText ||| We started with the w3c-libwww crawling library from
bodyText ||| http://www.w3c.org/Library/, but replaced it with our
bodyText ||| own crawler because we could effectively overlap DNS
bodyText ||| lookup, HTTP access, and disk access using a select over
bodyText ||| all socket/file descriptors, and prevent memory leaks visible
bodyText ||| in w3c-libwww. With three caching DNS servers, we could
bodyText ||| achieve over 90% utilization of a 2Mbps dedicated ISP
bodyText ||| connection.
bodyText ||| We used the HTML parser libxml2 library to extract
bodyText ||| the DOM from HTML, but this library has memory leaks,
bodyText ||| and does not always handle poorly written HTML well. We
bodyText ||| had some stability problems with HTML Tidy (http: //www.
bodyText ||| w3.org/People/Raggett/tidy/), the well-known HTML
bodyText ||| cleaner which is very robust to bad HTML. At present we
bodyText ||| are using libxml2 and are rolling our own HTML parser and
bodyText ||| cleaner for future work.
bodyText ||| We intend to make our crawler and HTML parser code
bodyText ||| available in the public domain for research use.
bodyText ||| For both the baseline and apprentice classifier we used
bodyText ||| the public domain BOW toolkit and the Rainbow naive
bodyText ||| Bayes classifier created by McCallum and others [20]. Bow
bodyText ||| and Rainbow are very fast C implementations which let us
bodyText ||| classify pages in real time as they were being crawled.
subsectionHeader ||| 3.1 Design of the topic taxonomy
bodyText ||| We downloaded from the Open Directory (http://dmoz.
bodyText ||| org/) an RDF file with over 271954 topics arranged in a
bodyText ||| tree hierarchy with depth at least 6, containing a total of
bodyText ||| about 1697266 sample URLs. The distribution of samples
bodyText ||| over topics was quite non-uniform. Interpreting the tree as
bodyText ||| an is-a hierarchy meant that internal nodes inherited all
bodyText ||| examples from descendants, but they also had their own
bodyText ||| examples. Since the set of topics was very large and many
bodyText ||| topics had scarce training data, we pruned the Dmoz tree
bodyText ||| to a manageable frontier by following these steps:
listItem ||| 1. Initially we placed example URLs in both internal and
listItem ||| leaf nodes, as given by Dmoz.
listItem ||| 2.We fixed a minimum per-class training set size of k =
listItem ||| 300 documents.
listItem ||| 3.We iteratively performed the following step as long
listItem ||| as possible: we found a leaf node with less than k
listItem ||| example URLs, moved all its examples to its parent,
listItem ||| and deleted the leaf.
listItem ||| 4.To each internal node c, we attached a leaf
listItem ||| subdirectory called Other. Examples associated
listItem ||| directly with c were moved to this Other subdirectory.
listItem ||| 5. Some topics were populated out of proportion, either
listItem ||| at the beginning or through the above process. We
listItem ||| made the class priors more balanced by sampling
listItem ||| down the large classes so that each class had at most
listItem ||| 300 examples.
bodyText ||| The resulting taxonomy had 482 leaf nodes and a total
bodyText ||| of 144859 sample URLs. Out of these we could successfully
bodyText ||| fetch about 120000 URLs. At this point we discarded the
bodyText ||| tree structure and considered only the leaf topics. Training
bodyText ||| time for the baseline classifier was about about two hours
bodyText ||| on a 729MHz Pentium III with 256kB cache and 512MB
bodyText ||| RAM. This was very fast, given that 1.4GB of HTML text
bodyText ||| had to be processed through Rainbow. The complete listing
bodyText ||| of topics can be obtained from the authors.
subsectionHeader ||| 3.2 Choice of topics
bodyText ||| Depending on the focus topic and prioritization strategy,
bodyText ||| focused crawlers may achieve diverse harvest rates. Our
equation ||| 0c,T =
equation ||| 1 + Pu∈VC n(u, τ)
page ||| 153
bodyText ||| early prototype [9] yielded harvest rates typically between
bodyText ||| 0.25 and 0.6. Rennie and McCallum [30] reported recall
bodyText ||| and not harvest rates. Diligenti et al. [14] focused on very
bodyText ||| specific topics where the harvest rate was very low, 4–6%.
bodyText ||| Obviously, the maximum gains shown by a new idea in
bodyText ||| focused crawling can be sensitive to the baseline harvest
bodyText ||| rate.
bodyText ||| To avoid showing our new system in an unduly positive
bodyText ||| or negative light, we picked a set of topics which were fairly
bodyText ||| diverse, and appeared to be neither too broad to be useful
bodyText ||| (e.g., /Arts, /Science) nor too narrow for the baseline
bodyText ||| crawler to be a reasonable adversary. We list our topics
bodyText ||| in Figure 4. We chose the topics without prior estimates of
bodyText ||| how well our new system would work, and froze the list
bodyText ||| of topics. All topics that we experimented with showed
bodyText ||| visible improvements, and none of them showed deteriorated
bodyText ||| performance.
subsectionHeader ||| 3.3 Baseline crawl results
bodyText ||| We will skip the results of breadth-first or random crawling
bodyText ||| in our commentary, because it is known from earlier work
bodyText ||| on focused crawling that our baseline crawls are already
bodyText ||| far better than breadth-first or random crawls. Figure 5
bodyText ||| shows, for most of the topics listed above, the distribution
bodyText ||| of page relevance after running the baseline crawler to
bodyText ||| collect roughly 15000 to 25000 pages per topic. The E
bodyText ||| baseline crawler used a standard naive Bayes classifier on
bodyText ||| the ordinary term space of whole pages. We see that the
bodyText ||| relevance distribution is bimodal, with most pages being
bodyText ||| very relevant or not at all. This is partly, but only partly, a
bodyText ||| result of using a multinomial naive Bayes model. The naive
bodyText ||| Bayes classifier assumes term independence and multiplies
bodyText ||| together many (small) term probabilities, with the result
bodyText ||| that the winning class usually beats all others by a large
bodyText ||| margin in probability. But it is also true that many outlinks
bodyText ||| lead to pages with completely irrelevant topics. Figure 5
bodyText ||| gives a clear indication of how much improvement we can
bodyText ||| expect for each topic from our new algorithm.
subsectionHeader ||| 3.4 DOM window size and feature selection
bodyText ||| A key concern for us was how to limit the maximum window
bodyText ||| width so that the total number of synthesized (t, d) features
bodyText ||| remains much smaller than the training data for the baseline
bodyText ||| classifier, enabling the apprentice to be trained or upgraded
bodyText ||| in a very short time. At the same time, we did not want
bodyText ||| to lose out on medium- to long-range dependencies between
bodyText ||| significant tokens on a page and the topic of HREF targets
bodyText ||| in the vicinity. We eventually settled for a maximum DOM
bodyText ||| window size of 5. We made this choice through the following
bodyText ||| experiments.
bodyText ||| The easiest initial approach was an end-to-end cross-
bodyText ||| validation of the apprentice for various topics while
bodyText ||| increasing dm x. We observed an initial increase in the
bodyText ||| validation accuracy when the DOM window size was
bodyText ||| increased beyond 0. However, the early increase leveled
bodyText ||| off or even reversed after the DOM window size was
bodyText ||| increased beyond 5. The graphs in Figure 6 display these
bodyText ||| results. We see that in the Chess category, though the
bodyText ||| validation accuracy increases monotonically, the gains are
bodyText ||| less pronounced after dm x exceeds 5. For the AI category,
bodyText ||| accuracy fell beyond dm x = 4.
figure ||| Topic	#Good	#Bad
figure ||| /Arts/Music/Styles/Classical/Composers	24000	13000
figure ||| /Arts/Performing-Arts/Dance/Folk-Dancing	7410	8300
figure ||| /Business/Industries.../Livestock/Horses...	17000	7600
figure ||| /Computers/Artificial-Intelligence	7701	14309
figure ||| /Computers/Software/Operating-Systems/Linux	17500	9300
figure ||| /Games/Board-Games/C/Chess	17000	4600
figure ||| /Health/Conditions-and-Diseases/Cancer	14700	5300
figure ||| /Home/Recipes/Soups-and-Stews	20000	3600
figure ||| /Recreation/Outdoors/Fishing/Fly-Fishing	12000	13300
figure ||| /Recreation/Outdoors/Speleology	6717	14890
figure ||| /Science/Astronomy	14961	5332
figure ||| /Science/Earth-Sciences/Meteorology	19205	8705
figure ||| /Sports/Basketball	26700	2588
figure ||| /Sports/Canoe-and-Kayaking	12000	12700
figure ||| /Sports/Hockey/Ice-Hockey	17500	17900
figureCaption ||| Figure 4: We chose a variety of topics which were neither
figureCaption ||| too broad nor too narrow, so that the baseline crawler
figureCaption ||| was a reasonable adversary. #Good (#Bad) show the
figureCaption ||| approximate number of pages collected by the baseline
figureCaption ||| crawler which have relevance above (below) 0.5, which
figureCaption ||| indicates the relative difficulty of the crawling task.
figureCaption ||| Figure 5: All of the baseline classifiers have harvest rates
figureCaption ||| between 0.25 and 0.6, and all show strongly bimodal
figureCaption ||| relevance score distribution: most of the pages fetched are
figureCaption ||| very relevant or not at all.
bodyText ||| It is important to notice that the improvement in
bodyText ||| accuracy is almost entirely because with increasing number
bodyText ||| of available features, the apprentice can reject negative
bodyText ||| (low relevance) instances more accurately, although the
bodyText ||| accuracy for positive instances decreases slightly. Rejecting
bodyText ||| unpromising outlinks is critical to the success of the
bodyText ||| enhanced crawler. Therefore we would rather lose a little
bodyText ||| accuracy for positive instances rather than do poorly on the
bodyText ||| negative instances. We therefore chose dm x to be either 4
bodyText ||| or 5 for all the experiments.
bodyText ||| We verified that adding offset information to text tokens
bodyText ||| was better than simply using plain text near the link [8].
bodyText ||| One sample result is shown in Figure 7. The apprentice
bodyText ||| accuracy decreases with dm x if only text is used, whereas
bodyText ||| it increases if offset information is provided. This highlights
figure ||| d #pages
figure ||| 100000
figure ||| 10000
figure ||| 1000
figure ||| 100
figure ||| 10
figure ||| Relevance probability
figure ||| AI
figure ||| Astronomy
figure ||| Basketball
figure ||| Cancer
figure ||| Chess
figure ||| Composers
figure ||| FlyFishing
figure ||| FolkDance
figure ||| Horses
figure ||| IceHockey
figure ||| Kayaking
figure ||| Linux
figure ||| Meteorology
figure ||| Soups
figure ||| Tobacco
page ||| 154
figure ||| Chess
figureCaption ||| Figure 6: There is visible improvement in the accuracy
figureCaption ||| of the apprentice if dmax is made larger, up to about 5–
figureCaption ||| 7 depending on topic. The effect is more pronounced on
figureCaption ||| the the ability to correctly reject negative (low relevance)
figureCaption ||| outlink instances. ‘Average’ is the microaverage over all
figureCaption ||| test instances for the apprentice, not the arithmetic mean
figureCaption ||| of ‘Positive’ and ‘Negative’.
figureCaption ||| Figure 7: Encoding DOM offset information with textual
figureCaption ||| features boosts the accuracy of the apprentice substantially.
figureCaption ||| the importance of designing proper features.
bodyText ||| To corroborate the useful ranges of dmax above, we
bodyText ||| compared the value of average mutual information gain for
bodyText ||| terms found at various distances from the target HREF.
bodyText ||| The experiments revealed that the information gain of terms
bodyText ||| found further away from the target HREF was generally
bodyText ||| lower than those that were found closer, but this reduction
bodyText ||| was not monotonic. For instance, the average information
figureCaption ||| Figure 8: Information gain variation plotted against
figureCaption ||| distance from the target HREF for various DOM window
figureCaption ||| sizes. We observe that the information gain is insensitive to
figureCaption ||| dmax.
bodyText ||| gain at d = —2 was higher than that at d = —1; see Figure 8.
bodyText ||| For each DOM window size, we observe that the information
bodyText ||| gain varies in a sawtooth fashion; this intriguing observation
bodyText ||| is explained shortly. The average information gain settled
bodyText ||| to an almost constant value after distance of 5 from the
bodyText ||| target URL. We were initially concerned that to keep the
bodyText ||| computation cost manageable, we would need some cap on
bodyText ||| dmax even while measuring information gain, but luckily,
bodyText ||| the variation of information gain is insensitive to dmax, as
bodyText ||| Figure 8 shows. These observations made our final choice of
bodyText ||| dmax easy.
bodyText ||| In a bid to explain the occurrence of the unexpected
bodyText ||| saw-tooth form in Figure 8 we measured the rate B(t,d) at
bodyText ||| which term t occurred at offset d, relative to the total count
bodyText ||| of all terms occurring at offset d. (They are roughly the
bodyText ||| multinomial naive Bayes term probability parameters.) For
bodyText ||| fixed values of d, we calculated the sum of B values of terms
bodyText ||| found at those offsets from the target HREF. Figure 9(a)
bodyText ||| shows the plot of these sums to the distance(d) for various
bodyText ||| categories. The B values showed a general decrease as the
bodyText ||| distances from the target HREF increased, but this decrease,
bodyText ||| like that of information gain, was not monotonic. The B
bodyText ||| values of the terms at odd numbered distances from the
bodyText ||| target HREF were found to be lower than those of the
bodyText ||| terms present at the even positions. For instance, the sum
bodyText ||| of B values of terms occurring at distance —2 were higher
bodyText ||| than that of terms at position —1. This observation was
bodyText ||| explained by observing the HTML tags that are present
bodyText ||| at various distances from the target HREF. We observed
bodyText ||| that tags located at odd d are mostly non-text tags, thanks
bodyText ||| to authoring idioms such as <li><a ... ><li><a ... > and
bodyText ||| <a...><br><a ... ><br> etc. A plot of the frequency of
bodyText ||| HTML tags against the distance from the HREF at which
figure ||| 0	2	4	6	8
figure ||| d_max
figure ||| 90
figure ||| 85
figure ||| AI
figure ||| 80
figure ||| 75
figure ||| 70
figure ||| 65
figure ||| Negative
figure ||| Positive
figure ||| Average
figure ||| 0 2 dm6 8
figure ||| ax
figure ||| 100
figure ||| 95
figure ||| 90
figure ||| 85
figure ||| 80
figure ||| 75
figure ||| 70
figure ||| 65
figure ||| Negative
figure ||| Positive
figure ||| Average
figure ||| 0	1	2	3	4	5	6	7	8
figure ||| d_max
figure ||| Text
figure ||| Offset
figure ||| 86
figure ||| 84
figure ||| 82
figure ||| 80
figure ||| 78
figure ||| 76
figure ||| AI
figure ||| Chess
figure ||| d_max=8
figure ||| d_max=5
figure ||| d_max=4
figure ||| d_max=3
figure ||| -8	-6	-4	-2	0	2	4	6	8
figure ||| d
figure ||| 0.0002
figure ||| 0.00018
figure ||| 0.00016
figure ||| 0.00014
figure ||| 0.00012
figure ||| 0.0001
figure ||| 0.00008
figure ||| 0.00006
figure ||| 0.00004
figure ||| 0.00002
figure ||| AI
figure ||| -8	-6	-4	-2	0	2	4	6
figure ||| d
figure ||| 9.00E-05
figure ||| 8.00E-05
figure ||| 6.00E-05
figure ||| 5.00E-05
figure ||| 4.00E-05
figure ||| 7.00E-05
figure ||| 1.00E-04
figure ||| d_max=8
figure ||| d_max=5
figure ||| d_max=4
figure ||| d_max=3
page ||| 155
figureCaption ||| Figure 9: Variation of (a) relative term frequencies and
figureCaption ||| (b) frequencies of HTML tags plotted against d.
bodyText ||| they were found is shown in Figure 9(b). (The <a...> tag
bodyText ||| obviously has the highest frequency and has been removed
bodyText ||| for clarity.)
bodyText ||| These were important DOM idioms, spanning many
bodyText ||| diverse Web sites and authoring styles, that we did not
bodyText ||| anticipate ahead of time. Learning to recognize these
bodyText ||| idioms was valuable for boosting the harvest of the enhanced
bodyText ||| crawler. Yet, it would be unreasonable for the user-supplied
bodyText ||| baseline black-box predicate or learner to capture crawling
bodyText ||| strategies at such a low level. This is the ideal job of
bodyText ||| the apprentice. The apprentice took only 3–10 minutes
bodyText ||| to train on its (u, v) instances from scratch, despite a
bodyText ||| simple implementation that wrote a small file to disk for
bodyText ||| each instance of the apprentice. Contrast this with several
bodyText ||| hours taken by the baseline learner to learn general term
bodyText ||| distribution for topics.
subsectionHeader ||| 3.5 Crawling with the apprentice trained
subsectionHeader ||| off-line
bodyText ||| In this section we subject the apprentice to a “field test” as
bodyText ||| part of the crawler, as shown in Figure 2. To do this we
bodyText ||| follow these steps:
listItem ||| 1. Fix a topic and start the baseline crawler from all
listItem ||| example URLs available from the given topic.
listItem ||| 2. Run the baseline crawler until roughly 20000–25000
listItem ||| pages have been fetched.
listItem ||| 3. For all pages (u, v) such that both u and v have
listItem ||| been fetched by the baseline crawler, prepare an
listItem ||| instance from (u, v) and add to the training set of
listItem ||| the apprentice.
listItem ||| 4. Train the apprentice. Set a suitable value for dmax.
listItem ||| Folk Dancing
figure ||| 0	2000	4000	6000	8000	10000
figure ||| #Pages fetched
figure ||| Ice Hockey
figureCaption ||| Figure 10: Guidance from the apprentice significantly
figureCaption ||| reduces the loss rate of the focused crawler.
listItem ||| 5. Start the enhanced crawler from the same set of pages
listItem ||| that the baseline crawler had started from.
listItem ||| 6. Run the enhanced crawler to fetch about the same
listItem ||| number of pages as the baseline crawler.
listItem ||| 7. Compare the loss rates of the two crawlers.
bodyText ||| Unlike with the reinforcement learner studied by Rennie
bodyText ||| and McCallum, we have no predetermined universe of URLs
bodyText ||| which constitute the relevant set; our crawler must go
bodyText ||| forth into the open Web and collect relevant pages from
bodyText ||| an unspecified number of sites. Therefore, measuring recall
bodyText ||| w.r.t. the baseline is not very meaningful (although we do
bodyText ||| report such numbers, for completeness, in §3.6). Instead, we
bodyText ||| measure the loss (the number of pages fetched which had to
bodyText ||| be thrown away owing to poor relevance) at various epochs
bodyText ||| in the crawl, where time is measured as the number of pages
bodyText ||| fetched (to elide fluctuating network delay and bandwidth).
bodyText ||| At epoch n, if the pages fetched are v1, ... , vn, then the total
bodyText ||| expected loss is (1/n) Pi (1− Pr(c*|vi)).
bodyText ||| Figure 10 shows the loss plotted against the number of
bodyText ||| pages crawled for two topics: Folk dancing and Ice hockey.
bodyText ||| The behavior for Folk dancing is typical; Ice hockey is
bodyText ||| one of the best examples. In both cases, the loss goes up
bodyText ||| substantially faster with each crawled page for the baseline
bodyText ||| crawler than for the enhanced crawler. The reduction of loss
bodyText ||| for these topics are 40% and 90% respectively; typically, this
bodyText ||| number is between 30% and 60%. In other words, for most
figure ||| -5 -4 -3 -2 -1	0	1	2	3	4	5
figure ||| AI
figure ||| Chess
figure ||| Horses
figure ||| Cancer
figure ||| IceHockey
figure ||| Linux
figure ||| Bball+
figure ||| Bball-
figure ||| 9000	Tags at various DOM offsets
figure ||| 8000
figure ||| 7000
figure ||| 6000
figure ||| 5000
figure ||| 4000
figure ||| 3000
figure ||| font
figure ||| td
figure ||| img
figure ||| b
figure ||| br
figure ||| p
figure ||| tr
figure ||| li
figure ||| comment
figure ||| div
figure ||| table
figure ||| center
figure ||| i
figure ||| span
figure ||| hr
figure ||| 2000
figure ||| 1000
figure ||| 0
figure ||| -5 -4 -3 -2 -1 0	1	2 3	4 5 d
figure ||| 0.2
figure ||| 0.18
figure ||| 0.16
figure ||| 0.14
figure ||| 0.12
figure ||| 0.1
figure ||| 0.08
figure ||| 0.06
figure ||| 0.04
figure ||| 0.02
figure ||| d
figure ||| Baseline
figure ||| Apprentice
figure ||| Baseline
figure ||| Apprentice
figure ||| 8000
figure ||| 4000
figure ||| 0
figure ||| 0	4000 8000 12000 16000 20000
figure ||| #Pages fetched
figure ||| 	6000
figure ||| 	4000
figure ||| 	2000
figure ||| 	0
page ||| 156
bodyText ||| topics, the apprentice reduces the number of useless pages
bodyText ||| fetched by one-third to two-thirds.
bodyText ||| In a sense, comparing loss rates is the most meaningful
bodyText ||| evaluation in our setting, because the network cost of
bodyText ||| fetching relevant pages has to be paid anyway, and can be
bodyText ||| regarded as a fixed cost. Diligenti et al. show significant
bodyText ||| improvements in harvest rate, but for their topics, the loss
bodyText ||| rate for both the baseline crawler as well as the context-
bodyText ||| focused crawler were much higher than ours.
subsectionHeader ||| 3.6 URL overlap and recall
bodyText ||| The reader may feel that the apprentice crawler has an
bodyText ||| unfair advantage because it is first trained on DOM-derived
bodyText ||| features from the same set of pages that it has to crawl
bodyText ||| again. We claim that the set of pages visited by the baseline
bodyText ||| crawler and thea(off-linentrained) enhanced crawler have
bodyText ||| small overlap, and the superior results for the crawler guided 4011 8168 2199
bodyText ||| by the apprentice are in large part because of generalizable
bodyText ||| learning. Thisgcan be seen from the examples in Figure 11.
figureCaption ||| Figure 11: The apprentice-guided crawler follows paths
figureCaption ||| which are quite different from the baseline crawler because
figureCaption ||| of its superior priority estimation technique. As a result
figureCaption ||| there is little overlap between the URLs harvested by these
figureCaption ||| two crawlers.
bodyText ||| Given that the overlap between the baseline and the
bodyText ||| enhanced crawlers is small, which is ‘better’? As per the
bodyText ||| verdict of the baseline classifier, clearly the enhanced crawler
bodyText ||| is better. Even so, we report the loss rate of a different
bodyText ||| version of the enhanced crawler which is restricted to visiting
bodyText ||| only those pages which were visited by the baseline learner.
bodyText ||| We call this crawler the recall crawler. This means that in
bodyText ||| the end, both crawlers have collected exactly the same set
bodyText ||| of pages, and therefore have the same total loss. The test
bodyText ||| then is how long can the enhanced learner prevent the loss
bodyText ||| from approaching the baseline loss. These experiments are a
bodyText ||| rough analog of the ‘recall’ experiments done by Rennie and
bodyText ||| McCallum. We note that for these recall experiments, the
bodyText ||| apprentice does get the benefit of not having to generalize,
bodyText ||| so the gap between baseline loss and recall loss could be
bodyText ||| optimistic. Figure 12 compares the expected total loss of
bodyText ||| the baseline crawler, the recall crawler, and the apprentice-
bodyText ||| guided crawler (which is free to wander outside the baseline
bodyText ||| collection) plotted against the number of pages fetched, for a
bodyText ||| few topics. As expected, the recall crawler has loss generally
figure ||| Ice Hockey
figure ||| 0	1000 2000 3000 4000 5000 6000
figure ||| #Pages fetched
figure ||| Kayaking
figure ||| 0	5000	10000	15000	20000
figure ||| #Pages fetched
figureCaption ||| Figure 12: Recall for a crawler using the apprentice but
figureCaption ||| limited to the set of pages crawled earlier by the baseline
figureCaption ||| crawler.
bodyText ||| somewhere between the loss of the baseline and the enhanced
bodyText ||| crawler.
subsectionHeader ||| 3.7 Effect of training the apprentice online
bodyText ||| Next we observe the effect of a mid-flight correction when
bodyText ||| the apprentice is trained some way into a baseline and
bodyText ||| switched into the circuit. The precise steps were:
listItem ||| 1. Run the baseline crawler for the first n page fetches,
listItem ||| then stop it.
listItem ||| 2. Prepare instances and train the apprentice.
listItem ||| 3. Re-evaluate the priorities of all unvisited pages v in
listItem ||| the frontier table using the apprentice.
listItem ||| 4. Switch in the apprentice and resume an enhanced
listItem ||| crawl.
bodyText ||| We report our experience with “Folk Dancing.” The baseline
bodyText ||| crawl was stopped after 5200 pages were fetched. Re-
bodyText ||| evaluating the priority of frontier nodes led to radical
bodyText ||| changes in their individual ranks as well as the priority
bodyText ||| distributions. As shown in Figure 13(a), the baseline learner
bodyText ||| is overly optimistic about the yield it expects from the
bodyText ||| frontier, whereas the apprentice already abandons a large
bodyText ||| fraction of frontier outlinks, and is less optimistic about
figure ||| 35%
figure ||| Baseline
figure ||| Apprentice
figure ||| Intersect
figure ||| Baseline
figure ||| Apprentice
figure ||| Intersect
figure ||| Basketball
figure ||| 4%
figure ||| FolkDance
figure ||| 9%
figure ||| 47%
figure ||| Baseline
figure ||| Apprentice
figure ||| Intersect
figure ||| 3%
figure ||| 39%
figure ||| 34%
figure ||| Baseline
figure ||| Apprentice
figure ||| Intersect
figure ||| 17%
figure ||| 57%
figure ||| FlyFishing
figure ||| 48%
figure ||| 49%
figure ||| 58%
figure ||| IceHockey
figure ||| Baseline
figure ||| Recall
figure ||| Apprentice
figure ||| 1000
figure ||| 0
figure ||| Baseline
figure ||| Recall
figure ||| Apprentice
figure ||| 	10000
figure ||| 	5000
figure ||| 	0
figure ||| 157
figure ||| Folk Dancing
figureCaption ||| Figure 13: The effect of online training of the apprentice.
bodyText ||| The apprentice makes sweeping changes in the
bodyText ||| estimated promise of unvisited nodes in the crawl frontier.
bodyText ||| (b) Resuming the crawl under the guidance of the
bodyText ||| apprentice immediately shows significant reduction in the
bodyText ||| loss accumulation rate.
bodyText ||| the others, which appears more accurate from the Bayesian
bodyText ||| perspective.
bodyText ||| Figure 13(b) shows the effect of resuming an enhanced
bodyText ||| crawl guided by the trained apprentice. The new (u, v)
bodyText ||| instances are all guaranteed to be unknown to the apprentice
bodyText ||| now. It is clear that the apprentice’s prioritization
bodyText ||| immediately starts reducing the loss rate. Figure 14 shows
bodyText ||| an even more impressive example. There are additional mild
bodyText ||| gains from retraining the apprentice at later points. It may
bodyText ||| be possible to show a more gradual online learning effect
bodyText ||| by retraining the classifier at a finer interval, e.g., every
bodyText ||| 100 page fetches, similar to Aggarwal et al. In our context,
bodyText ||| however, losing a thousand pages at the outset because of
bodyText ||| the baseline crawler’s limitation is not a disaster, so we need
bodyText ||| not bother.
subsectionHeader ||| 3.8 Effect of other features
bodyText ||| We experimented with two other kinds of feature, which we
bodyText ||| call topic and cocitation features.
bodyText ||| Our limiting dmax to 5 may deprive the apprentice of
bodyText ||| important features in the source page u which are far from
bodyText ||| the link (u, v). One indirect way to reveal such features
bodyText ||| to the apprentice is to classify u, and to add the names
bodyText ||| of some of the top-scoring classes for u to the instance
bodyText ||| (u, v). §2.2.3 explains why this may help. This modification
bodyText ||| resulted in a 1% increase in the accuracy of the apprentice.
bodyText ||| A further increase of 1% was observed if we added all
figureCaption ||| Figure 14: Another example of training the apprentice
figureCaption ||| online followed by starting to use it for crawl guidance.
figureCaption ||| Before guidance, loss accumulation rate is over 30%, after,
figureCaption ||| it drops to only 6%.
bodyText ||| prefixes of the class name. For example, the full name
bodyText ||| for the Linux category is /Computers/Software/Operating-
bodyText ||| Systems/Linux. We added all of the following to the
bodyText ||| feature set of the source page: /, /Computers, /Computers/
bodyText ||| Software, /Computers/Software/Operating-Systems and
bodyText ||| /Computers/Software/Operating-Systems/Linux. We also
bodyText ||| noted that various class names and some of their prefixes
bodyText ||| appeared amongst the best discriminants of the positive and
bodyText ||| negative classes.
bodyText ||| Cocitation features for the link (u, v) are constructed by
bodyText ||| looking for other links (u, w) within a DOM distance of dmax
bodyText ||| such that w has already been fetched, so that Pr(c*Iw) is
bodyText ||| known. We discretize Pr(c*Iw) to two values HiGH and Low
bodyText ||| as in §2.3, and encode the feature as (Low, d) or (HiGH, d).
