title ||| A Frequency-based and a Poisson-based Definition of the
bodyText ||| trate in this paper on the probability of a term to be noisy
bodyText ||| and informative. Those probabilities are defined in the col-
bodyText ||| lection space. However, the results regarding the term noise
bodyText ||| and informativeness apply to their dual counterparts: term
bodyText ||| occurrence and informativeness in a document. Also, the
bodyText ||| results can be applied to containment of documents and lo-
bodyText ||| cations.
sectionHeader ||| 6. THE PROBABILITY OF BEING INFOR-
sectionHeader ||| MATIVE
bodyText ||| We showed in the previous sections that the disjointness
bodyText ||| assumption leads to frequency-based probabilities and that
bodyText ||| the independence assumption leads to Poisson probabilities.
bodyText ||| In this section, we formulate a frequency-based definition
bodyText ||| and a Poisson-based definition of the probability of being
bodyText ||| informative and then we compare the two definitions.
construct ||| DefInItIOn 5. The frequency-based probability of be-
construct ||| ing informative:
bodyText ||| We define the Poisson-based probability of being informa-
bodyText ||| tive analogously to the frequency-based probability of being
bodyText ||| informative (see definition 5).
construct ||| DefInItIOn 6. The Poisson-based probability of be-
construct ||| ing informative:
bodyText ||| For λ &gt;&gt; 1, we can alter the noise and informativeness Pois-
bodyText ||| son by starting the sum from 0, since eλ &gt;&gt; 1. Then, the
bodyText ||| minimal Poisson informativeness is poisson(0, λ) = e−λ. We
bodyText ||| obtain a simplified Poisson probability of being informative:
equation ||| λ — ln En (to \k 
equation ||| Ppoj(t is informative1c) �
equation ||| ln En(t) λk
equation ||| k=0 k! 
equation ||| λ
bodyText ||| The computation of the Poisson sum requires an optimi-
bodyText ||| sation for large n(t). The implementation for this paper
bodyText ||| exploits the nature of the Poisson density: The Poisson den-
bodyText ||| sity yields only values significantly greater than zero in an
bodyText ||| interval around λ.
bodyText ||| Consider the illustration of the noise and informative-
bodyText ||| ness definitions in figure 1. The probability functions dis-
bodyText ||| played are summarised in figure 2 where the simplified Pois-
bodyText ||| son is used in the noise and informativeness graphs. The
bodyText ||| frequency-based noise corresponds to the linear solid curve
bodyText ||| in the noise figure. With an independence assumption, we
bodyText ||| obtain the curve in the lower triangle of the noise figure. By
bodyText ||| changing the parameter p := λ/N of the independence prob-
bodyText ||| ability, we can lift or lower the independence curve. The
bodyText ||| noise figure shows the lifting for the value λ := ln N �
bodyText ||| 9.2. The setting λ = ln N is special in the sense that the
bodyText ||| frequency-based and the Poisson-based informativeness have
bodyText ||| the same denominator, namely ln N, and the Poisson sum
bodyText ||| converges to λ. Whether we can draw more conclusions from
bodyText ||| this setting is an open question.
bodyText ||| We can conclude, that the lifting is desirable if we know
bodyText ||| for a collection that terms that occur in relatively few doc-
equation ||| — ln (e−λ	n(t) λk I
equation ||| Ek=1 k!
equation ||| — ln(e−λ • λ)
equation ||| λ —ln Ek=1 kk 
equation ||| =
equation ||| λ — lnλ
bodyText ||| For the sum expression, the following limit holds:
bodyText ||| lim	n(t)�	λk	=eλ—1
bodyText ||| n(t)→∞	k=1	k!	
bodyText ||| Ppoj(t is informative1c) :=
bodyText ||| — ln n(t)
bodyText ||| N 
bodyText ||| —ln 1
bodyText ||| N
bodyText ||| — logN	N)= 1 — logN n(t) = 1 — ln In N
bodyText ||| N	N
bodyText ||| Pf, ,(t is informative1c) :=
bodyText ||| λ
bodyText ||| = 1
page ||| 232
figure ||| 0.8
figure ||| 0.6
figure ||| 0.4
figure ||| 0.2
figure ||| 0
figure ||| 1
figure ||| frequency
figure ||| independence: 1/N
figure ||| independence: ln(N)/N
figure ||| poisson: 1000
figure ||| poisson: 2000
figure ||| poisson: 1 000,2000
figure ||| frequency
figure ||| independence: 1/N
figure ||| 0.8	independence: ln(N)/N
figure ||| poisson: 1000
figure ||| poisson: 2000
figure ||| poisson: 1000,2000
figure ||| 0.6
figure ||| 0.4
figure ||| 0.2
figure ||| 0
figure ||| 1
figure ||| 0	2000 4000 6000 8000 10000
figure ||| n(t): Number of documents with term t
figure ||| 0	2000 4000 6000 8000 10000
figure ||| n(t): Number of documents with term t
figureCaption ||| Figure 1: Noise and Informativeness
figure ||| Probability function		Noise	Informativeness
figure ||| Frequency PfreQ	Def Interval	n(t)/N	ln(n(t)/N)/ln(1/N)
figure ||| 		1/N &lt; PfreQ &lt; 1.0	0.0 &lt; PfreQ &lt; 1.0
figure ||| Independence Pin	Def Interval	1 — (1 — p)n (t)	ln(1 — (1 — p)n(t))/ ln(p)
figure ||| 		p &lt; Pin &lt; 1 — e—λ	ln(p) &lt; Pin &lt; 1.0
figure ||| Poisson Ppoi	Def Interval Def	e—λEn(t) λk	(λ — ln En(t) \k )/(λ — ln λ)
figure ||| Poisson Ppoi simplified	Interval	k=1 k!	k=1
figure ||| 		e—λ • λ &lt; Ppoi &lt; 1 — e—λ	(λ — ln(eλ — 1))/(λ — ln λ) &lt; Ppoi &lt; 1.0
figure ||| 		e—λ Ek=0 kk	(λ — ln Ek=0 kk )/λ
figure ||| 		e—λ &lt; Ppoi &lt; 1.0	0.0 &lt; Ppoi &lt; 1.0
figureCaption ||| Figure 2: Probability functions
bodyText ||| uments are no guarantee for finding relevant documents,
bodyText ||| i. e. we assume that rare terms are still relatively noisy. On
bodyText ||| the opposite, we could lower the curve when assuming that
bodyText ||| frequent terms are not too noisy, i. e. they are considered as
bodyText ||| being still significantly discriminative.
bodyText ||| The Poisson probabilities approximate the independence
bodyText ||| probabilities for large n(t); the approximation is better for
bodyText ||| larger λ. For n(t) &lt; λ, the noise is zero whereas for n(t) &gt; λ
bodyText ||| the noise is one. This radical behaviour can be smoothened
bodyText ||| by using a multi-dimensional Poisson distribution. Figure 1
bodyText ||| shows a Poisson noise based on a two-dimensional Poisson:
equation ||| λkλk
equation ||| poisson(k, λ1, λ2) := π • e—λ1•k� +(1—π)•e- λ2 • 2
equation ||| k!
bodyText ||| The two dimensional Poisson shows a plateau between λ1 =
bodyText ||| 1000 and λ2 = 2000, we used here π = 0.5. The idea be-
bodyText ||| hind this setting is that terms that occur in less than 1000
bodyText ||| documents are considered to be not noisy (i.e. they are in-
bodyText ||| formative), that terms between 1000 and 2000 are half noisy,
bodyText ||| and that terms with more than 2000 are definitely noisy.
bodyText ||| For the informativeness, we observe that the radical be-
bodyText ||| haviour of Poisson is preserved. The plateau here is ap-
bodyText ||| proximately at 1/6, and it is important to realise that this
bodyText ||| plateau is not obtained with the multi-dimensional Poisson
bodyText ||| noise using π = 0.5. The logarithm of the noise is nor-
bodyText ||| malised by the logarithm of a very small number, namely
bodyText ||| 0.5 • e—1000 + 0.5 • e—2000. That is why the informativeness
bodyText ||| will be only close to one for very little noise, whereas for a
bodyText ||| bit of noise, informativeness will drop to zero. This effect
bodyText ||| can be controlled by using small values for π such that the
bodyText ||| noise in the interval [λ1; λ2] is still very little. The setting
bodyText ||| π = e—2000/6 leads to noise values of approximately e —2000/6
bodyText ||| in the interval [λ1; λ2], the logarithms lead then to 1/6 for
bodyText ||| the informativeness.
bodyText ||| The indepence-based and frequency-based informativeness
bodyText ||| functions do not differ as much as the noise functions do.
bodyText ||| However, for the indepence-based probability of being infor-
bodyText ||| mative, we can control the average informativeness by the
bodyText ||| definition p := λ/N whereas the control on the frequency-
bodyText ||| based is limited as we address next.
bodyText ||| For the frequency-based idf, the gradient is monotonously
bodyText ||| decreasing and we obtain for different collections the same
bodyText ||| distances of idf-values, i. e. the parameter N does not affect
bodyText ||| the distance. For an illustration, consider the distance be-
bodyText ||| tween the value idf(tn+1) of a term tn+1 that occurs in n+1
bodyText ||| documents, and the value idf(tn) of a term tn that occurs in
bodyText ||| n documents.
equation ||| idf(tn+1) — idf(tn) = ln  n
equation ||| n+ 1
bodyText ||| The first three values of the distance function are:
equation ||| idf(t2) — idf(t1) = ln(1/(1	+ 1))	=	0.69
equation ||| idf(t3) — idf(t2) = ln(1/(2	+ 1))	=	0.41
equation ||| idf(t4) — idf(t3) = ln(1/(3	+ 1))	=	0.29
bodyText ||| For the Poisson-based informativeness, the gradient decreases
bodyText ||| first slowly for small n(t), then rapidly near n(t) R� λ and
bodyText ||| then it grows again slowly for large n(t).
bodyText ||| In conclusion, we have seen that the Poisson-based defini-
bodyText ||| tion provides more control and parameter possibilities than
page ||| 233
bodyText ||| the frequency-based definition does. Whereas more control
bodyText ||| and parameter promises to be positive for the personalisa-
bodyText ||| tion of retrieval systems, it bears at the same time the dan-
bodyText ||| ger of just too many parameters. The framework presented
bodyText ||| in this paper raises the awareness about the probabilistic
bodyText ||| and information-theoretic meanings of the parameters. The
bodyText ||| parallel definitions of the frequency-based probability and
bodyText ||| the Poisson-based probability of being informative made
bodyText ||| the underlying assumptions explicit. The frequency-based
bodyText ||| probability can be explained by binary occurrence, constant
bodyText ||| containment and disjointness of documents. Independence
bodyText ||| of documents leads to Poisson, where we have to be aware
bodyText ||| that Poisson approximates the probability of a disjunction
bodyText ||| for a large number of events, but not for a small number.
bodyText ||| This theoretical result explains why experimental investiga-
bodyText ||| tions on Poisson (see [7]) show that a Poisson estimation
bodyText ||| does work better for frequent (bad, noisy) terms than for
bodyText ||| rare (good, informative) terms.
bodyText ||| In addition to the collection-wide parameter setting, the
bodyText ||| framework presented here allows for document-dependent
bodyText ||| settings, as explained for the independence probability. This
bodyText ||| is in particular interesting for heterogeneous and structured
bodyText ||| collections, since documents are different in nature (size,
bodyText ||| quality, root document, sub document), and therefore, bi-
bodyText ||| nary occurrence and constant containment are less appro-
bodyText ||| priate than in relatively homogeneous collections.
sectionHeader ||| 7. SUMMARY
bodyText ||| The definition of the probability of being informative trans-
bodyText ||| forms the informative interpretation of the idf into a proba-
bodyText ||| bilistic interpretation, and we can use the idf -based proba-
bodyText ||| bility in probabilistic retrieval approaches. We showed that
bodyText ||| the classical definition of the noise (document frequency) in
bodyText ||| the inverse document frequency can be explained by three
bodyText ||| assumptions: the term within-document occurrence prob-
bodyText ||| ability is binary, the document containment probability is
bodyText ||| constant, and the document containment events are disjoint.
bodyText ||| By explicitly and mathematically formulating the assump-
bodyText ||| tions, we showed that the classical definition of idf does not
bodyText ||| take into account parameters such as the different nature
bodyText ||| (size, quality, structure, etc.) of documents in a collection,
bodyText ||| or the different nature of terms (coverage, importance, po-
bodyText ||| sition, etc.) in a document. We discussed that the absence
bodyText ||| of those parameters is compensated by a leverage effect of
bodyText ||| the within-document term occurrence probability and the
bodyText ||| document containment probability.
bodyText ||| By applying an independence rather a disjointness as-
bodyText ||| sumption for the document containment, we could estab-
bodyText ||| lish a link between the noise probability (term occurrence
bodyText ||| in a collection), information theory and Poisson. From the
bodyText ||| frequency-based and the Poisson-based probabilities of be-
bodyText ||| ing noisy, we derived the frequency-based and Poisson-based
bodyText ||| probabilities of being informative. The frequency-based prob-
bodyText ||| ability is relatively smooth whereas the Poisson probability
bodyText ||| is radical in distinguishing between noisy or not noisy, and
bodyText ||| informative or not informative, respectively. We showed how
bodyText ||| to smoothen the radical behaviour of Poisson with a multi-
bodyText ||| dimensional Poisson.
bodyText ||| The explicit and mathematical formulation of idf- and
bodyText ||| Poisson-assumptions is the main result of this paper. Also,
bodyText ||| the paper emphasises the duality of idf and tf, collection
bodyText ||| space and document space, respectively. Thus, the result
bodyText ||| applies to term occurrence and document containment in a
bodyText ||| collection, and it applies to term occurrence and position
bodyText ||| containment in a document. This theoretical framework is
bodyText ||| useful for understanding and deciding the parameter estima-
bodyText ||| tion and combination in probabilistic retrieval models. The
bodyText ||| links between indepence-based noise as document frequency,
bodyText ||| probabilistic interpretation of idf, information theory and
bodyText ||| Poisson described in this paper may lead to variable proba-
bodyText ||| bilistic idf and tf definitions and combinations as required
bodyText ||| in advanced and personalised information retrieval systems.
bodyText ||| Acknowledgment: I would like to thank Mounia Lalmas,
bodyText ||| Gabriella Kazai and Theodora Tsikrika for their comments
bodyText ||| on the as they said “heavy” pieces. My thanks also go to the
bodyText ||| meta-reviewer who advised me to improve the presentation
bodyText ||| to make it less “formidable” and more accessible for those
bodyText ||| “without a theoretic bent”. This work was funded by a
bodyText ||| research fellowship from Queen Mary University of London.
sectionHeader ||| 8. REFERENCES
reference ||| [1] A. Aizawa. An information-theoretic perspective of
reference ||| tf-idf measures. Information Processing and
reference ||| Management, 39:45–65, January 2003.
reference ||| [2] G. Amati and C. J. Rijsbergen. Term frequency
reference ||| normalization via Pareto distributions. In 24th
reference ||| BCS-IRSG European Colloquium on IR Research,
reference ||| Glasgow, Scotland, 2002.
reference ||| [3] R. K. Belew. Finding out about. Cambridge University
reference ||| Press, 2000.
reference ||| [4] A. Bookstein and D. Swanson. Probabilistic models
reference ||| for automatic indexing. Journal of the American
reference ||| Society for Information Science, 25:312–318, 1974.
reference ||| [5] I. N. Bronstein. Taschenbuch der Mathematik. Harri
reference ||| Deutsch, Thun, Frankfurt am Main, 1987.
reference ||| [6] K. Church and W. Gale. Poisson mixtures. Natural
reference ||| Language Engineering, 1(2):163–190, 1995.
reference ||| [7] K. W. Church and W. A. Gale. Inverse document
reference ||| frequency: A measure of deviations from poisson. In
reference ||| Third Workshop on Very Large Corpora, ACL
reference ||| Anthology, 1995.
reference ||| [8] T. Lafouge and C. Michel. Links between information
reference ||| construction and information gain: Entropy and
reference ||| bibliometric distribution. Journal of Information
reference ||| Science, 27(1):39–49, 2001.
reference ||| [9] E. Margulis. N-poisson document modelling. In
reference ||| Proceedings of the 15th Annual International ACM
reference ||| SIGIR Conference on Research and Development in
reference ||| Information Retrieval, pages 177–189, 1992.
reference ||| [10] S. E. Robertson and S. Walker. Some simple effective
reference ||| approximations to the 2-poisson model for
reference ||| probabilistic weighted retrieval. In Proceedings of the
reference ||| 17th Annual International ACM SIGIR Conference on
reference ||| Research and Development in Information Retrieval,
reference ||| pages 232–241, London, et al., 1994. Springer-Verlag.
reference ||| [11] S. Wong and Y. Yao. An information-theoric measure
reference ||| of term specificity. Journal of the American Society
reference ||| for Information Science, 43(1):54–61, 1992.
reference ||| [12] S. Wong and Y. Yao. On modeling information
reference ||| retrieval with probabilistic inference. ACM
reference ||| Transactions on Information Systems, 13(1):38–68,
reference ||| 1995.
page ||| 234
