title ||| A Resilient Packet-Forwarding Scheme against Maliciously
bodyText ||| neighbor list (v and w) to x by including their respective
bodyText ||| certificates in the ACK. Node x verifies u’s neighbor list by
bodyText ||| examining each certificate, since x can generate any certifi-
bodyText ||| cate with KI. If all correct, x computes its pairwise key with
bodyText ||| u, Kxu = fKu (x). Node x also generates MAC(Ku, ujx) and
bodyText ||| stores it as a certificate.
bodyText ||| The ACK from x also contains Tx, the amount of time
bodyText ||| remaining until Tmin of x. This ACK is authenticated using
bodyText ||| their pairwise key Kxu, which proves node x a pure node
bodyText ||| and x’s identity. Node u then records ˇTx (Tx added to the
bodyText ||| current time of u) in the entry for x in the neighbor table.
bodyText ||| Since adult node u cannot generate MAC(Kx, xju) by itself,
bodyText ||| pure node x provides the certificate for u in the ACK. Node
bodyText ||| x also provides one-time certificates6 for each of u’s certified
bodyText ||| neighbors (v and w). Then, the three-way handshaking is
bodyText ||| done.
bodyText ||| After that, adult node u broadcasts one-time certificates
bodyText ||| (from newly-discovered pure node x), in order to assure u’s
bodyText ||| existing neighbors (v and w) of the discovery of new neighbor
bodyText ||| x. The packet containing one-time certificates is as follows:
equation ||| Mu
equation ||| , MAC(Kcu, Mu).
bodyText ||| where x is a new neighbor of u, KAu is a local broadcast au-
bodyText ||| thentication key in u’s one-way key chain, Kcu is the cluster
bodyText ||| key of u. Each receiving neighbor v of u verifies u’s new
bodyText ||| neighbor x by examining the one-time certificate designated
bodyText ||| for v, MAC(Kv, xju)6. If ok, node x is now certified by each
bodyText ||| neighbor v of u. Then, one-time certificates can be erased,
bodyText ||| since they are of no use any more.
bodyText ||| Broadcast authentication only with symmetric keys such
bodyText ||| as cluster key Kcu fails to prevent an impersonation attack,
bodyText ||| since every neighbor of u shares the cluster key of u. Thus,
bodyText ||| we employ the reverse disclosure of one-way key chain KAu
bodyText ||| as in LEAP.
bodyText ||| Just prior to Tmin of x, pure node x broadcasts its neigh-
bodyText ||| bor list. Each receiving neighbor u of x checks whether the
bodyText ||| receiving time at u is prior to ˇTx in the neighbor table. If
bodyText ||| yes, the neighbor list of x is now certified by each neighbor u.
bodyText ||| In summary, through the proposed three-way handshak-
bodyText ||| ing neighbor discovery process, pure node u identifies each
bodyText ||| immediate neighbor v and v’s certified neighbor list (if v is
bodyText ||| an adult node), and keeps track of Tmin of v. Just prior
bodyText ||| to Tmin of u, node u broadcasts its direct neighbor list so
bodyText ||| that every neighbor of u accepts the list as verifiable. Then,
bodyText ||| node u becomes an adult node. After that, if newly-added
bodyText ||| node x initiates neighbor discovery with adult node u, node
bodyText ||| u identifies pure node x, keeps track of Tmin of x, provides
bodyText ||| u’s certified neighbor list to x, and, in return, takes one-time
bodyText ||| certificates from x. Node u then broadcasts these one-time
footnote ||| 6One-time certificate, for instance MAC(Kv, xju), assures
bodyText ||| v that x is an immediate neighbor of u. It is generated by
bodyText ||| pure node x with master key of v.
tableCaption ||| Table 1: An example of the Neighbor Table of u.
table ||| Neighbor ID	Certificate	Verified Neighbor List
table ||| v	MAC(Kv, v ju)	u, w, t
table ||| w	MAC(Kw, wju)	u, v, z
table ||| x	MAC(Kx, xju)	u, r, q
bodyText ||| certificates, in order to assure u’s existing neighbors of the
bodyText ||| discovery of new neighbor x. Thus, every time adult node u
bodyText ||| discovers newly-added node x through three-way handshak-
bodyText ||| ing, node u informs (by broadcasting) its existing neighbors
bodyText ||| of the discovery of new neighbor x. Also, whenever receiv-
bodyText ||| ing neighbor list information from pure neighbor x, node u
bodyText ||| checks whether the receiving time at u is prior to ˇTx in the
bodyText ||| neighbor table. If yes, u now accepts the neighbor list of x
bodyText ||| as verifiable.
bodyText ||| Through the above neighbor list verification in the boot-
bodyText ||| strapping phase, every node gets the knowledge of its neigh-
bodyText ||| bors’ certified neighbors. Our Neighbor Watch System makes
bodyText ||| use of this information to prevent blind letter attack. With
bodyText ||| this knowledge, watch nodes are able to check whether the
bodyText ||| relaying packet’s intended next-hop is a verified neighbor of
bodyText ||| the forwarding node.
subsectionHeader ||| 3.3 Neighbor Table Maintenance
bodyText ||| The information obtained through neighbor list verifica-
bodyText ||| tion (e.g. its direct neighbors, corresponding certificates,
bodyText ||| neighbors’ neighbor lists, etc) is stored in the neighbor table
bodyText ||| of each node. Table 1 shows an example of the neighbor
bodyText ||| table of node u. In densely-deployed sensor networks, the
bodyText ||| expected degree of a node is high. However, in this example,
bodyText ||| for simplicity, node u has only three neighbors v, w, and x
bodyText ||| as in Figure 3.
bodyText ||| The entries in the neighbor table are accessed and main-
bodyText ||| tained with immediate neighbor IDs. For example, if node
bodyText ||| u overhears the packet sent from w to v, node u begins to
bodyText ||| listen in on v’s traffic as a sub-watch node (since the neigh-
bodyText ||| bor table of u has both v’s and w’s entries in it). Unless v
bodyText ||| forwards the packet to a node of the Verified Neighbor List
bodyText ||| in v’s entry by a certain timeout, sub-watch node u will for-
bodyText ||| ward the packet to its next-hop other than v; many existing
bodyText ||| routing protocols [5, 18, 21, 27, 37, 43] enable each node to
bodyText ||| maintain multiple potential next-hop. Once forwarding the
bodyText ||| packet, sub-watch node u becomes a primary-watch node
bodyText ||| and begins to listen in on its next-hop’s traffic as described
bodyText ||| above.
bodyText ||| If newly-added node y initiates the three-way handshaking
bodyText ||| with u, node u provides its neighbor list to y by sending
bodyText ||| certificates in the neighbor table. Node u, in return from
bodyText ||| node y, takes the certificate for y and one-time certificates
bodyText ||| for u’s existing neighbors. Then, node u stores the certificate
bodyText ||| in the new entry for y. However, node u does not store the
bodyText ||| one-time certificates but broadcasts them to its neighbors.
bodyText ||| If new neighbor y broadcasts its neighbor list within Tmin,
bodyText ||| node u stores the list in the entry for y.
bodyText ||| If node u is compromised, not only cryptographic key
bodyText ||| information but also certificates in the neighbor table are
bodyText ||| exposed. However, the attacker cannot misuse these cer-
bodyText ||| tificates for other purposes. Since a certificate only attests
bodyText ||| neighborship between two specific nodes, it cannot be ap-
bodyText ||| plied to any other nodes. In fact, it can be made even public.
bodyText ||| However, colluding nodes can deceive a pure node anyway,
bodyText ||| one—time cert.	one—time cert.
equation ||| � �	�
equation ||| MAC(Kv, xju), w, MAC(Kw, xju), KAu
equation ||| �	��	�
equation ||| u____+ * :	u, x, v,
equation ||| �
page ||| 64
bodyText ||| by fabricating a bogus certificate. We will describe this lim-
bodyText ||| itation in Section 4.4.
sectionHeader ||| 4. EVALUATION
bodyText ||| In this section, we evaluate the communication and stor-
bodyText ||| age cost, and analyze the security of our resilient forwarding
bodyText ||| scheme (Neighbor Watch System) as well as Neighbor List
bodyText ||| Verification. We then present the simulation results of our
bodyText ||| forwarding scheme.
subsectionHeader ||| 4.1 Communication Cost
bodyText ||| Unlike the previously proposed diffusion-based reliable-
bodyText ||| forwarding schemes [21, 29, 39, 42] that exploit a large num-
bodyText ||| ber of nodes to deliver a single packet, our scheme requires
bodyText ||| only the designated next-hop node to relay the packet, un-
bodyText ||| der the supervision of watch nodes. We note that, like over-
bodyText ||| hearing by watch nodes in our scheme, those diffusion-based
bodyText ||| schemes require each node to listen to all its neighbors, since
bodyText ||| they forward a packet by broadcasting with no designated
bodyText ||| next-hop. With a smaller number of relaying nodes, our
bodyText ||| scheme makes a report successfully reach the base station.
bodyText ||| Thus, the average communication cost of our forwarding
bodyText ||| scheme for delivery of a single packet is smaller than those
bodyText ||| of the previous schemes.
bodyText ||| Our neighbor list verification during the bootstrapping
bodyText ||| phase requires the three-way handshaking neighbor discov-
bodyText ||| ery. Unlike the neighbor discovery between two pure nodes,
bodyText ||| the size of the messages exchanged between a pure and an
bodyText ||| adult node varies with the degree of the adult node. A large
bodyText ||| number of certificates caused by the high degree can be over-
bodyText ||| burdensome to a single TinyOS packet which provides 29
bodyText ||| bytes for data. Considering 8-byte certificates and a 4-byte7
bodyText ||| message authentication code (MAC), the adult node is able
bodyText ||| to include at most two neighbors’ information in a single
bodyText ||| TinyOS packet. Thus, when the entire neighbor list cannot
bodyText ||| be accommodated within a single packet, the node should
bodyText ||| allot the list to several packets and send them serially. In a
bodyText ||| network of size N with the expected degree d of each node,
bodyText ||| the average number of packets invoked by a newly-added
bodyText ||| node per each node is nearly (d — 1)2/2(N — 1).
bodyText ||| Therefore, as node density d grows, the total number
bodyText ||| of packets transmitted from adult nodes to a newly-added
bodyText ||| node increases. However, neighbor discovery between a pure
bodyText ||| and an adult node occurs much less than between two pure
bodyText ||| nodes, since most neighbor discoveries throughout the net-
bodyText ||| work are between two pure nodes in the early stage of the
bodyText ||| network. Neighbor discovery between a pure and an adult
bodyText ||| node occurs generally when a new node is added to the net-
bodyText ||| work.
subsectionHeader ||| 4.2 Storage Overhead
bodyText ||| In LEAP, each node keeps four types of keys and a man-
bodyText ||| ageable length of hash chain, which is found to be scalable.
bodyText ||| In our scheme, each node needs to additionally store its di-
bodyText ||| rect neighbors’ certificates and their respective neighbor lists
bodyText ||| as in Table 1. Thus, for a network of the expected degree
bodyText ||| d and the byte size l of node ID, the additional storage re-
bodyText ||| quirement for each node is d • (8 + ld) bytes.
bodyText ||| Although our storage requirement for these neighbor lists
bodyText ||| is O(d 2), for a reasonable degree d, memory overhead does
footnote ||| 74-byte MAC is found to be not detrimental in sensor net-
footnote ||| works as in TinySec [24] which employs 4-byte MAC.
figureCaption ||| Figure 4: Examples of critical area C1 and C2.
bodyText ||| not exceed 1 KB (a Berkeley MICA2 Mote with 128 KB
bodyText ||| flash memory and 4 KB SRAM). For example, when d = 20
bodyText ||| and l = 2, a node needs 960 bytes of memory to store such
bodyText ||| information.
bodyText ||| If node density of a network is so high that the required
bodyText ||| space for those neighbor lists significantly increases and the
bodyText ||| storage utilization becomes an issue, we can employ a storage-
bodyText ||| reduction technique such as Bloom filter [2]. For example,
bodyText ||| when d = 30 and l = 2, a node requires 2,040 bytes of addi-
bodyText ||| tional space mainly for the neighbor lists. Instead of storing
bodyText ||| neighbors’ neighbor lists, applying each of the neighbor lists
bodyText ||| (480 bits) to a Bloom filter (of 5 hash functions mapping to
bodyText ||| a 256 bit vector), a node needs the reduced space of 1,200
bodyText ||| bytes for such information (with the false positive probabil-
bodyText ||| ity = 0.02).
subsectionHeader ||| 4.3 Resilience to Packet-Dropping Attacks
bodyText ||| In face of maliciously packet-dropping nodes, the higher
bodyText ||| degree of multipath we provide, the more resiliency our
bodyText ||| scheme achieves against such attacks. The average degree
bodyText ||| of multipath depends on the number of sub-watch nodes
bodyText ||| around a packet-dropping node. Sub-watch nodes should
bodyText ||| be located in the region within the communication range of
bodyText ||| both forwarding node u and designated next-hop v. We re-
bodyText ||| fer to such a region as critical area. As in Figure 4, if nodes
bodyText ||| u and v are located farther away, the size of critical area C2
bodyText ||| gets smaller than that of C1, and the probability (p.) that
bodyText ||| at least one sub-watch node exists in the critical area goes
bodyText ||| down. The probability (p.) is
equation ||| p. = 1 — (1 — c)d-1,
bodyText ||| where c is the ratio of the critical area size to the node’s com-
bodyText ||| munication range, and the expected degree d of the node.
bodyText ||| To determine the appropriate degree d, we set the smallest
bodyText ||| critical area C2 in Figure 4 as a lower bound case (c = 0.4).
bodyText ||| Figure 5 shows that, even in the lower bound critical area,
bodyText ||| with d = 6 and d = 10, probability p. is above 0.9 and above
bodyText ||| 0.99, respectively.
bodyText ||| Since, in a network of degree d, the probability that there
bodyText ||| exist m sub-watch nodes in the critical area of the ratio c is
equation ||| p(m) = �d — m J 1) cm(1 — c)d-m-1
bodyText ||| the expected number of sub-watch nodes, m, in the critical
bodyText ||| area is given by
equation ||| E[m] = (d — 1)c.
bodyText ||| Thus, in the lower bound (c = 0.4) critical area, when d =
bodyText ||| 10, 15, 20, the number of sub-watch nodes (i.e. the degree
bodyText ||| of multipath) is 3.6, 5.6, 7.6 on average, respectively. This
figure ||| u	v	?	u	v	?
figure ||| C1	C2
figure ||| ,
page ||| 65
figureCaption ||| Figure 5: Probability (p.) that at least one sub-
figureCaption ||| watch node exists in the lower bound (c = 0.4) criti-
figureCaption ||| cal area.
bodyText ||| shows that the higher degree of each node has, our scheme
bodyText ||| has the higher degree of multipath and resiliency against
bodyText ||| packet-dropping nodes.
subsectionHeader ||| 4.4 The Security of Neighbor List Verification
bodyText ||| Our Neighbor List Verification(NLV) keeps the nice prop-
bodyText ||| erties of LEAP. Adult nodes fail to establish pairwise keys
bodyText ||| with any adult nodes in arbitrary locations, so that the im-
bodyText ||| pact of a node compromise is localized. NLV performs the
bodyText ||| three-way handshaking neighbor discovery, instead of two-
bodyText ||| message exchange in LEAP. The three-way handshaking en-
bodyText ||| ables each node to verify not only its direct neighbors but
bodyText ||| also their respective neighbor lists.
bodyText ||| Moreover, this this three-way handshaking can be a po-
bodyText ||| tential solution to deal with irregularity of radio range [15,
bodyText ||| 37, 45]. In reality, due to the noise and some environmen-
bodyText ||| tal factors, radio range of each node is not exactly circu-
bodyText ||| lar. So, communication links among nodes are asymmetric;
bodyText ||| node u can hear node v which is unable to hear u. With
bodyText ||| two-message exchange, only the node initiating the neigh-
bodyText ||| bor discovery is assured of the link’s bidirectionality. By the
bodyText ||| three-way handshaking, both of neighbors can be assured of
bodyText ||| their symmetric connectivity.
bodyText ||| With NLV, only the verified lists are stored and utilized
bodyText ||| for our packet-forwarding scheme. NLV verifies the neighbor
bodyText ||| list of an adult node with certificates. These certificates
bodyText ||| merely attest neighborship between two specific nodes. Even
bodyText ||| if a node is compromised, the attacker fails to abuse the
bodyText ||| certificates of the captured node for other purpose.
bodyText ||| However, collusion among compromised nodes can fab-
bodyText ||| ricate bogus certificates in order to deceive a newly-added
bodyText ||| node. For example, consider two colluding nodes u and v at
bodyText ||| the different locations. When compromised node u discovers
bodyText ||| newly-added node x, node u provides x with u’s neighbor
bodyText ||| list (maliciously including v in it). Even though node v is
bodyText ||| not an actual neighbor of u, colluding node v can generate
bodyText ||| the bogus certificate for u, MAC(K,, v1u). Then, x falsely
bodyText ||| believes that v is a direct neighbor of u. This attack, how-
bodyText ||| ever, affects only the one newly-added node x. Thus, when
bodyText ||| compromised node u tries to launch the blind letter attack 8,
footnote ||| 8Compromised node u transmits the relaying packet with its
bodyText ||| other surrounding adult neighbors of u can still detect it
bodyText ||| anyway.
bodyText ||| The more serious case is that colluding nodes exploit a
bodyText ||| newly-added node to generate bogus one-time certificates.
bodyText ||| For example, consider two colluding nodes u and v that
bodyText ||| share all their secret information as well as all their certifi-
bodyText ||| cates. When newly-added node x initiates the three-way
bodyText ||| handshaking with u, compromised node u pretends to be
bodyText ||| v and provides x with v’ neighbor list. Then, x in return
bodyText ||| provides u with one-time certificates for each neighbor of
bodyText ||| v; these one-time certificates falsely attest that v has new
bodyText ||| neighbor x. Node u sends this information to v over the
bodyText ||| covert channel. Then, v broadcasts these one-time certifi-
bodyText ||| cates, and neighbors of v falsely believe that x is a direct
bodyText ||| neighbor of v.
bodyText ||| Unfortunately, we do not provide a proper countermea-
bodyText ||| sure to defend against this type of man-in-the-middle at-
bodyText ||| tacks. However, we point out that this type of attacks has
bodyText ||| to be launched in the passive manner. The adversary has
bodyText ||| to get the chance of discovery of a newly-added node. In
bodyText ||| other words, compromised nodes wait for the initiation of
bodyText ||| the three-way handshaking from a newly-added node. Since
bodyText ||| the attacker does not know where the new nodes will be
bodyText ||| added, it has to compromise a sufficient number of legiti-
bodyText ||| mate nodes in order to increase the probability of discovery
bodyText ||| of newly-added nodes.
bodyText ||| As an active defense against such man-in-the-middle at-
bodyText ||| tacks, we can apply a node replication detection mechanism
bodyText ||| such as Randomized or Line-Selected Multicast [31], which
bodyText ||| revokes the same ID node at the different location claims.
bodyText ||| To successfully launch such man-in-the-middle attacks, two
bodyText ||| colluding nodes should pretend to be each other so that each
bodyText ||| of them claims to be at two different locations with the same
bodyText ||| ID. Location-binding key-assignment scheme by Yang et al.
bodyText ||| [39] with a little modification also can be a good solution
bodyText ||| to such attacks. Since it binds secret keys with nodes’ geo-
bodyText ||| graphic locations, the key bound to the particular location
bodyText ||| cannot be used at any arbitrary locations. Adopting this,
bodyText ||| NLV can check whether the claimed neighbors are really lo-
bodyText ||| cated within geographically two hops away.
subsectionHeader ||| 4.5 Simulations
bodyText ||| To further evaluate the performance of our resilient for-
bodyText ||| warding scheme, we run simulations of our scheme in the
bodyText ||| presence of packet-dropping nodes on a network simulator,
bodyText ||| ns-2 [9].
subsubsectionHeader ||| 4.5.1 Simulation Model
bodyText ||| In our simulations, we deploy N sensor nodes uniformly at
bodyText ||| random within 500 x 500m2 target field, with N = 300 and
bodyText ||| 600. Each sensor node has a constant transmission range of
bodyText ||| 30m, so that the degree of each node is approximately 10
bodyText ||| (N = 300) and 20 (N = 600) on average. We position a base
bodyText ||| station and a source node in opposite corners of the field, at
bodyText ||| a fixed point (50, 50) and (450, 450), respectively. They are
bodyText ||| located approximately 18 hops away from each other.
bodyText ||| We distribute compromised nodes over an inner square
bodyText ||| area with 200m each side (from 150m to 350m of each side
bodyText ||| of the 500 x 500m2 target area). Thus, compromised nodes
bodyText ||| are strategically-placed in between the base station and the
bodyText ||| source node. In the simulations, those compromised nodes
bodyText ||| drop all the relaying packets.
bodyText ||| next-hop id as v, so that x considers it forwarded correctly.
figure ||| 1
figure ||| 0.9
figure ||| 0.8
figure ||| 0.7
figure ||| 0.6
figure ||| 0.5
figure ||| 0.4
figure ||| 0.3
figure ||| 0.2
figure ||| 0.1
figure ||| 0
figure ||| 1	5	10	15	20
figure ||| Degree of a node
figure ||| 66
figureCaption ||| Figure 6: Simulation Results (averaged over 100 runs).
figure ||| 0	5	10	15	20	25	30	35	40	45	50
figure ||| Number of Packet-dropping Nodes
figure ||| (a) Success ratio (N = 300, x = 0 — 50)
figure ||| 0	10	20	30	40	50	60	70	80	90	100
figure ||| Number of Packet-dropping Nodes
figure ||| (b) Success ratio (N = 600, x = 0 — 100)
figure ||| 100
figure ||| 100
figure ||| 10
figure ||| 10
figure ||| 0
figure ||| 0
figure ||| 90
figure ||| 90
figure ||| ( 300 nodes )
figure ||| 80
figure ||| 70
figure ||| 60
figure ||| 50
figure ||| 40
figure ||| 30
figure ||| 20
figure ||| 80
figure ||| 70
figure ||| 60
figure ||| 50
figure ||| 40
figure ||| 30
figure ||| 20
figure ||| ( 600 nodes )
figure ||| 0	5	10	15	20	25	30	35	40	45	50
figure ||| Number of Packet-Dropping Nodes
figure ||| 0	10	20	30	40	50	60	70	80	90	100
figure ||| Number of Packet-dropping Nodes
figure ||| (c) The number of relaying nodes with N = 300
figure ||| (d) The number of relaying nodes with N = 600
figure ||| ( 300 nodes )
figure ||| 0.6
figure ||| 0.5
figure ||| 0.4
figure ||| 1
figure ||| 0.9
figure ||| 0.8
figure ||| 0.7
figure ||| 0.3
figure ||| 0.2
figure ||| 0.1
figure ||| 0
figure ||| 1
figure ||| 0.9
figure ||| 0.8
figure ||| 0.7
figure ||| 0.6
figure ||| 0.5
figure ||| 0.4
figure ||| 0.3
figure ||| 0.2
figure ||| 0.1
figure ||| 0
figure ||| ( 600 nodes )
figure ||| Single Path Forwarding	with NWS
figure ||| Single Path Forwarding	with NWS
figure ||| Single Path Forwarding	with NWS
figure ||| Single Path Forwarding	with NWS
bodyText ||| We use the typical TinyOS beaconing [17] with a little
bodyText ||| modification as a base routing protocol in our simulations.
bodyText ||| We add a hop count value in a beacon message9. To have
bodyText ||| multiple potential next-hops, when receiving a beacon with
bodyText ||| the same or better hop count than the parent node’s, each
bodyText ||| node marks the node sending the beacon as a potential next-
bodyText ||| hop.
bodyText ||| Each simulation experiment is conducted using 100 differ-
bodyText ||| ent network topologies, and each result is averaged over 100
bodyText ||| runs of different network topologies.
subsubsectionHeader ||| 4.5.2 Simulation Results
bodyText ||| In the presence of compromised node dropping all the re-
bodyText ||| laying packets, we measure the success ratio (i.e. the per-
bodyText ||| centage of the packets that successfully reach the base sta-
bodyText ||| tion from the source) and the number of relaying nodes by
bodyText ||| the primitive single-path forwarding and with NWS in a
bodyText ||| network of size N, with N = 300 and 600.
footnote ||| 9The base station initiates the beacon-broadcasting, which
footnote ||| floods through the network, in order to set up a routing tree.
bodyText ||| Figure 6(a) shows the success ratio in face of x packet-
bodyText ||| dropping nodes (varying x=0 to 50) in a 300-sensor-node
bodyText ||| network with the approximate degree d = 10. Although
bodyText ||| the success ratio gently decreases with x, it keeps up above
bodyText ||| 0.8 even with x = 30, with the help of NWS. This ten-
bodyText ||| dency of decreasing success ratio can be attributed to the
bodyText ||| degree d = 10 (3.6 sub-watch nodes on average) as well as
bodyText ||| an increasing number of packet-dropping nodes. Due to the
bodyText ||| strategically-placement of compromised nodes in our sim-
bodyText ||| ulations, as x increases on, it is likely that a forwarding
bodyText ||| node’s all potential sub-watch nodes themselves are packet-
bodyText ||| dropping nodes. Figure 6(c) shows the number of nodes
bodyText ||| that relay the packet from the source to the base station
bodyText ||| in the same experiments. Since the source is located about
bodyText ||| 18 hops away from the base station, the number of relaying
bodyText ||| nodes only with the single-path forwarding remains at 18.
bodyText ||| With NWS, the number of relaying nodes increases with x,
bodyText ||| in order to bypass an increasing number of packet-dropping
bodyText ||| nodes. In face of such nodes, our scheme converts single-
bodyText ||| path forwarding into multipath data forwarding, with the
page ||| 67
bodyText ||| help of sub-watch nodes around such packet-dropping nodes.
bodyText ||| Utilizing a cache for recently-received packets can suppress
bodyText ||| the same copy within a certain timeout, which reduces the
bodyText ||| number of relaying nodes.
bodyText ||| Figure 6(b) shows the success ratio in a 600-sensor-node
bodyText ||| network with the approximate degree d = 20 with x packet-
bodyText ||| dropping nodes (varying x=0 to 100). Unlike that with N =
bodyText ||| 300, the success ratio stays constantly at around 0.99 even
bodyText ||| with x = 100, with the help of NWS. This tendency of high
bodyText ||| success ratio can be mainly attributed to the degree d = 20
bodyText ||| (7.6 sub-watch nodes on average in the lower bound case),
bodyText ||| which is found to be high enough to bypass a large number
bodyText ||| of packet-dropping nodes. Figure 6(d) shows the number
bodyText ||| of relaying nodes from the source to the base station in the
bodyText ||| same experiments. With NWS, the increase in the number
bodyText ||| of relaying nodes with x is more conspicuous than that with
bodyText ||| N = 300, since more than twice as many as sub-watch nodes
bodyText ||| help forward the packets so that it can bypass a large number
bodyText ||| of packet-dropping nodes anyway.
bodyText ||| In the simulation results, we note that our forwarding
bodyText ||| scheme dynamically adjusts its forwarding style, depending
bodyText ||| on the number of packet-dropping nodes en-route to the base
bodyText ||| station. As in Figures 6(c) and 6(d), while there exist none
bodyText ||| or a small number of packet-dropping nodes on the way, our
bodyText ||| scheme works almost like the single-path forwarding with
bodyText ||| the help of a few additional relaying nodes. On the other
bodyText ||| hand, when confronting a large number of packet-dropping
bodyText ||| nodes, our scheme makes full use of the help from additional
bodyText ||| relaying nodes, in order to successfully deliver the packet to
bodyText ||| the base station at any cost to the best efforts.
sectionHeader ||| 5. CONCLUSIONS AND FUTURE WORK
bodyText ||| In this paper we focus on defending against compromised
bodyText ||| nodes’ dropping of legitimate reports. We have presented
bodyText ||| a resilient packet-forwarding scheme using Neighbor Watch
bodyText ||| System (NWS) against maliciously packet-dropping nodes in
bodyText ||| sensor networks. In face of such nodes, NWS is specifically
bodyText ||| designed for hop-by-hop reliable delivery, and the prompt
bodyText ||| reaction of the conversion from single-path to multipath for-
bodyText ||| warding augments the robustness in our scheme so that the
bodyText ||| packet successfully reach the base station.
bodyText ||| In future work, we plan on further improving NLV to de-
bodyText ||| fend against the man-in-the-middle attacks, collusion among
bodyText ||| compromised nodes. Such attacks can be prevented by using
bodyText ||| a master key derived with not only a node ID but also its
bodyText ||| geographic information. We will also seek to address O(d 2)
bodyText ||| storage requirement for the neighbors’ neighbor lists. Fi-
bodyText ||| nally, we would like to perform an intensive experimental
bodyText ||| evaluation to compare our scheme with other reliable deliv-
bodyText ||| ery protocols [10, 29, 42].
sectionHeader ||| 6. ACKNOWLEDGMENTS
bodyText ||| This work was supported by grant No.R01-2006-000-10073-
bodyText ||| 0 from the Basic Research Program of the Korea Science and
bodyText ||| Engineering Foundation.
sectionHeader ||| 7. REFERENCES
reference ||| [1] R. Anderson, H. Chan, and A. Perrig, Key Infection:
reference ||| Smart Trust for Smart Dust, IEEE ICNP 2004
reference ||| [2] Burton H. Bloom, Space/Time Trade-offs in Hash
reference ||| Coding with Allowable Errors, Communication of the
reference ||| ACM, vol. 13, 422-426, 1970
reference ||| [3] B. Carbunar, I. Ioannidis, and C. Nita-Rotaru,
reference ||| JANUS: Towards Robust and Malicious Resilient
reference ||| Routing in Hybrid Wireless Networks, ACM workshop
reference ||| on Wireless security (WiSe’04), Oct. 2004
reference ||| [4] H. Chan, A. Perrig, and D. Song, Random Key
reference ||| Predistribution Schemes for Sensor Networks, IEEE
reference ||| Symposium on Security and Privacy, pp. 197-213, May
reference ||| 2003.
reference ||| [5] B. Deb, S. Bhatnagar, and B. Nath, ReInForM:
reference ||| Reliable Information Forwarding Using Multiple Paths
reference ||| in Sensor Networks, IEEE Local Computer Networks
reference ||| (LCN 2003), pp. 406-415, Oct. 2003.
reference ||| [6] J. Deng, R. Han, and S. Mishra, A Performance
reference ||| Evaluation of Intrusion- Tolerant Routing in Wireless
reference ||| Sensor Networks, 2nd International Workshop on
reference ||| Information Processing in Sensor Networks (IPSN 03),
reference ||| pp. 349-364, Apr. 2003.
reference ||| [7] J. Deng, R. Han, and S. Mishra, Intrusion Tolerance
reference ||| and Anti-Traffic Analysis Strategies for Wireless
reference ||| Sensor Networks, IEEE International Conference on
reference ||| Dependable Systems and Networks (DSN), pp.
reference ||| 594-603, 2004.
reference ||| [8] J. Deng, R. Han, and S. Mishra, Defending against
reference ||| Path-based DoS Attacks in Wireless Sensor Networks,
reference ||| ACM Workshop on Security of Ad-Hoc and Sensor
reference ||| Networks (SASN’05) , Nov, 2005.
reference ||| [9] K. Fall and K. Varadhan (editors), NS notes and
reference ||| documentation, The VINT project, LBL, Feb 2000,
reference ||| http://www.isi.edu/nsnam/ns/
reference ||| [10] D. Ganesan, R. Govindan, S. Shenker, and D. Estrin,
reference ||| Highly Resilient, Energy-Efficient Multipath Routing
reference ||| in Wireless Sensor Networks, Computing and
reference ||| Communications Review (MC2R) Vol 1., pp. 11-25,
reference ||| 2002.
reference ||| [11] V. D. Gligor, Security of Emergent Properties in
reference ||| Ad-Hoc Networks, International Workshop on Security
reference ||| Protocols, Apr. 2004.
reference ||| [12] O. Goldreich, S. Goldwasser, and S. Micali, How to
reference ||| Construct Random Functions, Journal of the ACM,
reference ||| Vol. 33, No. 4, 210-217, 1986
reference ||| [13] L. Eschenauer and V. D. Gligor, A Key-Management
reference ||| Scheme for Distributed Sensor Networks, 9th ACM
reference ||| Conference on Computer and Communication
reference ||| Security (CCS), pp. 41-47, Nov. 2002.
reference ||| [14] C. Hartung, J. Balasalle, and R. Han, Node
reference ||| Compromise in Sensor Networks: The Need for Secure
reference ||| Systems, Technical Report CU-CS-990-05,
reference ||| Department of Computer Science University of
reference ||| Colorado at Boulder, Jan. 2005
reference ||| [15] T. He, S. Krishnamurthy, J. A. Stankovic, T. F.
reference ||| Abdelzaher, L. Luo, R. Stoleru, T. Yan, L. Gu, J. Hui,
reference ||| and B. Krogh, An Energy-Efficient Surveillance
reference ||| System Using Wireless Sensor Networks, ACM
reference ||| MobiSys’04, June, 2004
reference ||| [16] W.R. Heinzelman, J. Kulik, H. Balakrishnan, Adaptive
reference ||| Protocols for Information Dissemination in Wireless
reference ||| Sensor Networks, ACM MobiCom99, pp. 174.185,
reference ||| 1999.
reference ||| [17] J. Hill, R. Szewczyk, A. Woo, S. Hollar, D. Culler, and
reference ||| K. Pister, System Architecture Directions for
reference ||| Networked Sensors, ACU ASPLOS IX, November
reference ||| 2000.
page ||| 68
reference ||| [18] X. Hong, M. Gerla, W. Hanbiao, and L. Clare, Load
reference ||| Balanced, Energy-Aware Communications for Mars
reference ||| Sensor Networks, IEEE Aerospace Conference, vol.3,
