title ||| A Two-Phase Sampling Technique for Information
bodyText ||| Three sets of samples are obtained for each database and 300
bodyText ||| documents are retrieved for each sample. First, we manually
bodyText ||| examine each set of sampled documents to obtain the number of
bodyText ||| Web page templates used to generate the documents. This is then
bodyText ||| compared with the number of templates detected by 2PS. The
bodyText ||| detection of Web page templates from the sampled documents is
bodyText ||| important as this determines whether irrelevant information is
bodyText ||| effectively eliminated.
bodyText ||| Next, we compare the number of relevant terms (from top 50
bodyText ||| terms) retrieved using 2PS with the number obtained by QS.
bodyText ||| Terms are ranked according to their ctf frequencies to determine
bodyText ||| their relevancy to the queries. This frequency represents the
bodyText ||| occurrences of a term contained in the sampled documents. Ctf
bodyText ||| frequencies are used to demonstrate the effectiveness of
bodyText ||| extracting query-related information from sampled documents
bodyText ||| since the terms extracted from Web page templates are often
bodyText ||| ranked with high ctf frequencies.
tableCaption ||| Table 2. The number of templates employed by databases and
table ||| the number detected by 2PS
table ||| Databases		Number of templates	
table ||| 		Employed	Detected
table ||| Help Site	Sample 1	17	15
table ||| 	Sample 2	17	16
table ||| 	Sample 3	19	17
table ||| CHID	Sample 1	1	1
table ||| 	Sample 2	1	1
table ||| 	Sample 3	1	1
table ||| Wired News	Sample 1	1	1
table ||| 	Sample 2	1	1
table ||| 	Sample 3	1	1
bodyText ||| Experimental results for QS and 2PS are summarised as follows.
bodyText ||| Firstly, Table 2 gives the number of Web page templates
bodyText ||| employed by the databases and the number detected by 2PS. It
bodyText ||| shows that 2PS effectively identifies the number of templates
bodyText ||| found in the sampled documents. However, a small number of
bodyText ||| templates are not detected from Help Site. For instance, 2PS does
bodyText ||| not detect two of the templates from the first set of sampled
bodyText ||| documents, since the two templates are very similar in terms of
bodyText ||| content and structure.
page ||| 6
bodyText ||| Table 3 summarises the number of relevant terms (from top 50
bodyText ||| terms ranked according to their ctf frequencies) obtained for the
bodyText ||| three databases. These terms are retrieved using 2PS and QS. We
bodyText ||| determine the relevancy of a term by examining whether the term
bodyText ||| is found in Web page templates. Table 3 gives the number of
bodyText ||| retrieved terms that do not appear in Web page templates. The
bodyText ||| results show that 2PS obtains more relevant terms. For instance,
bodyText ||| in the first set of documents sampled from CHID using 2PS, the
bodyText ||| number of relevant terms retrieved is 47. By comparison, the
bodyText ||| number of terms obtained for QS is 20.
bodyText ||| The results generated from CHID and Wired News demonstrate
bodyText ||| that 2PS retrieves more relevant terms, as a large number of terms
bodyText ||| contained in the templates have been successfully eliminated from
bodyText ||| the top 50 terms. However, the elimination of template terms is
bodyText ||| less noticeable for Help Site. Our observation is that template
bodyText ||| terms attain high frequencies since the CHID and Wired News
bodyText ||| databases generate documents using a single Web page template.
bodyText ||| By comparison, a larger number of Web page templates are found
bodyText ||| in the documents sampled from Help Site. As a result, terms
bodyText ||| contained in the templates do not attain high frequencies as those
bodyText ||| found in the templates employed by CHID and Wired News.
bodyText ||| Table 4 and 5 show the results of the top 50 terms ranked
bodyText ||| according to their ctf frequencies retrieved from the first set of
bodyText ||| sampled documents of the CHID database. Table 4 shows the top
bodyText ||| 50 terms retrieved for QS whereby terms contained in Web page
bodyText ||| templates are not excluded. As a result, a number of terms (such
bodyText ||| as ‘author’, ‘language’ and ‘format’) have attained much higher
bodyText ||| frequencies. By contrast, Table 5 lists the top 50 terms retrieved
bodyText ||| using 2PS. Our technique eliminates terms (such as ‘author’ and
bodyText ||| ‘format’) and obtains terms (such as ‘treatment’, ‘disease’ and
bodyText ||| ‘immunodeficiency’) in the higher rank.
tableCaption ||| Table 3. The number of relevant terms retrieved (from top 50
tableCaption ||| terms) according to ctf frequencies
table ||| Databases		Number of relevant terms	
table ||| 		QS	2PS
table ||| Help Site	Sample 1	46	48
table ||| 	Sample 2	47	48
table ||| 	Sample 3	46	48
table ||| CHID	Sample 1	20	47
table ||| 	Sample 2	19	47
table ||| 	Sample 3	20	47
table ||| Wired News	Sample 1	14	42
table ||| 	Sample 2	10	43
table ||| 	Sample 3	11	39
sectionHeader ||| 5. CONCLUSION
bodyText ||| This paper presents a sampling and extraction technique, 2PS,
bodyText ||| which utilises information that is contained in the search interface
bodyText ||| pages and documents of a database in the sampling process. This
bodyText ||| technique extracts information relevant to queries from the
bodyText ||| sampled documents in order to generate terms and frequencies
bodyText ||| with improved accuracy. Experimental results demonstrate that
bodyText ||| our technique effectively eliminates information contained in
bodyText ||| Web page templates, thus attaining terms and frequencies that are
bodyText ||| of a higher degree of relevancy. This can also enhance the
bodyText ||| effectiveness of categorisation in which such statistics are used to
bodyText ||| represent the information contents of underlying databases.
bodyText ||| We obtain promising results by applying 2PS in the experiments
bodyText ||| on three databases that differ in nature. However, experiments on
bodyText ||| a larger number of Hidden Web databases are required in order to
bodyText ||| further assess the effectiveness of the proposed technique.
tableCaption ||| Table 4. Top 50 terms and frequencies ranked according to ctf generated from CHID when QS is applied
table ||| Rank	Term	Rank	Term	Rank	Term
table ||| 1	hiv	18	document	35	lg
table ||| 2	aids	19	disease	36	ve
table ||| 3	information	20	published	37	yr
table ||| 4	health	21	physical	38	ac
table ||| 5	prevention	22	subfile	39	corporate
table ||| 6	education	23	audience	40	mj
table ||| 7	tb	24	update	41	description
table ||| 8	accession	25	verification	42	www
table ||| 9	number	26	major	43	cn
table ||| 10	author	27	pamphlet	44	pd
table ||| 11	persons	28	chid	45	english
table ||| 12	language	29	human	46	national
table ||| 13	sheet	30	date	47	public
table ||| 14	format	31	abstract	48	immunodeficiency
table ||| 15	treatment	32	code	49	virus
table ||| 16	descriptors	33	ab	50	org
table ||| 17	availability	34	fm		
page ||| 7
tableCaption ||| Table 5. Top 50 terms and frequencies ranked according to ctf generated from CHID when 2PS is applied
table ||| Rank	Term	Rank	Term	Rank	Term
table ||| 1	hiv	18	education	35	testing
table ||| 2	aids	19	virus	36	programs
table ||| 3	information	20	org	37	services
table ||| 4	health	21	notes	38	clinical
table ||| 5	prevention	22	nt	39	people
table ||| 6	tb	23	cdc	40	hepatitis
table ||| 7	persons	24	service	41	community
table ||| 8	sheet	25	box	42	world
table ||| 9	treatment	26	research	43	listed
table ||| 10	disease	27	department	44	professionals
table ||| 11	human	28	positive	45	training
table ||| 12	pamphlet	29	tuberculosis	46	diseases
table ||| 13	www	30	control	47	accession
table ||| 14	http	31	drug	48	network
table ||| 15	national	32	discusses	49	general
table ||| 16	public	33	ill	50	std
table ||| 17	immunodeficiency	34	organizations		
sectionHeader ||| 6. REFERENCES
reference ||| [1] Arasu, A. and Garcia-Molina, H. Extracting Structured Data
reference ||| from Web Pages. In Proceedings of the 2003 ACM SIGMOD
reference ||| International Conference on Management, 2003, 337-348.
reference ||| [2] Callan, J. and Connell, M. Query-Based Sampling of Text
reference ||| Databases. ACM Transactions on Information Systems
reference ||| (TOIS), Vol. 19, No. 2, 2001, 97-130.
reference ||| [3] Caverlee, J., Buttler, D. and Liu, L. Discovering Objects in
reference ||| Dynamically-Generated Web Pages. Technical report,
reference ||| Georgia Institute of Technology, 2003.
reference ||| [4] Crescenzi, V., Mecca, G. and Merialdo, P. ROADRUNNER:
reference ||| Towards Automatic Data Extraction from Large Web Sites,
reference ||| In Proceedings of the 27th International Conference on Very
reference ||| Large Data Bases (VLDB), 2001, 109-118.
reference ||| [5] Gravano, L., Ipeirotis, P. G. and Sahami, M. QProber: A
reference ||| System for Automatic Classification of Hidden-Web
reference ||| Databases. ACM Transactions on Information Systems
reference ||| (TOIS), Vol. 21, No. 1, 2003.
reference ||| [6] Heß, M. and Drobnik, O. Clustering Specialised Web-
reference ||| databases by Exploiting Hyperlinks. In Proceedings of the
reference ||| Second Asian Digital Library Conference, 1999.
reference ||| [7] Hedley, Y.L., Younas, M., James, A. and Sanderson M.
reference ||| Query-Related Data Extraction of Hidden Web Documents.
reference ||| In Proceedings of the 27th Annual International ACM SIGIR
reference ||| Conference, 2004, 558-559.
reference ||| [8] Lage, J. P., da Silva, A. S., Golgher, P. B. and Laender, A.
reference ||| H. F. Automatic Generation of Agents for Collecting Hidden
reference ||| Web Pages for Data Extraction. Data &amp; Knowledge
reference ||| Engineering, Vol. 49, No. 2, 2004, 177-196.
reference ||| [9] Liddle, S.W., Yau, S.H. and Embley, D. W. On the
reference ||| Automatic Extraction of Data from the Hidden Web. In
reference ||| Proceedings of the 20th International Conference on
reference ||| Conceptual Modeling, (ER) Workshops, 2001, 212-226.
reference ||| [ 10] Lin, K.I. and Chen, H. Automatic Information Discovery
reference ||| from the Invisible Web. International Conference on
reference ||| Information Technology: Coding and Computing (ITCC),
reference ||| 2002, 332-337.
reference ||| [ 11 ] Meng, W., Wang, W., Sun, H. and Yu, C. Concept
reference ||| Hierarchy Based Text Database Categorization.
reference ||| International Journal on Knowledge and Information
reference ||| Systems, Vol. 4, No. 2, 2002, 132-150.
reference ||| [ 12] Raghavan, S. and Garcia-Molina, H. Crawling the Hidden
reference ||| Web. In Proceedings of the 27th International Conference on
reference ||| Very Large Databases (VLDB), 2001, 129-138.
reference ||| [ 13] Rahardjo, B. and Yap, R. Automatic Information Extraction
reference ||| from Web Pages, In Proceedings of the 24th Annual
reference ||| International ACM SIGIR Conference, 2001, 430-431.
reference ||| [ 14] Salton, G. and McGill, M. Introduction to Modern
reference ||| Information Retrieval. New York, McCraw-Hill, 1983.
reference ||| [ 15] Sugiura, A. and Etzioni, O. Query Routing for Web Search
reference ||| Engines: Architecture and Experiments. In Proceedings of
reference ||| the 9th International World Wide Web Conference: The
reference ||| Web: The Next Generation, 2000, 417-430.
page ||| 8
