title ||| Analysis of Soft Handover Measurements
reference ||| [10] J. Laiho, A. Wacker, and T. Novosad, editors. Radio
reference ||| Network Planning and Optimisation for UMTS. John
reference ||| Wiley &amp; Sons Ltd., 2001.
reference ||| [11] P. Lehtim¨aki and K. Raivio. A SOM based approach
reference ||| for visualization of GSM network performance data.
reference ||| In IEA/AIE, pages 588–598, 2005.
reference ||| [12] R. Prakash and V. Veeravalli. Locally optimal soft
reference ||| handoff algorithms. IEEE Transactions on Vehicular
reference ||| Technology, 52(2):347–356, March 2003.
reference ||| [13] K. Raivio, O. Simula, and J. Laiho. Neural analysis of
reference ||| mobile radio access network. In IEEE International
page ||| 336
reference ||| Conference on Data Mining, pages 457–464, San Jose,
reference ||| California, USA, November 29 - December 2 2001.
reference ||| [14] M. Siponen, J. Vesanto, O. Simula, and P. Vasara. An
reference ||| approach to automated interpretation of SOM. In
reference ||| N. Allinson, H. Yin, L. Allinson, and J. Slack, editors,
reference ||| Advances in Self-Organizing Maps, pages 89–94.
reference ||| Springer, 2001.
reference ||| [15] J. Vesanto and E. Alhoniemi. Clustering of the
reference ||| self-organizing map. IEEE Transactions on Neural
reference ||| Networks, 11(3):586–600, May 2000.
reference ||| [16] J. Zander. Radio Resource Management for Wireless
reference ||| Networks. Artech House, Inc., 2001.
page ||| 337
